architecture,hidden_width,tau_mem_ms,variant,hidden_cap,output_cap,seed,split,state_probe_feature_dim,state_probe_accuracy,state_probe_balanced_accuracy,state_probe_macro_f1,best_epoch,parameter_count,valid_count_accuracy,valid_count_balanced_accuracy,valid_count_macro_f1,valid_membrane_accuracy,valid_membrane_balanced_accuracy,valid_membrane_macro_f1,hidden_tail_event_fraction,output_tail_event_fraction,hidden_mean_events_per_neuron_step,output_mean_events_per_neuron_step
rsnn,128,250.0,binary,1,1,53,test,128,0.4657534246575342,0.46718697968697964,0.46564854544824125,146,21760,0.410958904109589,0.3936112498612498,0.3656485558615376,0.1438356164383561,0.143243561993562,0.14178067840552,0.3532553821393888,0.3938613448240985,0.2929216733534042,0.1577635195157299
rsnn,128,250.0,binary,1,1,71,train,128,0.9690189328743546,0.9699482287539539,0.9701009586762677,126,21760,0.9070567986230637,0.9014275774486056,0.90291285251192,0.2822719449225473,0.2755769990042617,0.2747028050088857,0.3146169646779354,0.4383112467607409,0.2700500780662037,0.1359457700110959
rsnn,128,250.0,binary,1,1,71,val,128,0.42857142857142855,0.41530182780182784,0.4139675079286736,126,21760,0.4126984126984127,0.4139309764309765,0.3806411659859936,0.2222222222222222,0.2092953342953343,0.2069945908189615,0.3339807391166687,0.4644984006881714,0.2495350837707519,0.1260241419076919
rsnn,128,250.0,binary,1,1,71,test,128,0.4383561643835616,0.4328255078255077,0.42211242828624934,126,21760,0.3493150684931507,0.332788739038739,0.3143686794180806,0.1643835616438356,0.15754662004662,0.1572986806300021,0.3441691043442242,0.491187427958397,0.2695345756125776,0.1259263129266974
rsnn,128,250.0,multi_h,31,1,11,train,128,0.9810671256454389,0.9819606446567231,0.9822694061583251,148,21760,0.7108433734939759,0.7017490503153834,0.7079756357692167,0.3752151462994836,0.3625330868518993,0.3533031280586641,0.6048222401671484,0.6773829645831491,0.4276394137724746,0.1087477296693394
rsnn,128,250.0,multi_h,31,1,11,val,128,0.4603174603174603,0.4523268398268398,0.44917897643387833,148,21760,0.4047619047619047,0.4023629148629148,0.3692805266503711,0.2619047619047619,0.2514610389610389,0.2369769119769119,0.5355359315872192,0.6472070813179016,0.3317634165287018,0.0905562713742256
rsnn,128,250.0,multi_h,31,1,11,test,128,0.4657534246575342,0.4581543456543456,0.44990107335031754,148,21760,0.3493150684931507,0.3271908646908646,0.3216624317069507,0.2534246575342466,0.2382561882561882,0.2125324994276712,0.6407431168098973,0.7526611473462353,0.4104335761233552,0.1009606790460952
rsnn,128,250.0,multi_h,31,1,23,train,128,0.955249569707401,0.9570322913339931,0.9576435808398046,75,21760,0.370051635111876,0.3594586960462838,0.2873586268468125,0.2409638554216867,0.2279175849773334,0.1412794964072902,0.2350641126630638,0.1682699540447245,0.6033955224614956,0.0225291121206062
rsnn,128,250.0,multi_h,31,1,23,val,128,0.42063492063492064,0.41533790283790295,0.3975260665982836,75,21760,0.3174603174603174,0.3149531024531025,0.2372760328962374,0.238095238095238,0.2222222222222222,0.1257630344801397,0.2163456976413726,0.1256038695573806,0.4992723166942596,0.0195127204060554
rsnn,128,250.0,multi_h,31,1,23,test,128,0.4452054794520548,0.44852924852924847,0.4317742479236287,75,21760,0.2671232876712329,0.2441863691863691,0.1999294146342715,0.2397260273972602,0.2198565323565323,0.1277999710970725,0.2564720344053556,0.1063024721631448,0.6180432365365225,0.0197482328759889
rsnn,128,250.0,multi_h,31,1,37,train,128,0.9741824440619621,0.9752646875688405,0.97467783517881,127,21760,0.2977624784853701,0.2836068239046411,0.2507040410977108,0.1049913941480206,0.0989417325953119,0.0426292681238426,0.792087195251977,0.0,3.838214500840888,0.009409915577306
rsnn,128,250.0,multi_h,31,1,37,val,128,0.4444444444444444,0.43953222703222705,0.44952501202501205,127,21760,0.1984126984126984,0.2130952380952381,0.1453150430132527,0.1031746031746031,0.1029761904761904,0.0395676887776387,0.860690712928772,0.0,2.8024134635925293,0.0086244074627757
rsnn,128,250.0,multi_h,31,1,37,test,128,0.3972602739726027,0.4063415750915751,0.39758963068459646,127,21760,0.1643835616438356,0.1762154512154512,0.1012518488537107,0.1027397260273972,0.0981601731601731,0.0514441138136584,0.8791552324817605,0.0,2.743623733520508,0.008976530889687
rsnn,128,250.0,multi_h,31,1,53,train,128,0.9759036144578314,0.9766464190363561,0.9768757620877925,145,21760,0.4681583476764199,0.4469102093748321,0.380111742761011,0.1342512908777969,0.1241021161461413,0.0789378329073104,0.8658131631844631,0.0155582495383187,1.471088366746492,0.0315723085195698
rsnn,128,250.0,multi_h,31,1,53,val,128,0.42063492063492064,0.4232022607022607,0.41639717339340443,145,21760,0.3095238095238095,0.2954365079365079,0.2418848446147296,0.1746031746031746,0.1541666666666666,0.1233888482929403,0.914053201675415,0.011594203300774,0.9521547555923462,0.0367615334689617
rsnn,128,250.0,multi_h,31,1,53,test,128,0.4246575342465753,0.43061799311799304,0.4318480164664966,145,21760,0.2191780821917808,0.2080863580863581,0.1704362804592101,0.1232876712328767,0.1205461205461205,0.0726951830699811,0.920621540448437,0.0403395254318028,1.0940517440234143,0.036655509053436
rsnn,128,250.0,multi_h,31,1,71,train,128,0.9707401032702238,0.9712957389858055,0.9714136868418127,126,21760,0.5869191049913941,0.5666360683741983,0.5429883529976227,0.3080895008605852,0.292330598691124,0.2489915970496238,0.7515331515962204,0.6544428125100784,0.5818387178668878,0.0874140431235661
rsnn,128,250.0,multi_h,31,1,71,val,128,0.5238095238095238,0.5218434343434344,0.524334877020299,126,21760,0.3412698412698413,0.3484848484848484,0.2813628334216569,0.2619047619047619,0.2621753246753247,0.2223504176445352,0.7269982099533081,0.6497995853424072,0.4266757071018219,0.0753557533025741
rsnn,128,250.0,multi_h,31,1,71,test,128,0.4520547945205479,0.45672313797313796,0.43603827198587325,126,21760,0.2808219178082192,0.2734522422022422,0.2380812877675651,0.2465753424657534,0.2263153513153513,0.1916551880461655,0.773714154550474,0.750632107257843,0.5018007081665404,0.0659564618174343
rsnn,128,250.0,multi_o,1,31,11,train,128,1.0,1.0,1.0,150,21760,0.7452667814113597,0.7335293215359121,0.737447804493799,0.1962134251290878,0.1947539126740999,0.1876078944235375,0.6021842295864979,0.6074509886373957,0.4560405240616987,7.160271821046655
rsnn,128,250.0,multi_o,1,31,11,val,128,0.4603174603174603,0.4567039442039442,0.46080928023383266,150,21760,0.4523809523809524,0.4387325637325637,0.4329681613178022,0.1904761904761904,0.1878727753727753,0.1873678457565925,0.663150429725647,0.6637007594108582,0.4276257157325744,6.886157989501953
rsnn,128,250.0,multi_o,1,31,11,test,128,0.5136986301369864,0.5089819902319902,0.5019623894623894,150,21760,0.3767123287671233,0.3699217449217449,0.357286986033116,0.1438356164383561,0.1395541958041957,0.133758968854239,0.6831475610602392,0.6897861786084633,0.4420612895325438,6.887230670615418
rsnn,128,250.0,multi_o,1,31,23,train,128,0.9965576592082617,0.9967206790123457,0.9966638462252497,145,21760,0.6781411359724613,0.6545887440221617,0.6409577532549756,0.1187607573149741,0.1179552984668194,0.119318512731641,0.5902137449604303,0.5909913200724761,0.4674363758498338,7.300374727856477
rsnn,128,250.0,multi_o,1,31,23,val,128,0.46825396825396826,0.46334175084175083,0.46558059329731155,145,21760,0.4047619047619047,0.4007275132275132,0.3610370279874924,0.1428571428571428,0.1454365079365079,0.1332821871614975,0.646393895149231,0.6415128111839294,0.4445342719554901,7.139715194702148
rsnn,128,250.0,multi_o,1,31,23,test,128,0.3904109589041096,0.3917735042735042,0.3991976251780173,145,21760,0.3219178082191781,0.311019536019536,0.3020806015101746,0.136986301369863,0.1385982073482073,0.1335043707123318,0.6715137754401116,0.6664725468583304,0.4621508435843742,7.238966504188433
rsnn,128,250.0,multi_o,1,31,37,train,128,0.9931153184165232,0.9937095719328424,0.9935873236309823,132,21760,0.6798623063683304,0.6553976675555074,0.6428733063743767,0.1239242685025817,0.1282303306202304,0.1253300425979335,0.5908608435558576,0.5907104435968317,0.4742038811135415,6.754955984434039
rsnn,128,250.0,multi_o,1,31,37,val,128,0.5317460317460317,0.5336219336219336,0.5316563397765444,132,21760,0.4206349206349206,0.4100348725348725,0.3911492114123693,0.1746031746031746,0.18250962000962,0.1730850053695209,0.6444106698036194,0.6413550972938538,0.4563894867897033,6.574924468994141
rsnn,128,250.0,multi_o,1,31,37,test,128,0.3904109589041096,0.3974893162393162,0.3865488890128195,132,21760,0.3013698630136986,0.2908674658674658,0.2665289405307554,0.0684931506849315,0.0721049783549783,0.0689026636943303,0.6660181528901401,0.6678574705777103,0.4696563233251441,6.644344930779444
rsnn,128,250.0,multi_o,1,31,53,train,128,0.9913941480206541,0.9915645787154297,0.9916103668752688,117,21760,0.6041308089500861,0.5772522228711215,0.5520701910430864,0.1135972461273666,0.1155973737751451,0.1123242303238584,0.6066832800945604,0.5980717510036265,0.4521811606551612,6.057891255606883
rsnn,128,250.0,multi_o,1,31,53,val,128,0.4126984126984127,0.41188672438672436,0.39172491780250396,117,21760,0.365079365079365,0.3613816738816738,0.3080344229750002,0.1031746031746031,0.1009620009620009,0.1077623593296967,0.6638420224189758,0.6522268652915955,0.4346094727516174,5.911168575286865
rsnn,128,250.0,multi_o,1,31,53,test,128,0.4178082191780822,0.41752691752691756,0.4196371866742137,117,21760,0.3219178082191781,0.3118423243423243,0.2830371438781049,0.0753424657534246,0.0751692751692751,0.0750978415623915,0.6835704511159086,0.6763673726826498,0.450016149919327,5.976148331002014
rsnn,128,250.0,multi_o,1,31,71,train,128,0.9896729776247849,0.9905590496156532,0.9903488982460945,132,21760,0.6316695352839932,0.6107760050051098,0.5984655293146663,0.1101549053356282,0.1092496592853648,0.114745577871927,0.5944611206522497,0.595571513020028,0.4618422060230308,6.826128303902079
rsnn,128,250.0,multi_o,1,31,71,val,128,0.5634920634920635,0.5416907166907167,0.5362182698087326,132,21760,0.4047619047619047,0.3844636844636844,0.3507924068268895,0.0793650793650793,0.0884920634920635,0.0764514049583976,0.6558541655540466,0.651523232460022,0.4333057105541229,6.53934907913208
rsnn,128,250.0,multi_o,1,31,71,test,128,0.4863013698630137,0.4749784937284937,0.4818191498410745,132,21760,0.3698630136986301,0.3525488400488399,0.3350045025122424,0.0821917808219178,0.0841339216339216,0.0826100448764445,0.6740542192981668,0.6774237057934068,0.4471312651078995,6.5712222726377725
rsnn,128,250.0,multi_ho,31,31,11,train,128,1.0,1.0,1.0,130,21760,0.6454388984509466,0.6523498157241578,0.6347845529223419,0.3304647160068847,0.3371024401410367,0.3205256512698716,0.7468482587300561,0.7028096780924706,6.839602037879563,7.986572304198746
rsnn,128,250.0,multi_ho,31,31,11,val,128,0.5476190476190477,0.5552068302068301,0.550361958284458,130,21760,0.5,0.5133297258297258,0.4824515634909586,0.3015873015873015,0.3172979797979798,0.2511718116877775,0.8126258254051208,0.7682365775108337,5.626243114471436,6.897585391998291
rsnn,128,250.0,multi_ho,31,31,11,test,128,0.4383561643835616,0.4409874847374848,0.4322328541159279,130,21760,0.3767123287671233,0.3855443167943167,0.3655208557758992,0.2876712328767123,0.2942807192807193,0.2576330508610589,0.8333537888853517,0.7901908640992151,5.575880971673417,6.903295144642869
rsnn,128,250.0,multi_ho,31,31,23,train,128,1.0,1.0,1.0,149,21760,0.6884681583476764,0.694646128047434,0.6809376488179107,0.3528399311531842,0.3617155631502444,0.3563758637813328,0.7151816322142819,0.7136050238051226,6.700647285185664,7.226280580084007
rsnn,128,250.0,multi_ho,31,31,23,val,128,0.42857142857142855,0.4168470418470418,0.42764838647191583,149,21760,0.5,0.5073172198172198,0.4790328385065227,0.3571428571428571,0.3408549783549783,0.3242588795220374,0.7843363285064697,0.7675939202308655,5.574436187744141,6.506468296051025
rsnn,128,250.0,multi_ho,31,31,23,test,128,0.4315068493150685,0.4244359806859807,0.4149136408343153,149,21760,0.4041095890410959,0.3986686924186924,0.3995693722789656,0.3356164383561644,0.3348262848262848,0.3055967012408828,0.8040790533366269,0.7938473257299972,5.666369438171387,6.400131761211238
rsnn,128,250.0,multi_ho,31,31,37,train,128,1.0,1.0,1.0,89,21760,0.5955249569707401,0.5937742510602118,0.5806818085170229,0.2633390705679862,0.2616142013856694,0.2168636837305761,0.7432953226997192,0.7097055983830647,5.151627763823675,6.772810286786183
rsnn,128,250.0,multi_ho,31,31,37,val,128,0.6111111111111112,0.6070286195286195,0.6113363554230428,89,21760,0.5317460317460317,0.5387987012987012,0.5254453043354647,0.3412698412698413,0.3315536315536315,0.2801732241070476,0.8072050213813782,0.7728841304779053,4.238831996917725,5.804872989654541
rsnn,128,250.0,multi_ho,31,31,37,test,128,0.5547945205479452,0.5564574314574314,0.5545343646580528,89,21760,0.4041095890410959,0.4060307747807747,0.384014936011091,0.3013698630136986,0.2982940670440671,0.2542989608825073,0.8271886624702035,0.7924517425772262,4.261460549210849,5.958185555183724
rsnn,128,250.0,multi_ho,31,31,53,train,128,1.0,1.0,1.0,150,21760,0.6506024096385542,0.6557435745113713,0.6480552805680867,0.3080895008605852,0.3103158087680661,0.2774035760950613,0.7124733848949307,0.6647248058844352,7.147115484982883,7.3365811128009
rsnn,128,250.0,multi_ho,31,31,53,val,128,0.5317460317460317,0.5320286195286195,0.526595290674238,150,21760,0.5158730158730159,0.5098965848965848,0.4827252440732832,0.3492063492063492,0.3385281385281385,0.2908351895851895,0.7805324792861938,0.7277793288230896,6.047208309173584,6.535468101501465
rsnn,128,250.0,multi_ho,31,31,53,test,128,0.4794520547945205,0.4724990287490287,0.4557875770781701,150,21760,0.4589041095890411,0.4504793817293817,0.4293728400790788,0.3356164383561644,0.3376900876900877,0.2961692750902436,0.8010704501034462,0.7501430291019074,6.097471093478268,6.641211940817637
rsnn,128,250.0,multi_ho,31,31,71,train,128,0.9948364888123924,0.9949845679012346,0.9950176214572076,146,21760,0.612736660929432,0.6084946504100476,0.6139770832254967,0.2375215146299483,0.2321607127903,0.2197671019300322,0.7197239224553724,0.7344420089573951,8.096415410558862,6.905698418412069
rsnn,128,250.0,multi_ho,31,31,71,val,128,0.49206349206349204,0.4904882154882155,0.484860121868131,146,21760,0.4841269841269841,0.4945586820586821,0.4872170296718383,0.3015873015873015,0.288534151034151,0.2632394735082362,0.787623405456543,0.7882969379425049,6.80421257019043,6.202242374420166
rsnn,128,250.0,multi_ho,31,31,71,test,128,0.410958904109589,0.4167811355311355,0.4176020938466534,146,21760,0.410958904109589,0.3974761349761349,0.3980567640364804,0.2876712328767123,0.2652181152181151,0.241136798583607,0.8111868231263879,0.8189422880133538,6.695999191231923,5.824759587849656
