contrast,layer,aggregation,seed,left_state,right_state,left_test_ba,right_test_ba,delta_pp
spike_quantization_pre_minus_spike,l1,fixed250_ordered_mean,11,pre_reset,spike,0.6253427128427128,0.5238990176490176,10.144369519369523
spike_quantization_pre_minus_spike,l1,fixed250_ordered_mean,23,pre_reset,spike,0.6115301365301364,0.5458596958596957,6.56704406704407
spike_quantization_pre_minus_spike,l1,fixed250_ordered_mean,37,pre_reset,spike,0.6324605949605948,0.5844738594738595,4.798673548673527
spike_quantization_pre_minus_spike,l2,whole_mean,11,pre_reset,spike,0.5562271062271061,0.5470009157509156,0.9226190476190554
spike_quantization_pre_minus_spike,l2,whole_mean,23,pre_reset,spike,0.5370802808302808,0.5671509046509046,-3.0070623820623754
spike_quantization_pre_minus_spike,l2,whole_mean,37,pre_reset,spike,0.5248869186369186,0.5561750749250748,-3.1288156288156177
spike_quantization_pre_minus_spike,l2,fixed250_ordered_mean,11,pre_reset,spike,0.5873036685536686,0.6111242923742923,-2.3820623820623776
spike_quantization_pre_minus_spike,l2,fixed250_ordered_mean,23,pre_reset,spike,0.5786477411477411,0.6428682428682428,-6.4220501720501755
spike_quantization_pre_minus_spike,l2,fixed250_ordered_mean,37,pre_reset,spike,0.5949425574425574,0.6010662948162948,-0.6123737373737392
reset_pre_minus_post,l1,whole_mean,11,pre_reset,post_reset,0.551577589077589,0.5633831446331445,-1.1805555555555514
reset_pre_minus_post,l1,whole_mean,23,pre_reset,post_reset,0.5501505439005439,0.5251144688644688,2.503607503607508
reset_pre_minus_post,l1,whole_mean,37,pre_reset,post_reset,0.504048729048729,0.5466172716172716,-4.256854256854259
reset_pre_minus_post,l1,fixed250_ordered_mean,11,pre_reset,post_reset,0.6253427128427128,0.5956709956709957,2.9671717171717127
reset_pre_minus_post,l1,fixed250_ordered_mean,23,pre_reset,post_reset,0.6115301365301364,0.5925074925074925,1.9022644022643975
reset_pre_minus_post,l1,fixed250_ordered_mean,37,pre_reset,post_reset,0.6324605949605948,0.5994519369519369,3.300865800865793
reset_pre_minus_post,l2,whole_mean,11,pre_reset,post_reset,0.5562271062271061,0.5126755189255189,4.355158730158726
reset_pre_minus_post,l2,whole_mean,23,pre_reset,post_reset,0.5370802808302808,0.4820228382728382,5.50574425574426
reset_pre_minus_post,l2,whole_mean,37,pre_reset,post_reset,0.5248869186369186,0.5491404428904428,-2.425352425352423
reset_pre_minus_post,l2,fixed250_ordered_mean,11,pre_reset,post_reset,0.5873036685536686,0.5901424963924964,-0.2838827838827829
reset_pre_minus_post,l2,fixed250_ordered_mean,23,pre_reset,post_reset,0.5786477411477411,0.5776535964035964,0.09941447441447204
reset_pre_minus_post,l2,fixed250_ordered_mean,37,pre_reset,post_reset,0.5949425574425574,0.5577762515262515,3.7166305916305875
postreset_minus_spike,l1,whole_mean,11,post_reset,spike,0.5633831446331445,0.5444479131979132,1.8935231435231348
postreset_minus_spike,l1,whole_mean,23,post_reset,spike,0.5251144688644688,0.5573447385947385,-3.2230269730269767
postreset_minus_spike,l1,whole_mean,37,post_reset,spike,0.5466172716172716,0.5924617049617049,-4.584443334443334
postreset_minus_spike,l1,fixed250_ordered_mean,11,post_reset,spike,0.5956709956709957,0.5238990176490176,7.17719780219781
postreset_minus_spike,l1,fixed250_ordered_mean,23,post_reset,spike,0.5925074925074925,0.5458596958596957,4.664779664779672
postreset_minus_spike,l1,fixed250_ordered_mean,37,post_reset,spike,0.5994519369519369,0.5844738594738595,1.4978077478077334
postreset_minus_spike,l2,whole_mean,11,post_reset,spike,0.5126755189255189,0.5470009157509156,-3.4325396825396703
postreset_minus_spike,l2,whole_mean,23,post_reset,spike,0.4820228382728382,0.5671509046509046,-8.512806637806635
postreset_minus_spike,l2,whole_mean,37,post_reset,spike,0.5491404428904428,0.5561750749250748,-0.7034632034631949
postreset_minus_spike,l2,fixed250_ordered_mean,11,post_reset,spike,0.5901424963924964,0.6111242923742923,-2.0981795981795948
postreset_minus_spike,l2,fixed250_ordered_mean,23,post_reset,spike,0.5776535964035964,0.6428682428682428,-6.521464646464647
postreset_minus_spike,l2,fixed250_ordered_mean,37,post_reset,spike,0.5577762515262515,0.6010662948162948,-4.329004329004327
