seed,layer,state,state_role,aggregation,feature_dim,selected_C,train_accuracy,train_ba,train_macro_f1,val_accuracy,val_ba,val_macro_f1,test_accuracy,test_ba,test_macro_f1
23,l2,syn_current,primary,fixed250_ordered_mean,2048,0.01,0.963855421686747,0.9642325682603136,0.9660212768862957,0.5714285714285714,0.5596019721019722,0.5727401649481966,0.6095890410958904,0.589817821067821,0.594606109787746
37,l2,syn_current,primary,fixed250_ordered_mean,2048,0.1,0.9965576592082617,0.9967948717948718,0.9967793129200896,0.6031746031746031,0.5942340067340067,0.6036796049953946,0.6232876712328768,0.6092282717282717,0.6159304138020828
11,l1,post_reset,secondary,whole_mean,128,1.0,0.9690189328743546,0.9688509720127367,0.9692784310475745,0.5714285714285714,0.5692640692640693,0.5764187398942391,0.5753424657534246,0.5633831446331445,0.5662802445709844
23,l1,post_reset,secondary,whole_mean,128,10.0,1.0,1.0,1.0,0.5158730158730159,0.4976611351611351,0.4974220907223155,0.5342465753424658,0.5251144688644688,0.5135734055095552
37,l1,post_reset,secondary,whole_mean,128,0.1,0.8519793459552496,0.8501584979687937,0.8525118299800196,0.5079365079365079,0.5002104377104377,0.4958765966438601,0.5547945205479452,0.5466172716172716,0.5439823833573834
11,l1,pre_reset,primary,whole_mean,128,10.0,0.9948364888123924,0.9948688271604939,0.995070800559958,0.5793650793650794,0.5690656565656566,0.5778026577013935,0.5684931506849316,0.551577589077589,0.5511945876753556
23,l1,pre_reset,primary,whole_mean,128,10.0,0.9948364888123924,0.9948688271604939,0.994934094495498,0.5476190476190477,0.5343073593073593,0.5452270891968323,0.5616438356164384,0.5501505439005439,0.5588938097385846
37,l1,pre_reset,primary,whole_mean,128,10.0,0.9965576592082617,0.996412037037037,0.9966283006419943,0.5396825396825397,0.5210137085137084,0.5298097218685455,0.5205479452054794,0.504048729048729,0.5015931508578567
11,l1,spike,primary,whole_mean,128,1.0,0.9586919104991394,0.958374374663034,0.9600065587518984,0.5158730158730159,0.5113155363155363,0.49461998716731653,0.5547945205479452,0.5444479131979132,0.539159378479784
23,l1,spike,primary,whole_mean,128,1.0,0.9518072289156626,0.9516452490370808,0.9538072721920406,0.5634920634920635,0.5483285233285233,0.5544593322042601,0.5616438356164384,0.5573447385947385,0.5466148857988107
37,l1,spike,primary,whole_mean,128,1.0,0.9518072289156626,0.951375326965688,0.9533616306618188,0.5555555555555556,0.5418831168831169,0.550243478588826,0.5958904109589042,0.5924617049617049,0.5755152444852989
11,l1,syn_current,primary,whole_mean,128,10.0,0.8640275387263339,0.8680240102007581,0.8692581991087137,0.5158730158730159,0.5087121212121212,0.5059345106541903,0.5205479452054794,0.5096583971583971,0.5138173400673401
23,l1,syn_current,primary,whole_mean,128,10.0,0.8674698795180723,0.8708783872093159,0.8718006930300389,0.5158730158730159,0.5101010101010102,0.5103555484756331,0.4931506849315068,0.4896207958707959,0.4932135400160762
37,l1,syn_current,primary,whole_mean,128,10.0,0.8674698795180723,0.8712296970338961,0.8719416279382194,0.5238095238095238,0.5176767676767676,0.5167761618119258,0.4863013698630137,0.4830350205350205,0.48225218454385116
11,l2,post_reset,secondary,whole_mean,128,1.0,0.9621342512908778,0.962491708811121,0.9630801632331761,0.5317460317460317,0.5372775372775372,0.5170667587772851,0.5205479452054794,0.5126755189255189,0.4999018853434621
23,l2,post_reset,secondary,whole_mean,128,10.0,0.9913941480206541,0.9903388934840548,0.9910441274749301,0.5476190476190477,0.537512025012025,0.5386949202166593,0.4931506849315068,0.4820228382728382,0.476354281764342
37,l2,post_reset,secondary,whole_mean,128,1.0,0.9690189328743546,0.9692231400951324,0.9700367072807531,0.5158730158730159,0.5096019721019721,0.518503678286287,0.547945205479452,0.5491404428904428,0.533362273454326
11,l2,pre_reset,primary,whole_mean,128,10.0,0.9879518072289156,0.98840581531758,0.9884523428641075,0.5238095238095238,0.5239838864838865,0.5051328354951543,0.5616438356164384,0.5562271062271061,0.5412894601910339
23,l2,pre_reset,primary,whole_mean,128,10.0,0.9862306368330465,0.9865539634657282,0.9869844969844971,0.5793650793650794,0.5759680134680133,0.5829537008884834,0.541095890410959,0.5370802808302808,0.5353326259386386
37,l2,pre_reset,primary,whole_mean,128,10.0,0.9896729776247849,0.9889541943052379,0.9896658460509963,0.5555555555555556,0.5403318903318902,0.5454179073744291,0.5342465753424658,0.5248869186369186,0.5041173427249681
11,l2,spike,primary,whole_mean,128,0.1,0.9655765920826161,0.9644783092062474,0.9657005920911338,0.5476190476190477,0.5508357383357384,0.5453926855663292,0.5616438356164384,0.5470009157509156,0.5337007520526227
23,l2,spike,primary,whole_mean,128,1.0,0.9845094664371773,0.9850409906477239,0.9856456106862149,0.5634920634920635,0.548953823953824,0.5535618259893623,0.5753424657534246,0.5671509046509046,0.5681207203571234
37,l2,spike,primary,whole_mean,128,0.1,0.9518072289156626,0.9502493917482789,0.9519291350843367,0.5793650793650794,0.5693181818181817,0.5715610702992012,0.5616438356164384,0.5561750749250748,0.5420606927185876
11,l2,syn_current,primary,whole_mean,128,10.0,0.9879518072289156,0.98840581531758,0.9884523428641075,0.5396825396825397,0.5420815295815296,0.5211225348725349,0.5616438356164384,0.5566870629370628,0.545907926152179
23,l2,syn_current,primary,whole_mean,128,10.0,0.9862306368330465,0.9865539634657282,0.9869114647591561,0.5793650793650794,0.5722703222703223,0.578753072396448,0.541095890410959,0.5395985958485958,0.5370020949683421
37,l2,syn_current,primary,whole_mean,128,0.1,0.9242685025817556,0.9246660649132888,0.9265918767771432,0.5555555555555556,0.5432720057720057,0.553502869492572,0.5205479452054794,0.5188374125874124,0.502623960544414
