architecture,training_family,regularization,source,n,events_per_neuron_second_mean,mean_abs_evidence_mean,mean_abs_final_membrane_mean,mean_events_per_valid_output_position_mean,mean_total_output_events_per_sample_mean,negative_evidence_fraction_mean,potential_multi_crossing_fraction_mean,zero_spike_sample_fraction_mean,negative_event_fraction_mean,positive_event_fraction_mean,events_per_neuron_second_std,mean_abs_evidence_std,mean_abs_final_membrane_std,mean_events_per_valid_output_position_std,mean_total_output_events_per_sample_std,negative_evidence_fraction_std,potential_multi_crossing_fraction_std,zero_spike_sample_fraction_std,negative_event_fraction_std,positive_event_fraction_std
34x234,e2e_wc,task_plus_reg,probe_lif_beta05_cap1,3,0.0,0.02611537674561551,0.07122053722158876,0.0,0.0,0.4046853140416759,0.0,1.0,,,0.0,0.007410352154908991,0.019921386503087248,0.0,0.0,0.005532371119080363,0.0,0.0,0.0,0.0
34x234,e2e_wc,task_plus_reg,probe_lif_beta05_cap31,3,0.0,0.02611537674561551,0.07122053722158876,0.0,0.0,0.4046853140416759,0.0,1.0,,,0.0,0.007410352154908991,0.019921386503087248,0.0,0.0,0.005532371119080363,0.0,0.0,0.0,0.0
34x234,local_tsce,task_only,probe_analog_sum,3,,0.029847603841209252,,,,0.4022807598851337,,,,,0.0,0.007764167112702065,0.0,0.0,0.0,0.0024830560735844267,0.0,0.0,0.0,0.0
34x234,local_tsce,task_only,probe_bipolar_lif_beta05_cap1,3,0.0,0.029847603841209252,0.041116837369180516,0.0,0.0,0.4022807598851337,0.0,1.0,0.0,0.0,0.0,0.007764167112702065,0.010395520598819553,0.0,0.0,0.0024830560735844267,0.0,0.0,0.0,0.0
34x234,local_tsce,task_only,probe_if_beta1_cap1,3,1.413887048081879,0.029847603841209252,1.136080938222636,0.02209198512627936,21.92009132420091,0.4022807598851337,0.0,0.00228310502283105,,,0.34906463377619107,0.007764167112702065,0.21916341104386777,0.0054541349027529855,5.41169725035896,0.0024830560735844267,0.0,0.003954453898559081,0.0,0.0
34x234,local_tsce,task_only,probe_lif_beta05_cap1,3,0.0,0.029847603841209252,0.08011633295627295,0.0,0.0,0.4022807598851337,0.0,1.0,,,0.0,0.007764167112702065,0.019709798694275006,0.0,0.0,0.0024830560735844267,0.0,0.0,0.0,0.0
34x234,local_tsce,task_only,probe_lif_beta05_cap31,3,0.0,0.029847603841209252,0.08011633295627295,0.0,0.0,0.4022807598851337,0.0,1.0,,,0.0,0.007764167112702065,0.019709798694275006,0.0,0.0,0.0024830560735844267,0.0,0.0,0.0,0.0
34x234,local_tsce,task_plus_reg,probe_analog_sum,3,,0.029019760616803465,,,,0.40098759296075404,,,,,0.0,0.008282983323507116,0.0,0.0,0.0,0.005044909629960286,0.0,0.0,0.0,0.0
34x234,local_tsce,task_plus_reg,probe_bipolar_lif_beta05_cap1,3,0.0,0.029019760616803465,0.04047798839763658,0.0,0.0,0.40098759296075404,0.0,1.0,0.0,0.0,0.0,0.008282983323507116,0.010779482531434136,0.0,0.0,0.005044909629960286,0.0,0.0,0.0,0.0
34x234,local_tsce,task_plus_reg,probe_if_beta1_cap1,3,1.3446727045136588,0.029019760616803465,1.0873850718936595,0.02101051100802592,20.847031963470318,0.40098759296075404,0.0,0.0136986301369863,,,0.38360218945655855,0.008282983323507116,0.2441338798122493,0.005993784210258727,5.947147642704935,0.005044909629960286,0.0,0.018121584322360208,0.0,0.0
