objective,seed,accuracy,balanced_accuracy,macro_f1,n_samples,observed_ms,prefix_bin
causal_fixed250_prefix_ce,11,0.0958904109589041,0.10483682983682985,0.055967995306230596,146,250.0,1
causal_fixed250_prefix_ce,11,0.1506849315068493,0.16214896214896216,0.12554350069420991,146,500.0,2
causal_fixed250_prefix_ce,11,0.2097902097902098,0.2069018944018944,0.17711513926052933,143,750.0,3
causal_fixed250_prefix_ce,11,0.375,0.4222041847041847,0.30688626929752694,112,1000.0,4
causal_fixed250_prefix_ce,11,0.4819277108433735,0.4567673067673067,0.3433829242652772,83,1250.0,5
causal_fixed250_prefix_ce,11,0.5555555555555556,0.6480725623582766,0.4665945165945166,36,1500.0,6
causal_fixed250_prefix_ce,11,0.6875,0.6625,0.42687074829931976,16,1750.0,7
causal_fixed250_prefix_ce,11,0.0,0.0,0.0,1,2000.0,8
causal_fixed250_prefix_ce,23,0.08904109589041095,0.0927988677988678,0.06248930593734359,146,250.0,1
causal_fixed250_prefix_ce,23,0.14383561643835616,0.155493117993118,0.13041612989430829,146,500.0,2
causal_fixed250_prefix_ce,23,0.3356643356643357,0.31168414918414916,0.28572676837974337,143,750.0,3
causal_fixed250_prefix_ce,23,0.4107142857142857,0.47104978354978355,0.3743780089082283,112,1000.0,4
causal_fixed250_prefix_ce,23,0.5662650602409639,0.529321912655246,0.40178413204728997,83,1250.0,5
causal_fixed250_prefix_ce,23,0.6944444444444444,0.6176870748299319,0.4303085803085803,36,1500.0,6
causal_fixed250_prefix_ce,23,0.75,0.7875000000000001,0.49943310657596374,16,1750.0,7
causal_fixed250_prefix_ce,23,0.0,0.0,0.0,1,2000.0,8
causal_fixed250_prefix_ce,101,0.07534246575342465,0.08235930735930735,0.054406377935789695,146,250.0,1
causal_fixed250_prefix_ce,101,0.18493150684931506,0.19929237429237426,0.1752892874299068,146,500.0,2
causal_fixed250_prefix_ce,101,0.32867132867132864,0.3195829633329633,0.2922109851316557,143,750.0,3
causal_fixed250_prefix_ce,101,0.45535714285714285,0.48878066378066376,0.40439587373410896,112,1000.0,4
causal_fixed250_prefix_ce,101,0.5542168674698795,0.49465904465904464,0.3829733620867466,83,1250.0,5
causal_fixed250_prefix_ce,101,0.6944444444444444,0.6131519274376418,0.5066029830735713,36,1500.0,6
causal_fixed250_prefix_ce,101,0.6875,0.65,0.45925925925925926,16,1750.0,7
causal_fixed250_prefix_ce,101,0.0,0.0,0.0,1,2000.0,8
