condition,family,shifts_mem,tau_mem_ms,shifts_syn,tau_syn_ms,recurrent,seed,feature_dim,feature_type,group,phase_probe_C,phase_probe_test_accuracy,phase_probe_test_ba,phase_probe_test_macro_f1,phase_probe_val_ba,progress_probe_alpha,progress_probe_test_mae,progress_probe_test_r2,progress_probe_val_mae
syn_multi_s456,syn,[1],[22.542110013890053],"[4, 5, 6]","[242.10347130039656, 492.1461612435418, 992.1669944116244]",False,11,43,synaptic_s4,synaptic_s4,1.0,0.3383035122597747,0.33395955796468507,0.3135041545024504,0.31542329606967473,10.0,0.12079610675573349,0.7145408987998962,0.1372150182723999
syn_multi_s456,syn,[1],[22.542110013890053],"[4, 5, 6]","[242.10347130039656, 492.1461612435418, 992.1669944116244]",False,11,43,synaptic_s5,synaptic_s5,1.0,0.30848243870112657,0.3037707778776359,0.27549068505731356,0.3177480829400358,0.01,0.13154837489128113,0.6662694215774536,0.13595543801784515
syn_multi_s456,syn,[1],[22.542110013890053],"[4, 5, 6]","[242.10347130039656, 492.1461612435418, 992.1669944116244]",False,11,42,synaptic_s6,synaptic_s6,0.1,0.3168489065606362,0.3120034407630312,0.2863887555535443,0.3212057503364236,0.01,0.12523365020751953,0.6891101598739624,0.13316287100315094
syn_multi_s456,syn,[1],[22.542110013890053],"[4, 5, 6]","[242.10347130039656, 492.1461612435418, 992.1669944116244]",False,23,43,synaptic_s4,synaptic_s4,0.1,0.3274519549370444,0.3231781204764963,0.2993285798698898,0.3233932613428207,10.0,0.11678454279899597,0.7381754517555237,0.13045041263103485
syn_multi_s456,syn,[1],[22.542110013890053],"[4, 5, 6]","[242.10347130039656, 492.1461612435418, 992.1669944116244]",False,23,43,synaptic_s5,synaptic_s5,10.0,0.3338303512259775,0.32935317062773173,0.3047972950640543,0.3363959470489973,10.0,0.11922130733728409,0.7240114212036133,0.13098786771297455
syn_multi_s456,syn,[1],[22.542110013890053],"[4, 5, 6]","[242.10347130039656, 492.1461612435418, 992.1669944116244]",False,23,42,synaptic_s6,synaptic_s6,1.0,0.33416169648774025,0.32905316851926053,0.3035576911355361,0.33669741877667175,10.0,0.1206652969121933,0.7031261324882507,0.13124442100524902
syn_multi_s456,syn,[1],[22.542110013890053],"[4, 5, 6]","[242.10347130039656, 492.1461612435418, 992.1669944116244]",False,37,43,synaptic_s4,synaptic_s4,1.0,0.3132041086812459,0.3085526389568091,0.2848478680474953,0.3253108007710474,0.01,0.12368938326835632,0.710973858833313,0.12901508808135986
syn_multi_s456,syn,[1],[22.542110013890053],"[4, 5, 6]","[242.10347130039656, 492.1461612435418, 992.1669944116244]",False,37,43,synaptic_s5,synaptic_s5,10.0,0.341948310139165,0.3375668928355957,0.31628580017608593,0.3373466895161146,10.0,0.112777478992939,0.7465450763702393,0.11698425561189651
syn_multi_s456,syn,[1],[22.542110013890053],"[4, 5, 6]","[242.10347130039656, 492.1461612435418, 992.1669944116244]",False,37,42,synaptic_s6,synaptic_s6,10.0,0.3497349237905898,0.34520579278351515,0.3243725984711653,0.34569953177907314,10.0,0.1101662740111351,0.7496898174285889,0.11496830731630325
syn_multi_s456,syn,[1],[22.542110013890053],"[4, 5, 6]","[242.10347130039656, 492.1461612435418, 992.1669944116244]",False,53,43,synaptic_s4,synaptic_s4,0.1,0.3314280980781975,0.3266082647403378,0.30374205368977514,0.338579830301009,10.0,0.1193171963095665,0.7240317463874817,0.1346382349729538
syn_multi_s456,syn,[1],[22.542110013890053],"[4, 5, 6]","[242.10347130039656, 492.1461612435418, 992.1669944116244]",False,53,43,synaptic_s5,synaptic_s5,10.0,0.3302683896620278,0.3254846941181583,0.3019102444900797,0.32705289762439826,10.0,0.11073140054941177,0.7569166421890259,0.1266447752714157
syn_multi_s456,syn,[1],[22.542110013890053],"[4, 5, 6]","[242.10347130039656, 492.1461612435418, 992.1669944116244]",False,53,42,synaptic_s6,synaptic_s6,0.1,0.34749834327369117,0.34272185936116195,0.3209574849202988,0.3367639168489236,10.0,0.11654149740934372,0.7211621999740601,0.12147486954927444
syn_multi_s456,syn,[1],[22.542110013890053],"[4, 5, 6]","[242.10347130039656, 492.1461612435418, 992.1669944116244]",False,71,43,synaptic_s4,synaptic_s4,10.0,0.32703777335984097,0.3216289459750853,0.29257188762954184,0.31548728842395785,10.0,0.12127522379159927,0.7220495939254761,0.1369147151708603
syn_multi_s456,syn,[1],[22.542110013890053],"[4, 5, 6]","[242.10347130039656, 492.1461612435418, 992.1669944116244]",False,71,43,synaptic_s5,synaptic_s5,1.0,0.31925115970841617,0.314145323245745,0.28738018116744435,0.3169372697429661,0.1,0.11983449757099152,0.7186110019683838,0.13246671855449677
syn_multi_s456,syn,[1],[22.542110013890053],"[4, 5, 6]","[242.10347130039656, 492.1461612435418, 992.1669944116244]",False,71,42,synaptic_s6,synaptic_s6,10.0,0.3182571239231279,0.3129851189935519,0.28320047781496754,0.32554071040215676,10.0,0.11758564412593842,0.7234205603599548,0.13129767775535583
