sample_id,user,action,stem,segment_index,source_segment_index,dataset_id,label,valid_length,package_relative_dir,package_index,split,label_idx
user_0/action_0/user_0_action_0/segment_000041,user_0,0,user_0_action_0,41,41,1,Q,412,user_0/action_0,0,train,16
user_0/action_0/user_0_action_0/segment_000042,user_0,0,user_0_action_0,42,42,1,A,374,user_0/action_0,0,train,0
user_0/action_0/user_0_action_0/segment_000043,user_0,0,user_0_action_0,43,43,1,P,343,user_0/action_0,0,train,15
user_0/action_0/user_0_action_0/segment_000044,user_0,0,user_0_action_0,44,44,1,K,403,user_0/action_0,0,train,10
user_0/action_0/user_0_action_0/segment_000045,user_0,0,user_0_action_0,45,45,1,V,375,user_0/action_0,0,train,21
user_0/action_0/user_0_action_0/segment_000046,user_0,0,user_0_action_0,46,46,2,t,147,user_0/action_0,0,train,45
user_0/action_0/user_0_action_0/segment_000047,user_0,0,user_0_action_0,47,47,2,w,444,user_0/action_0,0,train,48
user_0/action_0/user_0_action_0/segment_000048,user_0,0,user_0_action_0,48,48,2,z,313,user_0/action_0,0,train,51
user_0/action_0/user_0_action_0/segment_000049,user_0,0,user_0_action_0,49,49,2,f,282,user_0/action_0,0,train,31
user_0/action_0/user_0_action_0/segment_000050,user_0,0,user_0_action_0,50,50,2,c,232,user_0/action_0,0,train,28
user_0/action_0/user_0_action_0/segment_000051,user_0,0,user_0_action_0,51,51,2,r,243,user_0/action_0,0,train,43
user_0/action_0/user_0_action_0/segment_000052,user_0,0,user_0_action_0,52,52,2,g,341,user_0/action_0,0,train,32
user_0/action_0/user_0_action_0/segment_000053,user_0,0,user_0_action_0,53,53,2,q,361,user_0/action_0,0,train,42
user_0/action_0/user_0_action_0/segment_000054,user_0,0,user_0_action_0,54,54,2,j,248,user_0/action_0,0,train,35
user_0/action_0/user_0_action_0/segment_000055,user_0,0,user_0_action_0,55,55,2,y,239,user_0/action_0,0,train,50
user_0/action_0/user_0_action_0/segment_000056,user_0,0,user_0_action_0,56,56,2,d,456,user_0/action_0,0,train,29
user_0/action_0/user_0_action_0/segment_000057,user_0,0,user_0_action_0,57,57,2,s,242,user_0/action_0,0,train,44
user_0/action_0/user_0_action_0/segment_000058,user_0,0,user_0_action_0,58,58,2,p,339,user_0/action_0,0,train,41
user_0/action_0/user_0_action_0/segment_000059,user_0,0,user_0_action_0,59,59,2,e,270,user_0/action_0,0,train,30
user_0/action_0/user_0_action_0/segment_000060,user_0,0,user_0_action_0,60,60,2,h,285,user_0/action_0,0,train,33
user_0/action_0/user_0_action_0/segment_000061,user_0,0,user_0_action_0,61,61,2,b,267,user_0/action_0,0,train,27
user_0/action_0/user_0_action_0/segment_000062,user_0,0,user_0_action_0,62,62,2,l,283,user_0/action_0,0,train,37
user_0/action_0/user_0_action_0/segment_000063,user_0,0,user_0_action_0,63,63,2,a,308,user_0/action_0,0,train,26
user_0/action_0/user_0_action_0/segment_000064,user_0,0,user_0_action_0,64,64,2,k,352,user_0/action_0,0,train,36
user_0/action_0/user_0_action_0/segment_000065,user_0,0,user_0_action_0,65,65,2,o,283,user_0/action_0,0,train,40
user_0/action_0/user_0_action_0/segment_000066,user_0,0,user_0_action_0,66,66,2,m,343,user_0/action_0,0,train,38
user_0/action_0/user_0_action_0/segment_000067,user_0,0,user_0_action_0,67,67,2,n,264,user_0/action_0,0,train,39
user_0/action_0/user_0_action_0/segment_000068,user_0,0,user_0_action_0,68,68,2,i,232,user_0/action_0,0,train,34
user_0/action_0/user_0_action_0/segment_000069,user_0,0,user_0_action_0,69,69,2,u,264,user_0/action_0,0,train,46
user_0/action_0/user_0_action_0/segment_000070,user_0,0,user_0_action_0,70,70,3,T,274,user_0/action_0,0,train,19
user_0/action_0/user_0_action_0/segment_000071,user_0,0,user_0_action_0,71,71,3,W,391,user_0/action_0,0,train,22
user_0/action_0/user_0_action_0/segment_000072,user_0,0,user_0_action_0,72,72,3,Z,343,user_0/action_0,0,train,25
user_0/action_0/user_0_action_0/segment_000073,user_0,0,user_0_action_0,73,73,3,F,366,user_0/action_0,0,train,5
user_0/action_0/user_0_action_0/segment_000074,user_0,0,user_0_action_0,74,74,3,C,247,user_0/action_0,0,train,2
user_0/action_0/user_0_action_0/segment_000075,user_0,0,user_0_action_0,75,75,3,R,368,user_0/action_0,0,train,17
user_0/action_0/user_0_action_0/segment_000076,user_0,0,user_0_action_0,76,76,3,G,381,user_0/action_0,0,train,6
user_0/action_0/user_0_action_0/segment_000077,user_0,0,user_0_action_0,77,77,3,Q,397,user_0/action_0,0,train,16
user_0/action_0/user_0_action_0/segment_000078,user_0,0,user_0_action_0,78,78,3,J,226,user_0/action_0,0,train,9
user_0/action_0/user_0_action_0/segment_000079,user_0,0,user_0_action_0,79,79,3,Y,300,user_0/action_0,0,train,24
user_0/action_0/user_0_action_0/segment_000080,user_0,0,user_0_action_0,80,80,3,D,345,user_0/action_0,0,train,3
user_0/action_0/user_0_action_0/segment_000081,user_0,0,user_0_action_0,81,81,3,S,247,user_0/action_0,0,train,18
user_0/action_0/user_0_action_0/segment_000082,user_0,0,user_0_action_0,82,82,3,P,348,user_0/action_0,0,train,15
user_0/action_0/user_0_action_0/segment_000083,user_0,0,user_0_action_0,83,83,3,E,380,user_0/action_0,0,train,4
user_0/action_0/user_0_action_0/segment_000084,user_0,0,user_0_action_0,84,84,3,H,406,user_0/action_0,0,train,7
user_0/action_0/user_0_action_0/segment_000085,user_0,0,user_0_action_0,85,85,3,B,415,user_0/action_0,0,train,1
user_0/action_0/user_0_action_0/segment_000086,user_0,0,user_0_action_0,86,86,3,L,256,user_0/action_0,0,train,11
user_0/action_0/user_0_action_0/segment_000087,user_0,0,user_0_action_0,87,87,3,A,410,user_0/action_0,0,train,0
user_0/action_0/user_0_action_0/segment_000088,user_0,0,user_0_action_0,88,88,3,K,375,user_0/action_0,0,train,10
user_0/action_0/user_0_action_0/segment_000089,user_0,0,user_0_action_0,89,89,3,O,266,user_0/action_0,0,train,14
user_0/action_0/user_0_action_0/segment_000090,user_0,0,user_0_action_0,90,90,3,M,446,user_0/action_0,0,train,12
user_0/action_0/user_0_action_0/segment_000091,user_0,0,user_0_action_0,91,91,3,N,377,user_0/action_0,0,train,13
user_0/action_0/user_0_action_0/segment_000092,user_0,0,user_0_action_0,92,92,3,I,216,user_0/action_0,0,train,8
user_0/action_0/user_0_action_0/segment_000093,user_0,0,user_0_action_0,93,93,3,U,235,user_0/action_0,0,train,20
user_1/action_0/user_1_action_0/segment_000000,user_1,0,user_1_action_0,0,0,0,f,253,user_1/action_0,1,train,31
user_1/action_0/user_1_action_0/segment_000001,user_1,0,user_1_action_0,1,1,0,j,178,user_1/action_0,1,train,35
user_1/action_0/user_1_action_0/segment_000002,user_1,0,user_1_action_0,2,2,0,b,255,user_1/action_0,1,train,27
user_1/action_0/user_1_action_0/segment_000003,user_1,0,user_1_action_0,3,3,0,x,230,user_1/action_0,1,train,49
user_1/action_0/user_1_action_0/segment_000004,user_1,0,user_1_action_0,4,4,0,e,238,user_1/action_0,1,train,30
user_1/action_0/user_1_action_0/segment_000005,user_1,0,user_1_action_0,5,5,0,u,231,user_1/action_0,1,train,46
user_1/action_0/user_1_action_0/segment_000006,user_1,0,user_1_action_0,6,6,0,n,264,user_1/action_0,1,train,39
user_1/action_0/user_1_action_0/segment_000007,user_1,0,user_1_action_0,7,7,0,m,309,user_1/action_0,1,train,38
user_1/action_0/user_1_action_0/segment_000008,user_1,0,user_1_action_0,8,8,0,g,306,user_1/action_0,1,train,32
user_1/action_0/user_1_action_0/segment_000009,user_1,0,user_1_action_0,9,9,0,z,233,user_1/action_0,1,train,51
user_1/action_0/user_1_action_0/segment_000010,user_1,0,user_1_action_0,10,10,0,y,260,user_1/action_0,1,train,50
user_1/action_0/user_1_action_0/segment_000011,user_1,0,user_1_action_0,11,11,0,r,220,user_1/action_0,1,train,43
user_1/action_0/user_1_action_0/segment_000012,user_1,0,user_1_action_0,12,12,0,c,214,user_1/action_0,1,train,28
user_1/action_0/user_1_action_0/segment_000013,user_1,0,user_1_action_0,13,13,0,o,231,user_1/action_0,1,train,40
user_1/action_0/user_1_action_0/segment_000014,user_1,0,user_1_action_0,14,14,0,i,201,user_1/action_0,1,train,34
user_1/action_0/user_1_action_0/segment_000015,user_1,0,user_1_action_0,15,15,0,d,304,user_1/action_0,1,train,29
user_1/action_0/user_1_action_0/segment_000016,user_1,0,user_1_action_0,16,16,0,h,277,user_1/action_0,1,train,33
user_1/action_0/user_1_action_0/segment_000017,user_1,0,user_1_action_0,17,17,0,w,260,user_1/action_0,1,train,48
user_1/action_0/user_1_action_0/segment_000018,user_1,0,user_1_action_0,18,18,0,q,302,user_1/action_0,1,train,42
user_1/action_0/user_1_action_0/segment_000019,user_1,0,user_1_action_0,19,19,0,a,276,user_1/action_0,1,train,26
user_1/action_0/user_1_action_0/segment_000020,user_1,0,user_1_action_0,20,20,0,p,258,user_1/action_0,1,train,41
user_1/action_0/user_1_action_0/segment_000021,user_1,0,user_1_action_0,21,21,0,k,300,user_1/action_0,1,train,36
user_1/action_0/user_1_action_0/segment_000022,user_1,0,user_1_action_0,22,22,0,v,180,user_1/action_0,1,train,47
user_1/action_0/user_1_action_0/segment_000023,user_1,0,user_1_action_0,23,23,1,T,213,user_1/action_0,1,train,19
user_1/action_0/user_1_action_0/segment_000024,user_1,0,user_1_action_0,24,24,1,F,292,user_1/action_0,1,train,5
user_1/action_0/user_1_action_0/segment_000025,user_1,0,user_1_action_0,25,25,1,J,270,user_1/action_0,1,train,9
user_1/action_0/user_1_action_0/segment_000026,user_1,0,user_1_action_0,26,26,1,B,351,user_1/action_0,1,train,1
user_1/action_0/user_1_action_0/segment_000027,user_1,0,user_1_action_0,27,27,1,X,273,user_1/action_0,1,train,23
user_1/action_0/user_1_action_0/segment_000028,user_1,0,user_1_action_0,28,28,1,E,390,user_1/action_0,1,train,4
user_1/action_0/user_1_action_0/segment_000029,user_1,0,user_1_action_0,29,29,1,U,233,user_1/action_0,1,train,20
user_1/action_0/user_1_action_0/segment_000030,user_1,0,user_1_action_0,30,30,1,N,303,user_1/action_0,1,train,13
user_1/action_0/user_1_action_0/segment_000031,user_1,0,user_1_action_0,31,31,1,M,277,user_1/action_0,1,train,12
user_1/action_0/user_1_action_0/segment_000032,user_1,0,user_1_action_0,32,32,1,G,310,user_1/action_0,1,train,6
user_1/action_0/user_1_action_0/segment_000033,user_1,0,user_1_action_0,33,33,1,Z,243,user_1/action_0,1,train,25
user_1/action_0/user_1_action_0/segment_000034,user_1,0,user_1_action_0,34,34,1,Y,298,user_1/action_0,1,train,24
user_1/action_0/user_1_action_0/segment_000035,user_1,0,user_1_action_0,35,35,1,R,343,user_1/action_0,1,train,17
user_1/action_0/user_1_action_0/segment_000036,user_1,0,user_1_action_0,36,36,1,C,245,user_1/action_0,1,train,2
user_1/action_0/user_1_action_0/segment_000037,user_1,0,user_1_action_0,37,37,1,O,265,user_1/action_0,1,train,14
user_1/action_0/user_1_action_0/segment_000038,user_1,0,user_1_action_0,38,38,1,I,165,user_1/action_0,1,train,8
user_1/action_0/user_1_action_0/segment_000039,user_1,0,user_1_action_0,39,39,1,D,304,user_1/action_0,1,train,3
user_1/action_0/user_1_action_0/segment_000040,user_1,0,user_1_action_0,40,40,1,H,371,user_1/action_0,1,train,7
user_1/action_0/user_1_action_0/segment_000041,user_1,0,user_1_action_0,41,41,1,W,301,user_1/action_0,1,train,22
user_1/action_0/user_1_action_0/segment_000042,user_1,0,user_1_action_0,42,42,1,Q,326,user_1/action_0,1,train,16
user_1/action_0/user_1_action_0/segment_000043,user_1,0,user_1_action_0,43,43,1,A,334,user_1/action_0,1,train,0
user_1/action_0/user_1_action_0/segment_000044,user_1,0,user_1_action_0,44,44,1,P,259,user_1/action_0,1,train,15
user_1/action_0/user_1_action_0/segment_000045,user_1,0,user_1_action_0,45,45,1,K,313,user_1/action_0,1,train,10
user_1/action_0/user_1_action_0/segment_000046,user_1,0,user_1_action_0,46,46,1,V,179,user_1/action_0,1,train,21
user_1/action_0/user_1_action_0/segment_000047,user_1,0,user_1_action_0,47,47,2,m,245,user_1/action_0,1,train,38
user_1/action_0/user_1_action_0/segment_000048,user_1,0,user_1_action_0,48,48,2,h,218,user_1/action_0,1,train,33
user_1/action_0/user_1_action_0/segment_000049,user_1,0,user_1_action_0,49,49,2,r,204,user_1/action_0,1,train,43
user_1/action_0/user_1_action_0/segment_000050,user_1,0,user_1_action_0,50,50,2,v,177,user_1/action_0,1,train,47
user_1/action_0/user_1_action_0/segment_000051,user_1,0,user_1_action_0,51,51,2,e,229,user_1/action_0,1,train,30
user_1/action_0/user_1_action_0/segment_000052,user_1,0,user_1_action_0,52,52,2,q,250,user_1/action_0,1,train,42
user_1/action_0/user_1_action_0/segment_000053,user_1,0,user_1_action_0,53,53,2,d,271,user_1/action_0,1,train,29
user_1/action_0/user_1_action_0/segment_000054,user_1,0,user_1_action_0,54,54,2,y,249,user_1/action_0,1,train,50
user_1/action_0/user_1_action_0/segment_000055,user_1,0,user_1_action_0,55,55,2,j,194,user_1/action_0,1,train,35
user_1/action_0/user_1_action_0/segment_000056,user_1,0,user_1_action_0,56,56,2,i,172,user_1/action_0,1,train,34
user_1/action_0/user_1_action_0/segment_000057,user_1,0,user_1_action_0,57,57,2,b,209,user_1/action_0,1,train,27
user_1/action_0/user_1_action_0/segment_000058,user_1,0,user_1_action_0,58,58,2,s,163,user_1/action_0,1,train,44
user_1/action_0/user_1_action_0/segment_000059,user_1,0,user_1_action_0,59,59,2,o,183,user_1/action_0,1,train,40
user_1/action_0/user_1_action_0/segment_000060,user_1,0,user_1_action_0,60,60,2,x,199,user_1/action_0,1,train,49
user_1/action_0/user_1_action_0/segment_000061,user_1,0,user_1_action_0,61,61,2,f,250,user_1/action_0,1,train,31
user_1/action_0/user_1_action_0/segment_000062,user_1,0,user_1_action_0,62,62,2,k,293,user_1/action_0,1,train,36
user_1/action_0/user_1_action_0/segment_000063,user_1,0,user_1_action_0,63,63,2,t,239,user_1/action_0,1,train,45
user_1/action_0/user_1_action_0/segment_000064,user_1,0,user_1_action_0,64,64,2,w,213,user_1/action_0,1,train,48
user_1/action_0/user_1_action_0/segment_000065,user_1,0,user_1_action_0,65,65,2,c,170,user_1/action_0,1,train,28
user_1/action_0/user_1_action_0/segment_000066,user_1,0,user_1_action_0,66,66,2,p,241,user_1/action_0,1,train,41
user_1/action_0/user_1_action_0/segment_000067,user_1,0,user_1_action_0,67,67,2,l,174,user_1/action_0,1,train,37
user_1/action_0/user_1_action_0/segment_000068,user_1,0,user_1_action_0,68,68,2,u,224,user_1/action_0,1,train,46
user_1/action_0/user_1_action_0/segment_000069,user_1,0,user_1_action_0,69,69,3,G,125,user_1/action_0,1,train,6
user_1/action_0/user_1_action_0/segment_000070,user_1,0,user_1_action_0,70,70,3,M,320,user_1/action_0,1,train,12
user_1/action_0/user_1_action_0/segment_000071,user_1,0,user_1_action_0,71,71,3,H,272,user_1/action_0,1,train,7
user_1/action_0/user_1_action_0/segment_000072,user_1,0,user_1_action_0,72,72,3,R,317,user_1/action_0,1,train,17
user_1/action_0/user_1_action_0/segment_000073,user_1,0,user_1_action_0,73,73,3,V,230,user_1/action_0,1,train,21
user_1/action_0/user_1_action_0/segment_000074,user_1,0,user_1_action_0,74,74,3,E,343,user_1/action_0,1,train,4
user_1/action_0/user_1_action_0/segment_000075,user_1,0,user_1_action_0,75,75,3,Q,293,user_1/action_0,1,train,16
user_1/action_0/user_1_action_0/segment_000076,user_1,0,user_1_action_0,76,76,3,D,255,user_1/action_0,1,train,3
user_1/action_0/user_1_action_0/segment_000077,user_1,0,user_1_action_0,77,77,3,Y,250,user_1/action_0,1,train,24
user_1/action_0/user_1_action_0/segment_000078,user_1,0,user_1_action_0,78,78,3,J,243,user_1/action_0,1,train,9
user_1/action_0/user_1_action_0/segment_000079,user_1,0,user_1_action_0,79,79,3,I,152,user_1/action_0,1,train,8
user_1/action_0/user_1_action_0/segment_000080,user_1,0,user_1_action_0,80,80,3,B,319,user_1/action_0,1,train,1
user_1/action_0/user_1_action_0/segment_000081,user_1,0,user_1_action_0,81,81,3,S,229,user_1/action_0,1,train,18
user_1/action_0/user_1_action_0/segment_000082,user_1,0,user_1_action_0,82,82,3,X,236,user_1/action_0,1,train,23
user_1/action_0/user_1_action_0/segment_000083,user_1,0,user_1_action_0,83,83,3,F,270,user_1/action_0,1,train,5
user_1/action_0/user_1_action_0/segment_000084,user_1,0,user_1_action_0,84,84,3,K,278,user_1/action_0,1,train,10
user_1/action_0/user_1_action_0/segment_000085,user_1,0,user_1_action_0,85,85,3,T,210,user_1/action_0,1,train,19
user_1/action_0/user_1_action_0/segment_000086,user_1,0,user_1_action_0,86,86,3,W,292,user_1/action_0,1,train,22
user_1/action_0/user_1_action_0/segment_000087,user_1,0,user_1_action_0,87,87,3,C,212,user_1/action_0,1,train,2
user_1/action_0/user_1_action_0/segment_000088,user_1,0,user_1_action_0,88,88,3,P,258,user_1/action_0,1,train,15
user_1/action_0/user_1_action_0/segment_000089,user_1,0,user_1_action_0,89,89,3,L,194,user_1/action_0,1,train,11
user_1/action_0/user_1_action_0/segment_000090,user_1,0,user_1_action_0,90,90,3,U,180,user_1/action_0,1,train,20
user_1/action_0/user_1_action_0/segment_000091,user_1,0,user_1_action_0,91,91,4,d,271,user_1/action_0,1,train,29
user_1/action_0/user_1_action_0/segment_000092,user_1,0,user_1_action_0,92,92,4,o,205,user_1/action_0,1,train,40
user_1/action_0/user_1_action_0/segment_000093,user_1,0,user_1_action_0,93,93,4,w,237,user_1/action_0,1,train,48
user_1/action_0/user_1_action_0/segment_000094,user_1,0,user_1_action_0,94,94,4,q,214,user_1/action_0,1,train,42
user_1/action_0/user_1_action_0/segment_000095,user_1,0,user_1_action_0,95,95,4,x,211,user_1/action_0,1,train,49
user_1/action_0/user_1_action_0/segment_000096,user_1,0,user_1_action_0,96,96,4,m,250,user_1/action_0,1,train,38
user_1/action_0/user_1_action_0/segment_000097,user_1,0,user_1_action_0,97,97,4,u,212,user_1/action_0,1,train,46
user_1/action_0/user_1_action_0/segment_000098,user_1,0,user_1_action_0,98,98,4,n,209,user_1/action_0,1,train,39
user_1/action_0/user_1_action_0/segment_000099,user_1,0,user_1_action_0,99,99,4,p,240,user_1/action_0,1,train,41
user_1/action_0/user_1_action_0/segment_000100,user_1,0,user_1_action_0,100,100,4,r,174,user_1/action_0,1,train,43
user_1/action_0/user_1_action_0/segment_000101,user_1,0,user_1_action_0,101,101,4,a,226,user_1/action_0,1,train,26
user_1/action_0/user_1_action_0/segment_000102,user_1,0,user_1_action_0,102,102,4,c,170,user_1/action_0,1,train,28
user_1/action_0/user_1_action_0/segment_000103,user_1,0,user_1_action_0,103,103,4,s,192,user_1/action_0,1,train,44
user_1/action_0/user_1_action_0/segment_000104,user_1,0,user_1_action_0,104,104,4,f,245,user_1/action_0,1,train,31
user_1/action_0/user_1_action_0/segment_000105,user_1,0,user_1_action_0,105,105,4,g,268,user_1/action_0,1,train,32
user_1/action_0/user_1_action_0/segment_000106,user_1,0,user_1_action_0,106,106,4,b,218,user_1/action_0,1,train,27
user_1/action_0/user_1_action_0/segment_000107,user_1,0,user_1_action_0,107,107,4,l,204,user_1/action_0,1,train,37
user_1/action_0/user_1_action_0/segment_000108,user_1,0,user_1_action_0,108,108,4,k,256,user_1/action_0,1,train,36
user_1/action_0/user_1_action_0/segment_000109,user_1,0,user_1_action_0,109,109,4,h,293,user_1/action_0,1,train,33
user_1/action_0/user_1_action_0/segment_000110,user_1,0,user_1_action_0,110,110,4,v,191,user_1/action_0,1,train,47
user_1/action_0/user_1_action_0/segment_000111,user_1,0,user_1_action_0,111,111,4,t,237,user_1/action_0,1,train,45
user_1/action_0/user_1_action_0/segment_000112,user_1,0,user_1_action_0,112,112,5,E,130,user_1/action_0,1,train,4
user_1/action_0/user_1_action_0/segment_000113,user_1,0,user_1_action_0,113,113,5,J,254,user_1/action_0,1,train,9
user_1/action_0/user_1_action_0/segment_000114,user_1,0,user_1_action_0,114,114,5,Z,238,user_1/action_0,1,train,25
user_1/action_0/user_1_action_0/segment_000115,user_1,0,user_1_action_0,115,115,5,D,272,user_1/action_0,1,train,3
user_1/action_0/user_1_action_0/segment_000116,user_1,0,user_1_action_0,116,116,5,O,240,user_1/action_0,1,train,14
user_1/action_0/user_1_action_0/segment_000117,user_1,0,user_1_action_0,117,117,5,W,283,user_1/action_0,1,train,22
user_1/action_0/user_1_action_0/segment_000118,user_1,0,user_1_action_0,118,118,5,Q,318,user_1/action_0,1,train,16
user_1/action_0/user_1_action_0/segment_000119,user_1,0,user_1_action_0,119,119,5,X,240,user_1/action_0,1,train,23
user_1/action_0/user_1_action_0/segment_000120,user_1,0,user_1_action_0,120,120,5,M,334,user_1/action_0,1,train,12
user_1/action_0/user_1_action_0/segment_000121,user_1,0,user_1_action_0,121,121,5,U,216,user_1/action_0,1,train,20
user_1/action_0/user_1_action_0/segment_000122,user_1,0,user_1_action_0,122,122,5,N,294,user_1/action_0,1,train,13
user_1/action_0/user_1_action_0/segment_000123,user_1,0,user_1_action_0,123,123,5,P,258,user_1/action_0,1,train,15
user_1/action_0/user_1_action_0/segment_000124,user_1,0,user_1_action_0,124,124,5,R,347,user_1/action_0,1,train,17
user_1/action_0/user_1_action_0/segment_000125,user_1,0,user_1_action_0,125,125,5,C,211,user_1/action_0,1,train,2
user_1/action_0/user_1_action_0/segment_000126,user_1,0,user_1_action_0,126,126,5,S,231,user_1/action_0,1,train,18
user_1/action_0/user_1_action_0/segment_000127,user_1,0,user_1_action_0,127,127,5,F,287,user_1/action_0,1,train,5
user_1/action_0/user_1_action_0/segment_000128,user_1,0,user_1_action_0,128,128,5,G,323,user_1/action_0,1,train,6
user_1/action_0/user_1_action_0/segment_000129,user_1,0,user_1_action_0,129,129,5,B,309,user_1/action_0,1,train,1
user_1/action_0/user_1_action_0/segment_000130,user_1,0,user_1_action_0,130,130,5,L,188,user_1/action_0,1,train,11
user_1/action_0/user_1_action_0/segment_000131,user_1,0,user_1_action_0,131,131,5,K,289,user_1/action_0,1,train,10
user_1/action_0/user_1_action_0/segment_000132,user_1,0,user_1_action_0,132,132,5,H,297,user_1/action_0,1,train,7
user_1/action_0/user_1_action_0/segment_000133,user_1,0,user_1_action_0,133,133,5,V,201,user_1/action_0,1,train,21
user_1/action_0/user_1_action_0/segment_000134,user_1,0,user_1_action_0,134,134,5,T,189,user_1/action_0,1,train,19
user_2/action_0/user_2_action_0/segment_000000,user_2,0,user_2_action_0,0,0,0,b,266,user_2/action_0,2,test,27
user_2/action_0/user_2_action_0/segment_000001,user_2,0,user_2_action_0,1,1,0,e,225,user_2/action_0,2,test,30
