seed,feature_dim,input_feature_dim,pca_explained_variance_ratio_sum,probe_C,probe_test_accuracy,probe_test_balanced_accuracy,probe_test_macro_f1,probe_type,probe_val_balanced_accuracy,representation
23,1280,1280,,1.0,0.6575342465753424,0.6447621822621822,0.6585637373574261,relative10_ordered,0.6194023569023569,snn_l2
23,1280,1280,,0.001,0.5958904109589042,0.5762376512376512,0.5738064217459624,relative10_shuffled,0.49627224627224625,snn_l2
23,128,1280,0.8957663774490356,0.01,0.7054794520547946,0.6832882395382396,0.6867236893129277,relative10_pca128,0.5853655603655604,snn_l2
23,158,158,,1.0,0.5684931506849316,0.5512327949827949,0.5432540128085738,full_count,0.5234006734006734,raw_plus_snn
23,2528,2528,,0.1,0.6438356164383562,0.6245171495171494,0.6241104913318536,fixed250_ordered,0.6113636363636363,raw_plus_snn
23,2528,2528,,10.0,0.4726027397260274,0.45262376512376506,0.4658043347487088,fixed250_shuffled,0.47260702260702264,raw_plus_snn
23,128,2528,0.8936537504196167,10.0,0.5616438356164384,0.5495553058053058,0.5455565958363541,fixed250_pca128,0.5406565656565657,raw_plus_snn
23,1580,1580,,0.1,0.7534246575342466,0.7322372072372073,0.7330131513527363,relative10_ordered,0.6771043771043771,raw_plus_snn
23,1580,1580,,0.001,0.5958904109589042,0.5772297147297147,0.5736000090403949,relative10_shuffled,0.5012325637325638,raw_plus_snn
23,128,1580,0.8475743532180786,0.1,0.7054794520547946,0.6846410533910534,0.6894673070063487,relative10_pca128,0.6556397306397307,raw_plus_snn
23,1,1,,0.001,0.1232876712328767,0.1130952380952381,0.03377882599580713,duration_only,0.13194444444444445,duration_only
101,30,30,,1.0,0.4657534246575342,0.4569236319236319,0.4216372516372516,full_count,0.3678391053391053,raw
101,480,480,,0.1,0.5547945205479452,0.548475135975136,0.5372171762394753,fixed250_ordered,0.5872895622895623,raw
101,480,480,,0.1,0.2534246575342466,0.2509393384393384,0.23807374446593457,fixed250_shuffled,0.27666546416546417,raw
101,128,480,0.926712155342102,1.0,0.5136986301369864,0.5009844322344322,0.48378218125926997,fixed250_pca128,0.5729737854737854,raw
101,300,300,,0.01,0.7602739726027398,0.739481351981352,0.745278773202482,relative10_ordered,0.6227392977392977,raw
101,300,300,,10.0,0.1780821917808219,0.17309496059496057,0.1612691570881226,relative10_shuffled,0.26879509379509375,raw
101,128,300,0.8723031282424927,1.0,0.7328767123287672,0.7194028194028194,0.7336236233685853,relative10_pca128,0.6014790764790764,raw
101,128,128,,0.1,0.6438356164383562,0.6259150571650571,0.6269594020593897,full_count,0.5393999518999518,snn_l2
101,2048,2048,,0.1,0.6506849315068494,0.6366404428904429,0.6417187323113785,fixed250_ordered,0.5265933140933141,snn_l2
101,2048,2048,,1.0,0.4657534246575342,0.45171495171495174,0.46066891051060327,fixed250_shuffled,0.500974025974026,snn_l2
101,128,2048,0.922386884689331,0.1,0.5753424657534246,0.5616945554445554,0.5675757551969041,fixed250_pca128,0.492929292929293,snn_l2
101,1280,1280,,0.01,0.7054794520547946,0.6859036796536796,0.694293498241853,relative10_ordered,0.6374218374218373,snn_l2
101,1280,1280,,0.001,0.5616438356164384,0.5434003496503497,0.5415917286092725,relative10_shuffled,0.49938071188071187,snn_l2
101,128,1280,0.8951073884963989,1.0,0.636986301369863,0.621791403041403,0.6316805359234637,relative10_pca128,0.5978114478114478,snn_l2
101,158,158,,0.1,0.6301369863013698,0.6112214174714173,0.615648386096781,full_count,0.540031265031265,raw_plus_snn
101,2528,2528,,10.0,0.6232876712328768,0.6063374125874125,0.610606790855959,fixed250_ordered,0.5471380471380473,raw_plus_snn
101,2528,2528,,0.1,0.4931506849315068,0.4782398157398157,0.48311289959896775,fixed250_shuffled,0.5161255411255411,raw_plus_snn
101,128,2528,0.8932141065597534,0.01,0.589041095890411,0.5701028138528138,0.5813346923063183,fixed250_pca128,0.49680735930735936,raw_plus_snn
101,1580,1580,,10.0,0.7123287671232876,0.6976121101121101,0.7023345950882182,relative10_ordered,0.6617003367003367,raw_plus_snn
101,1580,1580,,0.001,0.5616438356164384,0.5434003496503496,0.5438234793497952,relative10_shuffled,0.500012025012025,raw_plus_snn
101,128,1580,0.847908616065979,1.0,0.6986301369863014,0.6911116661116661,0.7017294674341152,relative10_pca128,0.6367003367003367,raw_plus_snn
101,1,1,,0.001,0.1232876712328767,0.1130952380952381,0.03377882599580713,duration_only,0.13194444444444445,duration_only
