regularization,seed,sample_index,true_class,competitor_class,d_input,d_spike,d_leak,d_residual,analog_margin_unscaled
task_plus_reg,23,1,1,6,1.892391348485244,-1.0,2.9595096225843305,-0.0671182740990997,1.3381227551726624
task_plus_reg,23,11,0,9,1.9271344234372485,-0.5,2.583729090592154,-0.1565946671548981,1.3626898190705106
task_plus_reg,23,30,7,8,1.527673209318401,-1.0,2.538972629019309,-0.0112994197009082,1.080228085746057
task_plus_reg,23,97,2,10,0.6617203405188228,-0.5,1.5992919431503978,-0.43757160263157,0.467906940029934
task_plus_reg,23,103,5,2,3.8131411529538175,-1.5,4.228535201170905,1.0846059517829147,2.696297966875136
task_plus_reg,23,109,7,0,1.1325496660980567,0.0,1.1670268522746965,-0.0344771861766419,0.8008335489284946
task_plus_reg,23,112,0,4,2.127694999346719,-3.0,5.631864290654506,-0.5041692913077929,1.2756264139461564
task_plus_reg,23,145,7,10,1.0744274434679006,-1.5,2.4968621741200128,0.0775652693478873,0.7597349311690778
task_plus_reg,37,4,5,2,0.2669517758889874,-0.5,0.6496213741860313,0.1173304017029704,0.3174609512498136
task_plus_reg,37,28,6,4,0.0466447437953725,-4.0,4.071743181862677,-0.0250984380673059,0.0554702611989341
task_plus_reg,37,32,4,8,3.431985429178223,-0.5,3.200728671306156,0.7312567578720595,4.081341490964405
task_plus_reg,37,37,5,4,1.1550549601681297,-2.5,3.687612579646334,-0.0325576194782067,1.3735995768511202
task_plus_reg,37,40,3,9,1.9763398685038185,-0.5,2.7926664317673584,-0.3163265632635391,1.9085180853726345
task_plus_reg,37,47,4,6,7.637396966393739,-0.5,7.5895513344462735,0.547845631947471,4.015670146396587
task_plus_reg,37,53,7,0,1.3580597513959214,0.0,1.3114824820974182,0.0465772692985026,0.0214285108959302
task_plus_reg,37,66,11,3,1.0259939968877596,-2.0,2.446321141876278,0.5796728550114799,1.2201193610490009
task_plus_reg,37,67,4,3,6.258871225464175,0.0,6.173540525479695,0.0853306999844819,3.5839725434198044
task_plus_reg,37,70,7,0,0.8047501865640279,0.0,0.8604091673861407,-0.0556589808221143,0.6614593284903094
task_plus_reg,37,79,5,4,2.4607237968056337,0.0,2.5295553989516995,-0.0688316021460629,0.5136110058519989
task_plus_reg,37,81,7,2,1.6844217765097564,0.0,2.138262612474884,-0.4538408359651276,0.6562138964800397
task_plus_reg,37,83,6,11,0.946303588122822,-1.0,1.9053786865269815,0.0409249015958409,1.125350959948264
task_plus_reg,37,95,10,2,0.6797463491521585,-1.0,1.626264939718982,0.0534814094331775,0.8083591948088724
task_plus_reg,37,99,10,0,4.9769548059878606,0.0,4.876962092464619,0.0999927135232401,1.1454922736156732
task_plus_reg,37,103,5,2,1.279946041885342,0.0,1.229362966840695,0.0505830750446508,1.5221209398296196
task_plus_reg,37,109,7,11,0.0836475779428376,-1.5,1.1271167976504337,0.4565307802924029,0.0994742948423663
task_plus_reg,37,121,9,8,2.258939661356956,-0.5,2.481116330685544,0.2778233306714097,0.0230414466350339
task_plus_reg,37,134,9,6,2.765037809976178,0.0,2.789266803348979,-0.024228993372802,0.4309980047401041
task_plus_reg,37,139,4,6,3.9712022347988745,-1.0,5.033426194287839,-0.062223959488965,1.8502272788937264
task_plus_reg,37,145,7,0,3.478250105212584,0.0,3.3344881891013234,0.1437619161112587,1.1442516932729632
