architecture,objective,profile,seed,shift,alpha,tau_syn_ms,tau_group,neuron_start,neuron_stop,neuron_count,n_test_samples,fs_hz,tail_stage1_steps,tail_stage2_steps,tail_stage3_steps,valid_firing_rate_hz,tail_stage1_firing_rate_hz,tail_stage2_firing_rate_hz,tail_stage3_firing_rate_hz,tail_firing_rate_hz,valid_spikes_per_neuron_sample,tail_stage1_spikes_per_neuron_sample,tail_stage2_spikes_per_neuron_sample,tail_stage3_spikes_per_neuron_sample,tail_spikes_per_neuron_sample,tail_to_valid_rate_ratio,none_valid_firing_rate_hz,none_tail_stage1_firing_rate_hz,none_tail_stage2_firing_rate_hz,none_tail_stage3_firing_rate_hz,none_tail_firing_rate_hz,none_tail_to_valid_rate_ratio,delta_valid_firing_rate_hz_vs_none,pct_change_valid_firing_rate_hz_vs_none,delta_tail_stage1_firing_rate_hz_vs_none,pct_change_tail_stage1_firing_rate_hz_vs_none,delta_tail_stage2_firing_rate_hz_vs_none,pct_change_tail_stage2_firing_rate_hz_vs_none,delta_tail_stage3_firing_rate_hz_vs_none,pct_change_tail_stage3_firing_rate_hz_vs_none,delta_tail_firing_rate_hz_vs_none,pct_change_tail_firing_rate_hz_vs_none,delta_tail_to_valid_rate_ratio_vs_none,pct_change_tail_to_valid_rate_ratio_vs_none,tail_specific_suppression_pp,tail_stage1_specific_suppression_pp,tail_stage2_specific_suppression_pp,tail_stage3_specific_suppression_pp
short_mid_long,whole_count_ce,a1,11,4,0.9375,242.10347130039656,short_mid,44,65,21,146,64.0,13,13,12,0.4768847234055982,1.3247026945657083,1.018013949520799,0.6557947379865188,1.008548769183232,0.6161121983039791,0.2690802348336595,0.2067840834964122,0.1229615133724722,0.598825831702544,2.114869107110074,4.6991700590110135,5.626373626373627,4.211751718601033,2.97282017829963,4.304459779585951,0.9160042572478994,-4.222285335605415,-89.8517245084345,-4.3016709318079185,-76.45547945205479,-3.1937377690802347,-75.82920320243996,-2.3170254403131114,-77.94031597425395,-3.295911010402719,-76.5696784073507,1.1988648498621743,130.87983384096043,-13.282046101083807,-13.396245056379712,-14.022521305994545,-11.911408534180552
short_mid_long,whole_count_ce,a1,11,5,0.96875,492.1461612435418,short_mid,65,86,21,146,64.0,13,13,12,1.1115529047934614,2.77465000752672,2.4246073561142056,2.075233746466623,2.434030281182408,1.4360730593607305,0.5636007827788649,0.4924983692106979,0.3891063274624918,1.4452054794520548,2.189756574505716,8.517277288649058,13.96477495107632,12.379948818304984,10.517068928027832,12.333848319428707,1.4480975435502117,-7.405724383855597,-86.9494338727844,-11.1901249435496,-80.13107968264919,-9.955341462190777,-80.41504539559013,-8.44183518156121,-80.26794574925572,-9.899818038246298,-80.26544337059636,0.7416590309555042,51.2160961986873,-6.683990502188038,-6.81835419013521,-6.53438847719427,-6.6814881235286805
short_mid_long,whole_count_ce,a1,11,6,0.984375,992.1669944116244,long,86,107,21,146,64.0,13,13,12,1.0832781091230397,2.7200561995082544,2.551457674745346,2.290932811480757,2.526865107975418,1.3995433789954337,0.5525114155251142,0.5182648401826484,0.4295499021526419,1.5003261578604044,2.332609776469152,7.441067878443624,13.587435395654571,12.856841788348635,12.013046314416178,12.84031997802726,1.7256017802532055,-6.3577897693205845,-85.44189991518236,-10.867379196146317,-79.98109194043961,-10.305384113603289,-80.15486449356811,-9.722113502935422,-80.92962641181582,-10.313454870051842,-80.32085561497325,0.6070079962159463,35.17659770418626,-5.121044300209107,-5.46080797474275,-5.287035421614249,-4.5122735033665435
short_mid_long,whole_count_ce,a1,11,7,0.9921875,1992.177287539818,long,107,128,21,146,64.0,13,13,12,1.2930669948562592,3.301319684881329,3.200160570023584,3.0319634703196345,3.181652762042092,1.67058056099152,0.6705805609915199,0.6500326157860404,0.5684931506849316,1.889106327462492,2.460547500399059,6.033386979709047,11.517687791660396,11.379597571378394,11.084148727984344,11.333539327771485,1.878470478669351,-4.740319984852788,-78.5681409263986,-8.216368106779068,-71.33695803708352,-8.17943700135481,-71.87808663750529,-8.052185257664709,-72.64595103578154,-8.151886565729393,-71.92710352849942,0.5820770217297082,30.98675376266936,-6.641037397899183,-7.231182889315079,-6.690054288893307,-5.922189890617062
short_mid_long,whole_count_ce,a1,23,2,0.75,54.31342963722199,short_mid,0,22,22,146,64.0,13,13,12,0.6301584432797156,0.7525625059871636,0.2360379346680716,0.033208800332088,0.348692403486924,0.814134495641345,0.1528642590286426,0.047945205479452,0.0062266500622665,0.2070361145703611,0.5533408418240394,3.1758539671064523,3.430213621994444,1.9817990228949132,0.8999584889995849,2.135675427672544,0.6724728056744925,-2.545695523826737,-80.15782684573945,-2.6776511160072807,-78.06076854334228,-1.7457610882268415,-88.08971384377416,-0.8667496886674969,-96.309963099631,-1.78698302418562,-83.67296832801374,-0.1191319638504531,-17.715506537244035,3.515141482274288,-2.0970583023971727,7.931886998034713,16.152136253891555
short_mid_long,whole_count_ce,a1,23,3,0.875,117.0136826471659,short_mid,22,44,22,146,64.0,13,13,12,0.623652027230556,1.1219465466040808,0.4965992911198391,0.1195516811955168,0.5914662122304516,0.8057285180572852,0.2278953922789539,0.1008717310087173,0.0224159402241594,0.3511830635118306,0.9483913887957174,3.54696066028074,4.093878724015711,2.69297825462209,1.7019510170195102,2.859277708592777,0.8061205021559125,-2.9233086330501843,-82.4172837828657,-2.97193217741163,-72.59453388244104,-2.196378963502251,-81.55947638019352,-1.5823993358239934,-92.97560975609757,-2.2678114963623255,-79.31413900605172,0.14227088663980492,17.648836155303265,-3.103144776813977,-9.822749900424654,-0.8578074026721794,10.558325973231874
short_mid_long,whole_count_ce,a1,23,4,0.9375,242.10347130039656,short_mid,44,65,21,146,64.0,13,13,12,0.8141626431884881,1.8240754679110844,1.4049877063575693,0.8662752772341813,1.3782401208500703,1.0518590998043054,0.370515329419439,0.2853881278538813,0.162426614481409,0.8183300717547293,1.6928314414580574,3.393985294581716,4.36429324100557,2.986602438657233,2.0160904544466187,3.151440244446733,0.9285367999318704,-2.5798226513932283,-76.01160368937816,-2.5402177730944855,-58.20456217807211,-1.5816147322996639,-52.95698924731183,-1.1498151772124374,-57.03192407247627,-1.7732001235966628,-56.266341293358906,0.764294641526187,82.31172330297146,-19.745262396019257,-17.807041511306053,-23.05461444206633,-18.97967961690189
short_mid_long,whole_count_ce,a1,23,5,0.96875,492.1461612435418,short_mid,65,86,21,146,64.0,13,13,12,1.482659597967749,3.115058457524211,2.7810728084700687,2.43531202435312,2.786143440793765,1.9155251141552512,0.6327462491846053,0.5649054142204827,0.45662100456621,1.654272667971298,1.8791524666974635,6.970746946890088,11.797079632696072,10.372823523508456,8.948032180908893,10.410134926356989,1.4934030751182756,-5.488087348922339,-78.73026220483848,-8.682021175171862,-73.59466448890704,-7.591750715038388,-73.1888544891641,-6.512720156555773,-72.78382581648522,-7.623991485563224,-73.23624083161839,0.38574939157918786,25.830226146322683,-5.494021373220093,-5.135597715931439,-5.5414077156743815,-5.946436388353263
short_mid_long,whole_count_ce,a1,23,6,0.984375,992.1669944116244,long,86,107,21,146,64.0,13,13,12,1.2842311212092523,2.904711726629535,2.763410105875859,2.6214394433572514,2.7669172932330826,1.6591650358773646,0.5900195694716243,0.5613176777560339,0.4915198956294846,1.6428571428571428,2.1545321924823857,6.271450661112689,10.677906568317526,10.08700888152943,9.382909328114808,10.066810862773371,1.605180588471265,-4.987219539903436,-79.52258272280815,-7.7731948416879915,-72.796992481203,-7.32359877565357,-72.60426615727475,-6.761469884757556,-72.06154987022617,-7.299893569540289,-72.51446032958637,0.5493516040111206,34.22366355266666,-7.008122393221782,-6.725590241605147,-6.918316565533402,-7.46103285258198
short_mid_long,whole_count_ce,a1,23,7,0.9921875,1992.177287539818,long,107,128,21,146,64.0,13,13,12,0.8565748366941209,2.085804606352552,2.039239299513272,1.9569471624266144,2.0291825454046077,1.1066536203522506,0.423679060665362,0.4142204827136334,0.3669275929549902,1.2048271363339855,2.3689495167008032,5.751901290668687,10.697174971147572,10.50288524261127,10.172646227440747,10.465066776530367,1.8194100085667069,-4.895326453974565,-85.10797050561797,-8.61137036479502,-80.50135094566195,-8.463645943097998,-80.58400856138203,-8.215699065014133,-80.76265389876882,-8.43588423112576,-80.60994173534198,0.5495395081340964,30.20426982079823,-4.498028770275994,-4.606619559956016,-4.523961944235936,-4.345316606849153
