seed,reset_case,phase,delay_steps,delay_ms,layer,state,corr_mean,corr_std,cosine_mean,cosine_std,normalized_l2_mean,normalized_l2_std,count
11,reset_l1,0.5,32,500.0,L2,pre_reset,0.8487256919036978,0.12741451065052095,0.880421989814523,0.08417682323761856,0.4792526681830127,0.14205939298662748,98
11,reset_l1,0.75,0,0.0,L1,spike50,0.9635505270650553,0.021359131687901524,0.9671288416151617,0.020880397220107674,0.323968193135749,0.07352468422469303,128
11,reset_l1,0.75,0,0.0,L1,syn_current,0.4803672464095549,0.1709576904675799,0.5094155666908347,0.15775008811982,0.9097939134021348,0.10262302280575665,91
11,reset_l1,0.75,0,0.0,L1,pre_reset,0.38863717043185364,0.1468265714202112,0.4232999183045543,0.137180219832861,0.9502416069271833,0.05840310424842866,91
11,reset_l1,0.75,0,0.0,L2,spike50,0.9847956383847489,0.008573514882644052,0.9927158613353555,0.004551124931271471,0.11596040720027181,0.036543526793052304,128
11,reset_l1,0.75,0,0.0,L2,syn_current,0.9647146623317823,0.03278832266911564,0.9724624252363334,0.02406407666400317,0.24024807764807193,0.0909723181492123,128
11,reset_l1,0.75,0,0.0,L2,pre_reset,0.9868942096057374,0.013159588529834882,0.9892086661596459,0.010046729508680201,0.14956654032980482,0.0638350546913062,128
11,reset_l1,0.75,1,15.625,L1,spike50,0.9288046726715502,0.041422255163167505,0.9353225866635005,0.04061486229120087,0.5426149304200296,0.06168213511933639,128
11,reset_l1,0.75,1,15.625,L1,syn_current,0.6001311111229379,0.161527776611045,0.622855339275578,0.14903220749219578,0.8113063733036363,0.12713596720629147,120
11,reset_l1,0.75,1,15.625,L1,pre_reset,0.5164740443458379,0.14940247683811794,0.5456534930703938,0.13992420096214842,0.8694183487768183,0.09357664037414573,120
11,reset_l1,0.75,1,15.625,L2,spike50,0.9599608780520108,0.021203884229996313,0.97973256428098,0.011892211178797962,0.19614069205364887,0.05480521864777467,128
11,reset_l1,0.75,1,15.625,L2,syn_current,0.938691354241376,0.04855543378501975,0.9521917805153581,0.03427057714024595,0.34130352627811705,0.09439810170571289,128
11,reset_l1,0.75,1,15.625,L2,pre_reset,0.9656345322492678,0.02833264878535928,0.9719738895478138,0.021023292593230696,0.2574845883779977,0.08432620950310521,128
11,reset_l1,0.75,2,31.25,L1,spike50,0.7888680834030384,0.08406332842125686,0.8067870293301579,0.08255000330488049,0.7624176468056066,0.05770601574933671,126
11,reset_l1,0.75,2,31.25,L1,syn_current,0.6783742093330535,0.14046516813691376,0.6978246025049913,0.1301306404488734,0.7444295158473617,0.1272470009741595,126
11,reset_l1,0.75,2,31.25,L1,pre_reset,0.6144777542093954,0.13751680003052902,0.6393075308615563,0.1285015661114721,0.7920297468717026,0.10630422759331382,126
11,reset_l1,0.75,2,31.25,L2,spike50,0.9085726559893348,0.04315676130796006,0.9515167300317997,0.023655111499373934,0.304139583474693,0.07314186495265125,128
11,reset_l1,0.75,2,31.25,L2,syn_current,0.9042392858328625,0.06927134252638699,0.9232784304005761,0.05296134097529238,0.42516619330259536,0.10917648291625,128
11,reset_l1,0.75,2,31.25,L2,pre_reset,0.9372864840415411,0.0474073071178194,0.9474918132750507,0.03784085366362679,0.35327743567018793,0.10377235896441067,128
11,reset_l1,0.75,4,62.5,L1,spike50,0.4206410429894033,0.16203174753688745,0.4542009004121702,0.16101788879003992,0.9494267849378726,0.06846669627880636,69
11,reset_l1,0.75,4,62.5,L1,syn_current,0.7789227780587772,0.1088090378170295,0.7964126852530602,0.09853707724392102,0.6443095224074888,0.1254621467576245,128
