seed,reset_case,phase,delay_steps,delay_ms,layer,state,corr_mean,corr_std,cosine_mean,cosine_std,normalized_l2_mean,normalized_l2_std,count
23,reset_both,0.25,16,250.0,L2,syn_current,0.7463708695533317,0.2109993287430171,0.7934919164478585,0.15569185144516134,0.6145909759293641,0.19011754566841485,125
23,reset_both,0.25,16,250.0,L2,pre_reset,0.721485780800112,0.2273780248215523,0.7611088037771695,0.17249563288101322,0.6472207148535272,0.1935013205343429,125
23,reset_both,0.25,32,500.0,L1,spike50,0.9663719848743407,0.026819225791393318,0.9693639034340557,0.026432247324971715,0.24506689240615254,0.0914788834998932,128
23,reset_both,0.25,32,500.0,L1,syn_current,0.9984489331496433,0.0011821772775973058,0.9985386470463635,0.0011089378663381275,0.07395052159420043,0.031123811433039678,128
23,reset_both,0.25,32,500.0,L1,pre_reset,0.9937731973677615,0.0033781839470209125,0.994077177998323,0.00320081731451975,0.11599074949926658,0.03260902909794645,128
23,reset_both,0.25,32,500.0,L2,spike50,0.8447808572078301,0.09925414504702011,0.9214904404122248,0.0650206512702464,0.36926888866141827,0.12193748116896733,128
23,reset_both,0.25,32,500.0,L2,syn_current,0.9155927892640926,0.06634887942035934,0.9397646548839002,0.04259030300163391,0.33925204524816743,0.11294469884398668,128
23,reset_both,0.25,32,500.0,L2,pre_reset,0.9087048576437385,0.07210688203998807,0.9302116267272806,0.0486068973949272,0.36412424545249467,0.12153018292539261,128
23,reset_both,0.5,0,0.0,L1,spike50,0.9634720027968295,0.02116270347162771,0.9671711696830313,0.020492943379862235,0.3292182516693922,0.11875500174855355,126
23,reset_both,0.5,0,0.0,L1,syn_current,0.5006187400678128,0.16532331659723762,0.5228876463383857,0.1540332208329794,0.9158686754858922,0.09976071637153203,83
23,reset_both,0.5,0,0.0,L1,pre_reset,0.410812878903074,0.12595950083366192,0.4339453092201427,0.12043083548035058,0.9565246423947438,0.05178254448220824,83
23,reset_both,0.5,0,0.0,L2,spike50,0.9844742477598325,0.008025686073690511,0.9917766008825561,0.005258363854270888,0.2681982496532458,0.030865350110513192,127
23,reset_both,0.5,0,0.0,L2,syn_current,,,,,0.9999999999998512,1.9674315753849067e-13,0
23,reset_both,0.5,0,0.0,L2,pre_reset,,,,,0.9999999999999074,1.069039486207374e-13,0
23,reset_both,0.5,1,15.625,L1,spike50,0.9277674376458521,0.04713409532544662,0.9345016196731224,0.04571727414822212,0.5475156464157493,0.09720553562365927,125
23,reset_both,0.5,1,15.625,L1,syn_current,0.5807454380719137,0.1657015048744276,0.6025387141534673,0.1568672483597893,0.8429312101052524,0.1215268775149135,114
23,reset_both,0.5,1,15.625,L1,pre_reset,0.5043702348885385,0.14869442623288887,0.5266376402380516,0.14309801529159544,0.894696293525242,0.08533670253978043,114
23,reset_both,0.5,1,15.625,L2,spike50,0.9591620581084183,0.019836064185512637,0.978375206682389,0.011601826580691641,0.5101093628159923,0.04812208213247535,127
23,reset_both,0.5,1,15.625,L2,syn_current,0.34517868657499357,0.1533986345327597,0.35788897945928244,0.05099268643985677,0.9993220287663203,0.005755899152315246,2
23,reset_both,0.5,1,15.625,L2,pre_reset,0.2870237876880435,0.15097916263739208,0.3050107446262357,0.05560387745206673,0.999581341066465,0.0036903689965945923,2
23,reset_both,0.5,2,31.25,L1,spike50,0.7827870776100636,0.10697368313940916,0.8001865331028352,0.10664517239532212,0.775204386129343,0.07936354046952121,120
23,reset_both,0.5,2,31.25,L1,syn_current,0.6519651792616841,0.13653187483577525,0.6722384219783031,0.1302099060916892,0.7862856059451578,0.11726681833481084,124
23,reset_both,0.5,2,31.25,L1,pre_reset,0.5890421504565169,0.1322050925114891,0.6099504696991971,0.1275162742989804,0.8344926972588397,0.09822899739700201,124
23,reset_both,0.5,2,31.25,L2,spike50,0.8782924260504649,0.05968503639922523,0.9309222054672006,0.03940192969288797,0.7530915754523198,0.06825383835797516,127
