method,feature,block_index,layer,aggregation,coef_fro_norm_mean,coef_fro_norm_std,coef_rms_mean,coef_rms_std,coef_norm_fraction_mean,coef_norm_fraction_std
l1_fixed250_l2_whole_count,l1fixed250_l2whole,1,l2,whole_count,2.731958687989279,0.08486668116576114,0.06970734149934509,0.002165417343953985,0.3738776940516544,0.01205562052407545
l1_fixed250_l2_whole_count,l1whole_l2fixed250,0,l1,whole_count,0.5051597302635641,0.12984546547525216,0.01288941226820539,0.003313074331547265,0.17517740251888567,0.005782971786576925
l1_fixed250_l2_whole_count,l1whole_l2fixed250,1,l2,fixed250,2.3966139742204717,0.6915180335280544,0.015287711841833009,0.004411110234574376,0.8248225974811144,0.005782971786576975
l1_fixed250_l2_whole_count,l2_fixed250,0,l2,fixed250,3.4689651748755446,1.5703860929369027,0.02212811097377525,0.010017303715776804,1.0,0.0
l1_fixed250_l2_whole_count,l2_whole,0,l2,whole_count,12.76593383455269,7.668924690114149,0.3257294165081827,0.19567658715220076,1.0,0.0
l1_capacity_no_phase_l2_whole_count,l1_fixed250,0,l1,fixed250,3.4692440534128894,1.331702200514657,0.022129889906370853,0.00849476791823552,1.0,0.0
l1_capacity_no_phase_l2_whole_count,l1_l2_fixed250,0,l1,fixed250,1.8154378993136573,0.9103141327128502,0.011580459669345426,0.0058067841947674285,0.37144313379067945,0.012019345404569292
l1_capacity_no_phase_l2_whole_count,l1_l2_fixed250,1,l2,fixed250,3.023623852035108,1.3436096593811877,0.01928733232186083,0.008570724163954746,0.6285568662093205,0.012019345404569247
l1_capacity_no_phase_l2_whole_count,l1_l2_whole,0,l1,whole_count,2.6348335426927663,2.427441539166226,0.06722914309132286,0.061937428660348764,0.31376548665514115,0.006562003227847874
l1_capacity_no_phase_l2_whole_count,l1_l2_whole,1,l2,whole_count,5.659769801598531,5.056691991852581,0.14441195912009985,0.12902411631725766,0.6862345133448589,0.006562003227847919
l1_capacity_no_phase_l2_whole_count,l1_whole,0,l1,whole_count,8.789768928246783,5.1511374793764055,0.22427550865807067,0.13143394186873436,1.0,0.0
l1_capacity_no_phase_l2_whole_count,l1fixed250_l2whole,0,l1,fixed250,2.322310788277781,1.7356320230874902,0.014813740769377972,0.01107138759843443,0.5335470068903035,0.016350654338751342
l1_capacity_no_phase_l2_whole_count,l1fixed250_l2whole,1,l2,whole_count,1.9900148460620415,1.4009717177335,0.050776259931408496,0.035746519297057675,0.4664529931096964,0.0163506543387513
l1_capacity_no_phase_l2_whole_count,l1whole_l2fixed250,0,l1,whole_count,0.9528652915051309,0.5836893862905382,0.02431285164370751,0.014893137132188348,0.19224664509177555,0.005317314099722799
l1_capacity_no_phase_l2_whole_count,l1whole_l2fixed250,1,l2,fixed250,3.9810798491457002,2.3797512923554263,0.02539482879084165,0.015180146825519861,0.8077533549082244,0.005317314099722796
l1_capacity_no_phase_l2_whole_count,l2_fixed250,0,l2,fixed250,4.150136091412068,2.4481287757541965,0.026473218195489926,0.015616318555266266,1.0,0.0
l1_capacity_no_phase_l2_whole_count,l2_whole,0,l2,whole_count,4.45793048573771,0.16115675964203388,0.11374640623807242,0.004111998226284744,1.0,0.0
