method,aggregation,split,both_correct_mean,both_correct_std,l1_only_correct_mean,l1_only_correct_std,l2_only_correct_mean,l2_only_correct_std,both_wrong_mean,both_wrong_std,prediction_disagreement_mean,prediction_disagreement_std,oracle_union_accuracy_mean,oracle_union_accuracy_std
l1_fixed250_l2_whole_count,fixed250,test,0.5,0.035590085087031716,0.07534246575342465,0.0273972602739726,0.08904109589041094,0.00684931506849315,0.3356164383561644,0.02469555668126019,0.2671232876712329,0.034246575342465745,0.6643835616438356,0.0246955566812602
l1_fixed250_l2_whole_count,fixed250,train,0.9977051061388411,0.003974872765505189,0.0022948938611589216,0.003974872765505169,0.0,0.0,0.0,0.0,0.0022948938611589216,0.003974872765505169,1.0,0.0
l1_fixed250_l2_whole_count,fixed250,val,0.5264550264550264,0.016521158725921734,0.06349206349206349,0.013746434980705375,0.10846560846560845,0.018328579974273833,0.30158730158730157,0.013746434980705366,0.29365079365079366,0.007936507936507943,0.6984126984126985,0.013746434980705408
l1_fixed250_l2_whole_count,whole,test,0.4223744292237443,0.035147955064704695,0.1278538812785388,0.007908907797118161,0.1095890410958904,0.0273972602739726,0.34018264840182644,0.014257986297713224,0.4041095890410959,0.051711194762128404,0.6598173515981736,0.014257986297713248
l1_fixed250_l2_whole_count,whole,train,0.8668961560527825,0.08193807577974277,0.011474469305794606,0.019874363827525842,0.10900745840504877,0.10515116273173912,0.012621916236374068,0.018958934758299833,0.12335054503729204,0.08996854723857763,0.9873780837636259,0.01895893475829987
l1_fixed250_l2_whole_count,whole,val,0.4365079365079365,0.03459443605984661,0.09788359788359786,0.012123216124221799,0.1402116402116402,0.03994621394323148,0.3253968253968254,0.031746031746031744,0.35714285714285715,0.03459443605984661,0.6746031746031745,0.031746031746031744
l1_capacity_no_phase_l2_whole_count,fixed250,test,0.5296803652968037,0.010462501586657208,0.08447488584474887,0.0197722694927954,0.0958904109589041,0.024695556681260198,0.28995433789954334,0.02593108833698754,0.317351598173516,0.03236860017981238,0.7100456621004566,0.02593108833698753
l1_capacity_no_phase_l2_whole_count,fixed250,train,0.97877223178428,0.01895893475829984,0.0,0.0,0.0189328743545611,0.019548737851291822,0.0022948938611589216,0.0009937181913762922,0.021227768215720023,0.018958934758299833,0.9977051061388411,0.000993718191376277
l1_capacity_no_phase_l2_whole_count,fixed250,val,0.4735449735449735,0.030047134104763333,0.08465608465608465,0.027872099875271793,0.1349206349206349,0.044188606054206526,0.3068783068783069,0.03578769645097538,0.3624338624338624,0.06749921069932846,0.693121693121693,0.03578769645097528
l1_capacity_no_phase_l2_whole_count,whole,test,0.502283105022831,0.010462501586657208,0.1324200913242009,0.010462501586657166,0.0867579908675799,0.022017467490851494,0.2785388127853881,0.017237064920709515,0.31963470319634707,0.0039544538985591005,0.7214611872146118,0.017237064920709474
l1_capacity_no_phase_l2_whole_count,whole,train,0.8973034997131383,0.027013786269635222,0.0068846815834767644,0.008943463722386628,0.07114170969592656,0.03636248279401222,0.024670109007458405,0.0035829018923685587,0.08548479632816981,0.029628803978600935,0.9753298909925415,0.0035829018923685557
l1_capacity_no_phase_l2_whole_count,whole,val,0.4603174603174603,0.007936507936507943,0.12169312169312169,0.016521158725921675,0.1164021164021164,0.03004713410476335,0.30158730158730157,0.0363696483726654,0.3333333333333333,0.04827589309760492,0.6984126984126985,0.036369648372665424
