variant,l1_init,topology,fusion,architecture_case,layer,state,support,aggregation,count,mean,std
original,dynamics_only,ff,on,C,rsnn,pre_reset,valid,whole_mean,3,0.42855834933040815,0.030515815942801314
original,dynamics_only,ff,on,C,rsnn,pre_reset,valid,fixed250_ordered_mean,3,0.6107741251123604,0.02759607331848291
original,dynamics_only,ff,on,C,rsnn,pre_reset,window,whole_mean,3,0.4501950595700596,0.015073270691453837
original,dynamics_only,ff,on,C,rsnn,pre_reset,window,fixed250_ordered_mean,3,0.61865163703399,0.019874797637424
original,dynamics_only,ff,on,C,rsnn,communication,valid,whole_mean,3,0.4897666807593277,0.025002809117684276
original,dynamics_only,ff,on,C,rsnn,communication,valid,fixed250_ordered_mean,3,0.6476221490927374,0.04647913836377701
original,dynamics_only,ff,on,C,rsnn,communication,valid,whole_count,3,0.5184819061657296,0.006423777777830284
original,dynamics_only,ff,on,C,rsnn,communication,valid,fixed250_count,3,0.656772475890123,0.026625383965085195
original,dynamics_only,ff,on,C,rsnn,communication,window,whole_mean,3,0.5002115327482973,0.02008471104668109
original,dynamics_only,ff,on,C,rsnn,communication,window,fixed250_ordered_mean,3,0.6821636900681018,0.0256340949685975
original,dynamics_only,ff,on,C,rsnn,communication,window,whole_count,3,0.5002115327482973,0.02008471104668109
original,dynamics_only,ff,on,C,rsnn,communication,window,fixed250_count,3,0.6821636900681018,0.0256340949685975
original,dynamics_only,ff,on,C,readout,pre_reset,valid,whole_mean,3,0.47462506855889214,0.01807846997749098
original,dynamics_only,ff,on,C,readout,pre_reset,valid,fixed250_ordered_mean,3,0.5618592600210247,0.025803669630998068
original,dynamics_only,ff,on,C,readout,pre_reset,window,whole_mean,3,0.46602892613922026,0.030509179598214215
original,dynamics_only,ff,on,C,readout,pre_reset,window,fixed250_ordered_mean,3,0.5911031506619743,0.04507094699144936
original,dynamics_only,ff,on,C,readout,communication,valid,whole_mean,3,0.48962204054115815,0.003229201183237576
original,dynamics_only,ff,on,C,readout,communication,valid,fixed250_ordered_mean,3,0.6076419359507595,0.03917691131975661
original,dynamics_only,ff,on,C,readout,communication,valid,whole_count,3,0.517996852004205,0.015873148317312007
original,dynamics_only,ff,on,C,readout,communication,valid,fixed250_count,3,0.5842794460441519,0.06623178853770578
original,dynamics_only,ff,on,C,readout,communication,window,whole_mean,3,0.5203463271477977,0.033720822773278654
original,dynamics_only,ff,on,C,readout,communication,window,fixed250_ordered_mean,3,0.632884605862547,0.055573334368546404
original,dynamics_only,ff,on,C,readout,communication,window,whole_count,3,0.5203463271477977,0.033720822773278654
original,dynamics_only,ff,on,C,readout,communication,window,fixed250_count,3,0.632884605862547,0.055573334368546404
postencode_mask,dynamics_only,ff,on,C,l1,pre_reset,valid,whole_mean,3,0.48536596165272633,0.009397862732548954
postencode_mask,dynamics_only,ff,on,C,l1,pre_reset,valid,fixed250_ordered_mean,3,0.7429238177399943,0.006654567553059653
postencode_mask,dynamics_only,ff,on,C,l1,pre_reset,window,whole_mean,3,0.5018768948916007,0.0287136245425223
postencode_mask,dynamics_only,ff,on,C,l1,pre_reset,window,fixed250_ordered_mean,3,0.7419092889681124,0.00256217327068887
postencode_mask,dynamics_only,ff,on,C,l1,communication,valid,whole_mean,3,0.48497150997151,0.017120259795650707
postencode_mask,dynamics_only,ff,on,C,l1,communication,valid,fixed250_ordered_mean,3,0.6621853908618615,0.013262023731854224
postencode_mask,dynamics_only,ff,on,C,l1,communication,valid,whole_count,3,0.5118055555555555,0.006474141220184871
postencode_mask,dynamics_only,ff,on,C,l1,communication,valid,fixed250_count,3,0.6654659338482868,0.0030314024006551656
postencode_mask,dynamics_only,ff,on,C,l1,communication,window,whole_mean,3,0.5038283475783475,0.005496163505772018
postencode_mask,dynamics_only,ff,on,C,l1,communication,window,fixed250_ordered_mean,3,0.6562108642990996,0.012321506020980979
postencode_mask,dynamics_only,ff,on,C,l1,communication,window,whole_count,3,0.5038283475783475,0.005496163505772018
postencode_mask,dynamics_only,ff,on,C,l1,communication,window,fixed250_count,3,0.6562108642990996,0.012321506020980979
postencode_mask,dynamics_only,ff,on,C,rsnn,pre_reset,valid,whole_mean,3,0.487260043877691,0.058757697510760896
postencode_mask,dynamics_only,ff,on,C,rsnn,pre_reset,valid,fixed250_ordered_mean,3,0.6609052439934793,0.02990817169831791
postencode_mask,dynamics_only,ff,on,C,rsnn,pre_reset,window,whole_mean,3,0.4992175716440422,0.03531336860937393
postencode_mask,dynamics_only,ff,on,C,rsnn,pre_reset,window,fixed250_ordered_mean,3,0.6506253618385972,0.008929813231188757
postencode_mask,dynamics_only,ff,on,C,rsnn,communication,valid,whole_mean,3,0.5396998358395416,0.05337560872665893
postencode_mask,dynamics_only,ff,on,C,rsnn,communication,valid,fixed250_ordered_mean,3,0.7003456986912869,0.022232698364206653
postencode_mask,dynamics_only,ff,on,C,rsnn,communication,valid,whole_count,3,0.5955973764797294,0.049016684221069154
postencode_mask,dynamics_only,ff,on,C,rsnn,communication,valid,fixed250_count,3,0.7017182572329631,0.03577584471248795
postencode_mask,dynamics_only,ff,on,C,rsnn,communication,window,whole_mean,3,0.5782143646114234,0.036733372589156175
postencode_mask,dynamics_only,ff,on,C,rsnn,communication,window,fixed250_ordered_mean,3,0.7192768084312201,0.006163097043196451
postencode_mask,dynamics_only,ff,on,C,rsnn,communication,window,whole_count,3,0.5782143646114234,0.036733372589156175
postencode_mask,dynamics_only,ff,on,C,rsnn,communication,window,fixed250_count,3,0.7192768084312201,0.006163097043196451
postencode_mask,dynamics_only,ff,on,C,readout,pre_reset,valid,whole_mean,3,0.5295875420875421,0.03982479794647567
postencode_mask,dynamics_only,ff,on,C,readout,pre_reset,valid,fixed250_ordered_mean,3,0.583805104209516,0.04734259841366207
postencode_mask,dynamics_only,ff,on,C,readout,pre_reset,window,whole_mean,3,0.5467534031872266,0.05266955014058795
postencode_mask,dynamics_only,ff,on,C,readout,pre_reset,window,fixed250_ordered_mean,3,0.5958332381126499,0.014802563163204522
postencode_mask,dynamics_only,ff,on,C,readout,communication,valid,whole_mean,3,0.5430464619802855,0.03710654515388396
postencode_mask,dynamics_only,ff,on,C,readout,communication,valid,fixed250_ordered_mean,3,0.6189806721056721,0.030272224124650256
postencode_mask,dynamics_only,ff,on,C,readout,communication,valid,whole_count,3,0.5772239266724561,0.04377932998813486
postencode_mask,dynamics_only,ff,on,C,readout,communication,valid,fixed250_count,3,0.6507538621509209,0.022896964125617387
postencode_mask,dynamics_only,ff,on,C,readout,communication,window,whole_mean,3,0.5450492386154151,0.05901811863728217
postencode_mask,dynamics_only,ff,on,C,readout,communication,window,fixed250_ordered_mean,3,0.6490073719853132,0.04355334425680552
postencode_mask,dynamics_only,ff,on,C,readout,communication,window,whole_count,3,0.5450492386154151,0.05901811863728217
postencode_mask,dynamics_only,ff,on,C,readout,communication,window,fixed250_count,3,0.6490073719853132,0.04355334425680552
original,dynamics_only,diagonal,off,B,l1,pre_reset,valid,whole_mean,3,0.500977535536359,0.019726967087203853
original,dynamics_only,diagonal,off,B,l1,pre_reset,valid,fixed250_ordered_mean,3,0.6817458140987552,0.018482375325498172
original,dynamics_only,diagonal,off,B,l1,pre_reset,window,whole_mean,3,0.5615746930085165,0.03928905872653005
original,dynamics_only,diagonal,off,B,l1,pre_reset,window,fixed250_ordered_mean,3,0.6546515779971661,0.010498095570773703
original,dynamics_only,diagonal,off,B,l1,communication,valid,whole_mean,3,0.45690983172600824,0.054721879242866894
original,dynamics_only,diagonal,off,B,l1,communication,valid,fixed250_ordered_mean,3,0.6072319632981397,0.06066697861227854
original,dynamics_only,diagonal,off,B,l1,communication,valid,whole_count,3,0.491573493227905,0.03772578249017889
original,dynamics_only,diagonal,off,B,l1,communication,valid,fixed250_count,3,0.6297661284793638,0.040906894425411615
original,dynamics_only,diagonal,off,B,l1,communication,window,whole_mean,3,0.48080855691149815,0.03692988906642836
original,dynamics_only,diagonal,off,B,l1,communication,window,fixed250_ordered_mean,3,0.6283355329311212,0.0539313248610564
original,dynamics_only,diagonal,off,B,l1,communication,window,whole_count,3,0.48080855691149815,0.03692988906642836
original,dynamics_only,diagonal,off,B,l1,communication,window,fixed250_count,3,0.6283355329311212,0.0539313248610564
original,dynamics_only,diagonal,off,B,rsnn,pre_reset,valid,whole_mean,3,0.4195083851333851,0.012418849269839367
original,dynamics_only,diagonal,off,B,rsnn,pre_reset,valid,fixed250_ordered_mean,3,0.5493674966101436,0.024833622766145026
original,dynamics_only,diagonal,off,B,rsnn,pre_reset,window,whole_mean,3,0.43896487499428666,0.02357198249965991
original,dynamics_only,diagonal,off,B,rsnn,pre_reset,window,fixed250_ordered_mean,3,0.5282657361701479,0.0071525033917689594
original,dynamics_only,diagonal,off,B,rsnn,communication,valid,whole_mean,3,0.4364766157045568,0.03178619566934645
original,dynamics_only,diagonal,off,B,rsnn,communication,valid,fixed250_ordered_mean,3,0.5675150353459176,0.02626299239248861
original,dynamics_only,diagonal,off,B,rsnn,communication,valid,whole_count,3,0.473685335633865,0.02017690691472403
original,dynamics_only,diagonal,off,B,rsnn,communication,valid,fixed250_count,3,0.5459160324969149,0.012209298651573455
original,dynamics_only,diagonal,off,B,rsnn,communication,window,whole_mean,3,0.43106193915017443,0.013922034817596152
original,dynamics_only,diagonal,off,B,rsnn,communication,window,fixed250_ordered_mean,3,0.507586898395722,0.02032228423792701
original,dynamics_only,diagonal,off,B,rsnn,communication,window,whole_count,3,0.43106193915017443,0.013922034817596152
original,dynamics_only,diagonal,off,B,rsnn,communication,window,fixed250_count,3,0.507586898395722,0.02032228423792701
original,dynamics_only,diagonal,off,B,readout,pre_reset,valid,whole_mean,3,0.4195083851333851,0.012418849269839367
original,dynamics_only,diagonal,off,B,readout,pre_reset,valid,fixed250_ordered_mean,3,0.5493674966101436,0.024833622766145026
original,dynamics_only,diagonal,off,B,readout,pre_reset,window,whole_mean,3,0.43896487499428666,0.02357198249965991
original,dynamics_only,diagonal,off,B,readout,pre_reset,window,fixed250_ordered_mean,3,0.5282657361701479,0.0071525033917689594
original,dynamics_only,diagonal,off,B,readout,communication,valid,whole_mean,3,0.4364766157045568,0.03178619566934645
original,dynamics_only,diagonal,off,B,readout,communication,valid,fixed250_ordered_mean,3,0.5675150353459176,0.02626299239248861
original,dynamics_only,diagonal,off,B,readout,communication,valid,whole_count,3,0.473685335633865,0.02017690691472403
original,dynamics_only,diagonal,off,B,readout,communication,valid,fixed250_count,3,0.5459160324969149,0.012209298651573455
original,dynamics_only,diagonal,off,B,readout,communication,window,whole_mean,3,0.43106193915017443,0.013922034817596152
original,dynamics_only,diagonal,off,B,readout,communication,window,fixed250_ordered_mean,3,0.507586898395722,0.02032228423792701
original,dynamics_only,diagonal,off,B,readout,communication,window,whole_count,3,0.43106193915017443,0.013922034817596152
original,dynamics_only,diagonal,off,B,readout,communication,window,fixed250_count,3,0.507586898395722,0.02032228423792701
postencode_mask,dynamics_only,diagonal,off,B,l1,pre_reset,valid,whole_mean,3,0.506250523713759,0.03767340106411055
postencode_mask,dynamics_only,diagonal,off,B,l1,pre_reset,valid,fixed250_ordered_mean,3,0.7318880261894968,0.007092458370947418
postencode_mask,dynamics_only,diagonal,off,B,l1,pre_reset,window,whole_mean,3,0.5408117753705989,0.02131050569771776
postencode_mask,dynamics_only,diagonal,off,B,l1,pre_reset,window,fixed250_ordered_mean,3,0.7514423553026495,0.027197313637707884
postencode_mask,dynamics_only,diagonal,off,B,l1,communication,valid,whole_mean,3,0.47357307044807045,0.012105537180681502
postencode_mask,dynamics_only,diagonal,off,B,l1,communication,valid,fixed250_ordered_mean,3,0.6543740097048921,0.021496383019012345
postencode_mask,dynamics_only,diagonal,off,B,l1,communication,valid,whole_count,3,0.5080018225238814,0.016730515678415693
postencode_mask,dynamics_only,diagonal,off,B,l1,communication,valid,fixed250_count,3,0.6551354895104895,0.027556704637385823
postencode_mask,dynamics_only,diagonal,off,B,l1,communication,window,whole_mean,3,0.5044759434465317,0.022549312230018194
postencode_mask,dynamics_only,diagonal,off,B,l1,communication,window,fixed250_ordered_mean,3,0.6552648468089645,0.018627084840503155
postencode_mask,dynamics_only,diagonal,off,B,l1,communication,window,whole_count,3,0.5044759434465317,0.022549312230018194
postencode_mask,dynamics_only,diagonal,off,B,l1,communication,window,fixed250_count,3,0.6552648468089645,0.018627084840503155
postencode_mask,dynamics_only,diagonal,off,B,rsnn,pre_reset,valid,whole_mean,3,0.51402172174231,0.03998039730705365
postencode_mask,dynamics_only,diagonal,off,B,rsnn,pre_reset,valid,fixed250_ordered_mean,3,0.608466070966071,0.018682681230173335
postencode_mask,dynamics_only,diagonal,off,B,rsnn,pre_reset,window,whole_mean,3,0.5090831962155492,0.03870487057912918
postencode_mask,dynamics_only,diagonal,off,B,rsnn,pre_reset,window,fixed250_ordered_mean,3,0.5649136062739003,0.03070450024151555
postencode_mask,dynamics_only,diagonal,off,B,rsnn,communication,valid,whole_mean,3,0.49313706446059385,0.05872266660924972
postencode_mask,dynamics_only,diagonal,off,B,rsnn,communication,valid,fixed250_ordered_mean,3,0.591972753553636,0.016444772452450993
postencode_mask,dynamics_only,diagonal,off,B,rsnn,communication,valid,whole_count,3,0.5267453475174063,0.04932728267390752
postencode_mask,dynamics_only,diagonal,off,B,rsnn,communication,valid,fixed250_count,3,0.6135612821274585,0.006403454169008056
postencode_mask,dynamics_only,diagonal,off,B,rsnn,communication,window,whole_mean,3,0.503486790986791,0.04904015749110638
postencode_mask,dynamics_only,diagonal,off,B,rsnn,communication,window,fixed250_ordered_mean,3,0.5515704271218977,0.031586878367080115
postencode_mask,dynamics_only,diagonal,off,B,rsnn,communication,window,whole_count,3,0.503486790986791,0.04904015749110638
postencode_mask,dynamics_only,diagonal,off,B,rsnn,communication,window,fixed250_count,3,0.5515704271218977,0.031586878367080115
postencode_mask,dynamics_only,diagonal,off,B,readout,pre_reset,valid,whole_mean,3,0.51402172174231,0.03998039730705365
postencode_mask,dynamics_only,diagonal,off,B,readout,pre_reset,valid,fixed250_ordered_mean,3,0.608466070966071,0.018682681230173335
postencode_mask,dynamics_only,diagonal,off,B,readout,pre_reset,window,whole_mean,3,0.5090831962155492,0.03870487057912918
postencode_mask,dynamics_only,diagonal,off,B,readout,pre_reset,window,fixed250_ordered_mean,3,0.5649136062739003,0.03070450024151555
postencode_mask,dynamics_only,diagonal,off,B,readout,communication,valid,whole_mean,3,0.49313706446059385,0.05872266660924972
postencode_mask,dynamics_only,diagonal,off,B,readout,communication,valid,fixed250_ordered_mean,3,0.591972753553636,0.016444772452450993
postencode_mask,dynamics_only,diagonal,off,B,readout,communication,valid,whole_count,3,0.5267453475174063,0.04932728267390752
postencode_mask,dynamics_only,diagonal,off,B,readout,communication,valid,fixed250_count,3,0.6135612821274585,0.006403454169008056
postencode_mask,dynamics_only,diagonal,off,B,readout,communication,window,whole_mean,3,0.503486790986791,0.04904015749110638
postencode_mask,dynamics_only,diagonal,off,B,readout,communication,window,fixed250_ordered_mean,3,0.5515704271218977,0.031586878367080115
postencode_mask,dynamics_only,diagonal,off,B,readout,communication,window,whole_count,3,0.503486790986791,0.04904015749110638
postencode_mask,dynamics_only,diagonal,off,B,readout,communication,window,fixed250_count,3,0.5515704271218977,0.031586878367080115
original,dynamics_only,diagonal,on,D,l1,pre_reset,valid,whole_mean,3,0.4899866405381112,0.021016364101161367
original,dynamics_only,diagonal,on,D,l1,pre_reset,valid,fixed250_ordered_mean,3,0.6772951041333396,0.0122539216615407
original,dynamics_only,diagonal,on,D,l1,pre_reset,window,whole_mean,3,0.5003503168944345,0.007085632625042289
original,dynamics_only,diagonal,on,D,l1,pre_reset,window,fixed250_ordered_mean,3,0.631624740999741,0.017987454291696795
original,dynamics_only,diagonal,on,D,l1,communication,valid,whole_mean,3,0.3941416902813962,0.037689140382897744
original,dynamics_only,diagonal,on,D,l1,communication,valid,fixed250_ordered_mean,3,0.6066171709554062,0.03664916768488921
original,dynamics_only,diagonal,on,D,l1,communication,valid,whole_count,3,0.40649695484254306,0.029199740988619573
original,dynamics_only,diagonal,on,D,l1,communication,valid,fixed250_count,3,0.6241381099836981,0.028517259159093145
original,dynamics_only,diagonal,on,D,l1,communication,window,whole_mean,3,0.40819764385940854,0.04339349682335022
original,dynamics_only,diagonal,on,D,l1,communication,window,fixed250_ordered_mean,3,0.6128516499840029,0.021524116962597834
original,dynamics_only,diagonal,on,D,l1,communication,window,whole_count,3,0.40819764385940854,0.04339349682335022
original,dynamics_only,diagonal,on,D,l1,communication,window,fixed250_count,3,0.6128516499840029,0.021524116962597834
original,dynamics_only,diagonal,on,D,rsnn,pre_reset,valid,whole_mean,3,0.416676236345354,0.023974702202808815
original,dynamics_only,diagonal,on,D,rsnn,pre_reset,valid,fixed250_ordered_mean,3,0.6308521679845209,0.00838293354325017
original,dynamics_only,diagonal,on,D,rsnn,pre_reset,window,whole_mean,3,0.44444920547861716,0.028885329300746422
original,dynamics_only,diagonal,on,D,rsnn,pre_reset,window,fixed250_ordered_mean,3,0.5830769992534698,0.024422221186623863
original,dynamics_only,diagonal,on,D,rsnn,communication,valid,whole_mean,3,0.44116523454758755,0.03942497569713407
original,dynamics_only,diagonal,on,D,rsnn,communication,valid,fixed250_ordered_mean,3,0.6080657156024804,0.013948068794902124
original,dynamics_only,diagonal,on,D,rsnn,communication,valid,whole_count,3,0.4866723894297424,0.042363916836054755
original,dynamics_only,diagonal,on,D,rsnn,communication,valid,fixed250_count,3,0.6268655636302695,0.024291639327184103
original,dynamics_only,diagonal,on,D,rsnn,communication,window,whole_mean,3,0.4770874754330637,0.057363174051383754
original,dynamics_only,diagonal,on,D,rsnn,communication,window,fixed250_ordered_mean,3,0.61568836936484,0.007989952292019481
original,dynamics_only,diagonal,on,D,rsnn,communication,window,whole_count,3,0.4770874754330637,0.057363174051383754
original,dynamics_only,diagonal,on,D,rsnn,communication,window,fixed250_count,3,0.61568836936484,0.007989952292019481
original,dynamics_only,diagonal,on,D,readout,pre_reset,valid,whole_mean,3,0.39959640713317185,0.01673907559882579
original,dynamics_only,diagonal,on,D,readout,pre_reset,valid,fixed250_ordered_mean,3,0.49421448649389826,0.03275278377195077
original,dynamics_only,diagonal,on,D,readout,pre_reset,window,whole_mean,3,0.3905646300866889,0.04170909649275294
