variant,l1_init,topology,fusion,architecture_case,seed,layer,dead_neuron_fraction,mean_events_per_neuron_s,mean_events_per_neuron_step,nonzero_fraction,post_valid_event_fraction
postencode_mask,dynamics_only,ff,on,C,37,l1,0.015625,3.3404686398872445,0.052194822498238196,0.052194822498238196,0.015712196852369374
postencode_mask,dynamics_only,ff,on,C,37,readout,0.0,25.667165844491425,0.4010494663201785,0.4010494663201785,0.12909178042202316
postencode_mask,dynamics_only,ff,on,C,37,rsnn,0.0078125,14.564570119802678,0.22757140812191684,0.22757140812191684,0.05437418498776052
original,dynamics_only,diagonal,off,B,11,l1,0.015625,4.287820061075875,0.06699718845431055,0.06699718845431055,0.061125291738730686
original,dynamics_only,diagonal,off,B,11,readout,0.0,29.616220342964528,0.46275344285882075,0.46275344285882075,0.6375704163227525
original,dynamics_only,diagonal,off,B,11,rsnn,0.0,29.616220342964528,0.46275344285882075,0.46275344285882075,0.6375704163227525
postencode_mask,dynamics_only,diagonal,off,B,11,l1,0.0234375,3.3970225510923187,0.05307847736081748,0.05307847736081748,0.011255833034203374
postencode_mask,dynamics_only,diagonal,off,B,11,readout,0.0,25.649107352595724,0.4007673023843082,0.4007673023843082,0.6730054875553894
postencode_mask,dynamics_only,diagonal,off,B,11,rsnn,0.0,25.649107352595724,0.4007673023843082,0.4007673023843082,0.6730054875553894
original,dynamics_only,diagonal,off,B,23,l1,0.015625,4.299888419074466,0.06718575654803853,0.06718575654803853,0.06307902953370528
original,dynamics_only,diagonal,off,B,23,readout,0.0,29.247327930467467,0.45698949891355417,0.45698949891355417,0.6610472126021872
original,dynamics_only,diagonal,off,B,23,rsnn,0.0,29.247327930467467,0.45698949891355417,0.45698949891355417,0.6610472126021872
postencode_mask,dynamics_only,diagonal,off,B,23,l1,0.0234375,3.488871270848015,0.05451361360700024,0.05451361360700024,0.011078003795319107
postencode_mask,dynamics_only,diagonal,off,B,23,readout,0.0,25.010952548743248,0.39079613357411325,0.39079613357411325,0.6807080125036876
postencode_mask,dynamics_only,diagonal,off,B,23,rsnn,0.0,25.010952548743248,0.39079613357411325,0.39079613357411325,0.6807080125036876
original,dynamics_only,diagonal,off,B,37,l1,0.03125,3.874354005167959,0.060536781330749356,0.060536781330749356,0.053635339936739274
original,dynamics_only,diagonal,off,B,37,readout,0.0,29.304938924124972,0.4578896706894527,0.4578896706894527,0.6407218330077179
original,dynamics_only,diagonal,off,B,37,rsnn,0.0,29.304938924124972,0.4578896706894527,0.4578896706894527,0.6407218330077179
postencode_mask,dynamics_only,diagonal,off,B,37,l1,0.078125,3.1383016208597603,0.049035962825933754,0.049035962825933754,0.009682829424682413
postencode_mask,dynamics_only,diagonal,off,B,37,readout,0.0,25.64940098661029,0.40077189041578576,0.40077189041578576,0.6272055180254673
postencode_mask,dynamics_only,diagonal,off,B,37,rsnn,0.0,25.64940098661029,0.40077189041578576,0.40077189041578576,0.6272055180254673
original,dynamics_only,diagonal,on,D,11,l1,0.0234375,3.5265151515151514,0.05510179924242424,0.05510179924242424,0.06487530269171773
original,dynamics_only,diagonal,on,D,11,readout,0.0,29.275575522668547,0.45743086754169604,0.45743086754169604,0.604161075211099
original,dynamics_only,diagonal,on,D,11,rsnn,0.0,12.257517030772846,0.1915237036058257,0.1915237036058257,0.42551033468156463
postencode_mask,dynamics_only,diagonal,on,D,11,l1,0.0546875,2.522815362931642,0.03941899004580691,0.03941899004580691,0.014905351021016545
postencode_mask,dynamics_only,diagonal,on,D,11,readout,0.0,24.786087620389946,0.3872826190685929,0.3872826190685929,0.6440982323705057
postencode_mask,dynamics_only,diagonal,on,D,11,rsnn,0.015625,11.750557904627673,0.1836024672598074,0.1836024672598074,0.38507247557128393
original,dynamics_only,diagonal,on,D,23,l1,0.078125,3.578136011275546,0.05590837517618041,0.05590837517618041,0.06185908293043452
original,dynamics_only,diagonal,on,D,23,readout,0.0,27.24192506459948,0.4256550791343669,0.4256550791343669,0.5992571308612497
original,dynamics_only,diagonal,on,D,23,rsnn,0.0078125,10.853711533944091,0.16958924271787643,0.16958924271787643,0.3091314847073424
postencode_mask,dynamics_only,diagonal,on,D,23,l1,0.0859375,2.564922480620155,0.04007691375968992,0.04007691375968992,0.01150869092884302
postencode_mask,dynamics_only,diagonal,on,D,23,readout,0.0,23.151955602536997,0.3617493062896406,0.3617493062896406,0.5987620835021139
postencode_mask,dynamics_only,diagonal,on,D,23,rsnn,0.015625,9.458010335917313,0.14778141149870802,0.14778141149870802,0.28008546836619974
original,dynamics_only,diagonal,on,D,37,l1,0.0,2.9538994597134134,0.046154679058022084,0.046154679058022084,0.0563216449972796
original,dynamics_only,diagonal,on,D,37,readout,0.0,28.510776368334508,0.4454808807552267,0.4454808807552267,0.6220810388769268
original,dynamics_only,diagonal,on,D,37,rsnn,0.0078125,13.762831806436457,0.21504424697556965,0.21504424697556965,0.4344430729059201
postencode_mask,dynamics_only,diagonal,on,D,37,l1,0.03125,2.3488372093023258,0.03670058139534884,0.03670058139534884,0.012468827930174564
postencode_mask,dynamics_only,diagonal,on,D,37,readout,0.0,24.685664787408975,0.3857135123032652,0.3857135123032652,0.6390359579343649
postencode_mask,dynamics_only,diagonal,on,D,37,rsnn,0.0078125,12.977977448907682,0.20278089763918253,0.20278089763918253,0.3252450306860859
original,dynamics_only,dense,off,B,11,l1,0.046875,6.723249941273197,0.1050507803323937,0.1050507803323937,0.0730606362392415
original,dynamics_only,dense,off,B,11,readout,0.0,26.680878552971578,0.4168887273901809,0.4168887273901809,0.6454032065143371
original,dynamics_only,dense,off,B,11,rsnn,0.0,26.680878552971578,0.4168887273901809,0.4168887273901809,0.6454032065143371
postencode_mask,dynamics_only,dense,off,B,11,l1,0.0625,3.6016560958421424,0.056275876497533475,0.056275876497533475,0.012947926641827678
postencode_mask,dynamics_only,dense,off,B,11,readout,0.015625,21.95492717876439,0.3430457371681936,0.3430457371681936,0.665500663901306
postencode_mask,dynamics_only,dense,off,B,11,rsnn,0.015625,21.95492717876439,0.3430457371681936,0.3430457371681936,0.665500663901306
original,dynamics_only,dense,off,B,23,l1,0.015625,6.009866102889359,0.09390415785764623,0.09390415785764623,0.06387727659418765
original,dynamics_only,dense,off,B,23,readout,0.0078125,25.890298332158796,0.4045359114399812,0.4045359114399812,0.6661445205134525
original,dynamics_only,dense,off,B,23,rsnn,0.0078125,25.890298332158796,0.4045359114399812,0.4045359114399812,0.6661445205134525
postencode_mask,dynamics_only,dense,off,B,23,l1,0.03125,4.178852478271083,0.06529456997298567,0.06529456997298567,0.010993974857015781
postencode_mask,dynamics_only,dense,off,B,23,readout,0.0078125,24.286674888419075,0.37947929513154804,0.37947929513154804,0.6901200807306975
postencode_mask,dynamics_only,dense,off,B,23,rsnn,0.0078125,24.286674888419075,0.37947929513154804,0.37947929513154804,0.6901200807306975
original,dynamics_only,dense,off,B,37,l1,0.015625,6.199054498473103,0.09686022653864224,0.09686022653864224,0.06468748338620213
original,dynamics_only,dense,off,B,37,readout,0.0,27.03300446323702,0.42239069473807844,0.42239069473807844,0.6345655842990808
original,dynamics_only,dense,off,B,37,rsnn,0.0,27.03300446323702,0.42239069473807844,0.42239069473807844,0.6345655842990808
postencode_mask,dynamics_only,dense,off,B,37,l1,0.0390625,4.36489898989899,0.06820154671717171,0.06820154671717171,0.011181917356251497
postencode_mask,dynamics_only,dense,off,B,37,readout,0.0078125,25.400017618040874,0.39687527528188865,0.39687527528188865,0.6758295170925117
postencode_mask,dynamics_only,dense,off,B,37,rsnn,0.0078125,25.400017618040874,0.39687527528188865,0.39687527528188865,0.6758295170925117
original,dynamics_only,dense,on,D,11,l1,0.015625,5.58944092083627,0.08733501438806672,0.08733501438806672,0.06611850013000967
original,dynamics_only,dense,on,D,11,readout,0.0078125,29.81266149870801,0.46582283591731266,0.46582283591731266,0.6540427892472152
original,dynamics_only,dense,on,D,11,rsnn,0.0078125,24.613636363636363,0.3845880681818182,0.3845880681818182,0.6497178493703427
postencode_mask,dynamics_only,dense,on,D,11,l1,0.0390625,3.6190392295043456,0.0565474879610054,0.0565474879610054,0.012562290695252287
postencode_mask,dynamics_only,dense,on,D,11,readout,0.0078125,25.652307963354474,0.40081731192741366,0.40081731192741366,0.6818610372768996
postencode_mask,dynamics_only,dense,on,D,11,rsnn,0.0078125,19.086533944092082,0.2982270928764388,0.2982270928764388,0.6614162769547149
original,dynamics_only,dense,on,D,23,l1,0.0390625,5.9460007047216346,0.09290626101127554,0.09290626101127554,0.06563708345253366
original,dynamics_only,dense,on,D,23,readout,0.0078125,29.00927883486023,0.4532699817946911,0.4532699817946911,0.6578797367314726
original,dynamics_only,dense,on,D,23,rsnn,0.0078125,22.603271082922245,0.35317611067066007,0.35317611067066007,0.6617726664780247
postencode_mask,dynamics_only,dense,on,D,23,l1,0.0703125,4.343111346018323,0.0678611147815363,0.0678611147815363,0.011924325624273518
postencode_mask,dynamics_only,dense,on,D,23,readout,0.0,25.954457364341085,0.40553839631782945,0.40553839631782945,0.6837966651272157
postencode_mask,dynamics_only,dense,on,D,23,rsnn,0.015625,18.21256166314306,0.2845712759866103,0.2845712759866103,0.6947381010034196
original,dynamics_only,dense,on,D,37,l1,0.015625,5.006577401926239,0.07822777190509748,0.07822777190509748,0.05420577336972198
original,dynamics_only,dense,on,D,37,readout,0.0078125,27.64514329339911,0.43195536395936107,0.43195536395936107,0.6445165450990727
original,dynamics_only,dense,on,D,37,rsnn,0.015625,21.577313836034765,0.3371455286880432,0.3371455286880432,0.6537150946321474
postencode_mask,dynamics_only,dense,on,D,37,l1,0.015625,3.956248531829927,0.06181638330984261,0.06181638330984261,0.01194605574826016
postencode_mask,dynamics_only,dense,on,D,37,readout,0.0,26.68002701432934,0.41687542209889594,0.41687542209889594,0.6679428327305166
postencode_mask,dynamics_only,dense,on,D,37,rsnn,0.015625,19.903042048390887,0.3109850320061076,0.3109850320061076,0.6849187076524882
original,pretrained_trainable,ff,off,A,11,l1,0.0078125,7.2475041108762035,0.11324225173244068,0.11324225173244068,0.08272601930273783
original,pretrained_trainable,ff,off,A,11,readout,0.0,29.075933756166314,0.45431146494009866,0.45431146494009866,0.19253539043642767
original,pretrained_trainable,ff,off,A,11,rsnn,0.0,29.075933756166314,0.45431146494009866,0.45431146494009866,0.19253539043642767
postencode_mask,pretrained_trainable,ff,off,A,11,l1,0.015625,6.597515856236787,0.1030861852536998,0.1030861852536998,0.027038613599851036
postencode_mask,pretrained_trainable,ff,off,A,11,readout,0.0078125,25.22266267324407,0.3941041042694386,0.3941041042694386,0.10676036682822942
postencode_mask,pretrained_trainable,ff,off,A,11,rsnn,0.0078125,25.22266267324407,0.3941041042694386,0.3941041042694386,0.10676036682822942
original,pretrained_trainable,ff,off,A,23,l1,0.0,7.791872210476861,0.12174800328870096,0.12174800328870096,0.08800340933304922
original,pretrained_trainable,ff,off,A,23,readout,0.0,28.21256166314306,0.4408212759866103,0.4408212759866103,0.19573848298029958
original,pretrained_trainable,ff,off,A,23,rsnn,0.0,28.21256166314306,0.4408212759866103,0.4408212759866103,0.19573848298029958
postencode_mask,pretrained_trainable,ff,off,A,23,l1,0.0,5.987990368804322,0.09356234951256753,0.09356234951256753,0.02610867551123719
postencode_mask,pretrained_trainable,ff,off,A,23,readout,0.0,25.689276485788113,0.40139494509043927,0.40139494509043927,0.11194008640291041
postencode_mask,pretrained_trainable,ff,off,A,23,rsnn,0.0,25.689276485788113,0.40139494509043927,0.40139494509043927,0.11194008640291041
original,pretrained_trainable,ff,off,A,37,l1,0.0078125,7.43413789053324,0.11615840453958187,0.11615840453958187,0.07941327263405534
original,pretrained_trainable,ff,off,A,37,readout,0.0078125,28.746006577401925,0.4491563527719051,0.4491563527719051,0.17327626902085105
original,pretrained_trainable,ff,off,A,37,rsnn,0.0078125,28.746006577401925,0.4491563527719051,0.4491563527719051,0.17327626902085105
postencode_mask,pretrained_trainable,ff,off,A,37,l1,0.0390625,5.631548038524783,0.08799293810194973,0.08799293810194973,0.028183430453508993
postencode_mask,pretrained_trainable,ff,off,A,37,readout,0.015625,25.64091496358938,0.4006392963060841,0.4006392963060841,0.12103246301595721
postencode_mask,pretrained_trainable,ff,off,A,37,rsnn,0.015625,25.64091496358938,0.4006392963060841,0.4006392963060841,0.12103246301595721
original,pretrained_trainable,ff,on,C,11,l1,0.0234375,5.55946088794926,0.0868665763742072,0.0868665763742072,0.07523347139731167
original,pretrained_trainable,ff,on,C,11,readout,0.0,29.6729797979798,0.46364030934343436,0.46364030934343436,0.22719500164419598
original,pretrained_trainable,ff,on,C,11,rsnn,0.0,16.128171247357294,0.2520026757399577,0.2520026757399577,0.1549882769952185
postencode_mask,pretrained_trainable,ff,on,C,11,l1,0.03125,4.467788348602302,0.06980919294691097,0.06980919294691097,0.022517024283695234
postencode_mask,pretrained_trainable,ff,on,C,11,readout,0.0,26.074201315480384,0.407409395554381,0.407409395554381,0.15163966924778233
postencode_mask,pretrained_trainable,ff,on,C,11,rsnn,0.0,15.412643880667137,0.240822560635424,0.240822560635424,0.07031943251357167
original,pretrained_trainable,ff,on,C,23,l1,0.015625,5.955925534413907,0.09306133647521729,0.09306133647521729,0.07495325397911251
original,pretrained_trainable,ff,on,C,23,readout,0.0,29.334214235377026,0.458347097427766,0.458347097427766,0.2174791701099204
original,pretrained_trainable,ff,on,C,23,rsnn,0.0078125,16.721135776368335,0.26126774650575524,0.26126774650575524,0.13864586547595278
postencode_mask,pretrained_trainable,ff,on,C,23,l1,0.0234375,4.521405919661734,0.0706469674947146,0.0706469674947146,0.020495792065036926
postencode_mask,pretrained_trainable,ff,on,C,23,readout,0.0078125,25.14429175475687,0.3928795586680761,0.3928795586680761,0.142270746732108
postencode_mask,pretrained_trainable,ff,on,C,23,rsnn,0.0078125,14.357147051914493,0.22433042268616396,0.22433042268616396,0.06288727170973572
original,pretrained_trainable,ff,on,C,37,l1,0.0078125,5.52070119802678,0.08626095621916843,0.08626095621916843,0.07368612940892452
original,pretrained_trainable,ff,on,C,37,readout,0.0,29.894086210946675,0.4670950970460418,0.4670950970460418,0.2227987620636954
original,pretrained_trainable,ff,on,C,37,rsnn,0.0,16.652542870566126,0.2601959823525957,0.2601959823525957,0.15468166357129443
postencode_mask,pretrained_trainable,ff,on,C,37,l1,0.0390625,4.140709419779188,0.0646985846840498,0.0646985846840498,0.022521055002945968
postencode_mask,pretrained_trainable,ff,on,C,37,readout,0.0,25.710036410617807,0.40171931891590323,0.40171931891590323,0.15131057317827323
postencode_mask,pretrained_trainable,ff,on,C,37,rsnn,0.015625,15.995624853182992,0.24993163833098425,0.24993163833098425,0.07074489226722437
original,pretrained_trainable,diagonal,off,B,11,l1,0.0234375,5.750352360817477,0.08984925563777307,0.08984925563777307,0.06910615481147682
original,pretrained_trainable,diagonal,off,B,11,readout,0.0,29.443240544984732,0.46005063351538644,0.46005063351538644,0.628188537136687
original,pretrained_trainable,diagonal,off,B,11,rsnn,0.0,29.443240544984732,0.46005063351538644,0.46005063351538644,0.628188537136687
postencode_mask,pretrained_trainable,diagonal,off,B,11,l1,0.03125,4.9909560723514215,0.07798368863049096,0.07798368863049096,0.017264306941569628
postencode_mask,pretrained_trainable,diagonal,off,B,11,readout,0.0078125,24.818945266619686,0.3877960197909326,0.3877960197909326,0.6631418609109231
postencode_mask,pretrained_trainable,diagonal,off,B,11,rsnn,0.0078125,24.818945266619686,0.3877960197909326,0.3877960197909326,0.6631418609109231
original,pretrained_trainable,diagonal,off,B,23,l1,0.0078125,6.111434108527132,0.09549115794573644,0.09549115794573644,0.06998431586332012
original,pretrained_trainable,diagonal,off,B,23,readout,0.0,28.580455719990603,0.44656962062485317,0.44656962062485317,0.6358138210521235
original,pretrained_trainable,diagonal,off,B,23,rsnn,0.0,28.580455719990603,0.44656962062485317,0.44656962062485317,0.6358138210521235
postencode_mask,pretrained_trainable,diagonal,off,B,23,l1,0.0078125,4.4866102889358705,0.07010328576462298,0.07010328576462298,0.01685165524563266
postencode_mask,pretrained_trainable,diagonal,off,B,23,readout,0.0,25.67362579281184,0.401150403012685,0.401150403012685,0.6135552093347035
postencode_mask,pretrained_trainable,diagonal,off,B,23,rsnn,0.0,25.67362579281184,0.401150403012685,0.401150403012685,0.6135552093347035
original,pretrained_trainable,diagonal,off,B,37,l1,0.0078125,5.729093258163026,0.08951708215879728,0.08951708215879728,0.06273268354077696
original,pretrained_trainable,diagonal,off,B,37,readout,0.015625,28.666343669250647,0.44791161983204136,0.44791161983204136,0.6213434602049551
original,pretrained_trainable,diagonal,off,B,37,rsnn,0.015625,28.666343669250647,0.44791161983204136,0.44791161983204136,0.6213434602049551
postencode_mask,pretrained_trainable,diagonal,off,B,37,l1,0.046875,4.318152454780361,0.06747113210594315,0.06747113210594315,0.018048637170977953
postencode_mask,pretrained_trainable,diagonal,off,B,37,readout,0.015625,25.566801738313366,0.39948127716114634,0.39948127716114634,0.6587801402652939
postencode_mask,pretrained_trainable,diagonal,off,B,37,rsnn,0.015625,25.566801738313366,0.39948127716114634,0.39948127716114634,0.6587801402652939
original,pretrained_trainable,diagonal,on,D,11,l1,0.0234375,4.9207775428705665,0.0768871491073526,0.0768871491073526,0.06789107170667676
original,pretrained_trainable,diagonal,on,D,11,readout,0.0,29.290022316185105,0.45765659869039227,0.45765659869039227,0.6061128849724418
original,pretrained_trainable,diagonal,on,D,11,rsnn,0.0,15.610142118863049,0.24390847060723514,0.24390847060723514,0.3664014054039881
postencode_mask,pretrained_trainable,diagonal,on,D,11,l1,0.0390625,4.089206013624619,0.06389384396288467,0.06389384396288467,0.01850063783151381
postencode_mask,pretrained_trainable,diagonal,on,D,11,readout,0.0,25.133926474042752,0.392717601156918,0.392717601156918,0.5247649811340868
postencode_mask,pretrained_trainable,diagonal,on,D,11,rsnn,0.0078125,13.432493540051679,0.20988271156330748,0.20988271156330748,0.16882217845384576
original,pretrained_trainable,diagonal,on,D,23,l1,0.0234375,5.269233027953958,0.0823317660617806,0.0823317660617806,0.06915136424940346
original,pretrained_trainable,diagonal,on,D,23,readout,0.0,27.296834625322997,0.42651304102067183,0.42651304102067183,0.5325378207884224
original,pretrained_trainable,diagonal,on,D,23,rsnn,0.015625,16.281565656565657,0.2543994633838384,0.2543994633838384,0.24443496650623817
postencode_mask,pretrained_trainable,diagonal,on,D,23,l1,0.0234375,4.143557669720461,0.0647430885893822,0.0647430885893822,0.019606072185361447
postencode_mask,pretrained_trainable,diagonal,on,D,23,readout,0.0,25.532975099835564,0.3989527359349307,0.3989527359349307,0.6320767131124061
postencode_mask,pretrained_trainable,diagonal,on,D,23,rsnn,0.0,14.162643880667137,0.221291310635424,0.221291310635424,0.3018280723238622
original,pretrained_trainable,diagonal,on,D,37,l1,0.0078125,4.8813131313131315,0.07627051767676768,0.07627051767676768,0.06767617284989204
original,pretrained_trainable,diagonal,on,D,37,readout,0.0,29.337502936340147,0.4583984833803148,0.4583984833803148,0.5846113997607744
original,pretrained_trainable,diagonal,on,D,37,rsnn,0.0,17.39990016443505,0.27187344006929764,0.27187344006929764,0.33190711182816796
postencode_mask,pretrained_trainable,diagonal,on,D,37,l1,0.046875,3.711533944092084,0.05799271787643881,0.05799271787643881,0.01953179540483098
postencode_mask,pretrained_trainable,diagonal,on,D,37,readout,0.0,25.793340380549683,0.4030209434460888,0.4030209434460888,0.5748035612376332
postencode_mask,pretrained_trainable,diagonal,on,D,37,rsnn,0.0234375,15.063924124970637,0.2353738144526662,0.2353738144526662,0.24002435396803765
original,pretrained_trainable,dense,off,B,11,l1,0.0234375,7.533415550857411,0.11770961798214705,0.11770961798214705,0.07188128554270913
original,pretrained_trainable,dense,off,B,11,readout,0.0,28.855355884425652,0.4508649356941508,0.4508649356941508,0.6454528431839099
original,pretrained_trainable,dense,off,B,11,rsnn,0.0,28.855355884425652,0.4508649356941508,0.4508649356941508,0.6454528431839099
postencode_mask,pretrained_trainable,dense,off,B,11,l1,0.03125,5.7678235846840495,0.09012224351068827,0.09012224351068827,0.016935835005730357
postencode_mask,pretrained_trainable,dense,off,B,11,readout,0.015625,25.417929292929294,0.3971551452020202,0.3971551452020202,0.665606403300543
postencode_mask,pretrained_trainable,dense,off,B,11,rsnn,0.015625,25.417929292929294,0.3971551452020202,0.3971551452020202,0.665606403300543
original,pretrained_trainable,dense,off,B,23,l1,0.0234375,7.617688513037351,0.1190263830162086,0.1190263830162086,0.06901266422401574
original,pretrained_trainable,dense,off,B,23,readout,0.015625,27.789640591966172,0.43421313424947144,0.43421313424947144,0.6668038548349675
original,pretrained_trainable,dense,off,B,23,rsnn,0.015625,27.789640591966172,0.43421313424947144,0.43421313424947144,0.6668038548349675
postencode_mask,pretrained_trainable,dense,off,B,23,l1,0.0078125,5.510747004933052,0.08610542195207893,0.08610542195207893,0.016950395474307264
postencode_mask,pretrained_trainable,dense,off,B,23,readout,0.0078125,23.50082217524078,0.3672003464881372,0.3672003464881372,0.6828975775467535
postencode_mask,pretrained_trainable,dense,off,B,23,rsnn,0.0078125,23.50082217524078,0.3672003464881372,0.3672003464881372,0.6828975775467535
original,pretrained_trainable,dense,off,B,37,l1,0.0078125,7.513125440451022,0.11739258500704722,0.11739258500704722,0.06797485138127987
original,pretrained_trainable,dense,off,B,37,readout,0.0078125,28.664464411557436,0.44788225643058494,0.44788225643058494,0.6502780731344524
original,pretrained_trainable,dense,off,B,37,rsnn,0.0078125,28.664464411557436,0.44788225643058494,0.44788225643058494,0.6502780731344524
postencode_mask,pretrained_trainable,dense,off,B,37,l1,0.046875,5.415110406389476,0.08461110009983557,0.08461110009983557,0.01608583379572325
postencode_mask,pretrained_trainable,dense,off,B,37,readout,0.0,25.605737608644585,0.40008965013507164,0.40008965013507164,0.6744614139477446
postencode_mask,pretrained_trainable,dense,off,B,37,rsnn,0.0,25.605737608644585,0.40008965013507164,0.40008965013507164,0.6744614139477446
original,pretrained_trainable,dense,on,D,11,l1,0.0234375,6.4563953488372094,0.1008811773255814,0.1008811773255814,0.06696907846440438
original,pretrained_trainable,dense,on,D,11,readout,0.0,28.82605120977214,0.45040705015268967,0.45040705015268967,0.6419143665765343
original,pretrained_trainable,dense,on,D,11,rsnn,0.0078125,23.95677707305614,0.3743246417665022,0.3743246417665022,0.6493168772958089
postencode_mask,pretrained_trainable,dense,on,D,11,l1,0.0390625,5.040785764622974,0.07876227757223397,0.07876227757223397,0.017883806745044195
postencode_mask,pretrained_trainable,dense,on,D,11,readout,0.0,26.555555555555557,0.4149305555555556,0.4149305555555556,0.6688467071819036
postencode_mask,pretrained_trainable,dense,on,D,11,rsnn,0.03125,20.31809372797745,0.31747021449964763,0.31747021449964763,0.6751482823472412
original,pretrained_trainable,dense,on,D,23,l1,0.0234375,6.908797275076345,0.10794995742306789,0.10794995742306789,0.06851733816851616
original,pretrained_trainable,dense,on,D,23,readout,0.0,27.77578106647874,0.4339965791637303,0.4339965791637303,0.6543323384015413
original,pretrained_trainable,dense,on,D,23,rsnn,0.015625,25.24268851303735,0.3944170080162086,0.3944170080162086,0.6491900682101518
postencode_mask,pretrained_trainable,dense,on,D,23,l1,0.0234375,5.078958186516326,0.0793587216643176,0.0793587216643176,0.01699259486584943
postencode_mask,pretrained_trainable,dense,on,D,23,readout,0.0,25.756665492130608,0.40244789831454075,0.40244789831454075,0.6626082320808138
postencode_mask,pretrained_trainable,dense,on,D,23,rsnn,0.015625,19.430555555555557,0.3036024305555556,0.3036024305555556,0.659171878629553
