variant,l1_init,topology,fusion,architecture_case,seed,layer,support,fixed250_ba,whole_ba,temporal_gap
original,dynamics_only,ff,on,C,11,rsnn,valid,0.6260310971708031,0.5127730929201517,0.11325800425065136
original,dynamics_only,ff,on,C,11,rsnn,window,0.6559880478998126,0.4930345593948534,0.16295348850495917
original,dynamics_only,ff,on,C,11,readout,valid,0.5909839343662873,0.5267591069061658,0.06422482746012148
original,dynamics_only,ff,on,C,11,readout,window,0.6895743349787468,0.5260083870377988,0.16356594794094792
original,dynamics_only,ff,on,C,23,l1,valid,0.6454079825403355,0.4712491144476439,0.1741588680926916
original,dynamics_only,ff,on,C,23,l1,window,0.6506571655468715,0.3764056001188354,0.2742515654280361
original,dynamics_only,ff,on,C,23,rsnn,valid,0.671773304310069,0.5172348484848485,0.15453845582522052
original,dynamics_only,ff,on,C,23,rsnn,window,0.6832834853055442,0.4847012260615202,0.19858225924402395
original,dynamics_only,ff,on,C,23,readout,valid,0.5149504090680562,0.499673916769505,0.015276492298551214
original,dynamics_only,ff,on,C,23,readout,window,0.5784993601170071,0.4841528977558389,0.09434646236116817
original,dynamics_only,ff,on,C,37,l1,valid,0.6707106414827003,0.4697156805612688,0.20099496092143154
original,dynamics_only,ff,on,C,37,l1,window,0.6374150155400157,0.4639590189222542,0.17345599661776145
original,dynamics_only,ff,on,C,37,rsnn,valid,0.6725130261894968,0.5254377770921889,0.14707524909730796
original,dynamics_only,ff,on,C,37,rsnn,window,0.7072195369989488,0.5228988127885186,0.18432072421043022
original,dynamics_only,ff,on,C,37,readout,valid,0.6469039946981123,0.5275575323369441,0.11934646236116819
original,dynamics_only,ff,on,C,37,readout,window,0.6305801224918872,0.5508776966497554,0.07970242584213183
original,pretrained_frozen,dense,off,B,11,l1,valid,0.6682882272955801,0.4953017162575986,0.17298651103798152
original,pretrained_frozen,dense,off,B,11,l1,window,0.6684484837058365,0.4909480837789661,0.17750039992687044
original,pretrained_frozen,dense,off,B,11,rsnn,valid,0.5171782873988756,0.3844828374240138,0.13269544997486182
original,pretrained_frozen,dense,off,B,11,rsnn,window,0.4194580133918369,0.3576464589332236,0.061811554458613305
original,pretrained_frozen,dense,off,B,11,readout,valid,0.5171782873988756,0.3844828374240138,0.13269544997486182
original,pretrained_frozen,dense,off,B,11,readout,window,0.4194580133918369,0.3576464589332236,0.061811554458613305
original,pretrained_frozen,dense,off,B,23,l1,valid,0.635424665204077,0.4688342703048585,0.1665903948992185
original,pretrained_frozen,dense,off,B,23,l1,window,0.6194115933086523,0.4598850495909319,0.15952654371772035
original,pretrained_frozen,dense,off,B,23,rsnn,valid,0.5004152097902098,0.4697415329768271,0.030673676813382733
original,pretrained_frozen,dense,off,B,23,rsnn,window,0.3905081642213995,0.3783808103661045,0.012127353855295009
original,pretrained_frozen,dense,off,B,23,readout,valid,0.5004152097902098,0.4697415329768271,0.030673676813382733
original,pretrained_frozen,dense,off,B,23,readout,window,0.3905081642213995,0.3783808103661045,0.012127353855295009
original,pretrained_frozen,dense,off,B,37,l1,valid,0.610851729969377,0.4657878273687096,0.14506390260066737
original,pretrained_frozen,dense,off,B,37,l1,window,0.6313155594405594,0.4619275332510626,0.16938802618949678
original,pretrained_frozen,dense,off,B,37,rsnn,valid,0.4577482974541798,0.3582809143470908,0.09946738310708897
original,pretrained_frozen,dense,off,B,37,rsnn,window,0.3634656805612688,0.321124994286759,0.04234068627450982
original,pretrained_frozen,dense,off,B,37,readout,valid,0.4577482974541798,0.3582809143470908,0.09946738310708897
original,pretrained_frozen,dense,off,B,37,readout,window,0.3634656805612688,0.321124994286759,0.04234068627450982
original,pretrained_frozen,dense,on,D,11,l1,valid,0.6682882272955801,0.4953017162575986,0.17298651103798152
original,pretrained_frozen,dense,on,D,11,l1,window,0.6684484837058365,0.4909480837789661,0.17750039992687044
original,pretrained_frozen,dense,on,D,11,rsnn,valid,0.5265464315096667,0.4042000891265597,0.12234634238310704
original,pretrained_frozen,dense,on,D,11,rsnn,window,0.3974680344165638,0.330417723616253,0.06705031080031082
original,pretrained_frozen,dense,on,D,11,readout,valid,0.5430195621372093,0.464596330956625,0.07842323118058425
original,pretrained_frozen,dense,on,D,11,readout,window,0.442035027880616,0.3846858003108004,0.057349227569815586
original,pretrained_frozen,dense,on,D,23,l1,valid,0.635424665204077,0.4688342703048585,0.1665903948992185
original,pretrained_frozen,dense,on,D,23,l1,window,0.6194115933086523,0.4598850495909319,0.15952654371772035
original,pretrained_frozen,dense,on,D,23,rsnn,valid,0.4997844679829973,0.4408318193244664,0.05895264865853089
original,pretrained_frozen,dense,on,D,23,rsnn,window,0.4146898852781205,0.3082177830339595,0.10647210224416098
original,pretrained_frozen,dense,on,D,23,readout,valid,0.4939523915626857,0.448913770053476,0.04503862150920973
original,pretrained_frozen,dense,on,D,23,readout,window,0.4586409913615796,0.4149548368298368,0.043686154531742794
original,pretrained_frozen,dense,on,D,37,l1,valid,0.610851729969377,0.4657878273687096,0.14506390260066737
original,pretrained_frozen,dense,on,D,37,l1,window,0.6313155594405594,0.4619275332510626,0.16938802618949678
original,pretrained_frozen,dense,on,D,37,rsnn,valid,0.4889715880524704,0.3277502113899173,0.1612213766625531
original,pretrained_frozen,dense,on,D,37,rsnn,window,0.3945632798573975,0.3032985396955985,0.09126474016179897
original,pretrained_frozen,dense,on,D,37,readout,valid,0.476644413592943,0.3895309143470908,0.08711349924585221
original,pretrained_frozen,dense,on,D,37,readout,window,0.4237330888066182,0.3489690456602221,0.07476404314639612
original,pretrained_frozen,diagonal,off,B,11,l1,valid,0.6682882272955801,0.4953017162575986,0.17298651103798152
original,pretrained_frozen,diagonal,off,B,11,l1,window,0.6684484837058365,0.4909480837789661,0.17750039992687044
original,pretrained_frozen,diagonal,off,B,11,rsnn,valid,0.653926996206408,0.5063075609031492,0.14761943530325883
original,pretrained_frozen,diagonal,off,B,11,rsnn,window,0.5945532816856347,0.52382764294529,0.07072563874034465
original,pretrained_frozen,diagonal,off,B,11,readout,valid,0.653926996206408,0.5063075609031492,0.14761943530325883
original,pretrained_frozen,diagonal,off,B,11,readout,window,0.5945532816856347,0.52382764294529,0.07072563874034465
original,pretrained_frozen,diagonal,off,B,23,l1,valid,0.635424665204077,0.4688342703048585,0.1665903948992185
original,pretrained_frozen,diagonal,off,B,23,l1,window,0.6194115933086523,0.4598850495909319,0.15952654371772035
original,pretrained_frozen,diagonal,off,B,23,rsnn,valid,0.6010942284839343,0.5030958624708625,0.09799836601307188
original,pretrained_frozen,diagonal,off,B,23,rsnn,window,0.5307765151515152,0.4732824569221627,0.05749405822935255
original,pretrained_frozen,diagonal,off,B,23,readout,valid,0.6010942284839343,0.5030958624708625,0.09799836601307188
original,pretrained_frozen,diagonal,off,B,23,readout,window,0.5307765151515152,0.4732824569221627,0.05749405822935255
original,pretrained_frozen,diagonal,off,B,37,l1,valid,0.610851729969377,0.4657878273687096,0.14506390260066737
original,pretrained_frozen,diagonal,off,B,37,l1,window,0.6313155594405594,0.4619275332510626,0.16938802618949678
original,pretrained_frozen,diagonal,off,B,37,rsnn,valid,0.5608795820192879,0.4732133267059737,0.08766625531331418
original,pretrained_frozen,diagonal,off,B,37,rsnn,window,0.510659907902555,0.4866311588738059,0.024028749028749075
original,pretrained_frozen,diagonal,off,B,37,readout,valid,0.5608795820192879,0.4732133267059737,0.08766625531331418
original,pretrained_frozen,diagonal,off,B,37,readout,window,0.510659907902555,0.4866311588738059,0.024028749028749075
original,pretrained_frozen,diagonal,on,D,11,l1,valid,0.6682882272955801,0.4953017162575986,0.17298651103798152
original,pretrained_frozen,diagonal,on,D,11,l1,window,0.6684484837058365,0.4909480837789661,0.17750039992687044
original,pretrained_frozen,diagonal,on,D,11,rsnn,valid,0.6250004284930756,0.4912575986105398,0.13374282988253577
original,pretrained_frozen,diagonal,on,D,11,rsnn,window,0.590584578819873,0.5296641471273823,0.06092043169249073
original,pretrained_frozen,diagonal,on,D,11,readout,valid,0.5158236779560309,0.4609848484848486,0.05483882947118229
original,pretrained_frozen,diagonal,on,D,11,readout,window,0.5026248057498057,0.422988367841309,0.07963643790849673
original,pretrained_frozen,diagonal,on,D,23,l1,valid,0.635424665204077,0.4688342703048585,0.1665903948992185
original,pretrained_frozen,diagonal,on,D,23,l1,window,0.6194115933086523,0.4598850495909319,0.15952654371772035
original,pretrained_frozen,diagonal,on,D,23,rsnn,valid,0.6363802047625577,0.4717798745372274,0.16460033022533033
original,pretrained_frozen,diagonal,on,D,23,rsnn,window,0.6359629953379954,0.5047578442799031,0.13120515105809227
original,pretrained_frozen,diagonal,on,D,23,readout,valid,0.566720513963161,0.5238474964577905,0.042873017505370536
original,pretrained_frozen,diagonal,on,D,23,readout,window,0.5289926984779926,0.4075374788610083,0.1214552196169843
original,pretrained_frozen,diagonal,on,D,37,l1,valid,0.610851729969377,0.4657878273687096,0.14506390260066737
original,pretrained_frozen,diagonal,on,D,37,l1,window,0.6313155594405594,0.4619275332510626,0.16938802618949678
original,pretrained_frozen,diagonal,on,D,37,rsnn,valid,0.6462205482426071,0.4947143950820421,0.15150615316056498
original,pretrained_frozen,diagonal,on,D,37,rsnn,window,0.6231449106449106,0.488547379907674,0.13459753073723663
original,pretrained_frozen,diagonal,on,D,37,readout,valid,0.5531602792632204,0.4469592703048585,0.10620100895836193
original,pretrained_frozen,diagonal,on,D,37,readout,window,0.4912531708487591,0.3836095685360391,0.10764360231271997
original,pretrained_frozen,ff,off,A,11,l1,valid,0.6682882272955801,0.4953017162575986,0.17298651103798152
original,pretrained_frozen,ff,off,A,11,l1,window,0.6684484837058365,0.4909480837789661,0.17750039992687044
original,pretrained_frozen,ff,off,A,11,rsnn,valid,0.6320252868046986,0.5318448912198912,0.1001803955848074
original,pretrained_frozen,ff,off,A,11,rsnn,window,0.6673002650943828,0.5142559646236117,0.1530443004707711
original,pretrained_frozen,ff,off,A,11,readout,valid,0.6320252868046986,0.5318448912198912,0.1001803955848074
original,pretrained_frozen,ff,off,A,11,readout,window,0.6673002650943828,0.5142559646236117,0.1530443004707711
original,pretrained_frozen,ff,off,A,23,l1,valid,0.635424665204077,0.4688342703048585,0.1665903948992185
original,pretrained_frozen,ff,off,A,23,l1,window,0.6194115933086523,0.4598850495909319,0.15952654371772035
original,pretrained_frozen,ff,off,A,23,rsnn,valid,0.6297955516705517,0.5522301636272224,0.07756538804332924
original,pretrained_frozen,ff,off,A,23,rsnn,window,0.6736696718314366,0.5237802230449288,0.14988944878650778
original,pretrained_frozen,ff,off,A,23,readout,valid,0.6297955516705517,0.5522301636272224,0.07756538804332924
original,pretrained_frozen,ff,off,A,23,readout,window,0.6736696718314366,0.5237802230449288,0.14988944878650778
original,pretrained_frozen,ff,off,A,37,l1,valid,0.610851729969377,0.4657878273687096,0.14506390260066737
original,pretrained_frozen,ff,off,A,37,l1,window,0.6313155594405594,0.4619275332510626,0.16938802618949678
original,pretrained_frozen,ff,off,A,37,rsnn,valid,0.6023272887243476,0.4948790792540792,0.1074482094702684
original,pretrained_frozen,ff,off,A,37,rsnn,window,0.5597606437679967,0.4848727661227661,0.07488787764523064
original,pretrained_frozen,ff,off,A,37,readout,valid,0.6023272887243476,0.4948790792540792,0.1074482094702684
original,pretrained_frozen,ff,off,A,37,readout,window,0.5597606437679967,0.4848727661227661,0.07488787764523064
original,pretrained_frozen,ff,on,C,11,l1,valid,0.6682882272955801,0.4953017162575986,0.17298651103798152
original,pretrained_frozen,ff,on,C,11,l1,window,0.6684484837058365,0.4909480837789661,0.17750039992687044
original,pretrained_frozen,ff,on,C,11,rsnn,valid,0.6058469308469309,0.4542506513094749,0.15159627953745597
original,pretrained_frozen,ff,on,C,11,rsnn,window,0.6080088212441154,0.5153903286256227,0.09261849261849264
original,pretrained_frozen,ff,on,C,11,readout,valid,0.6188575517619636,0.567455808080808,0.051401743681155576
original,pretrained_frozen,ff,on,C,11,readout,window,0.6556728198272316,0.5757692879016408,0.07990353192559074
original,pretrained_frozen,ff,on,C,23,l1,valid,0.635424665204077,0.4688342703048585,0.1665903948992185
original,pretrained_frozen,ff,on,C,23,l1,window,0.6194115933086523,0.4598850495909319,0.15952654371772035
original,pretrained_frozen,ff,on,C,23,rsnn,valid,0.6303203128570777,0.4922571301247772,0.1380631827323005
original,pretrained_frozen,ff,on,C,23,rsnn,window,0.6401129507747154,0.4944190205219618,0.14569393025275362
original,pretrained_frozen,ff,on,C,23,readout,valid,0.504742989853284,0.5162748811645871,-0.011531891311303055
original,pretrained_frozen,ff,on,C,23,readout,window,0.5956722199369259,0.4933849238996297,0.1022872960372962
original,pretrained_frozen,ff,on,C,37,l1,valid,0.610851729969377,0.4657878273687096,0.14506390260066737
original,pretrained_frozen,ff,on,C,37,l1,window,0.6313155594405594,0.4619275332510626,0.16938802618949678
original,pretrained_frozen,ff,on,C,37,rsnn,valid,0.6454265505736093,0.5311868686868686,0.11423968188674072
original,pretrained_frozen,ff,on,C,37,rsnn,window,0.6799618069838659,0.4974246137849079,0.182537193198958
original,pretrained_frozen,ff,on,C,37,readout,valid,0.5818336075689017,0.4619351032953974,0.11989850427350429
original,pretrained_frozen,ff,on,C,37,readout,window,0.5474796037296038,0.502249302984597,0.04523030074500678
original,pretrained_trainable,dense,off,B,11,l1,valid,0.6515540015540014,0.5381548802504684,0.11339912130353302
original,pretrained_trainable,dense,off,B,11,l1,window,0.6260420951597422,0.5190953654188947,0.10694672974084751
original,pretrained_trainable,dense,off,B,11,rsnn,valid,0.5290181224004753,0.4602775492481375,0.06874057315233778
original,pretrained_trainable,dense,off,B,11,rsnn,window,0.4194514431646785,0.3646348953334248,0.05481654783125367
original,pretrained_trainable,dense,off,B,11,readout,valid,0.5290181224004753,0.4602775492481375,0.06874057315233778
original,pretrained_trainable,dense,off,B,11,readout,window,0.4194514431646785,0.3646348953334248,0.05481654783125367
original,pretrained_trainable,dense,off,B,23,l1,valid,0.6684694798665388,0.5316987750811281,0.13677070478541076
original,pretrained_trainable,dense,off,B,23,l1,window,0.667711904108963,0.5114373371726313,0.15627456693633168
original,pretrained_trainable,dense,off,B,23,rsnn,valid,0.5050802139037432,0.4294756101741396,0.07560460372960365
original,pretrained_trainable,dense,off,B,23,rsnn,window,0.4067094874080168,0.4112048082636317,-0.004495320855614882
original,pretrained_trainable,dense,off,B,23,readout,valid,0.5050802139037432,0.4294756101741396,0.07560460372960365
original,pretrained_trainable,dense,off,B,23,readout,window,0.4067094874080168,0.4112048082636317,-0.004495320855614882
original,pretrained_trainable,dense,off,B,37,l1,valid,0.6574190719411307,0.4846380947483888,0.17278097719274188
original,pretrained_trainable,dense,off,B,37,l1,window,0.6567654771698889,0.4723659102335573,0.18439956693633158
original,pretrained_trainable,dense,off,B,37,rsnn,valid,0.4234817062022944,0.4055581265140089,0.017923579688285507
original,pretrained_trainable,dense,off,B,37,rsnn,window,0.3590724838886603,0.3342186000274235,0.024853883861236825
original,pretrained_trainable,dense,off,B,37,readout,valid,0.4234817062022944,0.4055581265140089,0.017923579688285507
original,pretrained_trainable,dense,off,B,37,readout,window,0.3590724838886603,0.3342186000274235,0.024853883861236825
original,pretrained_trainable,dense,on,D,11,l1,valid,0.670198735088441,0.5053080293889117,0.16489070569952924
original,pretrained_trainable,dense,on,D,11,l1,window,0.6446912564559624,0.5386667866447279,0.10602446981123448
original,pretrained_trainable,dense,on,D,11,rsnn,valid,0.5579048402577814,0.4395494823803647,0.11835535787741674
original,pretrained_trainable,dense,on,D,11,rsnn,window,0.448941764934412,0.3257881415969651,0.1231536233374469
original,pretrained_trainable,dense,on,D,11,readout,valid,0.5294087652543535,0.488510957996252,0.04089780725810155
original,pretrained_trainable,dense,on,D,11,readout,window,0.4915869669546139,0.4208204785410667,0.07076648841354721
original,pretrained_trainable,dense,on,D,23,l1,valid,0.6375189965263494,0.5112956487956487,0.12622334773070065
original,pretrained_trainable,dense,on,D,23,l1,window,0.6525312514283101,0.4854786553315965,0.16705259609671363
original,pretrained_trainable,dense,on,D,23,rsnn,valid,0.5370573666529549,0.439829145527675,0.0972282211252799
original,pretrained_trainable,dense,on,D,23,rsnn,window,0.4946821152703506,0.3204839686457333,0.1741981466246173
original,pretrained_trainable,dense,on,D,23,readout,valid,0.5634858197358198,0.4800723581973582,0.08341346153846158
original,pretrained_trainable,dense,on,D,23,readout,window,0.5124158725261666,0.4155490138946021,0.09686685863156452
original,pretrained_trainable,dense,on,D,37,l1,valid,0.6622801830522418,0.4596393802276155,0.20264080282462626
original,pretrained_trainable,dense,on,D,37,l1,window,0.6482606037753096,0.4765071529777411,0.17175345079756849
original,pretrained_trainable,dense,on,D,37,rsnn,valid,0.4345111179670003,0.3384693941679236,0.09604172379907672
original,pretrained_trainable,dense,on,D,37,rsnn,window,0.3506797328488505,0.2569742961287079,0.09370543672014259
original,pretrained_trainable,dense,on,D,37,readout,valid,0.4904578877005348,0.4235351250057133,0.0669227626948215
original,pretrained_trainable,dense,on,D,37,readout,window,0.4435266122766123,0.3438942593354359,0.0996323529411764
original,pretrained_trainable,diagonal,off,B,11,l1,valid,0.680309029206088,0.5625012854792267,0.11780774372686131
original,pretrained_trainable,diagonal,off,B,11,l1,window,0.660558212212624,0.5315168083550436,0.12904140385758045
original,pretrained_trainable,diagonal,off,B,11,rsnn,valid,0.6187240047534166,0.5021267539649892,0.11659725078842742
original,pretrained_trainable,diagonal,off,B,11,rsnn,window,0.6079978232551762,0.5703611339640751,0.03763668929110109
original,pretrained_trainable,diagonal,off,B,11,readout,valid,0.6187240047534166,0.5021267539649892,0.11659725078842742
original,pretrained_trainable,diagonal,off,B,11,readout,window,0.6079978232551762,0.5703611339640751,0.03763668929110109
original,pretrained_trainable,diagonal,off,B,23,l1,valid,0.666054350061703,0.5166500982677452,0.14940425179395778
original,pretrained_trainable,diagonal,off,B,23,l1,window,0.665053533068239,0.511441764934412,0.15361176813382704
original,pretrained_trainable,diagonal,off,B,23,rsnn,valid,0.5965803395950454,0.5017826740253211,0.09479766556972435
original,pretrained_trainable,diagonal,off,B,23,rsnn,window,0.5581625074272133,0.4915626856803328,0.0665998217468805
original,pretrained_trainable,diagonal,off,B,23,readout,valid,0.5965803395950454,0.5017826740253211,0.09479766556972435
