method,synapse_mode,seed,layer,valid_firing_fraction,valid_spikes_per_neuron_second,zero_tail_firing_fraction
context_gain,legacy,23,long,0.21258680522441864,13.605555534362793,0.4547722041606903
context_gain,legacy,23,middle,0.0503472238779068,3.222222328186035,0.020519578829407692
context_gain,legacy,23,output,0.1101851835846901,7.051851749420166,0.056726906448602676
context_gain,legacy,23,short,0.0032986111473292112,0.21111111342906952,9.412650251761079e-05
context_gain,legacy,37,long,0.21215277910232544,13.577777862548828,0.4390060305595398
context_gain,legacy,37,middle,0.04652777686715126,2.9777777194976807,0.023343373090028763
context_gain,legacy,37,output,0.0962962955236435,6.162962913513184,0.020582329481840134
context_gain,legacy,37,short,0.002864583395421505,0.18333333730697632,0.00014118975377641618
context_gain,normalized,11,long,0.0,0.0,0.0
context_gain,normalized,11,middle,0.0,0.0,0.0
context_gain,normalized,11,output,0.0,0.0,0.0
context_gain,normalized,11,short,0.0,0.0,0.0
context_gain,normalized,23,long,0.0,0.0,0.0
context_gain,normalized,23,middle,0.0,0.0,0.0
context_gain,normalized,23,output,0.0,0.0,0.0
context_gain,normalized,23,short,0.0,0.0,0.0
context_gain,normalized,37,long,0.0,0.0,0.0
context_gain,normalized,37,middle,0.0,0.0,0.0
context_gain,normalized,37,output,0.0,0.0,0.0
context_gain,normalized,37,short,0.0,0.0,0.0
