coding,l2_mem_shift,probe,count,mean,std
weighted31,1,l1__post_reset__whole_mean,3,0.511137392019745,0.02033539773677415
weighted31,1,l1__post_reset__fixed250_ordered_mean,3,0.7133946459314107,0.01829298790962498
weighted31,1,l1__spike__whole_count,3,0.4575870412267471,0.039832563270537566
weighted31,1,l1__spike__fixed250_count,3,0.6431390640949464,0.02017935993780581
weighted31,1,l2__syn_current__whole_mean,3,0.48611872876578754,0.037014534336465274
weighted31,1,l2__syn_current__fixed250_ordered_mean,3,0.6066085534835536,0.014747148013135687
weighted31,1,l2__pre_reset__whole_mean,3,0.4919694684400566,0.02897819992641357
weighted31,1,l2__pre_reset__fixed250_ordered_mean,3,0.6139573049499519,0.014805048747657942
weighted31,1,l2__spike__whole_mean,3,0.5047485126529244,0.02319617175260937
weighted31,1,l2__spike__fixed250_ordered_mean,3,0.5914679887106358,0.03510728997870854
weighted31,1,l2__post_reset__whole_mean,3,0.43337970580617635,0.019603404911179706
weighted31,1,l2__post_reset__fixed250_ordered_mean,3,0.5900083032435974,0.013787927489564875
weighted31,1,l2__spike__whole_count,3,0.5285418761521702,0.0290475748680171
weighted31,1,l2__spike__fixed250_count,3,0.6264231683349331,0.033389547302954625
weighted31,2,input__events__whole_count,3,0.4066306446821153,0.0
weighted31,2,input__events__fixed250_count,3,0.6578262831939302,0.0
weighted31,2,l1__syn_current__whole_mean,3,0.4794730392156863,0.017347726203143767
weighted31,2,l1__syn_current__fixed250_ordered_mean,3,0.6951217491658669,0.014859803308323191
weighted31,2,l1__pre_reset__whole_mean,3,0.5087251664457547,0.03378448592656424
weighted31,2,l1__pre_reset__fixed250_ordered_mean,3,0.7183888755579932,0.017473300426710015
weighted31,2,l1__spike__whole_mean,3,0.4145950454773984,0.04149237485778089
weighted31,2,l1__spike__fixed250_ordered_mean,3,0.6506135068635069,0.018730433909836537
weighted31,2,l1__post_reset__whole_mean,3,0.5033235827353475,0.02721835151847011
weighted31,2,l1__post_reset__fixed250_ordered_mean,3,0.7230755899873548,0.02086725649912221
weighted31,2,l1__spike__whole_count,3,0.47666331489860897,0.036796941473075884
weighted31,2,l1__spike__fixed250_count,3,0.6438943545561192,0.01322948103173663
weighted31,2,l2__syn_current__whole_mean,3,0.4797024258421317,0.023296612095782168
weighted31,2,l2__syn_current__fixed250_ordered_mean,3,0.5804951380319028,0.021120048201112147
weighted31,2,l2__pre_reset__whole_mean,3,0.4711027126468303,0.04223077512505037
weighted31,2,l2__pre_reset__fixed250_ordered_mean,3,0.6111433909228027,0.02965983454411148
weighted31,2,l2__spike__whole_mean,3,0.49055115635998,0.005771661621861042
weighted31,2,l2__spike__fixed250_ordered_mean,3,0.5983213069610128,0.01765997762232842
weighted31,2,l2__post_reset__whole_mean,3,0.45432439972881156,0.01187400405549721
weighted31,2,l2__post_reset__fixed250_ordered_mean,3,0.5943522232125172,0.010273434384634622
weighted31,2,l2__spike__whole_count,3,0.48713978015448606,0.027382008694567476
weighted31,2,l2__spike__fixed250_count,3,0.6041727607904078,0.012620399180899583
weighted31,3,input__events__whole_count,3,0.4066306446821153,0.0
weighted31,3,input__events__fixed250_count,3,0.6578262831939302,0.0
weighted31,3,l1__syn_current__whole_mean,3,0.4685919336654631,0.005666396962671668
weighted31,3,l1__syn_current__fixed250_ordered_mean,3,0.6973621014062191,0.0059562620834462945
weighted31,3,l1__pre_reset__whole_mean,3,0.5179243890640949,0.04281597366366151
weighted31,3,l1__pre_reset__fixed250_ordered_mean,3,0.7247320966070966,0.017172538503138164
weighted31,3,l1__spike__whole_mean,3,0.4523117677529442,0.0285551580898169
weighted31,3,l1__spike__fixed250_ordered_mean,3,0.6338272430184194,0.01138159752452336
weighted31,3,l1__post_reset__whole_mean,3,0.5369214867376633,0.03648327575880174
weighted31,3,l1__post_reset__fixed250_ordered_mean,3,0.7275647691088868,0.012393928055226471
weighted31,3,l1__spike__whole_count,3,0.4553299301461066,0.015940548320177068
weighted31,3,l1__spike__fixed250_count,3,0.6352423175952587,0.006713069109198007
weighted31,3,l2__syn_current__whole_mean,3,0.47985901625607513,0.01816039097819511
weighted31,3,l2__syn_current__fixed250_ordered_mean,3,0.6024371733930557,0.02381944501518625
weighted31,3,l2__pre_reset__whole_mean,3,0.46881284565108094,0.03141254601150185
weighted31,3,l2__pre_reset__fixed250_ordered_mean,3,0.5938790716364246,0.00982556971370112
weighted31,3,l2__spike__whole_mean,3,0.4716807021954081,0.03834525363263526
weighted31,3,l2__spike__fixed250_ordered_mean,3,0.6136861164434694,0.017122138787319083
weighted31,3,l2__post_reset__whole_mean,3,0.4345462543991956,0.03206907684494689
weighted31,3,l2__post_reset__fixed250_ordered_mean,3,0.5465848149671679,0.036170115429371506
weighted31,3,l2__spike__whole_count,3,0.5032287905449669,0.027959612003695244
weighted31,3,l2__spike__fixed250_count,3,0.6176835283452929,0.011840767300582129
