architecture,routing,seed,sample_index,label,routing_disagreement_rate,oracle_true_class_margin,predicted_true_class_margin,margin_delta_pred_minus_oracle
rsnn64_progress,hard,53,75,8,0.9402985074626866,0.9705711022361356,-0.23523795850906026,-1.205809060745196
rsnn64_progress,hard,53,76,1,0.7622950819672131,3.4768264748872753,0.07806599662126246,-3.398760478266013
rsnn64_progress,hard,53,77,11,0.7283950617283951,-2.5540108766183494,-2.2616361197926835,0.2923747568256658
rsnn64_progress,hard,53,78,4,0.6859504132231405,1.3513171622742561,0.3718074289498645,-0.9795097333243916
rsnn64_progress,hard,53,79,5,0.7310924369747899,0.1405591905233905,-1.5989643567409075,-1.739523547264298
rsnn64_progress,hard,53,80,2,0.9733333333333334,0.07694122596376474,-0.7151697106660322,-0.7921109366297969
rsnn64_progress,hard,53,81,7,0.8526315789473684,1.5823633733457427,2.7348632478151558,1.152499874469413
rsnn64_progress,hard,53,82,3,0.5483870967741935,1.1060287610896467,-0.1537764698502997,-1.2598052309399463
rsnn64_progress,hard,53,83,6,0.7864077669902912,0.8888751961039816,0.46389120343610557,-0.424983992667876
rsnn64_progress,hard,53,84,0,0.6555555555555556,1.4794497661977513,2.412663013559028,0.9332132473612766
rsnn64_progress,hard,53,85,9,0.8241758241758241,2.9930981661088936,-0.6599194310626899,-3.6530175971715835
rsnn64_progress,hard,53,86,6,0.6746987951807228,0.18774839960678946,0.11280157951568981,-0.07494682009109965
rsnn64_progress,hard,53,87,4,0.6881720430107527,2.5187633621670216,1.1982589840354194,-1.3205043781316022
rsnn64_progress,hard,53,88,3,0.7710843373493976,1.1783886488806274,-0.2667324665007982,-1.4451211153814256
rsnn64_progress,hard,53,89,8,0.7288135593220338,-0.5495425290087042,-0.7113925601061055,-0.16185003109740137
rsnn64_progress,hard,53,90,7,0.6511627906976745,3.501625135596896,3.7256706650732667,0.22404552947637058
rsnn64_progress,hard,53,91,1,0.6504854368932039,3.1123432737163856,2.972014274516141,-0.14032899920024455
rsnn64_progress,hard,53,92,11,0.9444444444444444,-2.891374806156591,-1.3560060093050197,1.5353687968515715
rsnn64_progress,hard,53,93,9,0.5975609756097561,-1.505926287279351,-2.6067215843781923,-1.1007952970988413
rsnn64_progress,hard,53,94,2,0.9365079365079365,0.5972541261317019,-0.24428643010378437,-0.8415405562354863
rsnn64_progress,hard,53,95,10,0.9649122807017544,0.2121589764797136,-0.2965583046388929,-0.5087172811186065
rsnn64_progress,hard,53,96,9,0.61,5.788459219836113,3.0960980327854486,-2.6923611870506647
rsnn64_progress,hard,53,97,2,0.96875,0.8619402814174464,-0.3754758968702845,-1.2374161782877309
rsnn64_progress,hard,53,98,0,0.82,3.6294019206218984,-0.972253126092161,-4.601655046714059
rsnn64_progress,hard,53,99,10,0.8840579710144928,0.4397117749313111,0.1377939075082395,-0.3019178674230716
rsnn64_progress,hard,53,100,6,0.4807692307692308,1.6132401478141674,1.5651581950207856,-0.04808195279338179
rsnn64_progress,hard,53,101,1,0.7079646017699115,2.0688252242925387,-0.35246582775579327,-2.421291052048332
rsnn64_progress,hard,53,102,7,0.8333333333333334,2.391631626494018,2.774890686137951,0.38325905964393314
