experiment,split_seed,representation_family,condition,normalization,n_bins,requested_duration_ms,samples_per_bin,actual_duration_ms,feature_dim,classifier,eval_split,accuracy,balanced_accuracy,macro_f1
experiment_1_3_1,37,relative_progress,relative_10bin,raw,10,,,,300,linear,test,0.7215189873417721,0.7286220723720724,0.7223291532756203
experiment_1_3_1,37,relative_progress,relative_10bin,raw,10,,,,300,5nn,val,0.5284090909090909,0.5172512060379707,0.4984875730512595
experiment_1_3_1,37,relative_progress,relative_10bin,raw,10,,,,300,5nn,test,0.44936708860759494,0.4262869075369075,0.39775823310533903
experiment_1_3_1,37,relative_progress,relative_20bin,raw,20,,,,600,linear,val,0.6875,0.6764355742296919,0.6714827433105096
experiment_1_3_1,37,relative_progress,relative_20bin,raw,20,,,,600,linear,test,0.6139240506329114,0.6247682872682873,0.6163532189394259
experiment_1_3_1,37,relative_progress,relative_20bin,raw,20,,,,600,5nn,val,0.42045454545454547,0.40407329598506064,0.38517464985683264
experiment_1_3_1,37,relative_progress,relative_20bin,raw,20,,,,600,5nn,test,0.34810126582278483,0.33120143745143743,0.3354862770080161
experiment_1_3_1,53,relative_progress,relative_1bin,raw,1,,,,30,linear,val,0.48743718592964824,0.4681931859563439,0.45434615728985767
experiment_1_3_1,53,relative_progress,relative_1bin,raw,1,,,,30,linear,test,0.36428571428571427,0.3542637917637918,0.3306152175720874
experiment_1_3_1,53,relative_progress,relative_1bin,raw,1,,,,30,5nn,val,0.3316582914572864,0.31355150697255957,0.30044265985055457
experiment_1_3_1,53,relative_progress,relative_1bin,raw,1,,,,30,5nn,test,0.21428571428571427,0.20643939393939395,0.1863511630507245
experiment_1_3_1,53,relative_progress,relative_4bin,raw,4,,,,120,linear,val,0.7537688442211056,0.7368987372276846,0.7418738477958867
experiment_1_3_1,53,relative_progress,relative_4bin,raw,4,,,,120,linear,test,0.6,0.5820221445221445,0.5695015055439284
experiment_1_3_1,53,relative_progress,relative_4bin,raw,4,,,,120,5nn,val,0.6532663316582915,0.6447294786110576,0.643817929927862
experiment_1_3_1,53,relative_progress,relative_4bin,raw,4,,,,120,5nn,test,0.45714285714285713,0.4361888111888112,0.4112031645330531
experiment_1_3_1,53,relative_progress,relative_10bin,raw,10,,,,300,linear,val,0.7839195979899497,0.7747739407278881,0.7850147052768022
experiment_1_3_1,53,relative_progress,relative_10bin,raw,10,,,,300,linear,test,0.6285714285714286,0.6054778554778554,0.6066854021570045
experiment_1_3_1,53,relative_progress,relative_10bin,raw,10,,,,300,5nn,val,0.628140703517588,0.6034377476811688,0.60816175251276
experiment_1_3_1,53,relative_progress,relative_10bin,raw,10,,,,300,5nn,test,0.4928571428571429,0.4712024087024087,0.4431503566927795
experiment_1_3_1,53,relative_progress,relative_20bin,raw,20,,,,600,linear,val,0.7286432160804021,0.7192655115352484,0.7354938917852968
experiment_1_3_1,53,relative_progress,relative_20bin,raw,20,,,,600,linear,test,0.5571428571428572,0.5471542346542345,0.549615099406766
experiment_1_3_1,53,relative_progress,relative_20bin,raw,20,,,,600,5nn,val,0.3869346733668342,0.3748495169547801,0.3871105746105747
experiment_1_3_1,53,relative_progress,relative_20bin,raw,20,,,,600,5nn,test,0.29285714285714287,0.2833139083139083,0.24482470150930316
experiment_1_3_1,71,relative_progress,relative_1bin,raw,1,,,,30,linear,val,0.4411764705882353,0.4320512820512821,0.42807937113558553
experiment_1_3_1,71,relative_progress,relative_1bin,raw,1,,,,30,linear,test,0.45555555555555555,0.4303396358543417,0.41069815300715135
experiment_1_3_1,71,relative_progress,relative_1bin,raw,1,,,,30,5nn,val,0.3058823529411765,0.29648580586080586,0.2847332736622285
experiment_1_3_1,71,relative_progress,relative_1bin,raw,1,,,,30,5nn,test,0.3333333333333333,0.30857551353874885,0.2855121166096776
experiment_1_3_1,71,relative_progress,relative_4bin,raw,4,,,,120,linear,val,0.7764705882352941,0.7704403235653237,0.7563422576527415
experiment_1_3_1,71,relative_progress,relative_4bin,raw,4,,,,120,linear,test,0.7111111111111111,0.6983806022408964,0.705851410743284
experiment_1_3_1,71,relative_progress,relative_4bin,raw,4,,,,120,5nn,val,0.5823529411764706,0.579666514041514,0.5811525476650469
experiment_1_3_1,71,relative_progress,relative_4bin,raw,4,,,,120,5nn,test,0.5611111111111111,0.5396562791783379,0.5437130155921496
experiment_1_3_1,71,relative_progress,relative_10bin,raw,10,,,,300,linear,val,0.8470588235294118,0.8394001831501833,0.8424612621620735
experiment_1_3_1,71,relative_progress,relative_10bin,raw,10,,,,300,linear,test,0.7444444444444445,0.7381273342670401,0.7375975967647025
experiment_1_3_1,71,relative_progress,relative_10bin,raw,10,,,,300,5nn,val,0.6529411764705882,0.6297657203907204,0.6237349546198042
experiment_1_3_1,71,relative_progress,relative_10bin,raw,10,,,,300,5nn,test,0.6055555555555555,0.5793096405228758,0.5775689557594289
experiment_1_3_1,71,relative_progress,relative_20bin,raw,20,,,,600,linear,val,0.711764705882353,0.704368894993895,0.7040883123307222
experiment_1_3_1,71,relative_progress,relative_20bin,raw,20,,,,600,linear,test,0.6777777777777778,0.6664886788048553,0.6821874077864027
experiment_1_3_1,71,relative_progress,relative_20bin,raw,20,,,,600,5nn,val,0.4647058823529412,0.45177808302808303,0.44769044093319454
experiment_1_3_1,71,relative_progress,relative_20bin,raw,20,,,,600,5nn,test,0.37222222222222223,0.35535130718954244,0.3615069996008112
experiment_1_3_1,11,raw_timestep,raw_timestep_flatten,raw,256,15.625,1.0,15.625,7680,linear,val,0.27976190476190477,0.26527396214896215,0.24267875074746795
experiment_1_3_1,11,raw_timestep,raw_timestep_flatten,raw,256,15.625,1.0,15.625,7680,linear,test,0.2980769230769231,0.28724128540305016,0.28047776863928314
experiment_1_3_1,11,raw_timestep,raw_timestep_flatten,raw,256,15.625,1.0,15.625,7680,5nn,val,0.1130952380952381,0.10611263736263736,0.047252164711492906
experiment_1_3_1,11,raw_timestep,raw_timestep_flatten,raw,256,15.625,1.0,15.625,7680,5nn,test,0.07692307692307693,0.07465277777777778,0.016876884023480882
experiment_1_3_1,23,raw_timestep,raw_timestep_flatten,raw,256,15.625,1.0,15.625,7680,linear,val,0.281767955801105,0.27706709820680414,0.28114368011348734
experiment_1_3_1,23,raw_timestep,raw_timestep_flatten,raw,256,15.625,1.0,15.625,7680,linear,test,0.3446327683615819,0.3284673591658886,0.32156023486668645
experiment_1_3_1,23,raw_timestep,raw_timestep_flatten,raw,256,15.625,1.0,15.625,7680,5nn,val,0.09392265193370165,0.08333333333333333,0.014529914529914529
experiment_1_3_1,23,raw_timestep,raw_timestep_flatten,raw,256,15.625,1.0,15.625,7680,5nn,test,0.096045197740113,0.08333333333333333,0.023443656422379822
experiment_1_3_1,37,raw_timestep,raw_timestep_flatten,raw,256,15.625,1.0,15.625,7680,linear,val,0.2556818181818182,0.24770463741051976,0.2552004463289533
experiment_1_3_1,37,raw_timestep,raw_timestep_flatten,raw,256,15.625,1.0,15.625,7680,linear,test,0.27848101265822783,0.2724393661893662,0.25152499287768054
experiment_1_3_1,37,raw_timestep,raw_timestep_flatten,raw,256,15.625,1.0,15.625,7680,5nn,val,0.0625,0.0863834422657952,0.02786093786093786
experiment_1_3_1,37,raw_timestep,raw_timestep_flatten,raw,256,15.625,1.0,15.625,7680,5nn,test,0.06329113924050633,0.07212301587301588,0.039604580655980125
experiment_1_3_1,53,raw_timestep,raw_timestep_flatten,raw,256,15.625,1.0,15.625,7680,linear,val,0.35175879396984927,0.3437259012916907,0.33986984331501474
experiment_1_3_1,53,raw_timestep,raw_timestep_flatten,raw,256,15.625,1.0,15.625,7680,linear,test,0.30714285714285716,0.2948717948717949,0.29734996278950304
experiment_1_3_1,53,raw_timestep,raw_timestep_flatten,raw,256,15.625,1.0,15.625,7680,5nn,val,0.09547738693467336,0.08333333333333333,0.014660493827160495
experiment_1_3_1,53,raw_timestep,raw_timestep_flatten,raw,256,15.625,1.0,15.625,7680,5nn,test,0.07857142857142857,0.08333333333333333,0.012731481481481483
experiment_1_3_1,71,raw_timestep,raw_timestep_flatten,raw,256,15.625,1.0,15.625,7680,linear,val,0.34705882352941175,0.3366376678876679,0.32578895376974515
experiment_1_3_1,71,raw_timestep,raw_timestep_flatten,raw,256,15.625,1.0,15.625,7680,linear,test,0.35555555555555557,0.34296802054154996,0.3399861215741434
experiment_1_3_1,71,raw_timestep,raw_timestep_flatten,raw,256,15.625,1.0,15.625,7680,5nn,val,0.1,0.08888888888888889,0.02498861566484517
experiment_1_3_1,71,raw_timestep,raw_timestep_flatten,raw,256,15.625,1.0,15.625,7680,5nn,test,0.08888888888888889,0.0784313725490196,0.013675213675213675
experiment_1_3_1,11,fixed_duration,fixed_0050ms_raw,raw,86,50.0,3.0,46.875,2580,linear,val,0.3392857142857143,0.3343597374847375,0.3115664926939437
experiment_1_3_1,11,fixed_duration,fixed_0050ms_raw,raw,86,50.0,3.0,46.875,2580,linear,test,0.3894230769230769,0.37560593681917215,0.37785548226024407
experiment_1_3_1,11,fixed_duration,fixed_0050ms_raw,raw,86,50.0,3.0,46.875,2580,5nn,val,0.11904761904761904,0.11262210012210012,0.08034472265692923
experiment_1_3_1,11,fixed_duration,fixed_0050ms_raw,raw,86,50.0,3.0,46.875,2580,5nn,test,0.15865384615384615,0.1613494008714597,0.09950836305759174
experiment_1_3_1,11,fixed_duration,fixed_0050ms_unit_total_intensity,unit_total_intensity,86,50.0,3.0,46.875,2580,linear,val,0.3333333333333333,0.325667735042735,0.3106429769787613
experiment_1_3_1,11,fixed_duration,fixed_0050ms_unit_total_intensity,unit_total_intensity,86,50.0,3.0,46.875,2580,linear,test,0.40865384615384615,0.394744008714597,0.3932979563008298
experiment_1_3_1,11,fixed_duration,fixed_0050ms_unit_total_intensity,unit_total_intensity,86,50.0,3.0,46.875,2580,5nn,val,0.10714285714285714,0.10020985958485958,0.05778499828292565
experiment_1_3_1,11,fixed_duration,fixed_0050ms_unit_total_intensity,unit_total_intensity,86,50.0,3.0,46.875,2580,5nn,test,0.10096153846153846,0.096875,0.03256699727287963
experiment_1_3_1,11,fixed_duration,fixed_0150ms_raw,raw,26,150.0,10.0,156.25,780,linear,val,0.4642857142857143,0.4659684065934066,0.4573629017726691
experiment_1_3_1,11,fixed_duration,fixed_0150ms_raw,raw,26,150.0,10.0,156.25,780,linear,test,0.6730769230769231,0.6684095860566449,0.6633291618619976
experiment_1_3_1,11,fixed_duration,fixed_0150ms_raw,raw,26,150.0,10.0,156.25,780,5nn,val,0.27380952380952384,0.26474358974358975,0.22943456516727934
experiment_1_3_1,11,fixed_duration,fixed_0150ms_raw,raw,26,150.0,10.0,156.25,780,5nn,test,0.4182692307692308,0.4056236383442266,0.4034039727128844
experiment_1_3_1,11,fixed_duration,fixed_0150ms_unit_total_intensity,unit_total_intensity,26,150.0,10.0,156.25,780,linear,val,0.39880952380952384,0.40157203907203914,0.3890450049704898
experiment_1_3_1,11,fixed_duration,fixed_0150ms_unit_total_intensity,unit_total_intensity,26,150.0,10.0,156.25,780,linear,test,0.6298076923076923,0.618681917211329,0.6138034214322322
experiment_1_3_1,11,fixed_duration,fixed_0150ms_unit_total_intensity,unit_total_intensity,26,150.0,10.0,156.25,780,5nn,val,0.25595238095238093,0.26609432234432234,0.2500877715404932
experiment_1_3_1,11,fixed_duration,fixed_0150ms_unit_total_intensity,unit_total_intensity,26,150.0,10.0,156.25,780,5nn,test,0.41346153846153844,0.4049360021786492,0.3997274965472964
experiment_1_3_1,11,fixed_duration,fixed_0250ms_raw,raw,16,250.0,16.0,250.0,480,linear,val,0.4583333333333333,0.4517094017094017,0.4464819530286534
experiment_1_3_1,11,fixed_duration,fixed_0250ms_raw,raw,16,250.0,16.0,250.0,480,linear,test,0.6875,0.683183551198257,0.6820908007191738
experiment_1_3_1,11,fixed_duration,fixed_0250ms_raw,raw,16,250.0,16.0,250.0,480,5nn,val,0.2916666666666667,0.27303876678876676,0.2349492622622078
experiment_1_3_1,11,fixed_duration,fixed_0250ms_raw,raw,16,250.0,16.0,250.0,480,5nn,test,0.47115384615384615,0.45192674291939,0.44304432781804753
experiment_1_3_1,11,fixed_duration,fixed_0250ms_unit_total_intensity,unit_total_intensity,16,250.0,16.0,250.0,480,linear,val,0.44642857142857145,0.4379769536019536,0.43400143712643713
experiment_1_3_1,11,fixed_duration,fixed_0250ms_unit_total_intensity,unit_total_intensity,16,250.0,16.0,250.0,480,linear,test,0.5961538461538461,0.5878676470588234,0.5829138392221248
experiment_1_3_1,11,fixed_duration,fixed_0250ms_unit_total_intensity,unit_total_intensity,16,250.0,16.0,250.0,480,5nn,val,0.31547619047619047,0.307287851037851,0.28741450930666945
experiment_1_3_1,11,fixed_duration,fixed_0250ms_unit_total_intensity,unit_total_intensity,16,250.0,16.0,250.0,480,5nn,test,0.3605769230769231,0.35834014161220046,0.3300570618691524
experiment_1_3_1,11,fixed_duration,fixed_0350ms_raw,raw,12,350.0,22.0,343.75,360,linear,val,0.4880952380952381,0.4864774114774115,0.4812881150080535
experiment_1_3_1,11,fixed_duration,fixed_0350ms_raw,raw,12,350.0,22.0,343.75,360,linear,test,0.6971153846153846,0.696275871459695,0.6884368942989999
experiment_1_3_1,11,fixed_duration,fixed_0350ms_raw,raw,12,350.0,22.0,343.75,360,5nn,val,0.3273809523809524,0.32649954212454213,0.31403940886699505
experiment_1_3_1,11,fixed_duration,fixed_0350ms_raw,raw,12,350.0,22.0,343.75,360,5nn,test,0.5336538461538461,0.5161220043572986,0.5051016799292661
experiment_1_3_1,11,fixed_duration,fixed_0350ms_unit_total_intensity,unit_total_intensity,12,350.0,22.0,343.75,360,linear,val,0.4226190476190476,0.42003586691086686,0.417746580380989
experiment_1_3_1,11,fixed_duration,fixed_0350ms_unit_total_intensity,unit_total_intensity,12,350.0,22.0,343.75,360,linear,test,0.6298076923076923,0.6187295751633987,0.6184697067337076
experiment_1_3_1,11,fixed_duration,fixed_0350ms_unit_total_intensity,unit_total_intensity,12,350.0,22.0,343.75,360,5nn,val,0.3333333333333333,0.322378663003663,0.31069304098827927
experiment_1_3_1,11,fixed_duration,fixed_0350ms_unit_total_intensity,unit_total_intensity,12,350.0,22.0,343.75,360,5nn,test,0.4951923076923077,0.48326525054466224,0.4655257059361991
experiment_1_3_1,11,fixed_duration,fixed_0450ms_raw,raw,9,450.0,29.0,453.125,270,linear,val,0.48214285714285715,0.47638507326007323,0.4722528147326197
experiment_1_3_1,11,fixed_duration,fixed_0450ms_raw,raw,9,450.0,29.0,453.125,270,linear,test,0.6490384615384616,0.6546023965141613,0.6447540531532372
experiment_1_3_1,11,fixed_duration,fixed_0450ms_raw,raw,9,450.0,29.0,453.125,270,5nn,val,0.38095238095238093,0.36696047008547006,0.34793394900787944
experiment_1_3_1,11,fixed_duration,fixed_0450ms_raw,raw,9,450.0,29.0,453.125,270,5nn,test,0.5240384615384616,0.5126565904139433,0.5101358411981927
experiment_1_3_1,11,fixed_duration,fixed_0450ms_unit_total_intensity,unit_total_intensity,9,450.0,29.0,453.125,270,linear,val,0.4642857142857143,0.46811278998779,0.46803977639343497
experiment_1_3_1,11,fixed_duration,fixed_0450ms_unit_total_intensity,unit_total_intensity,9,450.0,29.0,453.125,270,linear,test,0.6009615384615384,0.6013888888888889,0.5983393299334013
experiment_1_3_1,11,fixed_duration,fixed_0450ms_unit_total_intensity,unit_total_intensity,9,450.0,29.0,453.125,270,5nn,val,0.3333333333333333,0.32430173992673994,0.31514871183778503
experiment_1_3_1,11,fixed_duration,fixed_0450ms_unit_total_intensity,unit_total_intensity,9,450.0,29.0,453.125,270,5nn,test,0.4423076923076923,0.4351171023965142,0.42394098244631856
experiment_1_3_1,11,fixed_duration,fixed_0550ms_raw,raw,8,550.0,35.0,546.875,240,linear,val,0.4583333333333333,0.4551549145299145,0.4452092981024303
experiment_1_3_1,11,fixed_duration,fixed_0550ms_raw,raw,8,550.0,35.0,546.875,240,linear,test,0.6634615384615384,0.6554874727668846,0.6504107090563722
experiment_1_3_1,11,fixed_duration,fixed_0550ms_raw,raw,8,550.0,35.0,546.875,240,5nn,val,0.30952380952380953,0.30038156288156287,0.28339231067601145
experiment_1_3_1,11,fixed_duration,fixed_0550ms_raw,raw,8,550.0,35.0,546.875,240,5nn,test,0.47596153846153844,0.4671228213507625,0.4664583233724246
experiment_1_3_1,11,fixed_duration,fixed_0550ms_unit_total_intensity,unit_total_intensity,8,550.0,35.0,546.875,240,linear,val,0.4523809523809524,0.44827152014652016,0.4461641977866144
experiment_1_3_1,11,fixed_duration,fixed_0550ms_unit_total_intensity,unit_total_intensity,8,550.0,35.0,546.875,240,linear,test,0.6298076923076923,0.6262118736383442,0.6162635056791402
experiment_1_3_1,11,fixed_duration,fixed_0550ms_unit_total_intensity,unit_total_intensity,8,550.0,35.0,546.875,240,5nn,val,0.2857142857142857,0.2856875763125763,0.27888867425480696
experiment_1_3_1,11,fixed_duration,fixed_0550ms_unit_total_intensity,unit_total_intensity,8,550.0,35.0,546.875,240,5nn,test,0.5336538461538461,0.5216162854030502,0.5136865096380685
experiment_1_3_1,11,fixed_duration,fixed_0650ms_raw,raw,7,650.0,42.0,656.25,210,linear,val,0.47023809523809523,0.4693414224664225,0.45219327774521206
experiment_1_3_1,11,fixed_duration,fixed_0650ms_raw,raw,7,650.0,42.0,656.25,210,linear,test,0.5721153846153846,0.5681440631808279,0.5614787970407048
experiment_1_3_1,11,fixed_duration,fixed_0650ms_raw,raw,7,650.0,42.0,656.25,210,5nn,val,0.32142857142857145,0.3166514041514042,0.3070483367921698
experiment_1_3_1,11,fixed_duration,fixed_0650ms_raw,raw,7,650.0,42.0,656.25,210,5nn,test,0.5048076923076923,0.49381808278867106,0.4857442627365142
experiment_1_3_1,11,fixed_duration,fixed_0650ms_unit_total_intensity,unit_total_intensity,7,650.0,42.0,656.25,210,linear,val,0.4523809523809524,0.44547084859584857,0.44075928905088496
experiment_1_3_1,11,fixed_duration,fixed_0650ms_unit_total_intensity,unit_total_intensity,7,650.0,42.0,656.25,210,linear,test,0.6201923076923077,0.6139093137254902,0.6093197419050634
experiment_1_3_1,11,fixed_duration,fixed_0650ms_unit_total_intensity,unit_total_intensity,7,650.0,42.0,656.25,210,5nn,val,0.35714285714285715,0.3431280525030525,0.3273422391918723
experiment_1_3_1,11,fixed_duration,fixed_0650ms_unit_total_intensity,unit_total_intensity,7,650.0,42.0,656.25,210,5nn,test,0.46153846153846156,0.4557121459694988,0.4338032664427009
experiment_1_3_1,11,fixed_duration,fixed_0750ms_raw,raw,6,750.0,48.0,750.0,180,linear,val,0.4583333333333333,0.43775946275946276,0.41835575510952894
experiment_1_3_1,11,fixed_duration,fixed_0750ms_raw,raw,6,750.0,48.0,750.0,180,linear,test,0.5721153846153846,0.5681440631808278,0.5608219028775429
experiment_1_3_1,11,fixed_duration,fixed_0750ms_raw,raw,6,750.0,48.0,750.0,180,5nn,val,0.26785714285714285,0.2678914835164835,0.2576869050300229
experiment_1_3_1,11,fixed_duration,fixed_0750ms_raw,raw,6,750.0,48.0,750.0,180,5nn,test,0.4230769230769231,0.40651552287581705,0.3946481040826069
experiment_1_3_1,11,fixed_duration,fixed_0750ms_unit_total_intensity,unit_total_intensity,6,750.0,48.0,750.0,180,linear,val,0.3869047619047619,0.37525564713064713,0.36232804787790357
experiment_1_3_1,11,fixed_duration,fixed_0750ms_unit_total_intensity,unit_total_intensity,6,750.0,48.0,750.0,180,linear,test,0.5192307692307693,0.5133510348583878,0.4993139599144502
experiment_1_3_1,11,fixed_duration,fixed_0750ms_unit_total_intensity,unit_total_intensity,6,750.0,48.0,750.0,180,5nn,val,0.35119047619047616,0.336729242979243,0.3247798257942099
experiment_1_3_1,11,fixed_duration,fixed_0750ms_unit_total_intensity,unit_total_intensity,6,750.0,48.0,750.0,180,5nn,test,0.4182692307692308,0.40275054466230925,0.3767503475426113
experiment_1_3_1,11,fixed_duration,fixed_0850ms_raw,raw,5,850.0,54.0,843.75,150,linear,val,0.4583333333333333,0.4436507936507937,0.423028738029817
experiment_1_3_1,11,fixed_duration,fixed_0850ms_raw,raw,5,850.0,54.0,843.75,150,linear,test,0.5240384615384616,0.5144403594771242,0.496401920409614
experiment_1_3_1,11,fixed_duration,fixed_0850ms_raw,raw,5,850.0,54.0,843.75,150,5nn,val,0.3273809523809524,0.31143162393162394,0.2922658657890545
experiment_1_3_1,11,fixed_duration,fixed_0850ms_raw,raw,5,850.0,54.0,843.75,150,5nn,test,0.40865384615384615,0.39301470588235293,0.3752541083528778
experiment_1_3_1,11,fixed_duration,fixed_0850ms_unit_total_intensity,unit_total_intensity,5,850.0,54.0,843.75,150,linear,val,0.40476190476190477,0.3942918192918193,0.378700889730506
experiment_1_3_1,11,fixed_duration,fixed_0850ms_unit_total_intensity,unit_total_intensity,5,850.0,54.0,843.75,150,linear,test,0.5,0.4938044662309368,0.4753893351333916
experiment_1_3_1,11,fixed_duration,fixed_0850ms_unit_total_intensity,unit_total_intensity,5,850.0,54.0,843.75,150,5nn,val,0.27976190476190477,0.2809867216117216,0.2880111112305322
experiment_1_3_1,11,fixed_duration,fixed_0850ms_unit_total_intensity,unit_total_intensity,5,850.0,54.0,843.75,150,5nn,test,0.3942307692307692,0.3845315904139434,0.3658705082186744
experiment_1_3_1,11,fixed_duration,fixed_0950ms_raw,raw,5,950.0,61.0,953.125,150,linear,val,0.3869047619047619,0.37630112942612937,0.3560750411488585
experiment_1_3_1,11,fixed_duration,fixed_0950ms_raw,raw,5,950.0,61.0,953.125,150,linear,test,0.5817307692307693,0.5784790305010893,0.5675088877628305
experiment_1_3_1,11,fixed_duration,fixed_0950ms_raw,raw,5,950.0,61.0,953.125,150,5nn,val,0.2976190476190476,0.2900755494505494,0.27763298235072426
experiment_1_3_1,11,fixed_duration,fixed_0950ms_raw,raw,5,950.0,61.0,953.125,150,5nn,test,0.4423076923076923,0.4265114379084967,0.40313995112248296
experiment_1_3_1,11,fixed_duration,fixed_0950ms_unit_total_intensity,unit_total_intensity,5,950.0,61.0,953.125,150,linear,val,0.39880952380952384,0.38256257631257634,0.37683300596344077
