representation_family,condition,normalization,n_bins,requested_duration_ms,samples_per_bin,actual_duration_ms,feature_dim,classifier,eval_split,mean_balanced_accuracy,sd_balanced_accuracy,n_splits
fixed_duration,fixed_0650ms_unit_total_intensity,unit_total_intensity,7,650.0,42.0,656.25,210,5nn,val,0.41759800535148833,0.053093090203609784,5
fixed_duration,fixed_0650ms_unit_total_intensity,unit_total_intensity,7,650.0,42.0,656.25,210,linear,test,0.5002798331842448,0.07623784728443872,5
fixed_duration,fixed_0650ms_unit_total_intensity,unit_total_intensity,7,650.0,42.0,656.25,210,linear,val,0.5095851919265232,0.054973995191252734,5
fixed_duration,fixed_0750ms_raw,raw,6,750.0,48.0,750.0,180,5nn,test,0.39870437160878336,0.03064954008514591,5
fixed_duration,fixed_0750ms_raw,raw,6,750.0,48.0,750.0,180,5nn,val,0.4066646206390788,0.0902008175082661,5
fixed_duration,fixed_0750ms_raw,raw,6,750.0,48.0,750.0,180,linear,test,0.5178054135407076,0.0683166743997662,5
fixed_duration,fixed_0750ms_raw,raw,6,750.0,48.0,750.0,180,linear,val,0.5340167774262201,0.06241893730611181,5
fixed_duration,fixed_0750ms_unit_total_intensity,unit_total_intensity,6,750.0,48.0,750.0,180,5nn,test,0.38600220177426053,0.055612030512006104,5
fixed_duration,fixed_0750ms_unit_total_intensity,unit_total_intensity,6,750.0,48.0,750.0,180,5nn,val,0.38567875035754295,0.027848173597513473,5
fixed_duration,fixed_0750ms_unit_total_intensity,unit_total_intensity,6,750.0,48.0,750.0,180,linear,test,0.4729963160477867,0.0574290277851571,5
fixed_duration,fixed_0750ms_unit_total_intensity,unit_total_intensity,6,750.0,48.0,750.0,180,linear,val,0.4813017366190741,0.06273694236944165,5
fixed_duration,fixed_0850ms_raw,raw,5,850.0,54.0,843.75,150,5nn,test,0.38575652969035323,0.029919898549090395,5
fixed_duration,fixed_0850ms_raw,raw,5,850.0,54.0,843.75,150,5nn,val,0.4037459095199033,0.07266218086223467,5
fixed_duration,fixed_0850ms_raw,raw,5,850.0,54.0,843.75,150,linear,test,0.5101911868088339,0.05243022144314055,5
fixed_duration,fixed_0850ms_raw,raw,5,850.0,54.0,843.75,150,linear,val,0.5429947299432594,0.06811348030030122,5
fixed_duration,fixed_0850ms_unit_total_intensity,unit_total_intensity,5,850.0,54.0,843.75,150,5nn,test,0.34752220818397295,0.031597803150894506,5
fixed_duration,fixed_0850ms_unit_total_intensity,unit_total_intensity,5,850.0,54.0,843.75,150,5nn,val,0.3608669148046083,0.060627182161035825,5
fixed_duration,fixed_0850ms_unit_total_intensity,unit_total_intensity,5,850.0,54.0,843.75,150,linear,test,0.4487931172857643,0.06421858756817093,5
fixed_duration,fixed_0850ms_unit_total_intensity,unit_total_intensity,5,850.0,54.0,843.75,150,linear,val,0.48902661615703413,0.05952424363692595,5
fixed_duration,fixed_0950ms_raw,raw,5,950.0,61.0,953.125,150,5nn,test,0.4076408381923088,0.06538681679492415,5
fixed_duration,fixed_0950ms_raw,raw,5,950.0,61.0,953.125,150,5nn,val,0.4051004868884126,0.06819003867903624,5
fixed_duration,fixed_0950ms_raw,raw,5,950.0,61.0,953.125,150,linear,test,0.5284624648227589,0.05607896337732855,5
fixed_duration,fixed_0950ms_raw,raw,5,950.0,61.0,953.125,150,linear,val,0.5190080412506883,0.08558416623835892,5
fixed_duration,fixed_0950ms_unit_total_intensity,unit_total_intensity,5,950.0,61.0,953.125,150,5nn,test,0.3939108930285401,0.0424682613595219,5
fixed_duration,fixed_0950ms_unit_total_intensity,unit_total_intensity,5,950.0,61.0,953.125,150,5nn,val,0.3968562321464798,0.026590349018927702,5
fixed_duration,fixed_0950ms_unit_total_intensity,unit_total_intensity,5,950.0,61.0,953.125,150,linear,test,0.4761265871927637,0.02265845434087753,5
fixed_duration,fixed_0950ms_unit_total_intensity,unit_total_intensity,5,950.0,61.0,953.125,150,linear,val,0.4876852450381862,0.05965453088205075,5
raw_timestep,raw_timestep_flatten,raw,256,15.625,1.0,15.625,7680,5nn,test,0.07837476657329598,0.005052612202524501,5
raw_timestep,raw_timestep_flatten,raw,256,15.625,1.0,15.625,7680,5nn,val,0.08961032703679762,0.009513947712747363,5
raw_timestep,raw_timestep_flatten,raw,256,15.625,1.0,15.625,7680,linear,test,0.30519756523432995,0.029454370335148913,5
raw_timestep,raw_timestep_flatten,raw,256,15.625,1.0,15.625,7680,linear,val,0.29408185338912896,0.04343320012770241,5
relative_progress,relative_10bin,raw,10,,,,300,5nn,test,0.5250503064473653,0.08815791530248443,5
relative_progress,relative_10bin,raw,10,,,,300,5nn,val,0.5115434025612045,0.10945693904430552,5
relative_progress,relative_10bin,raw,10,,,,300,linear,test,0.7147395700704524,0.07789580661279387,5
relative_progress,relative_10bin,raw,10,,,,300,linear,val,0.716128700018019,0.11760987129556241,5
relative_progress,relative_1bin,raw,1,,,,30,5nn,test,0.27369490123166595,0.04016151689688457,5
relative_progress,relative_1bin,raw,1,,,,30,5nn,val,0.29217558964656487,0.025334028563819628,5
relative_progress,relative_1bin,raw,1,,,,30,linear,test,0.4017388085770439,0.03519502633111159,5
relative_progress,relative_1bin,raw,1,,,,30,linear,val,0.43370748310570295,0.05462323366411376,5
relative_progress,relative_20bin,raw,20,,,,600,5nn,test,0.3308549443475914,0.04639575408611939,5
relative_progress,relative_20bin,raw,20,,,,600,5nn,val,0.32871420239260796,0.11617540025995304,5
relative_progress,relative_20bin,raw,20,,,,600,linear,test,0.6458457555516379,0.09493507434400779,5
relative_progress,relative_20bin,raw,20,,,,600,linear,val,0.6457536146487385,0.10275177585674053,5
relative_progress,relative_4bin,raw,4,,,,120,5nn,test,0.5365639997257644,0.06031586242085188,5
relative_progress,relative_4bin,raw,4,,,,120,5nn,val,0.5419708663942411,0.08844513731499108,5
relative_progress,relative_4bin,raw,4,,,,120,linear,test,0.6680706153867918,0.0749517940309474,5
relative_progress,relative_4bin,raw,4,,,,120,linear,val,0.6692376893402436,0.11796320223167993,5
