objective,phase_weight,progress_weight,seed,fixed_when_architecture,feature_dim,feature_type,phase_probe_C,phase_probe_test_accuracy,phase_probe_test_ba,phase_probe_test_macro_f1,phase_probe_val_ba,progress_probe_alpha,progress_probe_test_mae,progress_probe_test_monotonic_violation_rate_mean,progress_probe_test_monotonic_violation_rate_sd,progress_probe_test_n_gestures,progress_probe_test_r2,progress_probe_test_sample_balanced_mae_mean,progress_probe_test_sample_balanced_mae_sd,progress_probe_test_spearman_mean,progress_probe_test_spearman_sd,progress_probe_val_mae,progress_probe_val_monotonic_violation_rate_mean,progress_probe_val_monotonic_violation_rate_sd,progress_probe_val_n_gestures,progress_probe_val_sample_balanced_mae_mean,progress_probe_val_sample_balanced_mae_sd,progress_probe_val_spearman_mean,progress_probe_val_spearman_sd
phase_heavy,5.0,1.0,11,rsnn_shortmem,128,membrane,1.0,0.3667163684559311,0.36255114174797337,0.34855114854837427,0.35109391211487373,10.0,0.11676163971424103,0.3073873243206969,0.06277828021494797,146.0,0.7308074831962585,0.12672121200251252,0.05843995431848081,0.9394787809201003,0.05621036138285989,0.12160768359899521,0.3022513387719882,0.07343545421846118,126.0,0.12696166457756172,0.06686541503236323,0.9100625653508011,0.17452433775857595
phase_heavy,5.0,1.0,11,rsnn_shortmem,128,synaptic,10.0,0.37210072895957585,0.3680522507696529,0.35403726798517443,0.3503210332350596,1.0,0.11732040345668793,,,,0.7311731576919556,,,,,0.12263023108243942,,,,,,,
phase_heavy,5.0,1.0,11,rsnn_shortmem,128,spike,0.1,0.3554506295559973,0.3511346090366377,0.33377134910243667,0.3299913804322271,0.1,0.11770939081907272,,,,0.7322840690612793,,,,,0.12202699482440948,,,,,,,
phase_heavy,5.0,1.0,11,rsnn_shortmem,128,spike250,1.0,0.3596752816434725,0.35512753697356636,0.336864175012451,0.3463707230204503,10.0,0.11515861004590988,,,,0.7366412878036499,,,,,0.11804235726594925,,,,,,,
phase_heavy,5.0,1.0,11,rsnn_shortmem,128,spike500,10.0,0.3404572564612326,0.33636898606626564,0.31644965867741537,0.33429512273128076,10.0,0.11445572972297668,,,,0.7329196333885193,,,,,0.11846975982189178,,,,,,,
phase_heavy,5.0,1.0,23,rsnn_shortmem,128,membrane,1.0,0.3606693174287608,0.35630687691791485,0.341163345328974,0.34654667789521304,0.1,0.11306819319725037,0.2996989500240901,0.06051143557491199,146.0,0.7393710017204285,0.12195952861786705,0.05881700585917289,0.9377093937421854,0.055741048705899784,0.12278880178928375,0.29932321999238226,0.07107878072241079,126.0,0.129862466383548,0.06860496338243963,0.9269612640778688,0.08143213915114965
phase_heavy,5.0,1.0,23,rsnn_shortmem,128,synaptic,1.0,0.3597581179589132,0.35527470657959814,0.3396473377349841,0.3495108588748234,10.0,0.11406063288450241,,,,0.738489031791687,,,,,0.12253651767969131,,,,,,,
phase_heavy,5.0,1.0,23,rsnn_shortmem,128,spike,0.01,0.35453943008614974,0.3499221758094877,0.33111684177126977,0.33866636531554045,10.0,0.11562051624059677,,,,0.7325218915939331,,,,,0.12254948168992996,,,,,,,
phase_heavy,5.0,1.0,23,rsnn_shortmem,128,spike250,10.0,0.3334990059642147,0.32874702095936426,0.308602750917653,0.3252882688438542,10.0,0.11285187304019928,,,,0.7399324178695679,,,,,0.12232358008623123,,,,,,,
phase_heavy,5.0,1.0,23,rsnn_shortmem,128,spike500,0.01,0.32380715705765406,0.3190452084477271,0.2946461109676485,0.3217338405041844,10.0,0.11533945798873901,,,,0.7302913665771484,,,,,0.12356217205524445,,,,,,,
phase_heavy,5.0,1.0,37,rsnn_shortmem,128,membrane,0.1,0.36091782637508285,0.357156929418181,0.34313574846180905,0.3650767332988288,10.0,0.11788730323314667,0.2930957491307406,0.059089940253965204,146.0,0.7168023586273193,0.12833835419318448,0.0613503179672097,0.949463051773713,0.04682532804440219,0.11759351938962936,0.2930246705145702,0.07538759733637544,126.0,0.12324250717129973,0.06360554319436192,0.9410604182580213,0.08976214306974219
phase_heavy,5.0,1.0,37,rsnn_shortmem,128,synaptic,0.01,0.3694499668654738,0.36550919083086497,0.351228154718607,0.3597883188648449,0.01,0.1166398748755455,,,,0.7237130403518677,,,,,0.11685104668140411,,,,,,,
phase_heavy,5.0,1.0,37,rsnn_shortmem,128,spike,0.01,0.35719019218025183,0.35286141631437623,0.3364030604177117,0.3390090329742709,10.0,0.1167946308851242,,,,0.7216600775718689,,,,,0.11771617829799652,,,,,,,
phase_heavy,5.0,1.0,37,rsnn_shortmem,128,spike250,0.01,0.33697813121272363,0.3330980869804652,0.31342269787480287,0.3373505906366188,10.0,0.11345003545284271,,,,0.7330409288406372,,,,,0.11519590020179749,,,,,,,
phase_heavy,5.0,1.0,37,rsnn_shortmem,128,spike500,0.01,0.32695493704440026,0.32264016861567557,0.3002755071891244,0.32914892864545625,10.0,0.11336920410394669,,,,0.7359589338302612,,,,,0.11632596701383591,,,,,,,
phase_heavy,5.0,1.0,53,rsnn_shortmem,128,membrane,0.1,0.3610006626905235,0.356647957039686,0.34164076624090045,0.35187718690015374,0.01,0.11463183909654617,0.27202496989576264,0.056278285851150515,146.0,0.7374564409255981,0.12378495931625366,0.061332000568349275,0.9457673167596237,0.05221126755321172,0.11787139624357224,0.27779637757730063,0.07343890124165377,126.0,0.12488109281375295,0.06988457140780695,0.9288751355418084,0.1469630277601233
phase_heavy,5.0,1.0,53,rsnn_shortmem,128,synaptic,0.01,0.36025513585155733,0.35589797151795494,0.3404869222817276,0.3608436999799601,10.0,0.11467594653367996,,,,0.7397423982620239,,,,,0.1191566064953804,,,,,,,
phase_heavy,5.0,1.0,53,rsnn_shortmem,128,spike,0.01,0.3450132538104705,0.3405747930711968,0.32153137925657915,0.3365165428346205,10.0,0.11702220886945724,,,,0.7344639301300049,,,,,0.12082528322935104,,,,,,,
phase_heavy,5.0,1.0,53,rsnn_shortmem,128,spike250,1.0,0.33391318754141813,0.3292631797750168,0.30991913659742415,0.34232994631477576,10.0,0.11391149461269379,,,,0.7376894950866699,,,,,0.11845190823078156,,,,,,,
phase_heavy,5.0,1.0,53,rsnn_shortmem,128,spike500,0.01,0.31660039761431413,0.3118157965881933,0.28985720488687344,0.3286466931251507,10.0,0.11330242455005646,,,,0.7392358779907227,,,,,0.11911363899707794,,,,,,,
phase_heavy,5.0,1.0,71,rsnn_shortmem,128,membrane,0.01,0.36232604373757454,0.3574905506403437,0.33962398734220206,0.3371797163496485,0.01,0.12110256403684616,0.3186609026427361,0.05813272417074227,146.0,0.7112566232681274,0.1294410592838101,0.05910993587399743,0.9160149740425378,0.08399124402484066,0.125710129737854,0.30496663829519777,0.07592960425752655,126.0,0.13298915699124336,0.06788282396699548,0.901984866755628,0.15948407963650577
phase_heavy,5.0,1.0,71,rsnn_shortmem,128,synaptic,1.0,0.3585155732273029,0.35384629991483135,0.3367190315764231,0.34149463412671144,0.01,0.12130306661128998,,,,0.7086333632469177,,,,,0.12591831386089325,,,,,,,
phase_heavy,5.0,1.0,71,rsnn_shortmem,128,spike,0.01,0.35379390324718357,0.34907065486455074,0.32940457896044106,0.32533184299354184,10.0,0.12039564549922943,,,,0.710434079170227,,,,,0.12500280141830444,,,,,,,
phase_heavy,5.0,1.0,71,rsnn_shortmem,128,spike250,0.01,0.3321736249171637,0.32718407890007,0.30505040849175985,0.32397684451389697,10.0,0.1162864938378334,,,,0.7274802923202515,,,,,0.12093009799718857,,,,,,,
phase_heavy,5.0,1.0,71,rsnn_shortmem,128,spike500,0.01,0.3159377070907886,0.31069266589115535,0.28297090463070596,0.3131206096713925,10.0,0.11553190648555756,,,,0.728731632232666,,,,,0.12113618850708008,,,,,,,
joint,1.0,1.0,11,rsnn_shortmem,128,membrane,0.01,0.35768721007289594,0.35357947065161355,0.3395417936083236,0.3576483880810476,10.0,0.11724085360765457,0.3053818924339489,0.062222196471875976,146.0,0.731549859046936,0.1271279613193992,0.05815685831042915,0.9427004928754017,0.052112566083703876,0.12131990492343903,0.29689492915366,0.06754300158138042,126.0,0.12719153042232234,0.06845931621893715,0.9211773495637364,0.14304575149980162
joint,1.0,1.0,11,rsnn_shortmem,128,synaptic,1.0,0.3571073558648111,0.3530390880856732,0.3391804259824863,0.3582552422536459,10.0,0.11818555742502213,,,,0.7298300266265869,,,,,0.1221664696931839,,,,,,,
joint,1.0,1.0,11,rsnn_shortmem,128,spike,10.0,0.3450132538104705,0.3407819209225317,0.3237151742497227,0.340191336015628,10.0,0.11870276927947998,,,,0.7288661003112793,,,,,0.12337903678417206,,,,,,,
joint,1.0,1.0,11,rsnn_shortmem,128,spike250,1.0,0.3404572564612326,0.33615724745678394,0.31792488563355853,0.3451269665840986,0.1,0.11555366963148117,,,,0.7352324724197388,,,,,0.11913143843412399,,,,,,,
joint,1.0,1.0,11,rsnn_shortmem,128,spike500,10.0,0.3303512259774685,0.32613324164067203,0.30628737911800136,0.34397361771522456,0.1,0.11618585884571075,,,,0.7271766662597656,,,,,0.1195506751537323,,,,,,,
joint,1.0,1.0,23,rsnn_shortmem,128,membrane,1.0,0.3683730947647449,0.3640194564671617,0.34874021370574226,0.35125591911538334,10.0,0.11532004177570343,0.3069781625114612,0.06287158119901687,146.0,0.7316228151321411,0.12482805616439205,0.06090233402012244,0.9354127936877089,0.05368669884503343,0.12242701649665833,0.3077860896350028,0.06885409527795737,126.0,0.12945905357362733,0.0670718207873095,0.9248355660465141,0.0817253093021437
joint,1.0,1.0,23,rsnn_shortmem,128,synaptic,0.01,0.36224320742213384,0.35772526454257614,0.3410123086604869,0.353056427457521,10.0,0.11622543632984161,,,,0.7278057932853699,,,,,0.12164703756570816,,,,,,,
joint,1.0,1.0,23,rsnn_shortmem,128,spike,0.01,0.3559476474486415,0.3511921561085126,0.3312169895916729,0.3435061286413038,10.0,0.11819872260093689,,,,0.7197887897491455,,,,,0.12138267606496811,,,,,,,
joint,1.0,1.0,23,rsnn_shortmem,128,spike250,10.0,0.3276176275679258,0.32291731554823466,0.30344281079693797,0.3248357083533362,10.0,0.11562590301036835,,,,0.7281132936477661,,,,,0.12062201648950577,,,,,,,
joint,1.0,1.0,23,rsnn_shortmem,128,spike500,10.0,0.3256295559973492,0.321230084194806,0.30026092193371384,0.3276782267391386,10.0,0.11632589995861053,,,,0.7246840000152588,,,,,0.119838185608387,,,,,,,
joint,1.0,1.0,37,rsnn_shortmem,128,membrane,10.0,0.3702783300198807,0.3667578840323028,0.35360448787780957,0.3564912428895478,0.01,0.11389077454805374,0.29933620437605335,0.05595290704703896,146.0,0.7369790077209473,0.12390386394850195,0.060884283275460825,0.9463236839355754,0.04821665936333544,0.11847534030675888,0.3037250202079223,0.07874341555928024,126.0,0.12378848145996767,0.06274679304152685,0.9283739759945324,0.10725235676690341
joint,1.0,1.0,37,rsnn_shortmem,128,synaptic,10.0,0.37019549370444005,0.3664538951007138,0.3529901545203359,0.3587754149054503,0.1,0.11226105690002441,,,,0.7438780069351196,,,,,0.11779565364122391,,,,,,,
joint,1.0,1.0,37,rsnn_shortmem,128,spike,0.01,0.36605367793240556,0.36191010256959666,0.34594024226692277,0.34447236160549044,0.1,0.11182356625795364,,,,0.7428455352783203,,,,,0.11763587594032288,,,,,,,
joint,1.0,1.0,37,rsnn_shortmem,128,spike250,0.01,0.341948310139165,0.3380315828342269,0.31864146714384817,0.3356891624047658,10.0,0.10751889646053314,,,,0.7579243183135986,,,,,0.1145838275551796,,,,,,,
joint,1.0,1.0,37,rsnn_shortmem,128,spike500,0.1,0.34849237905897945,0.34429057292205906,0.3242836461835735,0.3246810595466062,10.0,0.10758635401725769,,,,0.7589541673660278,,,,,0.1165926456451416,,,,,,,
joint,1.0,1.0,53,rsnn_shortmem,128,membrane,0.1,0.36000662690523527,0.355780475698274,0.3401874816863436,0.3487862281329107,0.01,0.11371797323226929,0.27497980601592087,0.06744929461882263,146.0,0.7410288453102112,0.12354494562398081,0.06270636761628567,0.9484995537920603,0.05046714187626857,0.11945486068725586,0.27702413131382475,0.0696331698688744,126.0,0.12588498735475162,0.06913532315778981,0.9257080813383893,0.16361785449448335
joint,1.0,1.0,53,rsnn_shortmem,128,synaptic,0.01,0.35926110006626905,0.35495615031261873,0.33948800014377406,0.3463084590373128,0.01,0.11410702764987946,,,,0.7413831949234009,,,,,0.12060219049453735,,,,,,,
joint,1.0,1.0,53,rsnn_shortmem,128,spike,10.0,0.34907223326706427,0.3446008875064808,0.32613297269056696,0.3233351361731177,10.0,0.11572277545928955,,,,0.736304759979248,,,,,0.12279490381479263,,,,,,,
joint,1.0,1.0,53,rsnn_shortmem,128,spike250,0.1,0.3353214049039099,0.33089306784741823,0.31065953446320826,0.3244746342668571,10.0,0.11330091953277588,,,,0.7369415760040283,,,,,0.12136275321245193,,,,,,,
joint,1.0,1.0,53,rsnn_shortmem,128,spike500,0.01,0.32952286282306165,0.3247380269288816,0.30297089572487546,0.3231370800813539,10.0,0.11280585080385208,,,,0.7346842288970947,,,,,0.12156905233860016,,,,,,,
joint,1.0,1.0,71,rsnn_shortmem,128,membrane,10.0,0.3575215374420146,0.3529374369614095,0.33548654497452884,0.3467921444218117,10.0,0.11822474002838135,0.3027435694901781,0.0603609097810913,146.0,0.731309711933136,0.12706281982158144,0.056549854153964074,0.9392361291820363,0.0630957967765091,0.12472692877054214,0.28636503576608885,0.07580996739225504,126.0,0.13262706338649705,0.07336693904426901,0.9107618463843415,0.1583361282295949
joint,1.0,1.0,71,rsnn_shortmem,128,synaptic,1.0,0.35934393638170975,0.354607804056858,0.3370664797430748,0.35085573206228343,10.0,0.11916431039571762,,,,0.7272607088088989,,,,,0.12449869513511658,,,,,,,
joint,1.0,1.0,71,rsnn_shortmem,128,spike,0.01,0.35164015904572565,0.3466205168672597,0.32431927190928445,0.33920849871931524,10.0,0.12016899138689041,,,,0.7235453128814697,,,,,0.12458987534046173,,,,,,,
joint,1.0,1.0,71,rsnn_shortmem,128,spike250,0.01,0.33855202120609673,0.3335812258544071,0.3117572813094779,0.32244971731768146,10.0,0.11692789942026138,,,,0.7308898568153381,,,,,0.12278508394956589,,,,,,,
joint,1.0,1.0,71,rsnn_shortmem,128,spike500,0.01,0.3240556660039761,0.31910993973519997,0.2944620488406623,0.3238887754958042,10.0,0.11546517163515091,,,,0.7302063703536987,,,,,0.12278363853693008,,,,,,,
progress_heavy,0.2,1.0,11,rsnn_shortmem,128,membrane,0.1,0.3493207422133863,0.3449732840630766,0.3297773994844288,0.3587942109077519,10.0,0.11926860362291336,0.31348199274294414,0.06301586786505135,146.0,0.7252717018127441,0.12915253057463527,0.05992237134304579,0.9264798134840646,0.07904112199371455,0.12121912837028503,0.3043944499910154,0.07454300705223066,126.0,0.12806754438058723,0.0670477427391159,0.9022102451775597,0.16683944566428066
progress_heavy,0.2,1.0,11,rsnn_shortmem,128,synaptic,1.0,0.3549536116633532,0.35068936754247526,0.33604673139220853,0.35341557874608465,10.0,0.12067800760269165,,,,0.7217832803726196,,,,,0.12177132815122604,,,,,,,
progress_heavy,0.2,1.0,11,rsnn_shortmem,128,spike,10.0,0.33457587806494365,0.32998913536227775,0.31146895922995693,0.3332288244193771,10.0,0.12016064673662186,,,,0.7247172594070435,,,,,0.12211401760578156,,,,,,,
progress_heavy,0.2,1.0,11,rsnn_shortmem,128,spike250,1.0,0.3363982770046388,0.3316743674064536,0.31195888152565193,0.3395864335949995,10.0,0.1191403791308403,,,,0.7224599719047546,,,,,0.11917188763618469,,,,,,,
progress_heavy,0.2,1.0,11,rsnn_shortmem,128,spike500,1.0,0.3215705765407555,0.31688280546881303,0.2961160345206729,0.33795296761065796,10.0,0.12071791291236877,,,,0.7109386324882507,,,,,0.11984821408987045,,,,,,,
progress_heavy,0.2,1.0,23,rsnn_shortmem,128,membrane,0.1,0.3663021868787276,0.3621234470829434,0.3468891043117532,0.36318442072102775,10.0,0.1154334545135498,0.3000479287053581,0.058172922612134054,146.0,0.7301527261734009,0.12473766868040986,0.06161700079625701,0.929763484141111,0.05301076793678573,0.1217225044965744,0.29832069489088825,0.06894043165502406,126.0,0.12969644657439655,0.07184429166291292,0.9265768455253625,0.09342975833379025
progress_heavy,0.2,1.0,23,rsnn_shortmem,128,synaptic,0.1,0.3656394963552021,0.3612896884713974,0.3459173446927979,0.36070422432797694,10.0,0.1152845099568367,,,,0.7337361574172974,,,,,0.12129630893468857,,,,,,,
progress_heavy,0.2,1.0,23,rsnn_shortmem,128,spike,0.01,0.36149768058316767,0.35706935077926116,0.33893472897887494,0.34486057161347894,10.0,0.11460265517234802,,,,0.7370105385780334,,,,,0.12128745764493942,,,,,,,
progress_heavy,0.2,1.0,23,rsnn_shortmem,128,spike250,10.0,0.3450960901259112,0.34059097666774873,0.32099316955721313,0.3450775872346187,10.0,0.11223145574331284,,,,0.738334059715271,,,,,0.11833933740854263,,,,,,,
progress_heavy,0.2,1.0,23,rsnn_shortmem,128,spike500,10.0,0.3411199469847581,0.33665181789788545,0.31610008052284444,0.3491328493393709,10.0,0.11386983096599579,,,,0.7285797595977783,,,,,0.11778515577316284,,,,,,,
progress_heavy,0.2,1.0,37,rsnn_shortmem,128,membrane,0.01,0.35371106693174287,0.34994221916542767,0.3354474478749385,0.35187215765950786,0.01,0.11690715700387955,0.31129208146551,0.06051377979176641,146.0,0.7208534479141235,0.12623485869230472,0.05847171637672584,0.9353774627090933,0.055881168969678714,0.11781566590070724,0.3041027985973458,0.06521668950219278,126.0,0.1223757407435822,0.060101803137746164,0.9166391872531461,0.15614771459065963
progress_heavy,0.2,1.0,37,rsnn_shortmem,128,synaptic,10.0,0.3557819748177601,0.352009691091825,0.33778831316492897,0.3522091020402257,10.0,0.11572010815143585,,,,0.7294716835021973,,,,,0.11701800674200058,,,,,,,
progress_heavy,0.2,1.0,37,rsnn_shortmem,128,spike,10.0,0.3481610337972167,0.343998650514653,0.32651712006370337,0.34318465685928573,0.01,0.1149248331785202,,,,0.7350074648857117,,,,,0.11552345752716064,,,,,,,
progress_heavy,0.2,1.0,37,rsnn_shortmem,128,spike250,0.01,0.3365639496355202,0.33227108182271653,0.31231235509401467,0.32779649473389005,10.0,0.1116972267627716,,,,0.7439568042755127,,,,,0.11206819862127304,,,,,,,
progress_heavy,0.2,1.0,37,rsnn_shortmem,128,spike500,10.0,0.33474155069582506,0.33042201401054705,0.3098263257490432,0.32601447715469956,10.0,0.11223116517066956,,,,0.7418756484985352,,,,,0.11163874715566635,,,,,,,
progress_heavy,0.2,1.0,53,rsnn_shortmem,128,membrane,10.0,0.3544565937707091,0.3500317058099731,0.33599244996936806,0.3447755420797304,0.01,0.11500465124845505,0.2743869548999308,0.0668829327867423,146.0,0.7377547025680542,0.12494653575632671,0.06013644805164433,0.9525552528171398,0.04555465128377148,0.11692342907190323,0.2690457140982713,0.07248980857115758,126.0,0.12301032951781674,0.06681396581491807,0.9400388661675462,0.09476922077067892
progress_heavy,0.2,1.0,53,rsnn_shortmem,128,synaptic,1.0,0.35213717693836977,0.34774546779057836,0.3332877533982768,0.3453836299232855,0.01,0.11547647416591644,,,,0.7374107837677002,,,,,0.11838250607252121,,,,,,,
progress_heavy,0.2,1.0,53,rsnn_shortmem,128,spike,0.01,0.3481610337972167,0.3436647409395501,0.32608545179141163,0.33153559475577166,10.0,0.11564859747886658,,,,0.7345269918441772,,,,,0.11913745105266571,,,,,,,
progress_heavy,0.2,1.0,53,rsnn_shortmem,128,spike250,0.01,0.3349900596421471,0.33030828938428586,0.31095085124505434,0.33232912155349303,10.0,0.11243324726819992,,,,0.7448198795318604,,,,,0.11653761565685272,,,,,,,
progress_heavy,0.2,1.0,53,rsnn_shortmem,128,spike500,0.01,0.33242213386348574,0.3278075379721289,0.3080829079989651,0.3279801602845353,10.0,0.1125214546918869,,,,0.7438424825668335,,,,,0.11704900115728378,,,,,,,
progress_heavy,0.2,1.0,71,rsnn_shortmem,128,membrane,0.1,0.37060967528164346,0.36626496423266414,0.3505852514301352,0.3419373715111251,0.01,0.11635474860668182,0.29515485335591685,0.05572535428548244,146.0,0.7280855178833008,0.12647578474899676,0.062359646672584375,0.9321613418670247,0.056726317636471624,0.12329282611608505,0.29098170291561815,0.07332297569406888,126.0,0.1308598349255229,0.07376681076043072,0.9123262585227722,0.15473372497261145
