probe,variant,l1_init,topology,fusion,architecture_case,seed,layer,state,support,aggregation,feature_dim,selected_C,selected_val_balanced_accuracy,candidate_validation_json,train_accuracy,train_balanced_accuracy,train_macro_f1,val_accuracy,val_balanced_accuracy,val_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1
readout__pre_reset__valid__whole_mean,postencode_mask,dynamics_only,dense,on,D,11,readout,pre_reset,valid,whole_mean,128,0.1,0.5253160034410034,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.45470848595848595}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5214698495948495}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5253160034410034}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5137182262182262}, {""C"": 10.0, ""val_balanced_accuracy"": 0.4833631646131646}]",0.8784313725490196,0.8793039080714294,0.8803410188104772,0.5384615384615384,0.5253160034410034,0.5183186218662231,0.4827586206896552,0.48011663581516517,0.466880044509997
readout__pre_reset__valid__fixed250_ordered_mean,postencode_mask,dynamics_only,dense,on,D,11,readout,pre_reset,valid,fixed250_ordered_mean,2048,0.01,0.5757107475857476,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5435696248196248}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5757107475857476}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5612876706626707}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5377396908646909}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5432952464202464}]",0.9470588235294117,0.9452813273335944,0.9476729614260281,0.5798816568047337,0.5757107475857476,0.5669741013770443,0.5632183908045977,0.5643640877096759,0.5500421253772827
readout__pre_reset__window__whole_mean,postencode_mask,dynamics_only,dense,on,D,11,readout,pre_reset,window,whole_mean,128,1.0,0.4911886724386725,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.36232448107448106}, {""C"": 0.01, ""val_balanced_accuracy"": 0.4058146714396715}, {""C"": 0.1, ""val_balanced_accuracy"": 0.4616883116883117}, {""C"": 1.0, ""val_balanced_accuracy"": 0.4911886724386725}, {""C"": 10.0, ""val_balanced_accuracy"": 0.45932088744588745}]",0.9098039215686274,0.9116496986035675,0.9133027308194092,0.4970414201183432,0.4911886724386725,0.48745602224882806,0.47701149425287354,0.4676012100644453,0.4652793059993871
readout__pre_reset__window__fixed250_ordered_mean,postencode_mask,dynamics_only,dense,on,D,11,readout,pre_reset,window,fixed250_ordered_mean,2048,0.1,0.561014332889333,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.47836815961815954}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5350625069375069}, {""C"": 0.1, ""val_balanced_accuracy"": 0.561014332889333}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5493957431457431}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5169438200688201}]",1.0,1.0,1.0,0.5680473372781065,0.561014332889333,0.5602372714533156,0.5517241379310345,0.54501548288313,0.5371234976508866
readout__communication__valid__whole_mean,postencode_mask,dynamics_only,dense,on,D,11,readout,communication,valid,whole_mean,128,10.0,0.5388309607059607,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.48579822954822954}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5057744338994339}, {""C"": 0.1, ""val_balanced_accuracy"": 0.517703823953824}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5317262598512599}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5388309607059607}]",1.0,1.0,1.0,0.5621301775147929,0.5388309607059607,0.5284425623445588,0.5,0.4963716634672517,0.4772758160701563
readout__communication__valid__fixed250_ordered_mean,postencode_mask,dynamics_only,dense,on,D,11,readout,communication,valid,fixed250_ordered_mean,2048,0.01,0.5764547952047953,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5579184704184704}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5764547952047953}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5600857475857475}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5612876706626706}, {""C"": 10.0, ""val_balanced_accuracy"": 0.574852231102231}]",0.9745098039215686,0.9734370127946338,0.974927953738006,0.5857988165680473,0.5764547952047953,0.5641800013069537,0.5459770114942529,0.5457334944467297,0.5338760541659092
readout__communication__valid__whole_count,postencode_mask,dynamics_only,dense,on,D,11,readout,communication,valid,whole_count,128,0.01,0.5766757548007548,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5058739871239871}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5766757548007548}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5516282328782328}, {""C"": 1.0, ""val_balanced_accuracy"": 0.56374111999112}, {""C"": 10.0, ""val_balanced_accuracy"": 0.558025308025308}]",0.8372549019607843,0.8380943182446557,0.8426283149199962,0.5857988165680473,0.5766757548007548,0.5669532933113275,0.5114942528735632,0.5033205356734768,0.5015248728902381
readout__communication__valid__fixed250_count,postencode_mask,dynamics_only,dense,on,D,11,readout,communication,valid,fixed250_count,2048,10.0,0.6006229881229881,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5843073593073592}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5623217060717061}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5794958513708514}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5866005522255522}, {""C"": 10.0, ""val_balanced_accuracy"": 0.6006229881229881}]",1.0,1.0,1.0,0.6094674556213018,0.6006229881229881,0.5966358537105815,0.5632183908045977,0.5650051133507017,0.5555465411613325
readout__communication__window__whole_mean,postencode_mask,dynamics_only,dense,on,D,11,readout,communication,window,whole_mean,128,10.0,0.5003045565545565,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.35471230158730155}, {""C"": 0.01, ""val_balanced_accuracy"": 0.403481240981241}, {""C"": 0.1, ""val_balanced_accuracy"": 0.48206376956376956}, {""C"": 1.0, ""val_balanced_accuracy"": 0.4970304001554002}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5003045565545565}]",1.0,1.0,1.0,0.5207100591715976,0.5003045565545565,0.49725010187233126,0.4425287356321839,0.4356536233374469,0.43592031478525733
readout__communication__window__fixed250_ordered_mean,postencode_mask,dynamics_only,dense,on,D,11,readout,communication,window,fixed250_ordered_mean,2048,0.1,0.5511207542457542,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.4625065906315906}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5246822621822621}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5511207542457542}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5354957542457542}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5422532328782329}]",1.0,1.0,1.0,0.5680473372781065,0.5511207542457542,0.5436433071623635,0.5344827586206896,0.5272930092783034,0.5183894316210879
readout__communication__window__whole_count,postencode_mask,dynamics_only,dense,on,D,11,readout,communication,window,whole_count,128,10.0,0.5003045565545565,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.35471230158730155}, {""C"": 0.01, ""val_balanced_accuracy"": 0.403481240981241}, {""C"": 0.1, ""val_balanced_accuracy"": 0.48206376956376956}, {""C"": 1.0, ""val_balanced_accuracy"": 0.4970304001554002}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5003045565545565}]",1.0,1.0,1.0,0.5207100591715976,0.5003045565545565,0.49725010187233126,0.4425287356321839,0.4356536233374469,0.43592031478525733
readout__communication__window__fixed250_count,postencode_mask,dynamics_only,dense,on,D,11,readout,communication,window,fixed250_count,2048,0.1,0.5511207542457542,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.4625065906315906}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5246822621822621}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5511207542457542}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5354957542457542}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5422532328782329}]",1.0,1.0,1.0,0.5680473372781065,0.5511207542457542,0.5436433071623635,0.5344827586206896,0.5272930092783034,0.5183894316210879
