condition,architecture_family,beta,tau_mem_ms,recurrent,stateful,seed,best_epoch,trainable_parameters,native_train_accuracy,native_train_balanced_accuracy,native_train_evidence_abs_per_valid_step,native_train_loss,native_train_macro_f1,native_val_accuracy,native_val_balanced_accuracy,native_val_evidence_abs_per_valid_step,native_val_loss,native_val_macro_f1,native_test_accuracy,native_test_balanced_accuracy,native_test_evidence_abs_per_valid_step,native_test_loss,native_test_macro_f1
factorized_lif242,lif_gate,0.9375,242.10347130039656,False,True,11,60,34432,0.9604130808950087,0.9615064504407363,0.827157405992318,0.20923993315246348,0.9606585664235355,0.5476190476190477,0.5511664261664261,0.7235750583428437,1.5661259889602661,0.5610750360750361,0.5205479452054794,0.5086045898545898,0.8339704745701141,1.7899148398882723,0.4827887180828357
factorized_lif242,lif_gate,0.9375,242.10347130039656,False,True,23,18,34432,0.8932874354561101,0.8933031349715992,0.5126477604088159,0.4915502697178091,0.8943395205842458,0.5238095238095238,0.5185666185666187,0.4611205929663038,1.5156461000442505,0.5136011297360402,0.5616438356164384,0.5451603951603952,0.5280800716803778,1.5306016043440935,0.5253474459457371
factorized_lif242,lif_gate,0.9375,242.10347130039656,False,True,37,7,34432,0.7624784853700516,0.7604776529160876,0.38016549719707626,0.8629290702626135,0.7554598672527275,0.5317460317460317,0.5314333814333815,0.3490820432523483,1.5265079736709595,0.5206661300626646,0.5136986301369864,0.4888091075591075,0.39114491450278366,1.5583777737944093,0.47373229596913813
factorized_lif242,lif_gate,0.9375,242.10347130039656,False,True,53,67,34432,0.9535283993115319,0.956234472381115,0.8503882653869451,0.20374943977686708,0.9559020412749716,0.5317460317460317,0.5238215488215489,0.7646196604409914,1.5536693334579468,0.5171595797978331,0.5753424657534246,0.5626887001887001,0.8767886725329447,2.0270241417296946,0.5559440077007772
factorized_lif242,lif_gate,0.9375,242.10347130039656,False,True,71,35,34432,0.9036144578313253,0.9020843113361061,0.656179947624441,0.41693425570933623,0.9018813302257013,0.5634920634920635,0.5669131794131793,0.5745981385157873,1.431959867477417,0.5627334990206844,0.5753424657534246,0.5687763625263624,0.6739685786647304,1.7157725961241004,0.5722243824897277
factorized_rsnn22,rsnn_gate,0.5,22.542110013890053,True,True,11,85,50816,0.9569707401032702,0.9587471060697569,0.9854927849051758,0.20485950563353023,0.9575806943409509,0.5714285714285714,0.5797378547378548,0.8693617539797501,1.5947264432907104,0.5785462021875065,0.5273972602739726,0.5100274725274725,1.0081572872875593,1.9354265879278314,0.4871798595162317
factorized_rsnn22,rsnn_gate,0.5,22.542110013890053,True,True,23,65,50816,0.955249569707401,0.9566126595910632,0.9013848355301723,0.2260782993855452,0.9558861429322905,0.5476190476190477,0.5494468494468495,0.7988431565124513,1.5422106981277466,0.5389780492412072,0.589041095890411,0.5732697857697857,0.919984406710777,1.7042961675826818,0.566460767808807
factorized_rsnn22,rsnn_gate,0.5,22.542110013890053,True,True,37,77,50816,0.963855421686747,0.9637232068933402,1.0182497096934475,0.22047015756573818,0.9635674318733183,0.5238095238095238,0.5270562770562771,0.9163274002867761,1.5678783655166626,0.5080180212181491,0.541095890410959,0.5266539016539016,1.0472025701692622,1.9778670546126693,0.5183235725116101
factorized_rsnn22,rsnn_gate,0.5,22.542110013890053,True,True,53,78,50816,0.9483648881239243,0.9512066094916168,0.9790024751076088,0.22468570946826377,0.9509436444757613,0.5317460317460317,0.5247474747474747,0.8795643787675943,1.5850163698196411,0.518397276226039,0.541095890410959,0.5340312465312465,1.024425091163091,2.0735325617332983,0.5252467721951014
factorized_rsnn22,rsnn_gate,0.5,22.542110013890053,True,True,71,48,50816,0.8967297762478486,0.8955287247296052,0.7971712382970171,0.41630912655499636,0.895446766267293,0.5634920634920635,0.5645983645983645,0.6967224901603605,1.4851073026657104,0.5654742344895798,0.541095890410959,0.5321081696081695,0.826066954393431,1.8061802223937151,0.532255020446567
