condition,architecture_family,seed,epoch,train_loss,train_balanced_accuracy,val_loss,val_balanced_accuracy
factorized_ff_gate,ff_gate,11,36,0.4882140705384404,0.8748500833079945,1.366701364517212,0.529539442039442
factorized_ff_gate,ff_gate,11,37,0.4818023016448686,0.8764573957486402,1.3654958009719849,0.5391293891293891
factorized_ff_gate,ff_gate,11,38,0.4752539927700916,0.8738932931845377,1.3832149505615234,0.5117784992784993
factorized_ff_gate,ff_gate,11,39,0.4674133222402681,0.8807528960000228,1.3754640817642212,0.5233525733525733
factorized_ff_gate,ff_gate,11,40,0.4621014461665063,0.8807842476795432,1.3672040700912476,0.5567219817219817
factorized_ff_gate,ff_gate,11,41,0.4558905595448669,0.8818051403671027,1.3639556169509888,0.5408128908128907
factorized_ff_gate,ff_gate,11,42,0.448620188872293,0.8861368117821073,1.3838547468185425,0.524609187109187
factorized_ff_gate,ff_gate,11,43,0.4433375584176403,0.8824170488406463,1.381216526031494,0.5329425204425204
factorized_ff_gate,ff_gate,11,44,0.4383883727602212,0.8835340796066333,1.368160605430603,0.5405182780182781
factorized_ff_gate,ff_gate,11,45,0.4316577400479998,0.8851064066506584,1.3655869960784912,0.549146224146224
factorized_ff_gate,ff_gate,11,46,0.4274771727506142,0.8920301120302464,1.3595701456069946,0.5338684463684463
factorized_ff_gate,ff_gate,11,47,0.4227554781711861,0.8908454715073705,1.3808023929595947,0.5422017797017796
factorized_ff_gate,ff_gate,11,48,0.4161311845566032,0.8953990243024604,1.3815178871154783,0.5422017797017796
factorized_ff_gate,ff_gate,11,49,0.4117490890822189,0.8935999963942481,1.37867534160614,0.549146224146224
factorized_ff_gate,ff_gate,11,50,0.4063217984624656,0.8964781019605259,1.377916693687439,0.5457732082732083
factorized_ff_gate,ff_gate,11,51,0.4024236536169626,0.8992606136261783,1.3877946138381958,0.5388287638287639
factorized_ff_gate,ff_gate,11,52,0.3972070780350296,0.9006430071469366,1.3729933500289917,0.5269240019240019
factorized_ff_gate,ff_gate,11,53,0.3927411974604897,0.9017742795483702,1.3677611351013184,0.5269240019240019
factorized_ff_gate,ff_gate,11,54,0.3879572844033397,0.8979548351039258,1.3702396154403689,0.5338684463684463
factorized_ff_gate,ff_gate,11,55,0.3846655987113355,0.9028681430196848,1.3757562637329102,0.5527176527176527
factorized_ff_gate,ff_gate,11,56,0.3812631008034113,0.906353981799641,1.3943603038787842,0.5116462241462242
factorized_ff_gate,ff_gate,11,57,0.3765363210039582,0.909042153842652,1.3774303197860718,0.5527176527176527
