seed,model_kind,stimulus_type,stimulus_id,layer,state,neuron,peak_latency_steps,peak_latency_ms,peak_amplitude,fwhm_steps,fwhm_ms,duration_steps,duration_ms,peak_to_tail_ratio
11,random_a2,unit_impulse,channel_0,L1,syn_current,111,0,0.0,0.16962547600269318,11,171.875,36,562.5,49.09076104924608
11,random_a2,unit_impulse,channel_0,L1,syn_current,112,0,0.0,0.09569116681814194,11,171.875,36,562.5,49.09076850103144
11,random_a2,unit_impulse,channel_0,L1,syn_current,113,0,0.0,0.13281592726707458,11,171.875,36,562.5,49.09077847653247
11,random_a2,unit_impulse,channel_0,L1,syn_current,114,0,0.0,0.08619801700115204,11,171.875,36,562.5,49.09076352916196
11,random_a2,unit_impulse,channel_0,L1,syn_current,115,0,0.0,0.1491977423429489,11,171.875,36,562.5,49.09074852427579
11,random_a2,unit_impulse,channel_0,L1,syn_current,116,0,0.0,0.08685291558504105,11,171.875,36,562.5,49.090775130776024
11,random_a2,unit_impulse,channel_0,L1,syn_current,117,0,0.0,0.044481560587882996,11,171.875,36,562.5,49.09072311791056
11,random_a2,unit_impulse,channel_0,L1,syn_current,118,0,0.0,0.17409121990203857,11,171.875,36,562.5,49.090778598313825
11,random_a2,unit_impulse,channel_0,L1,syn_current,119,0,0.0,0.16936855018138885,11,171.875,36,562.5,49.09077586764805
11,random_a2,unit_impulse,channel_0,L1,syn_current,120,0,0.0,0.12894605100154877,11,171.875,36,562.5,49.09076253376474
11,random_a2,unit_impulse,channel_0,L1,syn_current,121,0,0.0,0.018471259623765945,11,171.875,36,562.5,49.09066870363262
11,random_a2,unit_impulse,channel_0,L1,syn_current,122,0,0.0,0.07267753779888153,11,171.875,36,562.5,49.09076166979223
11,random_a2,unit_impulse,channel_0,L1,syn_current,123,0,0.0,0.08729255944490433,11,171.875,36,562.5,49.09075956930227
11,random_a2,unit_impulse,channel_0,L1,syn_current,124,0,0.0,0.05599234253168106,11,171.875,36,562.5,49.090743015002644
11,random_a2,unit_impulse,channel_0,L1,syn_current,125,0,0.0,0.14027443528175354,11,171.875,36,562.5,49.09076711021878
11,random_a2,unit_impulse,channel_0,L1,syn_current,126,0,0.0,0.030377397313714027,11,171.875,36,562.5,49.090691328989784
11,random_a2,unit_impulse,channel_0,L1,syn_current,127,0,0.0,0.0023161822464317083,11,171.875,36,562.5,49.08974477447413
11,random_a2,unit_impulse,channel_0,L1,pre_reset,0,1,15.625,0.22000867128372192,6,93.75,12,187.5,11605107.342435414
11,random_a2,unit_impulse,channel_0,L1,pre_reset,1,1,15.625,0.14076778292655945,6,93.75,12,187.5,11270455.759467421
11,random_a2,unit_impulse,channel_0,L1,pre_reset,2,1,15.625,0.10654321312904358,6,93.75,12,187.5,10987856.974409534
11,random_a2,unit_impulse,channel_0,L1,pre_reset,3,1,15.625,0.036225832998752594,6,93.75,12,187.5,9155137.246031182
11,random_a2,unit_impulse,channel_0,L1,pre_reset,4,1,15.625,0.16810664534568787,6,93.75,12,187.5,11419135.500992626
11,random_a2,unit_impulse,channel_0,L1,pre_reset,5,1,15.625,0.02874699980020523,6,93.75,12,187.5,8590334.367144173
11,random_a2,unit_impulse,channel_0,L1,pre_reset,6,1,15.625,0.04930919036269188,6,93.75,12,187.5,9813171.618220419
11,random_a2,unit_impulse,channel_0,L1,pre_reset,7,1,15.625,0.14885197579860687,6,93.75,12,187.5,11319674.817482473
11,random_a2,unit_impulse,channel_0,L1,pre_reset,8,1,15.625,0.05541766434907913,6,93.75,12,187.5,10033265.98301835
11,random_a2,unit_impulse,channel_0,L1,pre_reset,9,1,15.625,0.10108929872512817,6,93.75,12,187.5,10927060.119276337
11,random_a2,unit_impulse,channel_0,L1,pre_reset,10,1,15.625,0.04916783794760704,6,93.75,12,187.5,9807558.919120058
11,random_a2,unit_impulse,channel_0,L1,pre_reset,11,1,15.625,0.02494567632675171,6,93.75,12,187.5,8216198.588763637
11,random_a2,unit_impulse,channel_0,L1,pre_reset,12,1,15.625,0.1388659030199051,6,93.75,12,187.5,11258107.599068223
11,random_a2,unit_impulse,channel_0,L1,pre_reset,13,1,15.625,0.06895202398300171,6,93.75,12,187.5,10402954.566925539
11,random_a2,unit_impulse,channel_0,L1,pre_reset,14,1,15.625,0.08248162269592285,6,93.75,12,187.5,10666937.93297404
11,random_a2,unit_impulse,channel_0,L1,pre_reset,15,1,15.625,0.17800244688987732,6,93.75,12,187.5,11462427.823331794
11,random_a2,unit_impulse,channel_0,L1,pre_reset,16,1,15.625,0.09934897720813751,6,93.75,12,187.5,10906407.066515679
11,random_a2,unit_impulse,channel_0,L1,pre_reset,17,1,15.625,0.17259086668491364,6,93.75,12,187.5,11439328.994965795
11,random_a2,unit_impulse,channel_0,L1,pre_reset,18,1,15.625,0.025783509016036987,6,93.75,12,187.5,8305085.881402352
11,random_a2,unit_impulse,channel_0,L1,pre_reset,19,1,15.625,0.15597845613956451,6,93.75,12,187.5,11359143.535545032
