epoch,lambda_scale,lambda_p2,lambda_a1,train_task_loss,train_p2,train_a1,train_weighted_p2,train_weighted_a1,train_total_loss,train_reg_to_task_ratio,val_native_ba,val_native_loss,first_batch_task_grad_norm,first_batch_p2_grad_norm_raw,first_batch_a1_grad_norm_raw,first_batch_weighted_p2_grad_norm,first_batch_weighted_a1_grad_norm,first_batch_reg_grad_norm,first_batch_p2_to_task_grad_ratio,first_batch_a1_to_task_grad_ratio,first_batch_reg_to_task_grad_ratio,train_p2_hidden_1,train_p2_hidden_2,train_p2_hidden_3
11,0.0,0.0,0.0,2.4341578852904644,1911.966644759843,0.009378534424312657,0.0,0.0,2.4341578852904644,0.0,0.1111111111111111,2.465867280960083,,,,,,,,,,25.979239934898285,37.058539805847275,5672.862008861338
12,0.0,0.0,0.0,2.4323861972395195,1942.158192199602,0.009383011514740946,0.0,0.0,2.4323861972395195,0.0,0.10416666666666667,2.4649510383605957,,,,,,,,,,26.15462213210928,37.064697869673445,5763.255192085306
13,0.0,0.0,0.0,2.4255121090736322,1953.9028370737415,0.009300988512963262,0.0,0.0,2.4255121090736322,0.0,0.10416666666666667,2.463207244873047,,,,,,,,,,26.21671496077782,37.08040026666375,5798.4113773733325
14,0.0,0.0,0.0,2.424164354698588,1956.7642231873924,0.009424196570637202,0.0,0.0,2.424164354698588,0.0,0.10416666666666667,2.4643008708953857,,,,,,,,,,26.20985509114093,37.58553211783378,5806.497233353055
15,0.0,0.0,0.0,2.416595659239567,2018.8654755741718,0.009494676262704518,0.0,0.0,2.416595659239567,0.0,0.10416666666666667,2.461967706680298,,,,,,,,,,26.17950053715665,38.54814516944032,5991.868387612952
16,0.0,0.0,0.0,2.4138620187001054,2136.1199051927574,0.009938649502991604,0.0,0.0,2.4138620187001054,0.0,0.10416666666666667,2.4638166427612305,,,,,,,,,,26.322036168661462,40.8792250562658,6341.1584514677015
17,0.0,0.0,0.0,2.4099793048405607,2072.6565920489998,0.009889144283717758,0.0,0.0,2.4099793048405607,0.0,0.10416666666666667,2.466845750808716,,,,,,,,,,26.492622260587762,40.65586508982358,6150.821129383606
18,0.0,0.0,0.0,2.4052562487925595,2083.6655105354453,0.009971432387027345,0.0,0.0,2.4052562487925595,0.0,0.10416666666666667,2.4598782062530518,,,,,,,,,,26.61515404968787,41.058909207736356,6183.322549685348
19,0.0,0.0,0.0,2.40047474285001,2174.731604150979,0.010156384402350643,0.0,0.0,2.40047474285001,0.0,0.10416666666666667,2.459094762802124,,,,,,,,,,26.604709582566805,42.20947731300394,6455.380648430777
20,0.0,0.0,0.0,2.3940800984426946,2215.657519027001,0.01026416805744325,0.0,0.0,2.3940800984426946,0.0,0.1111111111111111,2.4572441577911377,0.028718704343593696,13250.94410315733,0.002511518224889557,0.0,0.0,0.0,0.0,0.0,0.0,26.513481205794157,41.822883881718276,6578.636071630271
21,0.0,0.0,0.0,2.3881921004920734,2176.239348577345,0.010213293717042406,0.0,0.0,2.3881921004920734,0.0,0.10416666666666667,2.4582245349884033,,,,,,,,,,26.434281754616823,41.13551606327654,6461.148272778614
22,0.0,0.0,0.0,2.3823228957525835,2084.476102792868,0.010091865122664509,0.0,0.0,2.3823228957525835,0.0,0.1111111111111111,2.456383466720581,,,,,,,,,,26.253097498068094,39.62549180705453,6187.549513903829
23,0.0,0.0,0.0,2.3786256518503475,2202.5079380895513,0.010363764092710876,0.0,0.0,2.3786256518503475,0.0,0.11805555555555557,2.450545310974121,,,,,,,,,,26.455759196191153,41.420974248863125,6539.647007323379
24,0.0,0.0,0.0,2.375368446573333,2404.957692656788,0.011479305536221718,0.0,0.0,2.375368446573333,0.0,0.125,2.439201831817627,,,,,,,,,,26.903282221336166,45.54975223377116,7142.420058862683
