seed,weight_source,gain,split,accuracy,balanced_accuracy,macro_f1,zero_output_fraction,mean_total_output_spikes,mean_active_output_classes,mean_per_class_count_variance,mean_peak_class_spikes_per_timestep
11,no_bias_w,64.0,val,0.4365079365079365,0.4413780663780664,0.4206922260873951,0.0,439.531746031746,11.531746031746032,547.4106565465692,0.7508994707403287
11,no_bias_w,64.0,test,0.363013698630137,0.3695720945720945,0.3442767732747387,0.0,408.43150684931504,11.5,467.10885797835743,0.769909492085033
23,affine_w,0.125,train,0.0826161790017211,0.0833333333333333,0.012718600953895,1.0,0.0,0.0,0.0,0.0
23,affine_w,0.125,val,0.0555555555555555,0.0833333333333333,0.0087719298245614,1.0,0.0,0.0,0.0,0.0
23,affine_w,0.125,test,0.0753424657534246,0.0833333333333333,0.0116772823779193,1.0,0.0,0.0,0.0,0.0
23,affine_w,0.25,train,0.0826161790017211,0.0833333333333333,0.012718600953895,1.0,0.0,0.0,0.0,0.0
23,affine_w,0.25,val,0.0555555555555555,0.0833333333333333,0.0087719298245614,1.0,0.0,0.0,0.0,0.0
23,affine_w,0.25,test,0.0753424657534246,0.0833333333333333,0.0116772823779193,1.0,0.0,0.0,0.0,0.0
23,affine_w,0.5,train,0.0826161790017211,0.0833333333333333,0.012718600953895,1.0,0.0,0.0,0.0,0.0
23,affine_w,0.5,val,0.0555555555555555,0.0833333333333333,0.0087719298245614,1.0,0.0,0.0,0.0,0.0
23,affine_w,0.5,test,0.0753424657534246,0.0833333333333333,0.0116772823779193,1.0,0.0,0.0,0.0,0.0
23,affine_w,1.0,train,0.0826161790017211,0.0833333333333333,0.012718600953895,1.0,0.0,0.0,0.0,0.0
23,affine_w,1.0,val,0.0555555555555555,0.0833333333333333,0.0087719298245614,1.0,0.0,0.0,0.0,0.0
23,affine_w,1.0,test,0.0753424657534246,0.0833333333333333,0.0116772823779193,1.0,0.0,0.0,0.0,0.0
23,affine_w,2.0,train,0.1049913941480206,0.1051747030048916,0.0529755699704075,0.9604130808950088,0.0533562822719449,0.0395869191049913,0.0098081038192604,0.0004857380392804
23,affine_w,2.0,val,0.0634920634920634,0.0853174603174603,0.0299145299145299,0.9761904761904762,0.0238095238095238,0.0238095238095238,0.0019368858654572,0.0002351276379236
23,affine_w,2.0,test,0.0821917808219178,0.0892857142857142,0.0228632478632478,0.9794520547945206,0.0205479452054794,0.0205479452054794,0.0016927816350785,0.0001894700041355
23,affine_w,4.0,train,0.4784853700516351,0.4655768670823703,0.4096389679327396,0.1566265060240964,19.712564543889844,2.834767641996557,20.18477351747783,0.1060424551896951
23,affine_w,4.0,val,0.365079365079365,0.3408068783068783,0.2943413596815393,0.1825396825396825,14.912698412698411,2.6587301587301586,13.323396951373146,0.0910931740307359
23,affine_w,4.0,test,0.4178082191780822,0.3834942834942834,0.3066127171390329,0.1164383561643835,17.602739726027398,2.9383561643835616,12.408879089260038,0.1038610509065038
23,affine_w,8.0,train,0.6299483648881239,0.6245581626874366,0.5902463314327274,0.0172117039586919,116.18760757314976,7.098106712564544,190.43679019002013,0.3777238418864407
23,affine_w,8.0,val,0.4206349206349206,0.3963624338624338,0.3609181501694006,0.0317460317460317,97.1031746031746,6.261904761904762,139.6909223565969,0.3510459361998586
23,affine_w,8.0,test,0.4452054794520548,0.4232489732489732,0.3701613208196603,0.0,101.73287671232876,6.917808219178082,131.44958794645643,0.3963789895424696
23,affine_w,16.0,train,0.6419965576592083,0.6482396825605686,0.6118515435489629,0.0068846815834767,260.12564543889846,9.674698795180722,432.51073040625744,0.6008388339262434
23,affine_w,16.0,val,0.4365079365079365,0.4372053872053872,0.3976454341970113,0.0079365079365079,216.15079365079364,8.746031746031745,338.51078672209616,0.573377795944322
23,affine_w,16.0,test,0.4246575342465753,0.416754773004773,0.3683425586329062,0.0,217.4109589041096,9.36986301369863,289.664336648527,0.624157848987228
23,affine_w,32.0,train,0.5972461273666093,0.6075910897922955,0.5694109668735656,0.0068846815834767,375.9500860585198,10.6592082616179,590.4195937919368,0.7114146575830143
23,affine_w,32.0,val,0.3412698412698413,0.3509259259259258,0.301382901518771,0.0079365079365079,309.26984126984127,9.96031746031746,447.746514655245,0.6744221754442127
23,affine_w,32.0,test,0.3835616438356164,0.3828872516372516,0.3400342286616797,0.0,306.3767123287671,10.356164383561644,386.1126813973852,0.7283947608075163
23,affine_w,64.0,train,0.53184165232358,0.5410211677515032,0.5071825915967595,0.0051635111876075,449.22030981067127,11.099827882960414,666.8411018057972,0.7654630207952707
23,affine_w,64.0,val,0.3174603174603174,0.3130651755651756,0.28902284309893,0.0,369.57936507936506,10.61111111111111,508.2618470227599,0.7232510225281269
23,affine_w,64.0,test,0.3287671232876712,0.3298957986457986,0.299592715530091,0.0,359.28767123287673,10.835616438356164,436.9959029211234,0.7697179107109839
23,no_bias_w,0.125,train,0.0826161790017211,0.0833333333333333,0.012718600953895,1.0,0.0,0.0,0.0,0.0
23,no_bias_w,0.125,val,0.0555555555555555,0.0833333333333333,0.0087719298245614,1.0,0.0,0.0,0.0,0.0
23,no_bias_w,0.125,test,0.0753424657534246,0.0833333333333333,0.0116772823779193,1.0,0.0,0.0,0.0,0.0
23,no_bias_w,0.25,train,0.0826161790017211,0.0833333333333333,0.012718600953895,1.0,0.0,0.0,0.0,0.0
23,no_bias_w,0.25,val,0.0555555555555555,0.0833333333333333,0.0087719298245614,1.0,0.0,0.0,0.0,0.0
23,no_bias_w,0.25,test,0.0753424657534246,0.0833333333333333,0.0116772823779193,1.0,0.0,0.0,0.0,0.0
23,no_bias_w,0.5,train,0.2822719449225473,0.2734065861936328,0.2609271469866757,0.6196213425129088,0.9208261617900172,0.4165232358003442,0.2450668175529752,0.0098532733154771
23,no_bias_w,0.5,val,0.2063492063492063,0.2159090909090909,0.2145632327004876,0.7301587301587301,0.5714285714285714,0.2777777777777778,0.1117514907197445,0.0065650010278039
23,no_bias_w,0.5,test,0.1712328767123287,0.1736284548784548,0.1225540503557744,0.678082191780822,0.6095890410958904,0.3561643835616438,0.1134085506974415,0.0073788437038083
23,no_bias_w,1.0,train,0.7900172117039587,0.7859051211763775,0.7878397278472176,0.0206540447504302,37.05507745266782,5.791738382099828,33.26636815271913,0.1751743384831343
