architecture,objective,variant,hidden_cap,seed,off_test_ba,on_test_ba,delta_test_ba_reg_on_minus_off,off_last_hidden_events_per_neuron_second,on_last_hidden_events_per_neuron_second,delta_last_hidden_events_per_neuron_second
mid_long,whole_count_ce,binary,1,11,0.432004107004107,0.13365800865800867,-0.2983460983460984,12.877982107355864,0.7894300861497681,-12.088552021206096
mid_long,whole_count_ce,binary,1,23,0.417130092130092,0.08787878787878788,-0.3292513042513041,11.984095427435388,1.4631378396288932,-10.520957587806496
mid_long,whole_count_ce,binary,1,37,0.4012099012099011,0.07997835497835497,-0.3212315462315461,10.528330019880716,4.107935719019218,-6.420394300861498
mid_long,whole_count_ce,binary,1,53,0.3507048507048507,0.09036796536796537,-0.2603368853368853,11.504307488402915,1.5103959575878065,-9.993911530815108
mid_long,whole_count_ce,binary,1,71,0.4029005716505716,0.05735930735930735,-0.34554126429126425,11.332049370444002,1.3551192842942346,-9.976930086149768
mid_long,whole_count_ce,multi_h,31,11,0.4335782273282274,0.11374458874458875,-0.3198336385836386,45.40974983432737,2.411199469847581,-42.99855036447979
mid_long,whole_count_ce,multi_h,31,23,0.4145306082806082,0.0735930735930736,-0.3409375346875346,34.81080185553346,1.8013999337309476,-33.009401921802514
mid_long,whole_count_ce,multi_h,31,37,0.4096195471195471,0.052489177489177495,-0.35713036963036965,33.53686216037111,5.0889662027833005,-28.447895957587807
mid_long,whole_count_ce,multi_h,31,53,0.4047112609612609,0.09469696969696971,-0.3100142912642912,32.62085818422796,1.248426110006627,-31.372432074221337
mid_long,whole_count_ce,multi_h,31,71,0.4063727938727938,0.08216089466089467,-0.32421189921189913,29.127899271040423,3.183648111332008,-25.944251159708415
mid_long,timestep_ce,binary,1,11,0.3461829836829836,0.06060606060606061,-0.285576923076923,8.536903578528827,3.921305500331345,-4.615598078197483
mid_long,timestep_ce,binary,1,23,0.3281773781773782,0.12932900432900432,-0.19884837384837387,11.262259774685225,0.5120941020543406,-10.750165672630883
mid_long,timestep_ce,binary,1,37,0.2499167499167499,0.07575757575757576,-0.17415917415917415,7.959203114645461,2.502526507620941,-5.456676607024519
mid_long,timestep_ce,binary,1,53,0.2609557109557109,0.07651515151515152,-0.18444055944055937,6.772448641484427,2.1990970841616964,-4.573351557322731
mid_long,timestep_ce,binary,1,71,0.3349386724386724,0.08333333333333333,-0.2516053391053391,7.132910868124585,0.1486911862160371,-6.984219681908549
mid_long,timestep_ce,multi_h,31,11,0.2560945998445998,0.07575757575757576,-0.18033702408702407,25.220551689860837,5.944458250497018,-19.27609343936382
mid_long,timestep_ce,multi_h,31,23,0.1466450216450216,0.08333333333333333,-0.06331168831168828,33.38415341285619,1.6113320079522864,-31.772821404903908
mid_long,timestep_ce,multi_h,31,37,0.2337370962370962,0.06060606060606061,-0.1731310356310356,18.1610337972167,5.084617296222664,-13.076416500994036
mid_long,timestep_ce,multi_h,31,53,0.2478354978354978,0.09036796536796537,-0.15746753246753242,11.925240225314775,1.8304754804506296,-10.094764744864145
mid_long,timestep_ce,multi_h,31,71,0.3090728715728716,0.07251082251082251,-0.23656204906204908,17.674991716368456,2.3393389662027833,-15.335652750165673
