condition,architecture,objective,seed,epoch,lambda_scale,lambda_p2,lambda_a1,train_task_loss,train_p2,train_a1,train_weighted_p2,train_weighted_a1,train_total_loss,train_reg_to_task_ratio,val_native_ba,val_native_loss,first_batch_task_grad_norm,first_batch_p2_grad_norm_raw,first_batch_a1_grad_norm_raw,first_batch_weighted_p2_grad_norm,first_batch_weighted_a1_grad_norm,first_batch_reg_grad_norm,first_batch_p2_to_task_grad_ratio,first_batch_a1_to_task_grad_ratio,first_batch_reg_to_task_grad_ratio,train_p2_hidden_1,train_p2_hidden_2,train_p2_hidden_3
no_reg,short_mid_long,whole_count_ce,23,13,0.0,0.0,0.0,2.279228859226798,2098.7382215805187,0.0111063171078718,0.0,0.0,2.279228859226798,0.0,0.125,2.426525115966797,,,,,,,,,,26.52436555478331,42.913126366068695,6226.777110114565
no_reg,short_mid_long,whole_count_ce,23,14,0.0,0.0,0.0,2.2692201383758124,2106.369106167976,0.0110711626670036,0.0,0.0,2.2692201383758124,0.0,0.1388888888888889,2.4265618324279785,,,,,,,,,,26.632182470902723,43.01093996084085,6249.464368074979
no_reg,short_mid_long,whole_count_ce,23,15,0.0,0.0,0.0,2.258768169892224,2136.770630513124,0.0111057510897645,0.0,0.0,2.258768169892224,0.0,0.125,2.429362773895264,,,,,,,,,,26.758054404989167,42.49959833404488,6341.054008444492
no_reg,short_mid_long,whole_count_ce,23,16,0.0,0.0,0.0,2.2516617319464887,2238.634836009776,0.0113942168249064,0.0,0.0,2.2516617319464887,0.0,0.125,2.425098180770874,,,,,,,,,,26.95264993559268,43.60090936604958,6645.350685526705
no_reg,short_mid_long,whole_count_ce,23,17,0.0,0.0,0.0,2.247500077787652,2367.5769416953526,0.0117738590609416,0.0,0.0,2.247500077787652,0.0,0.1388888888888889,2.417323589324951,,,,,,,,,,27.20002102482545,45.21924122270331,7030.3115570541095
no_reg,short_mid_long,whole_count_ce,23,18,0.0,0.0,0.0,2.2314726629273616,2445.608111645802,0.0123079401872115,0.0,0.0,2.2314726629273616,0.0,0.1319444444444444,2.418248653411865,,,,,,,,,,27.53380731132888,47.04377434052617,7262.24668246087
no_reg,short_mid_long,whole_count_ce,23,19,0.0,0.0,0.0,2.226978640958487,2552.428020011127,0.0130169176578316,0.0,0.0,2.226978640958487,0.0,0.1319444444444444,2.42102313041687,,,,,,,,,,27.9921228241387,49.84436611628573,7579.447747393032
no_reg,short_mid_long,whole_count_ce,23,20,0.0,0.0,0.0,2.215576236711722,2635.5591320359563,0.0134998266272593,0.0,0.0,2.215576236711722,0.0,0.1319444444444444,2.417760372161865,0.0647851100851623,13742.864230210527,0.0028381584391452,0.0,0.0,0.0,0.0,0.0,0.0,28.239881311964865,52.05365229227457,7826.383894114404
no_reg,short_mid_long,whole_count_ce,23,21,0.0,0.0,0.0,2.201187692287662,2615.040693325758,0.0136153960982,0.0,0.0,2.201187692287662,0.0,0.1458333333333333,2.401384830474853,,,,,,,,,,28.47778279604887,51.59139406660543,7765.052947840469
no_reg,short_mid_long,whole_count_ce,23,22,0.0,0.0,0.0,2.18495705328792,2880.969216430454,0.0147324919976332,0.0,0.0,2.18495705328792,0.0,0.1458333333333333,2.382713794708252,,,,,,,,,,29.14885549824332,56.02523773508515,8557.733495925668
no_reg,short_mid_long,whole_count_ce,23,23,0.0,0.0,0.0,2.166630765452032,3196.628098400858,0.0158281509096056,0.0,0.0,2.166630765452032,0.0,0.1408730158730158,2.3680739402771,,,,,,,,,,29.8492626282106,60.37434477814298,9499.660722689869
no_reg,short_mid_long,whole_count_ce,23,24,0.0,0.0,0.0,2.153662251523357,3414.7526607546256,0.0168811939688793,0.0,0.0,2.153662251523357,0.0,0.1547619047619047,2.3624136447906494,,,,,,,,,,30.378651174128365,64.9979407266167,10148.881575408775
no_reg,short_mid_long,whole_count_ce,23,25,0.0,0.0,0.0,2.1396006425768905,3617.230469590416,0.0178740513150334,0.0,0.0,2.1396006425768905,0.0,0.1492063492063492,2.350540399551392,,,,,,,,,,31.15535573910108,70.71509073359215,10749.82085204658
no_reg,short_mid_long,whole_count_ce,23,26,0.0,0.0,0.0,2.114590804466077,3604.6845316534,0.017942779096366,0.0,0.0,2.114590804466077,0.0,0.1492063492063492,2.354038953781128,,,,,,,,,,31.52175645943148,72.24060473548771,10710.291143368117
no_reg,short_mid_long,whole_count_ce,23,27,0.0,0.0,0.0,2.0986658556325914,3672.16443270291,0.0182109815220824,0.0,0.0,2.0986658556325914,0.0,0.1422619047619047,2.361691236495972,,,,,,,,,,31.68737334023244,72.28588361625212,10912.51976572585
no_reg,short_mid_long,whole_count_ce,23,28,0.0,0.0,0.0,2.088425357247384,3780.260255902236,0.0184767016445297,0.0,0.0,2.088425357247384,0.0,0.1373015873015872,2.3550896644592285,,,,,,,,,,32.05128419255636,73.11750958257205,11235.611821028531
no_reg,short_mid_long,whole_count_ce,23,29,0.0,0.0,0.0,2.0878368302179493,4022.516833517104,0.0188544651464576,0.0,0.0,2.0878368302179493,0.0,0.1492063492063492,2.3501710891723637,,,,,,,,,,32.452496428497895,75.77373006955277,11959.32407756024
no_reg,short_mid_long,whole_count_ce,23,30,0.0,0.0,0.0,2.073213089764016,4303.620311743626,0.0195045048986495,0.0,0.0,2.073213089764016,0.0,0.1561507936507936,2.343156337738037,0.0437080291467153,12437.247532613475,0.0039487116550061,0.0,0.0,0.0,0.0,0.0,0.0,32.57205927679748,78.62513342904963,12799.663898198822
no_reg,short_mid_long,whole_count_ce,37,1,0.0,0.0,0.0,2.511739968432822,861.2164578199797,0.00813086882551,0.0,0.0,2.511739968432822,0.0,0.0833333333333333,2.4955899715423584,0.08959631510881,5821.7147723523,0.0032128178406652,0.0,0.0,0.0,0.0,0.0,0.0,25.993090549147272,29.838284543377192,2527.817924670221
no_reg,short_mid_long,whole_count_ce,37,2,0.0,0.0,0.0,2.4758689264011875,854.1031386987682,0.0074405589881521,0.0,0.0,2.4758689264011875,0.0,0.0833333333333333,2.4897258281707764,0.0519271971723757,1236.784867547202,0.0029681884594662,0.0,0.0,0.0,0.0,0.0,0.0,26.768762483449077,27.0486168032464,2508.492095474532
no_reg,short_mid_long,whole_count_ce,37,3,0.0,0.0,0.0,2.4642671988876264,872.6088160713446,0.0070759984199759,0.0,0.0,2.4642671988876264,0.0,0.0833333333333333,2.4907660484313965,,,,,,,,,,27.402891894420947,25.66585207559976,2564.757554072316
no_reg,short_mid_long,whole_count_ce,37,4,0.0,0.0,0.0,2.449449392276048,899.7562137150724,0.0071436380598815,0.0,0.0,2.449449392276048,0.0,0.0833333333333333,2.492377281188965,,,,,,,,,,27.77229484387396,25.679523149578998,2645.8168588136027
no_reg,short_mid_long,whole_count_ce,37,5,0.0,0.0,0.0,2.4349798975631005,977.7790628193578,0.0075414105416267,0.0,0.0,2.4349798975631005,0.0,0.0833333333333333,2.4922096729278564,0.0435243869186385,6039.119213511189,0.0023002488349793,0.0,0.0,0.0,0.0,0.0,0.0,28.026588137917184,27.16859778766993,2878.141978068524
no_reg,short_mid_long,whole_count_ce,37,6,0.0,0.0,0.0,2.424944933433336,1015.414529980973,0.0078703377463192,0.0,0.0,2.424944933433336,0.0,0.0833333333333333,2.4907798767089844,,,,,,,,,,28.28417429045843,27.849691203867508,2990.1096565391026
no_reg,short_mid_long,whole_count_ce,37,7,0.0,0.0,0.0,2.41545665120504,1021.2997530019632,0.0078459524592823,0.0,0.0,2.41545665120504,0.0,0.0833333333333333,2.489380359649658,,,,,,,,,,28.403662699635387,27.62116322870304,3007.8744713788187
no_reg,short_mid_long,whole_count_ce,37,8,0.0,0.0,0.0,2.4039505032787223,1078.3954271326377,0.0082236102408699,0.0,0.0,2.4039505032787223,0.0,0.0833333333333333,2.483072280883789,,,,,,,,,,28.555187074329684,28.87282405991152,3177.758237750108
no_reg,short_mid_long,whole_count_ce,37,9,0.0,0.0,0.0,2.3920941036867807,1202.2259142247,0.0092879756179072,0.0,0.0,2.3920941036867807,0.0,0.1041666666666666,2.473001003265381,,,,,,,,,,28.83100862880582,31.84948546956205,3545.9972119224667
no_reg,short_mid_long,whole_count_ce,37,10,0.0,0.0,0.0,2.379788066351886,1477.3598978433265,0.0108812979683792,0.0,0.0,2.379788066351886,0.0,0.1180555555555555,2.4476141929626465,0.0617557025355475,4641.804321530045,0.002947481541418,0.0,0.0,0.0,0.0,0.0,0.0,29.05072113076504,36.314965778291736,4366.714039472623
no_reg,short_mid_long,whole_count_ce,37,11,0.0,0.0,0.0,2.3658203807837377,1548.9899110252393,0.0115022062437798,0.0,0.0,2.3658203807837377,0.0,0.1111111111111111,2.449385643005371,,,,,,,,,,29.263174336050955,37.48971380998674,4580.216912642199
no_reg,short_mid_long,whole_count_ce,37,12,0.0,0.0,0.0,2.348352532378573,1580.0985083785197,0.0117474176468914,0.0,0.0,2.348352532378573,0.0,0.0853174603174603,2.46846866607666,,,,,,,,,,29.62972187626588,38.38534591202071,4672.280503921377
no_reg,short_mid_long,whole_count_ce,37,13,0.0,0.0,0.0,2.328816290361336,1709.332561341908,0.0124505061124052,0.0,0.0,2.328816290361336,0.0,0.0853174603174603,2.4691224098205566,,,,,,,,,,30.14623216179275,40.34070889839002,5057.510750591652
no_reg,short_mid_long,whole_count_ce,37,14,0.0,0.0,0.0,2.3061714065669943,1810.573422771723,0.0130977475207792,0.0,0.0,2.3061714065669943,0.0,0.0992063492063492,2.4576265811920166,,,,,,,,,,31.18420565764383,42.98542045685182,5357.550667793944
no_reg,short_mid_long,whole_count_ce,37,15,0.0,0.0,0.0,2.2840212544557765,1903.1594923219664,0.0134150252778487,0.0,0.0,2.2840212544557765,0.0,0.0922619047619047,2.4641451835632324,,,,,,,,,,32.224160356899134,43.39126168019595,5633.863165272698
no_reg,short_mid_long,whole_count_ce,37,16,0.0,0.0,0.0,2.2620555143963657,1913.307372416564,0.0134786340358335,0.0,0.0,2.2620555143963657,0.0,0.0853174603174603,2.4512643814086914,,,,,,,,,,32.81696808728007,44.11608953689339,5662.9891695689
no_reg,short_mid_long,whole_count_ce,37,17,0.0,0.0,0.0,2.237960007022457,2074.747077245925,0.0141067529776856,0.0,0.0,2.237960007022457,0.0,0.1111111111111111,2.435506582260132,,,,,,,,,,33.254409156444765,47.93065844878888,6143.056248151086
no_reg,short_mid_long,whole_count_ce,37,18,0.0,0.0,0.0,2.2256949497787555,2426.5327941579376,0.0154035401862377,0.0,0.0,2.2256949497787555,0.0,0.1319444444444444,2.420269250869751,,,,,,,,,,33.60596793695079,53.79290643452367,7192.199427593186
no_reg,short_mid_long,whole_count_ce,37,19,0.0,0.0,0.0,2.2080660252070468,2499.412174927388,0.0161583118313817,0.0,0.0,2.2080660252070468,0.0,0.1319444444444444,2.4240882396698,,,,,,,,,,34.40297744278243,55.71881807363382,7408.114523383713
no_reg,short_mid_long,whole_count_ce,37,20,0.0,0.0,0.0,2.203061676271606,2506.1356116079837,0.0164890617080892,0.0,0.0,2.203061676271606,0.0,0.125,2.436431884765625,0.0404685379519503,11156.806885260676,0.0045170872588641,0.0,0.0,0.0,0.0,0.0,0.0,34.910666283559884,56.04912641659866,7427.447060143476
no_reg,short_mid_long,whole_count_ce,37,21,0.0,0.0,0.0,2.192047584487731,2460.7233825788644,0.0164479298049042,0.0,0.0,2.192047584487731,0.0,0.1111111111111111,2.445237159729004,,,,,,,,,,34.95334046802094,55.17965994357242,7292.037267373063
no_reg,short_mid_long,whole_count_ce,37,22,0.0,0.0,0.0,2.164605128375265,2640.5043205747097,0.0168378689356802,0.0,0.0,2.164605128375265,0.0,0.1319444444444444,2.420804023742676,,,,,,,,,,35.33895912761327,57.81742971160941,7828.356532715684
no_reg,short_mid_long,whole_count_ce,37,23,0.0,0.0,0.0,2.160275314022465,2891.025749482304,0.0176355846630162,0.0,0.0,2.160275314022465,0.0,0.113095238095238,2.4185659885406494,,,,,,,,,,35.984396332102264,60.73542452761311,8576.357336152647
no_reg,short_mid_long,whole_count_ce,37,24,0.0,0.0,0.0,2.145811418658074,2983.9444535956327,0.0180113179298204,0.0,0.0,2.145811418658074,0.0,0.1388888888888889,2.4261584281921387,,,,,,,,,,36.64270465345268,62.4075853278838,8852.78330565566
no_reg,short_mid_long,whole_count_ce,37,25,0.0,0.0,0.0,2.132510240640164,3024.3310084646623,0.0186045033225658,0.0,0.0,2.132510240640164,0.0,0.1339285714285714,2.419764280319214,,,,,,,,,,37.27551674637655,65.03416773128018,8970.683489538511
no_reg,short_mid_long,whole_count_ce,37,26,0.0,0.0,0.0,2.125965276396418,3000.76322939638,0.0187843004385852,0.0,0.0,2.125965276396418,0.0,0.1283730158730158,2.4188694953918457,,,,,,,,,,37.59004145111767,66.89779454951852,8897.802040192018
no_reg,short_mid_long,whole_count_ce,37,27,0.0,0.0,0.0,2.1155001665762083,2998.361714295799,0.0191421189959354,0.0,0.0,2.1155001665762083,0.0,0.1422619047619047,2.411810398101806,,,,,,,,,,37.62316844631596,67.33928719814386,8890.122612380324
no_reg,short_mid_long,whole_count_ce,37,28,0.0,0.0,0.0,2.0907842238880887,3003.4290807202024,0.0194371972688299,0.0,0.0,2.0907842238880887,0.0,0.1353174603174603,2.400897979736328,,,,,,,,,,37.80969418182636,68.34635183363896,8904.130995522268
no_reg,short_mid_long,whole_count_ce,37,29,0.0,0.0,0.0,2.085355433252305,3191.7833543997417,0.0203038827258061,0.0,0.0,2.085355433252305,0.0,0.1492063492063492,2.378544330596924,,,,,,,,,,38.2605140869876,72.0438611133989,9465.045410996663
no_reg,short_mid_long,whole_count_ce,37,30,0.0,0.0,0.0,2.0795801588672367,3477.483065633068,0.0212685242551739,0.0,0.0,2.0795801588672367,0.0,0.1339285714285714,2.3836822509765625,0.0830897139140193,16110.455203842006,0.0055526021188796,0.0,0.0,0.0,0.0,0.0,0.0,38.55476294696434,76.53110047174609,10317.363198048892
no_reg,short_mid_long,whole_count_ce,53,1,0.0,0.0,0.0,2.49207641704973,491.3969991293298,0.0057899013663387,0.0,0.0,2.49207641704973,0.0,0.0833333333333333,2.4860599040985107,0.1134457495305693,883.7041719243847,0.0014493660738031,0.0,0.0,0.0,0.0,0.0,0.0,24.495069247720163,16.78213616533657,1432.9137804356376
no_reg,short_mid_long,whole_count_ce,53,2,0.0,0.0,0.0,2.4604121276310518,518.7378552776606,0.0058485329072608,0.0,0.0,2.4604121276310518,0.0,0.0902777777777777,2.4843907356262207,0.0263052892691398,2246.329408724375,0.001595508625597,0.0,0.0,0.0,0.0,0.0,0.0,24.4119245164776,16.936468602047526,1514.865156636591
no_reg,short_mid_long,whole_count_ce,53,3,0.0,0.0,0.0,2.4443447557045546,588.5338288141405,0.0062162342333842,0.0,0.0,2.4443447557045546,0.0,0.0972222222222222,2.48231840133667,,,,,,,,,,24.655453384845885,18.230528540947763,1722.7154362427389
no_reg,short_mid_long,whole_count_ce,53,4,0.0,0.0,0.0,2.4326556406004705,641.3951571492443,0.0068269832678485,0.0,0.0,2.4326556406004705,0.0,0.1041666666666666,2.465773344039917,,,,,,,,,,24.976738392998964,19.562644370862007,1879.646090640464
