epoch,train_task_loss,train_p2,train_a1,train_weighted_p2,train_weighted_a1,train_total_loss,train_reg_to_task_ratio,val_native_ba,val_native_loss,train_p2_hidden_1,train_p2_hidden_2,train_p2_hidden_3,train_p2_output
11,2.4851927280426027,176862.8703125,22.61186647415161,1768.6286865234374,2.261186683177948,1773.3750244140624,712.576474743434,0.08333333333333333,2.4849069118499756,51765.04453125,28759.119921875,94501.3203125,1837.3845520019531
12,2.4854198932647704,163642.0875,19.010459423065186,1636.4208190917968,1.9010460078716278,1640.8072570800782,659.1730715358601,0.08333333333333333,2.4849069118499756,48469.009765625,27006.293359375,86763.1693359375,1403.6129467010499
13,2.484216547012329,133964.36953125,18.00848045349121,1339.64365234375,1.8008481204509734,1343.928662109375,539.9869436009934,0.08333333333333333,2.4849069118499756,45899.6421875,25268.4150390625,61814.12583618164,982.1834156036377
14,2.4842761516571046,128227.409375,15.524147927761078,1282.2740600585937,1.552414806932211,1286.3107849121093,516.7809037691586,0.08333333333333333,2.4849069118499756,43788.6015625,23279.4814453125,60333.91005859375,825.4192859649659
15,2.4839404582977296,96589.69453125,13.967363846302032,965.8969177246094,1.3967364206910133,969.7776000976562,389.41901804208175,0.08333333333333333,2.4849069118499756,42030.292578125,22179.87080078125,31628.2720703125,751.2604759216308
16,2.483810806274414,122236.746875,14.02847318649292,1222.367431640625,1.4028473258018495,1226.254132080078,492.698669268622,0.08333333333333333,2.4849069118499756,40579.737890625,21154.258203125,59487.81049804688,1014.9358642578125
17,2.4837206840515136,93625.515625,12.937834000959992,936.2551147460938,1.2937833905685694,940.0326110839844,377.47759003532826,0.08333333333333333,2.4849069118499756,39298.291015625,19925.7953125,33632.973413085936,768.453464537859
18,2.48411545753479,86316.3765625,11.490703976154327,863.1637512207031,1.1490704022347926,866.796923828125,347.9358493588993,0.08333333333333333,2.4849069118499756,38180.273046875,18635.28671875,29047.363134765626,453.4543701171875
19,2.4839226722717287,81297.4765625,12.398326027393342,812.9747497558594,1.239832655340433,816.6984924316406,327.7938526429815,0.08333333333333333,2.4849069118499756,37188.77109375,17763.256640625,25608.53388671875,736.9132110595704
20,2.4838932037353514,82516.8796875,11.854675459861756,825.1687744140625,1.1854675732553006,828.8381530761719,332.68509320152015,0.08333333333333333,2.4849069118499756,36299.304296875,17154.9720703125,28363.144384765626,699.4582489013671
21,2.484218120574951,73668.71640625,10.653732061386108,736.6871520996094,1.0653732374310494,740.2367248535156,296.97574429023723,0.08333333333333333,2.4849069118499756,35465.40234375,16520.5068359375,21242.631188964842,440.17552423477173
22,2.484598684310913,72877.4921875,10.32884522974491,728.7749206542969,1.0328845407813787,732.2923889160156,293.7326699090182,0.08333333333333333,2.4849069118499756,34700.94921875,15809.51484375,21969.463427734376,397.56602612733843
23,2.4841047286987306,68817.177734375,9.262510032951832,688.1717590332031,0.9262510027736426,691.5821166992188,277.40296215166126,0.08333333333333333,2.4849069118499756,33967.22734375,14908.87265625,19606.0052734375,335.07231254577636
24,2.484301471710205,65716.62109375,9.504397106170654,657.1661987304688,0.9504397302865982,660.6009460449219,264.9101350842515,0.08333333333333333,2.4849069118499756,33287.375,14682.236328125,17315.3076171875,431.70333709716795
25,2.4841723918914793,66222.7171875,8.899602007865905,662.2271606445313,0.8899601951241494,665.6013000488281,266.9368369941306,0.08333333333333333,2.4849069118499756,32629.771484375,14199.73408203125,19018.59423828125,374.61951675415037
26,2.484103727340698,62860.59453125,8.896725249290466,628.6059387207031,0.8896725207567215,631.9797119140625,253.40955142616056,0.08333333333333333,2.4849069118499756,32008.173046875,13772.58037109375,16720.573095703126,359.2677635192871
27,2.4842708110809326,62049.36796875,8.472246551513672,620.4936584472656,0.8472246766090393,623.8251403808594,250.10996399926407,0.08333333333333333,2.4849069118499756,31399.874609375,13222.1798828125,17059.575262451173,367.73817138671876
28,2.4844829559326174,69890.295703125,7.851832222938538,698.9029296875,0.7851832151412964,702.1726013183594,281.6232291841159,0.08333333333333333,2.4849069118499756,30841.3015625,12832.02939453125,25887.58614501953,329.3764592647552
29,2.4838891983032227,63982.13125,7.980227816104889,639.8212829589844,0.7980227896943688,643.1031677246094,257.90977559960976,0.08333333333333333,2.4849069118499756,30291.9703125,12138.8609375,21334.656689453124,216.64225006103516
