epoch,train_task_loss,train_p2,train_a1,train_weighted_p2,train_weighted_a1,train_total_loss,train_reg_to_task_ratio,val_native_ba,val_native_loss,train_p2_hidden_1,train_p2_hidden_2,train_p2_output
13,2.4851730823516847,50054.43828125,1.9957534790039062,500.54436950683595,0.19957535862922668,503.22913818359376,201.49258352324424,0.08333333333333333,2.4849069118499756,38444.110546875,11584.1328125,26.194899368286134
14,2.4851832389831543,46947.24765625,1.6019757121801377,469.47246704101565,0.1601975721307099,472.11785278320315,188.9730532728455,0.08333333333333333,2.4849069118499756,36461.971875,10460.1884765625,25.088242882490157
15,2.485056447982788,43748.303125,1.4024814032018185,437.48301391601564,0.1402481415309012,440.1083129882812,176.10194022465024,0.08333333333333333,2.4849069118499756,34737.175390625,8981.29345703125,29.833930438756944
16,2.485047626495361,41251.841796875,1.230028748512268,412.518408203125,0.12300287783145905,415.1264617919922,166.04969928198145,0.08333333333333333,2.4849069118499756,33276.846484375,7950.806787109375,24.189966762065886
17,2.48498420715332,39100.07890625,1.1180602692067623,391.00078125,0.1118060290813446,393.5975677490234,157.39037139681517,0.08333333333333333,2.4849069118499756,31928.567578125,7152.33017578125,19.18121510744095
18,2.485059642791748,37145.134765625,1.0146641731262207,371.4513458251953,0.10146641740575432,374.03786010742186,149.51464578338803,0.08333333333333333,2.4849069118499756,30677.737890625,6451.84619140625,15.5494735121727
19,2.4849860668182373,35336.15,0.849421932734549,353.3614929199219,0.08494219640269876,355.93141174316406,142.23276332847834,0.08333333333333333,2.4849069118499756,29550.1859375,5774.4185546875,11.545168735086918
20,2.4850677967071535,33919.23125,0.7054461546242237,339.1923065185547,0.07054461473599076,341.74790649414064,136.5205615648925,0.08333333333333333,2.4849069118499756,28523.385546875,5385.86220703125,9.984186899662017
21,2.4849850654602053,32525.2541015625,0.6045706178992987,325.2525299072266,0.060457063699141146,327.79796142578124,130.91144550226082,0.08333333333333333,2.4849069118499756,27563.8435546875,4952.956555175781,8.45491498708725
22,2.4849066734313965,31182.534375,0.498288307338953,311.82533569335936,0.04982883022166788,314.36005859375,125.50779788156551,0.08333333333333333,2.4849069118499756,26645.400390625,4531.346044921875,5.788950854539872
23,2.4849065780639648,29892.558984375,0.4775153428316116,298.9255859375,0.04775153500959277,301.45823364257814,120.31572539255986,0.08333333333333333,2.4849069118499756,25817.9267578125,4069.0490234375,5.583760449290276
24,2.484906625747681,28740.55078125,0.37700910568237306,287.40550231933594,0.03770091156475246,289.9281005859375,115.67565567756986,0.08333333333333333,2.4849069118499756,25047.2828125,3689.306982421875,3.9597840428352358
25,2.4849066734313965,27781.6060546875,0.38062149807810786,277.81604919433596,0.03806215063668787,280.33900756835936,111.81671904051235,0.08333333333333333,2.4849069118499756,24330.4845703125,3447.6352294921876,3.4847250200808046
26,2.484906721115112,26945.57421875,0.31043244116008284,269.4557373046875,0.031043244851753117,271.9716766357422,108.44945536973955,0.08333333333333333,2.4849069118499756,23637.508984375,3305.563037109375,2.5020986616611482
27,2.4849066734313965,26060.9103515625,0.27587163681164384,260.6090972900391,0.02758716307580471,263.1215850830078,104.88791681387488,0.08333333333333333,2.4849069118499756,22994.9900390625,3063.29609375,2.6239722181111573
28,2.484906721115112,25182.098046875,0.27004477195441723,251.8209716796875,0.02700447808019817,254.33287048339844,101.35107850034301,0.08333333333333333,2.4849069118499756,22393.7556640625,2786.034521484375,2.307773643732071
29,2.4849066734313965,24528.6712890625,0.22829884942620993,245.28670959472657,0.022829885547980665,247.79443969726563,98.7198199848398,0.08333333333333333,2.4849069118499756,21839.28046875,2686.73662109375,2.654234689474106
30,2.4849066734313965,23787.233203125,0.21568398717790843,237.87232666015626,0.021568399015814067,240.37879638671876,95.73554516261387,0.08333333333333333,2.4849069118499756,21273.2169921875,2512.292724609375,1.7233304172754287
31,2.4849066734313965,23245.619140625,0.1921844449825585,232.45618591308593,0.019218444311991333,234.96030883789064,93.55498411389982,0.08333333333333333,2.4849069118499756,20771.199609375,2473.2375732421874,1.18190456032753
