epoch,train_task_loss,train_p2,train_a1,train_weighted_p2,train_weighted_a1,train_total_loss,train_reg_to_task_ratio,val_native_ba,val_native_loss,train_p2_hidden_1,train_p2_hidden_2,train_p2_hidden_3,train_p2_output
17,2.4860007762908936,94052.54296875,12.907463384047151,940.5254150390625,1.2907463729847222,944.3021667480468,378.8478951391296,0.08333333333333333,2.4849069118499756,39296.672265625,19931.24453125,34028.34482421875,796.2841841757297
18,2.4868272304534913,86458.7453125,11.153641200065612,864.5874450683593,1.1153641402721406,868.1896667480469,348.1153811600994,0.08333333333333333,2.4849069118499756,38179.3875,18739.677734375,29024.57294921875,515.1080154418945
19,2.4861920833587647,79927.1796875,12.481905353069305,799.2717834472656,1.2481905363500119,803.0061584472656,321.98637399815834,0.08333333333333333,2.4849069118499756,37188.95390625,17722.1068359375,24322.435961914063,693.6815147399902
20,2.48568377494812,81512.56484375,12.01908118724823,815.1256286621094,1.2019081376492977,818.8132202148438,328.41166081827794,0.08333333333333333,2.4849069118499756,36299.22109375,17125.5107421875,27394.69150390625,693.1447250366211
21,2.486786699295044,72089.25859375,10.76553716659546,720.8925598144531,1.0765537098050117,724.4558776855469,290.3220906436899,0.08333333333333333,2.4849069118499756,35465.639453125,16484.580859375,19715.03127441406,424.00693554878234
22,2.4885281562805175,79118.75546875,10.020973554253578,791.1875305175781,1.0020973708480596,794.678173828125,318.33661431119737,0.08333333333333333,2.4849069118499756,34691.024609375,15846.1748046875,28134.791015625,446.76412999629974
23,2.486095094680786,69963.855078125,9.81001057177782,699.6385192871094,0.9810010995715857,703.105615234375,281.81525392400175,0.08333333333333333,2.4849069118499756,33957.57734375,15047.056640625,20406.407080078126,552.8144030332566
24,2.4871063232421875,69401.38359375,9.940989923477172,694.013818359375,0.9940989851951599,697.49501953125,279.4443932089558,0.08333333333333333,2.4849069118499756,33281.526171875,14842.55087890625,20954.74404296875,322.56373062133787
25,2.4865952491760255,67347.05625,9.025641660112887,673.470556640625,0.9025641870219261,676.8597290039063,271.2034140060034,0.08333333333333333,2.4849069118499756,32632.728125,14186.7990234375,20184.75458984375,342.7742196120322
26,2.4859097957611085,64926.51640625,8.257796025276184,649.2651489257812,0.8257796123623848,652.5768249511718,261.51026463094405,0.08333333333333333,2.4849069118499756,32015.343359375,13630.6287109375,18924.391015625,356.1555480957031
27,2.485840654373169,73182.46640625,9.267035293579102,731.8246520996094,0.9267035365104676,735.2371887207031,294.77004262000486,0.08333333333333333,2.4849069118499756,31405.674609375,13019.4251953125,28332.50760498047,424.85810546875
28,2.485310697555542,59715.06640625,8.274188029766083,597.1506469726562,0.8274188224226237,600.4633728027344,240.60495389297907,0.08333333333333333,2.4849069118499756,30847.50234375,12674.901171875,15923.492944335938,269.16945216655733
29,2.487311267852783,68448.6765625,7.403971153497696,684.4867614746094,0.7403971202671528,687.7144592285156,275.4891064303389,0.08333333333333333,2.4849069118499756,30302.730859375,12329.5015625,25300.835498046876,515.6072830200195
