objective,architecture,last_layer,split,scope,layer,shift,mean_neurons,mean_firing_rate,sd_neurons,sd_firing_rate
fixed250_sequence_ce,B,L2,val,tau_subgroup,L1,2,43.0,0.0004185270705350818,0.0,0.00016552039295575496
fixed250_sequence_ce,B,L2,val,tau_subgroup,L1,3,43.0,0.006759722588008076,0.0,0.0031060826978889593
fixed250_sequence_ce,B,L2,val,tau_subgroup,L1,4,42.0,0.055003044731777945,0.0,0.004768904168174147
fixed250_sequence_ce,B,L2,val,tau_subgroup,L2,2,43.0,0.09604753923095821,0.0,0.005407876300613978
fixed250_sequence_ce,B,L2,val,tau_subgroup,L2,3,43.0,0.18449694066919417,0.0,0.04760716742861202
fixed250_sequence_ce,B,L2,val,tau_subgroup,L2,4,42.0,0.2630223247816084,0.0,0.024203514260113516
fixed250_sequence_ce,B,L2,val,whole_layer,L1,-1,128.0,0.02045931729728148,0.0,0.002626164000753722
fixed250_sequence_ce,B,L2,val,whole_layer,L2,-1,128.0,0.1805496115354227,0.0,0.02459584277841945
fixed250_sequence_ce,C,L3,test,tau_subgroup,L1,2,43.0,0.00026199392790543556,0.0,0.00014395442609667117
fixed250_sequence_ce,C,L3,test,tau_subgroup,L1,3,43.0,0.006651948772481392,0.0,0.0010977044799842378
fixed250_sequence_ce,C,L3,test,tau_subgroup,L1,4,42.0,0.03671029379279876,0.0,0.0026855797885468576
fixed250_sequence_ce,C,L3,test,tau_subgroup,L2,2,43.0,0.025038400090413592,0.0,0.009281014437334022
fixed250_sequence_ce,C,L3,test,tau_subgroup,L2,3,43.0,0.056902127287951874,0.0,0.0056011974106529965
fixed250_sequence_ce,C,L3,test,tau_subgroup,L2,4,42.0,0.11517929460275385,0.0,0.012998348832607231
fixed250_sequence_ce,C,L3,test,whole_layer,L1,-1,128.0,0.014368217776673292,0.0,0.0008640797624006987
fixed250_sequence_ce,C,L3,test,whole_layer,L2,-1,128.0,0.06532010195769826,0.0,0.005482278544685225
fixed250_sequence_ce,C,L3,test,whole_layer,L3,-1,128.0,0.19967456545449525,0.0,0.015197830609997753
fixed250_sequence_ce,C,L3,train,tau_subgroup,L1,2,43.0,0.00040702640530248293,0.0,0.00014789834791426512
fixed250_sequence_ce,C,L3,train,tau_subgroup,L1,3,43.0,0.006092153115154197,0.0,0.000941066628760164
fixed250_sequence_ce,C,L3,train,tau_subgroup,L1,4,42.0,0.03153494804390009,0.0,0.0028866150328700794
fixed250_sequence_ce,C,L3,train,tau_subgroup,L2,2,43.0,0.02252264709200731,0.0,0.008442045054374918
fixed250_sequence_ce,C,L3,train,tau_subgroup,L2,3,43.0,0.04784059833271078,0.0,0.004110903048206575
fixed250_sequence_ce,C,L3,train,tau_subgroup,L2,4,42.0,0.09884685558392159,0.0,0.00916853472961444
fixed250_sequence_ce,C,L3,train,whole_layer,L1,-1,128.0,0.012530722947058134,0.0,0.001100029147498502
fixed250_sequence_ce,C,L3,train,whole_layer,L2,-1,128.0,0.056071777248340504,0.0,0.0046208820550920175
fixed250_sequence_ce,C,L3,train,whole_layer,L3,-1,128.0,0.18035442871020146,0.0,0.015072892646298287
fixed250_sequence_ce,C,L3,val,tau_subgroup,L1,2,43.0,0.00010344083694525598,0.0,7.801815788100896e-05
fixed250_sequence_ce,C,L3,val,tau_subgroup,L1,3,43.0,0.0033101067822481913,0.0,0.0004947251042389479
fixed250_sequence_ce,C,L3,val,tau_subgroup,L1,4,42.0,0.023489025727635157,0.0,0.0017793676524852197
fixed250_sequence_ce,C,L3,val,tau_subgroup,L2,2,43.0,0.013931166928331152,0.0,0.005769558299011817
fixed250_sequence_ce,C,L3,val,tau_subgroup,L2,3,43.0,0.034140920446510535,0.0,0.0031393487637523215
fixed250_sequence_ce,C,L3,val,tau_subgroup,L2,4,42.0,0.0830208477034919,0.0,0.010023636734453995
fixed250_sequence_ce,C,L3,val,whole_layer,L1,-1,128.0,0.008854075220203084,0.0,0.0005602779002967289
fixed250_sequence_ce,C,L3,val,whole_layer,L2,-1,128.0,0.043390432505194164,0.0,0.0033937518234930294
fixed250_sequence_ce,C,L3,val,whole_layer,L3,-1,128.0,0.15248080538729405,0.0,0.013770393938490852
fixed250_sequence_ce,D,L3,test,tau_subgroup,L1,2,43.0,0.00031593385423890765,0.0,0.00015683520918710698
fixed250_sequence_ce,D,L3,test,tau_subgroup,L1,3,43.0,0.005496093208192704,0.0,0.002664806975803176
fixed250_sequence_ce,D,L3,test,tau_subgroup,L1,4,42.0,0.03794429192043506,0.0,0.015774002375080053
fixed250_sequence_ce,D,L3,test,tau_subgroup,L2,2,43.0,0.027899142612028093,0.0,0.02050892149707728
fixed250_sequence_ce,D,L3,test,tau_subgroup,L2,3,43.0,0.059484822332156934,0.0,0.018589047120991135
fixed250_sequence_ce,D,L3,test,tau_subgroup,L2,4,42.0,0.11490580327558458,0.0,0.018682143504894923
fixed250_sequence_ce,D,L3,test,tau_subgroup,L3,2,22.0,0.18919186898809168,0.0,0.07176223292432085
fixed250_sequence_ce,D,L3,test,tau_subgroup,L3,3,21.0,0.18098025602995782,0.0,0.04525830099976285
fixed250_sequence_ce,D,L3,test,tau_subgroup,L3,4,21.0,0.21897582757423714,0.0,0.04880235388912683
fixed250_sequence_ce,D,L3,test,whole_layer,L1,-1,128.0,0.014402948627678375,0.0,0.005712647882113843
fixed250_sequence_ce,D,L3,test,whole_layer,L2,-1,128.0,0.06705901742323835,0.0,0.01917024170566018
fixed250_sequence_ce,D,L3,test,whole_layer,L3,-1,64.0,0.19627029489728298,0.0,0.054891205643758434
fixed250_sequence_ce,D,L3,train,tau_subgroup,L1,2,43.0,0.00047324122721771936,0.0,0.00014809721326258343
fixed250_sequence_ce,D,L3,train,tau_subgroup,L1,3,43.0,0.004996103062980812,0.0,0.0022681467126447006
fixed250_sequence_ce,D,L3,train,tau_subgroup,L1,4,42.0,0.03248695149142333,0.0,0.01412678910390082
fixed250_sequence_ce,D,L3,train,tau_subgroup,L2,2,43.0,0.024072982755712877,0.0,0.0163166880895524
fixed250_sequence_ce,D,L3,train,tau_subgroup,L2,3,43.0,0.050948929806186614,0.0,0.020293956036571737
fixed250_sequence_ce,D,L3,train,tau_subgroup,L2,4,42.0,0.10103571913744924,0.0,0.02288850311762735
fixed250_sequence_ce,D,L3,train,tau_subgroup,L3,2,22.0,0.15981908623474939,0.0,0.06561525034986115
fixed250_sequence_ce,D,L3,train,tau_subgroup,L3,3,21.0,0.1677597027388509,0.0,0.05928407249944338
fixed250_sequence_ce,D,L3,train,tau_subgroup,L3,4,21.0,0.20781881680938744,0.0,0.06291702231139926
fixed250_sequence_ce,D,L3,train,whole_layer,L1,-1,128.0,0.012497138805611851,0.0,0.005195232590336299
fixed250_sequence_ce,D,L3,train,whole_layer,L2,-1,128.0,0.05835501909323865,0.0,0.019601443724868824
fixed250_sequence_ce,D,L3,train,whole_layer,L3,-1,64.0,0.17817451261996078,0.0,0.0620072316246931
fixed250_sequence_ce,D,L3,val,tau_subgroup,L1,2,43.0,0.00011909306885144604,0.0,7.253652027676289e-05
fixed250_sequence_ce,D,L3,val,tau_subgroup,L1,3,43.0,0.0026445466603241103,0.0,0.0015128433632968842
fixed250_sequence_ce,D,L3,val,tau_subgroup,L1,4,42.0,0.024389904031726525,0.0,0.010537539482321135
fixed250_sequence_ce,D,L3,val,tau_subgroup,L2,2,43.0,0.01582848964809019,0.0,0.012573004687638594
fixed250_sequence_ce,D,L3,val,tau_subgroup,L2,3,43.0,0.03636625950447756,0.0,0.01545408830366403
fixed250_sequence_ce,D,L3,val,tau_subgroup,L2,4,42.0,0.08311560365813724,0.0,0.019840245695184385
fixed250_sequence_ce,D,L3,val,tau_subgroup,L3,2,22.0,0.12326185212674545,0.0,0.05945891555679436
fixed250_sequence_ce,D,L3,val,tau_subgroup,L3,3,21.0,0.13758007226535013,0.0,0.04640515152000222
fixed250_sequence_ce,D,L3,val,tau_subgroup,L3,4,21.0,0.17766602149009314,0.0,0.051271159282131405
fixed250_sequence_ce,D,L3,val,whole_layer,L1,-1,128.0,0.008931347481930179,0.0,0.0037260015114593493
fixed250_sequence_ce,D,L3,val,whole_layer,L2,-1,128.0,0.044806480993767,0.0,0.015897662210159515
fixed250_sequence_ce,D,L3,val,whole_layer,L3,-1,64.0,0.14581138618207357,0.0,0.05111946394438923
fixed250_sequence_ce,E,L3,test,tau_subgroup,L1,2,43.0,0.00036024165086997393,0.0,2.6060207087838642e-05
fixed250_sequence_ce,E,L3,test,tau_subgroup,L1,3,43.0,0.00606246243469416,0.0,0.00104605638114869
fixed250_sequence_ce,E,L3,test,tau_subgroup,L1,4,42.0,0.03609493830666793,0.0,0.005454319412860665
fixed250_sequence_ce,E,L3,test,tau_subgroup,L2,2,43.0,0.022194353260283264,0.0,0.0062721508740831615
fixed250_sequence_ce,E,L3,test,tau_subgroup,L2,3,43.0,0.05567627824782571,0.0,0.006997675959254833
fixed250_sequence_ce,E,L3,test,tau_subgroup,L2,4,42.0,0.11694120988355582,0.0,0.004871206125110181
fixed250_sequence_ce,E,L3,test,tau_subgroup,L3,2,43.0,0.16560071097960044,0.0,0.014694340961523904
fixed250_sequence_ce,E,L3,test,tau_subgroup,L3,3,43.0,0.1957852368990193,0.0,0.02226548470701124
fixed250_sequence_ce,E,L3,test,tau_subgroup,L3,4,42.0,0.22604321162969274,0.0,0.01507768847156572
fixed250_sequence_ce,E,L3,test,whole_layer,L1,-1,128.0,0.014001278785619617,0.0,0.001761300313559717
fixed250_sequence_ce,E,L3,test,whole_layer,L2,-1,128.0,0.06453099976529711,0.0,0.002182610701263094
fixed250_sequence_ce,E,L3,test,whole_layer,L3,-1,128.0,0.19557352068146674,0.0,0.006912444259221015
fixed250_sequence_ce,E,L3,train,tau_subgroup,L1,2,43.0,0.0005001166549362565,0.0,5.306199567251157e-05
fixed250_sequence_ce,E,L3,train,tau_subgroup,L1,3,43.0,0.00552387414354049,0.0,0.0008863920520756476
fixed250_sequence_ce,E,L3,train,tau_subgroup,L1,4,42.0,0.03119997894479949,0.0,0.004755100237004048
fixed250_sequence_ce,E,L3,train,tau_subgroup,L2,2,43.0,0.019840037973551203,0.0,0.005326454004916237
fixed250_sequence_ce,E,L3,train,tau_subgroup,L2,3,43.0,0.045963473047905906,0.0,0.004948781455322209
fixed250_sequence_ce,E,L3,train,tau_subgroup,L2,4,42.0,0.10285545206073787,0.0,0.004452825661246265
fixed250_sequence_ce,E,L3,train,tau_subgroup,L3,2,43.0,0.13997631586703183,0.0,0.015606728353512803
fixed250_sequence_ce,E,L3,train,tau_subgroup,L3,3,43.0,0.17921340167222288,0.0,0.02370174986628175
fixed250_sequence_ce,E,L3,train,tau_subgroup,L3,4,42.0,0.21406918068950997,0.0,0.007277353645032604
fixed250_sequence_ce,E,L3,train,whole_layer,L1,-1,128.0,0.012261177500125614,0.0,0.0015709087107816356
fixed250_sequence_ce,E,L3,train,whole_layer,L2,-1,128.0,0.05585531219120036,0.0,0.003279799202972341
fixed250_sequence_ce,E,L3,train,whole_layer,L3,-1,128.0,0.17746924564958885,0.0,0.009281551234224325
fixed250_sequence_ce,E,L3,val,tau_subgroup,L1,2,43.0,0.00014087008715571044,0.0,2.449914559229747e-05
fixed250_sequence_ce,E,L3,val,tau_subgroup,L1,3,43.0,0.002999103739590415,0.0,0.0005897031085082796
fixed250_sequence_ce,E,L3,val,tau_subgroup,L1,4,42.0,0.02309328026999873,0.0,0.0037311277365310804
