architecture,label,description,has_l3,last_layer,layer,layer_width,shifts,shift,group_neurons,tau_syn_ms,source_experiment,source_architecture
B,No-L3,Remove L3 and attach the task head directly to L2,False,L2,L2,128,"2,3,4",3,43,117.0136826471659,experiment_3_0_3_l3_bottleneck_ablation,B
B,No-L3,Remove L3 and attach the task head directly to L2,False,L2,L2,128,"2,3,4",4,42,242.10347130039656,experiment_3_0_3_l3_bottleneck_ablation,B
C,Width128,Keep single-tau shift3 L3 but remove 128->64 width compression,True,L3,L1,128,"2,3,4",2,43,54.31342963722199,experiment_3_0_3_l3_bottleneck_ablation,C
C,Width128,Keep single-tau shift3 L3 but remove 128->64 width compression,True,L3,L1,128,"2,3,4",3,43,117.0136826471659,experiment_3_0_3_l3_bottleneck_ablation,C
C,Width128,Keep single-tau shift3 L3 but remove 128->64 width compression,True,L3,L1,128,"2,3,4",4,42,242.10347130039656,experiment_3_0_3_l3_bottleneck_ablation,C
C,Width128,Keep single-tau shift3 L3 but remove 128->64 width compression,True,L3,L2,128,"2,3,4",2,43,54.31342963722199,experiment_3_0_3_l3_bottleneck_ablation,C
C,Width128,Keep single-tau shift3 L3 but remove 128->64 width compression,True,L3,L2,128,"2,3,4",3,43,117.0136826471659,experiment_3_0_3_l3_bottleneck_ablation,C
C,Width128,Keep single-tau shift3 L3 but remove 128->64 width compression,True,L3,L2,128,"2,3,4",4,42,242.10347130039656,experiment_3_0_3_l3_bottleneck_ablation,C
C,Width128,Keep single-tau shift3 L3 but remove 128->64 width compression,True,L3,L3,128,3,3,128,117.0136826471659,experiment_3_0_3_l3_bottleneck_ablation,C
D,MultiTau64,Keep L3 width 64 but remove single-tau temporal compression,True,L3,L1,128,"2,3,4",2,43,54.31342963722199,experiment_3_0_3_l3_bottleneck_ablation,D
D,MultiTau64,Keep L3 width 64 but remove single-tau temporal compression,True,L3,L1,128,"2,3,4",3,43,117.0136826471659,experiment_3_0_3_l3_bottleneck_ablation,D
D,MultiTau64,Keep L3 width 64 but remove single-tau temporal compression,True,L3,L1,128,"2,3,4",4,42,242.10347130039656,experiment_3_0_3_l3_bottleneck_ablation,D
D,MultiTau64,Keep L3 width 64 but remove single-tau temporal compression,True,L3,L2,128,"2,3,4",2,43,54.31342963722199,experiment_3_0_3_l3_bottleneck_ablation,D
D,MultiTau64,Keep L3 width 64 but remove single-tau temporal compression,True,L3,L2,128,"2,3,4",3,43,117.0136826471659,experiment_3_0_3_l3_bottleneck_ablation,D
D,MultiTau64,Keep L3 width 64 but remove single-tau temporal compression,True,L3,L2,128,"2,3,4",4,42,242.10347130039656,experiment_3_0_3_l3_bottleneck_ablation,D
D,MultiTau64,Keep L3 width 64 but remove single-tau temporal compression,True,L3,L3,64,"2,3,4",2,22,54.31342963722199,experiment_3_0_3_l3_bottleneck_ablation,D
D,MultiTau64,Keep L3 width 64 but remove single-tau temporal compression,True,L3,L3,64,"2,3,4",3,21,117.0136826471659,experiment_3_0_3_l3_bottleneck_ablation,D
D,MultiTau64,Keep L3 width 64 but remove single-tau temporal compression,True,L3,L3,64,"2,3,4",4,21,242.10347130039656,experiment_3_0_3_l3_bottleneck_ablation,D
E,MultiTau128,Keep width and multi-tau family through the third spiking layer,True,L3,L1,128,"2,3,4",2,43,54.31342963722199,experiment_3_0_3_l3_bottleneck_ablation,E
E,MultiTau128,Keep width and multi-tau family through the third spiking layer,True,L3,L1,128,"2,3,4",3,43,117.0136826471659,experiment_3_0_3_l3_bottleneck_ablation,E
E,MultiTau128,Keep width and multi-tau family through the third spiking layer,True,L3,L1,128,"2,3,4",4,42,242.10347130039656,experiment_3_0_3_l3_bottleneck_ablation,E
E,MultiTau128,Keep width and multi-tau family through the third spiking layer,True,L3,L2,128,"2,3,4",2,43,54.31342963722199,experiment_3_0_3_l3_bottleneck_ablation,E
E,MultiTau128,Keep width and multi-tau family through the third spiking layer,True,L3,L2,128,"2,3,4",3,43,117.0136826471659,experiment_3_0_3_l3_bottleneck_ablation,E
E,MultiTau128,Keep width and multi-tau family through the third spiking layer,True,L3,L2,128,"2,3,4",4,42,242.10347130039656,experiment_3_0_3_l3_bottleneck_ablation,E
E,MultiTau128,Keep width and multi-tau family through the third spiking layer,True,L3,L3,128,"2,3,4",2,43,54.31342963722199,experiment_3_0_3_l3_bottleneck_ablation,E
E,MultiTau128,Keep width and multi-tau family through the third spiking layer,True,L3,L3,128,"2,3,4",3,43,117.0136826471659,experiment_3_0_3_l3_bottleneck_ablation,E
E,MultiTau128,Keep width and multi-tau family through the third spiking layer,True,L3,L3,128,"2,3,4",4,42,242.10347130039656,experiment_3_0_3_l3_bottleneck_ablation,E
