objective,architecture,last_layer,layer,shift,tau_syn_ms,group_neurons,probe_type,mean_feature_dim,mean_probe_val_balanced_accuracy,mean_probe_test_balanced_accuracy,mean_probe_test_macro_f1,mean_probe_test_accuracy,sd_feature_dim,sd_probe_val_balanced_accuracy,sd_probe_test_balanced_accuracy,sd_probe_test_macro_f1,sd_probe_test_accuracy
fixed250_sequence_ce,C,L3,L1,3,117.0136826471659,43,full_count,43.0,0.24293730960397628,0.2690619565619566,0.25925947430156393,0.273972602739726,0.0,0.044925219750951394,0.02947051281539102,0.025463231150260845,0.03559008508703171
fixed250_sequence_ce,C,L3,L1,4,242.10347130039656,42,fixed250,672.0,0.45374579124579123,0.5169652107152106,0.5185091754442994,0.5273972602739726,0.0,0.011354389566456315,0.020851707906476433,0.018510716724900594,0.020547945205479423
fixed250_sequence_ce,C,L3,L1,4,242.10347130039656,42,full_count,42.0,0.36605739939073273,0.38376160876160875,0.36934313742572256,0.3926940639269407,0.0,0.03741876068392221,0.039016533153045846,0.030011514003780968,0.04560498711287256
fixed250_sequence_ce,C,L3,L2,2,54.31342963722199,43,fixed250,688.0,0.35560365560365553,0.3515789765789766,0.339714074868805,0.35616438356164387,0.0,0.029463419344889184,0.020415724942748396,0.01741884726160906,0.020547945205479465
fixed250_sequence_ce,C,L3,L2,2,54.31342963722199,43,full_count,43.0,0.2929393137726471,0.2814925814925815,0.2731505268917171,0.2876712328767123,0.0,0.05463823192246547,0.04447935374276822,0.03978007823368826,0.04491396249521918
fixed250_sequence_ce,C,L3,L2,3,117.0136826471659,43,fixed250,688.0,0.4348364598364598,0.4581460206460206,0.4506590290946659,0.4703196347031964,0.0,0.021782395688506664,0.03984608636534547,0.05067697530306933,0.037723085940315766
fixed250_sequence_ce,C,L3,L2,3,117.0136826471659,43,full_count,43.0,0.34920835337502004,0.3865160302660302,0.3737199721057273,0.3926940639269407,0.0,0.06430561296459131,0.02331821310894853,0.02660817064624522,0.024054004001946898
fixed250_sequence_ce,C,L3,L2,4,242.10347130039656,42,fixed250,672.0,0.41410333493666823,0.4842224904724905,0.4754447718997821,0.4931506849315069,0.0,0.016420087138857755,0.016652693825872363,0.026234337432768567,0.01812158432236023
fixed250_sequence_ce,C,L3,L2,4,242.10347130039656,42,full_count,42.0,0.3646885521885522,0.37608941983941985,0.36606828481701853,0.3835616438356164,0.0,0.027506146534575372,0.02863780936401689,0.03152541411149263,0.029855472216032013
fixed250_sequence_ce,D,L3,L1,2,54.31342963722199,43,fixed250,688.0,0.119157848324515,0.13881118881118878,0.1024199359542245,0.14383561643835616,0.0,0.04206486124134604,0.03949395970088047,0.05355793914315107,0.03424657534246575
fixed250_sequence_ce,D,L3,L1,2,54.31342963722199,43,full_count,43.0,0.11924603174603177,0.12746142746142744,0.08286957670675237,0.1415525114155251,0.0,0.02344966143284788,0.031774524350999894,0.03784575115400699,0.035147955064704674
fixed250_sequence_ce,D,L3,L1,3,117.0136826471659,43,fixed250,688.0,0.2581269039602373,0.3171885984385984,0.3012880791760631,0.3242009132420091,0.0,0.037747940825351815,0.04393772666683684,0.04432307725734948,0.04662232387365786
fixed250_sequence_ce,D,L3,L1,3,117.0136826471659,43,full_count,43.0,0.22621653038319708,0.2229589854589855,0.21060803082130994,0.228310502283105,0.0,0.0365282286873793,0.04645806321820345,0.047272319214071615,0.048108008003893796
fixed250_sequence_ce,D,L3,L1,4,242.10347130039656,42,fixed250,672.0,0.4499759499759499,0.464247557997558,0.4527599003697465,0.47260273972602734,0.0,0.05367888493808127,0.01764203639726628,0.021328934650204103,0.018121584322360218
fixed250_sequence_ce,D,L3,L1,4,242.10347130039656,42,full_count,42.0,0.37068101651434987,0.36855667480667487,0.34962304986833326,0.37442922374429227,0.0,0.05475965640729602,0.09983970341785542,0.09654498059624832,0.10097417528536975
fixed250_sequence_ce,D,L3,L2,2,54.31342963722199,43,fixed250,688.0,0.305415263748597,0.34629583379583373,0.3263630648192473,0.35616438356164387,0.0,0.09455278316803872,0.05395562918142982,0.05987588491149886,0.054364752967080605
fixed250_sequence_ce,D,L3,L2,2,54.31342963722199,43,full_count,43.0,0.2762926887926888,0.33112096237096234,0.29555075612362963,0.34246575342465757,0.0,0.0627141341685895,0.08515102357706823,0.0953914017916367,0.0830435318697407
fixed250_sequence_ce,D,L3,L2,3,117.0136826471659,43,fixed250,688.0,0.40805074555074555,0.4598605098605099,0.45283094524861545,0.4703196347031963,0.0,0.08862816386616686,0.051315128291638756,0.05553495357891094,0.058252743480242355
fixed250_sequence_ce,D,L3,L2,3,117.0136826471659,43,full_count,43.0,0.36567861151194486,0.36060513560513563,0.35044592069233743,0.3675799086757991,0.0,0.05037360150547392,0.04466101004698123,0.040512397646164836,0.04128571077631307
fixed250_sequence_ce,D,L3,L2,4,242.10347130039656,42,fixed250,672.0,0.41794933461600126,0.4777077089577089,0.48379437248216384,0.4885844748858447,0.0,0.020440357889085686,0.00865705177950548,0.007981519761314183,0.007908907797118152
fixed250_sequence_ce,D,L3,L2,4,242.10347130039656,42,full_count,42.0,0.3802970177970178,0.4004405316905317,0.3822437149117032,0.4063926940639269,0.0,0.04159358880877629,0.0779225349580369,0.08958987509220832,0.06860721096491654
fixed250_sequence_ce,D,L3,L3,2,54.31342963722199,22,fixed250,352.0,0.4288039121372454,0.4615814740814741,0.45933050839690975,0.4703196347031963,0.0,0.03869619411122158,0.05241685733507726,0.05839456785161851,0.05186217667397511
fixed250_sequence_ce,D,L3,L3,2,54.31342963722199,22,full_count,22.0,0.34080888247554914,0.3620062807562808,0.3409043987943263,0.37442922374429227,0.0,0.033143330820944755,0.0942264656245641,0.11385034934010874,0.08939165274178947
fixed250_sequence_ce,D,L3,L3,3,117.0136826471659,21,fixed250,336.0,0.4067620650953984,0.46713517963517964,0.47551248872874824,0.47260273972602745,0.0,0.06704281659708462,0.027377614836756103,0.029284495828977672,0.03138750475997152
fixed250_sequence_ce,D,L3,L3,3,117.0136826471659,21,full_count,21.0,0.3105198813532147,0.3564888814888814,0.3326021898841065,0.3698630136986301,0.0,0.0393925781752773,0.07870861575405105,0.09701743963083954,0.07248633728944083
fixed250_sequence_ce,D,L3,L3,4,242.10347130039656,21,fixed250,336.0,0.4178290844957511,0.399053724053724,0.39691477595595576,0.39954337899543374,0.0,0.04615935153851902,0.029282026025761868,0.03594216632132514,0.03378686891997429
fixed250_sequence_ce,D,L3,L3,4,242.10347130039656,21,full_count,21.0,0.34877946127946124,0.4026431901431901,0.38441529618647424,0.3972602739726027,0.0,0.011041804823790868,0.04331764417335917,0.061369210869065084,0.04794520547945203
fixed250_sequence_ce,E,L3,L1,2,54.31342963722199,43,fixed250,688.0,0.13485449735449737,0.1500316812816813,0.11989044201698999,0.16210045662100456,0.0,0.006688401518569585,0.01829277007031099,0.01613126280527605,0.027681177289913563
fixed250_sequence_ce,E,L3,L1,2,54.31342963722199,43,full_count,43.0,0.1196969696969697,0.13799903799903798,0.09607724225044277,0.1552511415525114,0.0,0.006958204915886307,0.04297347852985778,0.047896341289197925,0.052312507933285846
fixed250_sequence_ce,E,L3,L1,3,117.0136826471659,43,fixed250,688.0,0.31532788199454864,0.30266446516446516,0.2887744158975398,0.30136986301369867,0.0,0.05118657445690525,0.006737387653882219,0.01981064682436981,0.006849315068493164
fixed250_sequence_ce,E,L3,L1,3,117.0136826471659,43,full_count,43.0,0.25343514510181175,0.25956173456173454,0.24167326831455724,0.2671232876712329,0.0,0.07423990543621128,0.04703363333339398,0.05269278468450796,0.036243168644720436
fixed250_sequence_ce,E,L3,L1,4,242.10347130039656,42,fixed250,672.0,0.45395622895622906,0.4891243016243016,0.47877380794493285,0.4931506849315069,0.0,0.03434937528444866,0.02584110253811841,0.026230107540541916,0.024695556681260233
fixed250_sequence_ce,E,L3,L1,4,242.10347130039656,42,full_count,42.0,0.39343835177168507,0.4038713601213601,0.38237316418246076,0.4041095890410959,0.0,0.01488255239081152,0.04559010852682865,0.05269376375327821,0.04166275705683713
fixed250_sequence_ce,E,L3,L2,2,54.31342963722199,43,fixed250,688.0,0.33603896103896097,0.3621091871091871,0.35286498781722236,0.3675799086757991,0.0,0.06591587752824787,0.07416888247151424,0.07335595538896811,0.07938510799412654
fixed250_sequence_ce,E,L3,L2,2,54.31342963722199,43,full_count,43.0,0.2544492544492544,0.30025021275021274,0.279064494536653,0.30821917808219174,0.0,0.05506338256074148,0.03838843030374639,0.04559028163271696,0.035590085087031716
fixed250_sequence_ce,E,L3,L2,3,117.0136826471659,43,fixed250,688.0,0.4313311688311688,0.48246845746845746,0.47085306202860894,0.4885844748858448,0.0,0.024068334179518237,0.032810539166002156,0.03622159232489951,0.030885272279608862
fixed250_sequence_ce,E,L3,L2,3,117.0136826471659,43,full_count,43.0,0.3466630591630591,0.4095434657934658,0.389980293260027,0.4200913242009132,0.0,0.050573446910171266,0.03647398340108862,0.035709915152855265,0.03514795506470469
fixed250_sequence_ce,E,L3,L2,4,242.10347130039656,42,fixed250,672.0,0.4566618566618567,0.5008066008066008,0.4963244473126614,0.5114155251141552,0.0,0.014582932680011006,0.01104458940349014,0.017478173849127476,0.017237064920709505
fixed250_sequence_ce,E,L3,L2,4,242.10347130039656,42,full_count,42.0,0.4080868205868205,0.3990761553261553,0.39005535389584267,0.4041095890410959,0.0,0.03246824449631655,0.019023838571374938,0.025941694443208246,0.006849315068493136
fixed250_sequence_ce,E,L3,L3,2,54.31342963722199,43,fixed250,688.0,0.43899110149110143,0.5094195156695157,0.5010864269705918,0.5182648401826484,0.0,0.028312723550071917,0.027613210635763302,0.03522100830278981,0.033786868919974344
fixed250_sequence_ce,E,L3,L3,2,54.31342963722199,43,full_count,43.0,0.36499518999519,0.4184757372257372,0.40112234481414144,0.4315068493150685,0.0,0.015190354593856878,0.05395817973229093,0.06140169771021624,0.04745344678270896
fixed250_sequence_ce,E,L3,L3,3,117.0136826471659,43,fixed250,688.0,0.4602392977392977,0.4790149665149665,0.4750857415514824,0.4863013698630137,0.0,0.0145136614800299,0.04127800888001969,0.04847774989232912,0.04939111336252044
fixed250_sequence_ce,E,L3,L3,3,117.0136826471659,43,full_count,43.0,0.3652176527176527,0.37055236430236427,0.35152071496778386,0.37442922374429227,0.0,0.03968489587725577,0.051466541147649814,0.050547280949302366,0.051407900681268034
fixed250_sequence_ce,E,L3,L3,4,242.10347130039656,42,fixed250,672.0,0.4304593554593554,0.4355235042735042,0.42827433189655867,0.4429223744292237,0.0,0.04131231295948635,0.025863534661255988,0.033994603062347084,0.027681177289913563
fixed250_sequence_ce,E,L3,L3,4,242.10347130039656,42,full_count,42.0,0.3530924322590989,0.398983423983424,0.37760060681282415,0.4041095890410959,0.0,0.029979450096247345,0.005830364631746531,0.008368035463900645,0.0068493150684931225
relative10_sequence_ce,A,L3,L1,2,54.31342963722199,43,fixed250,688.0,0.12202380952380953,0.11949439449439447,0.08407582702825556,0.1324200913242009,0.0,0.019161983061785806,0.030209303723905158,0.0453817946022811,0.031635631188472645
relative10_sequence_ce,A,L3,L1,2,54.31342963722199,43,full_count,43.0,0.1072089947089947,0.12096283346283347,0.09019905649775191,0.13013698630136986,0.0,0.021902221691526533,0.03219995579074489,0.04852765360268151,0.03424657534246575
relative10_sequence_ce,A,L3,L1,3,117.0136826471659,43,fixed250,688.0,0.30844356261022926,0.3151577589077589,0.30301173554781613,0.31963470319634707,0.0,0.057240366565158525,0.01806457147712073,0.020142630222176865,0.019772269492795393
relative10_sequence_ce,A,L3,L1,3,117.0136826471659,43,full_count,43.0,0.2883858425525092,0.27337569837569836,0.26337153491577375,0.2808219178082192,0.0,0.037810556218674844,0.018184517493478908,0.02134178059076193,0.018121584322360225
relative10_sequence_ce,A,L3,L1,4,242.10347130039656,42,fixed250,672.0,0.45248316498316504,0.46771654271654267,0.45893577045423345,0.4771689497716895,0.0,0.019345668589616026,0.027462113915630658,0.027568016249852785,0.0276811772899136
relative10_sequence_ce,A,L3,L1,4,242.10347130039656,42,full_count,42.0,0.3730459355459355,0.41334336959336965,0.38706591166614307,0.4200913242009132,0.0,0.021475510014932683,0.06405920195722377,0.07563026672559374,0.058252743480242355
relative10_sequence_ce,A,L3,L2,2,54.31342963722199,43,fixed250,688.0,0.4066618566618567,0.4101271413771414,0.3911442637851144,0.4132420091324201,0.0,0.013808951499656856,0.012550728632160718,0.018732184399755502,0.015817815594236322
relative10_sequence_ce,A,L3,L2,2,54.31342963722199,43,full_count,43.0,0.33596480679814017,0.35107739482739486,0.3330476792417723,0.3515981735159817,0.0,0.012006390905369297,0.06122051946541792,0.0545383145852015,0.059052589755148696
relative10_sequence_ce,A,L3,L2,3,117.0136826471659,43,fixed250,688.0,0.4452761744428411,0.46917850667850663,0.4665682608614536,0.4794520547945205,0.0,0.03752675142800395,0.03503307791387848,0.03264439408048441,0.03813537234815082
