architecture,objective,seed,best_epoch,last_layer,train_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,test_loss,test_accuracy,test_balanced_accuracy,test_macro_f1,train_test_ba_gap
B,timestep_ce,23,96,L2,1.5701480849474514,0.8055077452667814,0.7982523146766879,0.800941304939807,2.0691637992858887,0.47619047619047616,0.4776515151515151,0.43927301558064674,2.066159382258376,0.5068493150684932,0.487338356088356,0.45859847443009777,0.3109139585883319
B,timestep_ce,101,98,L2,1.5781829024756426,0.810671256454389,0.8030093147013041,0.8041559396778427,2.0306947231292725,0.5,0.487974987974988,0.4580999333475282,2.0622268310964924,0.541095890410959,0.515783522033522,0.4957973257143738,0.28722579266778214
C,timestep_ce,11,61,L3,1.3140323560127087,0.8485370051635112,0.8456590095188785,0.8466238728965543,2.201503038406372,0.4444444444444444,0.4257395382395383,0.3796499592455475,2.221457589162539,0.4041095890410959,0.39082584082584076,0.3539855876812399,0.45483316869303775
C,timestep_ce,23,77,L3,1.1698356080999062,0.9122203098106713,0.9107469203930947,0.9132008393971045,2.1878457069396973,0.49206349206349204,0.48476430976430973,0.4704142048182296,2.237289654065485,0.5068493150684932,0.4936091686091686,0.47517590962603756,0.4171377517839261
C,timestep_ce,101,70,L3,1.3117727669093777,0.8382099827882961,0.8286955976474791,0.8318209246375847,2.1629748344421387,0.4603174603174603,0.45725108225108224,0.4244961272614725,2.194546797504164,0.4794520547945205,0.4524406149406149,0.4075064924755328,0.37625498270686425
D,timestep_ce,11,100,L3,1.0137110942407237,0.9328743545611016,0.9295111607110224,0.9323501558491789,2.254255771636963,0.42063492063492064,0.4073833573833574,0.3884663683042502,2.2675115245662325,0.4589041095890411,0.44359945609945606,0.42201696409362316,0.4859117046115663
D,timestep_ce,23,89,L3,1.1381115032145162,0.9156626506024096,0.9145165540171014,0.9161414524942173,2.24983549118042,0.4126984126984127,0.4049362674362675,0.3793291519617985,2.1941783754792934,0.4794520547945205,0.459915084915085,0.4221044870782502,0.45460146910201643
D,timestep_ce,101,73,L3,1.3378506825015384,0.8141135972461274,0.8053786180598758,0.7995373152246071,2.1085145473480225,0.42063492063492064,0.40533309283309277,0.3565471447957836,2.1531393266703986,0.4520547945205479,0.43758602508602507,0.40644505957005955,0.3677925929738507
E,timestep_ce,11,92,L3,0.9611993706985513,0.9414802065404475,0.9435720321407969,0.9428005053841851,2.3337318897247314,0.42063492063492064,0.4087722462722463,0.3752848308382364,2.4334014605169427,0.410958904109589,0.3925844988344988,0.3486548098746493,0.5509875333062981
E,timestep_ce,23,89,L3,1.0622595416288982,0.9345955249569707,0.9331624641384108,0.9355991360962373,2.3081414699554443,0.4603174603174603,0.4509379509379509,0.4377558253687836,2.4130130434689456,0.4589041095890411,0.442258436008436,0.42485844765256525,0.49090402812997475
E,timestep_ce,101,43,L3,1.6515912794205079,0.6867469879518072,0.6732627171258382,0.6545178283734037,2.0802595615386963,0.42857142857142855,0.414460076960077,0.3590850433273387,2.1090053074980437,0.4246575342465753,0.4055312742812743,0.3502727312057848,0.2677314428445639
