contrast,architecture,training_family,regularization,seed,metric,delta
ordered_minus_phase_shuffled,234x234,local_tsce,task_plus_reg,37,macro_f1,0.15055239229187772
phase_shuffled_minus_wholecount,234x234,local_tsce,task_plus_reg,37,accuracy,-0.12557077625570773
phase_shuffled_minus_wholecount,234x234,local_tsce,task_plus_reg,37,balanced_accuracy,-0.12865490990490996
phase_shuffled_minus_wholecount,234x234,local_tsce,task_plus_reg,37,macro_f1,-0.13080960894720023
ordered_minus_wholecount,34x234,e2e_wc,task_only,11,accuracy,0.06849315068493156
ordered_minus_wholecount,34x234,e2e_wc,task_only,11,balanced_accuracy,0.06482892107892102
ordered_minus_wholecount,34x234,e2e_wc,task_only,11,macro_f1,0.06820606676826313
ordered_minus_phase_shuffled,34x234,e2e_wc,task_only,11,accuracy,0.22602739726027393
ordered_minus_phase_shuffled,34x234,e2e_wc,task_only,11,balanced_accuracy,0.22129305879305877
ordered_minus_phase_shuffled,34x234,e2e_wc,task_only,11,macro_f1,0.2539571953766884
phase_shuffled_minus_wholecount,34x234,e2e_wc,task_only,11,accuracy,-0.15753424657534237
phase_shuffled_minus_wholecount,34x234,e2e_wc,task_only,11,balanced_accuracy,-0.15646413771413775
phase_shuffled_minus_wholecount,34x234,e2e_wc,task_only,11,macro_f1,-0.1857511286084253
ordered_minus_wholecount,34x234,e2e_wc,task_only,23,accuracy,0.0821917808219178
ordered_minus_wholecount,34x234,e2e_wc,task_only,23,balanced_accuracy,0.06900946275946285
ordered_minus_wholecount,34x234,e2e_wc,task_only,23,macro_f1,0.07569357587077163
ordered_minus_phase_shuffled,34x234,e2e_wc,task_only,23,accuracy,0.24657534246575347
ordered_minus_phase_shuffled,34x234,e2e_wc,task_only,23,balanced_accuracy,0.24304607429607433
ordered_minus_phase_shuffled,34x234,e2e_wc,task_only,23,macro_f1,0.2596119360490323
phase_shuffled_minus_wholecount,34x234,e2e_wc,task_only,23,accuracy,-0.16438356164383566
phase_shuffled_minus_wholecount,34x234,e2e_wc,task_only,23,balanced_accuracy,-0.17403661153661149
phase_shuffled_minus_wholecount,34x234,e2e_wc,task_only,23,macro_f1,-0.1839183601782607
ordered_minus_wholecount,34x234,e2e_wc,task_only,37,accuracy,-0.06164383561643838
ordered_minus_wholecount,34x234,e2e_wc,task_only,37,balanced_accuracy,-0.06267829392829405
ordered_minus_wholecount,34x234,e2e_wc,task_only,37,macro_f1,-0.03948630822809873
ordered_minus_phase_shuffled,34x234,e2e_wc,task_only,37,accuracy,0.12100456621004574
ordered_minus_phase_shuffled,34x234,e2e_wc,task_only,37,balanced_accuracy,0.1204866892366892
ordered_minus_phase_shuffled,34x234,e2e_wc,task_only,37,macro_f1,0.13334654639577498
phase_shuffled_minus_wholecount,34x234,e2e_wc,task_only,37,accuracy,-0.18264840182648412
phase_shuffled_minus_wholecount,34x234,e2e_wc,task_only,37,balanced_accuracy,-0.18316498316498325
phase_shuffled_minus_wholecount,34x234,e2e_wc,task_only,37,macro_f1,-0.1728328546238737
ordered_minus_wholecount,34x234,e2e_wc,task_plus_reg,11,accuracy,0.0547945205479452
ordered_minus_wholecount,34x234,e2e_wc,task_plus_reg,11,balanced_accuracy,0.05592532467532463
ordered_minus_wholecount,34x234,e2e_wc,task_plus_reg,11,macro_f1,0.06343300834638343
ordered_minus_phase_shuffled,34x234,e2e_wc,task_plus_reg,11,accuracy,0.2123287671232877
ordered_minus_phase_shuffled,34x234,e2e_wc,task_plus_reg,11,balanced_accuracy,0.21392912642912643
ordered_minus_phase_shuffled,34x234,e2e_wc,task_plus_reg,11,macro_f1,0.24389846504269042
phase_shuffled_minus_wholecount,34x234,e2e_wc,task_plus_reg,11,accuracy,-0.15753424657534248
phase_shuffled_minus_wholecount,34x234,e2e_wc,task_plus_reg,11,balanced_accuracy,-0.1580038017538018
phase_shuffled_minus_wholecount,34x234,e2e_wc,task_plus_reg,11,macro_f1,-0.18046545669630698
ordered_minus_wholecount,34x234,e2e_wc,task_plus_reg,23,accuracy,-0.013698630136986245
ordered_minus_wholecount,34x234,e2e_wc,task_plus_reg,23,balanced_accuracy,-0.018127705627705493
ordered_minus_wholecount,34x234,e2e_wc,task_plus_reg,23,macro_f1,-0.018038436971067995
ordered_minus_phase_shuffled,34x234,e2e_wc,task_plus_reg,23,accuracy,0.14383561643835624
ordered_minus_phase_shuffled,34x234,e2e_wc,task_plus_reg,23,balanced_accuracy,0.145839577089577
ordered_minus_phase_shuffled,34x234,e2e_wc,task_plus_reg,23,macro_f1,0.16548023350395658
phase_shuffled_minus_wholecount,34x234,e2e_wc,task_plus_reg,23,accuracy,-0.15753424657534248
phase_shuffled_minus_wholecount,34x234,e2e_wc,task_plus_reg,23,balanced_accuracy,-0.1639672827172825
phase_shuffled_minus_wholecount,34x234,e2e_wc,task_plus_reg,23,macro_f1,-0.18351867047502457
ordered_minus_wholecount,34x234,e2e_wc,task_plus_reg,37,accuracy,0.020547945205479423
ordered_minus_wholecount,34x234,e2e_wc,task_plus_reg,37,balanced_accuracy,0.020238095238095277
ordered_minus_wholecount,34x234,e2e_wc,task_plus_reg,37,macro_f1,0.012176705384923991
ordered_minus_phase_shuffled,34x234,e2e_wc,task_plus_reg,37,accuracy,0.14611872146118726
ordered_minus_phase_shuffled,34x234,e2e_wc,task_plus_reg,37,balanced_accuracy,0.1420288045288044
ordered_minus_phase_shuffled,34x234,e2e_wc,task_plus_reg,37,macro_f1,0.13941491880149287
phase_shuffled_minus_wholecount,34x234,e2e_wc,task_plus_reg,37,accuracy,-0.12557077625570784
phase_shuffled_minus_wholecount,34x234,e2e_wc,task_plus_reg,37,balanced_accuracy,-0.12179070929070912
phase_shuffled_minus_wholecount,34x234,e2e_wc,task_plus_reg,37,macro_f1,-0.12723821341656888
ordered_minus_wholecount,34x234,local_tsce,task_only,11,accuracy,-0.020547945205479423
ordered_minus_wholecount,34x234,local_tsce,task_only,11,balanced_accuracy,-0.01813464313464319
ordered_minus_wholecount,34x234,local_tsce,task_only,11,macro_f1,-0.010679856947417576
ordered_minus_phase_shuffled,34x234,local_tsce,task_only,11,accuracy,0.08904109589041098
ordered_minus_phase_shuffled,34x234,local_tsce,task_only,11,balanced_accuracy,0.08237526362526348
ordered_minus_phase_shuffled,34x234,local_tsce,task_only,11,macro_f1,0.09706502664844857
phase_shuffled_minus_wholecount,34x234,local_tsce,task_only,11,accuracy,-0.1095890410958904
phase_shuffled_minus_wholecount,34x234,local_tsce,task_only,11,balanced_accuracy,-0.10050990675990668
phase_shuffled_minus_wholecount,34x234,local_tsce,task_only,11,macro_f1,-0.10774488359586615
ordered_minus_wholecount,34x234,local_tsce,task_only,23,accuracy,0.013698630136986356
ordered_minus_wholecount,34x234,local_tsce,task_only,23,balanced_accuracy,0.0192078754578755
ordered_minus_wholecount,34x234,local_tsce,task_only,23,macro_f1,0.025436419257368614
ordered_minus_phase_shuffled,34x234,local_tsce,task_only,23,accuracy,0.14155251141552516
ordered_minus_phase_shuffled,34x234,local_tsce,task_only,23,balanced_accuracy,0.1456420893920894
ordered_minus_phase_shuffled,34x234,local_tsce,task_only,23,macro_f1,0.15386428833758176
phase_shuffled_minus_wholecount,34x234,local_tsce,task_only,23,accuracy,-0.1278538812785388
phase_shuffled_minus_wholecount,34x234,local_tsce,task_only,23,balanced_accuracy,-0.1264342139342139
phase_shuffled_minus_wholecount,34x234,local_tsce,task_only,23,macro_f1,-0.12842786908021314
ordered_minus_wholecount,34x234,local_tsce,task_only,37,accuracy,0.0
ordered_minus_wholecount,34x234,local_tsce,task_only,37,balanced_accuracy,0.0019730269730269256
ordered_minus_wholecount,34x234,local_tsce,task_only,37,macro_f1,0.00922943900284956
ordered_minus_phase_shuffled,34x234,local_tsce,task_only,37,accuracy,0.14840182648401828
ordered_minus_phase_shuffled,34x234,local_tsce,task_only,37,balanced_accuracy,0.14953726828726832
ordered_minus_phase_shuffled,34x234,local_tsce,task_only,37,macro_f1,0.16095303838358888
phase_shuffled_minus_wholecount,34x234,local_tsce,task_only,37,accuracy,-0.14840182648401828
phase_shuffled_minus_wholecount,34x234,local_tsce,task_only,37,balanced_accuracy,-0.1475642413142414
phase_shuffled_minus_wholecount,34x234,local_tsce,task_only,37,macro_f1,-0.15172359938073932
ordered_minus_wholecount,34x234,local_tsce,task_plus_reg,11,accuracy,-0.013698630136986245
ordered_minus_wholecount,34x234,local_tsce,task_plus_reg,11,balanced_accuracy,-0.012941919191919227
ordered_minus_wholecount,34x234,local_tsce,task_plus_reg,11,macro_f1,-0.02206036230503783
ordered_minus_phase_shuffled,34x234,local_tsce,task_plus_reg,11,accuracy,0.15981735159817367
ordered_minus_phase_shuffled,34x234,local_tsce,task_plus_reg,11,balanced_accuracy,0.16353368853368855
ordered_minus_phase_shuffled,34x234,local_tsce,task_plus_reg,11,macro_f1,0.16260584941356543
phase_shuffled_minus_wholecount,34x234,local_tsce,task_plus_reg,11,accuracy,-0.17351598173515992
phase_shuffled_minus_wholecount,34x234,local_tsce,task_plus_reg,11,balanced_accuracy,-0.17647560772560777
phase_shuffled_minus_wholecount,34x234,local_tsce,task_plus_reg,11,macro_f1,-0.18466621171860326
ordered_minus_wholecount,34x234,local_tsce,task_plus_reg,23,accuracy,0.0547945205479452
ordered_minus_wholecount,34x234,local_tsce,task_plus_reg,23,balanced_accuracy,0.04906898656898662
ordered_minus_wholecount,34x234,local_tsce,task_plus_reg,23,macro_f1,0.05157869098286416
ordered_minus_phase_shuffled,34x234,local_tsce,task_plus_reg,23,accuracy,0.2009132420091324
ordered_minus_phase_shuffled,34x234,local_tsce,task_plus_reg,23,balanced_accuracy,0.20046088171088178
ordered_minus_phase_shuffled,34x234,local_tsce,task_plus_reg,23,macro_f1,0.2030180832889843
phase_shuffled_minus_wholecount,34x234,local_tsce,task_plus_reg,23,accuracy,-0.1461187214611872
phase_shuffled_minus_wholecount,34x234,local_tsce,task_plus_reg,23,balanced_accuracy,-0.15139189514189516
phase_shuffled_minus_wholecount,34x234,local_tsce,task_plus_reg,23,macro_f1,-0.15143939230612014
ordered_minus_wholecount,34x234,local_tsce,task_plus_reg,37,accuracy,0.006849315068493178
ordered_minus_wholecount,34x234,local_tsce,task_plus_reg,37,balanced_accuracy,0.0002483627483627071
ordered_minus_wholecount,34x234,local_tsce,task_plus_reg,37,macro_f1,0.006784784527903209
ordered_minus_phase_shuffled,34x234,local_tsce,task_plus_reg,37,accuracy,0.17123287671232879
ordered_minus_phase_shuffled,34x234,local_tsce,task_plus_reg,37,balanced_accuracy,0.16524748399748407
ordered_minus_phase_shuffled,34x234,local_tsce,task_plus_reg,37,macro_f1,0.17509353690899165
phase_shuffled_minus_wholecount,34x234,local_tsce,task_plus_reg,37,accuracy,-0.1643835616438356
phase_shuffled_minus_wholecount,34x234,local_tsce,task_plus_reg,37,balanced_accuracy,-0.16499912124912136
phase_shuffled_minus_wholecount,34x234,local_tsce,task_plus_reg,37,macro_f1,-0.16830875238108844
ordered_minus_wholecount,34x34,e2e_wc,task_only,11,accuracy,0.047945205479452024
ordered_minus_wholecount,34x34,e2e_wc,task_only,11,balanced_accuracy,0.0301857864357864
ordered_minus_wholecount,34x34,e2e_wc,task_only,11,macro_f1,0.031630730796591955
ordered_minus_phase_shuffled,34x34,e2e_wc,task_only,11,accuracy,0.1735159817351598
ordered_minus_phase_shuffled,34x34,e2e_wc,task_only,11,balanced_accuracy,0.15737942612942601
ordered_minus_phase_shuffled,34x34,e2e_wc,task_only,11,macro_f1,0.16350811359666645
phase_shuffled_minus_wholecount,34x34,e2e_wc,task_only,11,accuracy,-0.12557077625570778
phase_shuffled_minus_wholecount,34x34,e2e_wc,task_only,11,balanced_accuracy,-0.12719363969363962
phase_shuffled_minus_wholecount,34x34,e2e_wc,task_only,11,macro_f1,-0.1318773828000745
ordered_minus_wholecount,34x34,e2e_wc,task_only,23,accuracy,0.020547945205479423
ordered_minus_wholecount,34x34,e2e_wc,task_only,23,balanced_accuracy,0.017918192918192855
ordered_minus_wholecount,34x34,e2e_wc,task_only,23,macro_f1,0.03527894816398103
ordered_minus_phase_shuffled,34x34,e2e_wc,task_only,23,accuracy,0.11187214611872148
ordered_minus_phase_shuffled,34x34,e2e_wc,task_only,23,balanced_accuracy,0.12011668886668875
ordered_minus_phase_shuffled,34x34,e2e_wc,task_only,23,macro_f1,0.1427820406422871
phase_shuffled_minus_wholecount,34x34,e2e_wc,task_only,23,accuracy,-0.09132420091324206
phase_shuffled_minus_wholecount,34x34,e2e_wc,task_only,23,balanced_accuracy,-0.1021984959484959
phase_shuffled_minus_wholecount,34x34,e2e_wc,task_only,23,macro_f1,-0.10750309247830608
ordered_minus_wholecount,34x34,e2e_wc,task_only,37,accuracy,0.047945205479452024
ordered_minus_wholecount,34x34,e2e_wc,task_only,37,balanced_accuracy,0.03949314574314566
ordered_minus_wholecount,34x34,e2e_wc,task_only,37,macro_f1,0.0449608132463023
ordered_minus_phase_shuffled,34x34,e2e_wc,task_only,37,accuracy,0.228310502283105
ordered_minus_phase_shuffled,34x34,e2e_wc,task_only,37,balanced_accuracy,0.21920093795093792
ordered_minus_phase_shuffled,34x34,e2e_wc,task_only,37,macro_f1,0.23022379965637513
phase_shuffled_minus_wholecount,34x34,e2e_wc,task_only,37,accuracy,-0.18036529680365299
phase_shuffled_minus_wholecount,34x34,e2e_wc,task_only,37,balanced_accuracy,-0.17970779220779226
phase_shuffled_minus_wholecount,34x34,e2e_wc,task_only,37,macro_f1,-0.18526298641007283
ordered_minus_wholecount,34x34,e2e_wc,task_plus_reg,11,accuracy,0.047945205479452135
ordered_minus_wholecount,34x34,e2e_wc,task_plus_reg,11,balanced_accuracy,0.03130411255411247
ordered_minus_wholecount,34x34,e2e_wc,task_plus_reg,11,macro_f1,0.03193815121770738
ordered_minus_phase_shuffled,34x34,e2e_wc,task_plus_reg,11,accuracy,0.21004566210045666
ordered_minus_phase_shuffled,34x34,e2e_wc,task_plus_reg,11,balanced_accuracy,0.20152023902023897
ordered_minus_phase_shuffled,34x34,e2e_wc,task_plus_reg,11,macro_f1,0.2151704224986118
phase_shuffled_minus_wholecount,34x34,e2e_wc,task_plus_reg,11,accuracy,-0.16210045662100453
phase_shuffled_minus_wholecount,34x34,e2e_wc,task_plus_reg,11,balanced_accuracy,-0.1702161264661265
phase_shuffled_minus_wholecount,34x34,e2e_wc,task_plus_reg,11,macro_f1,-0.1832322712809044
ordered_minus_wholecount,34x34,e2e_wc,task_plus_reg,23,accuracy,0.03424657534246567
ordered_minus_wholecount,34x34,e2e_wc,task_plus_reg,23,balanced_accuracy,0.029430291930291896
ordered_minus_wholecount,34x34,e2e_wc,task_plus_reg,23,macro_f1,0.031733372076861444
ordered_minus_phase_shuffled,34x34,e2e_wc,task_plus_reg,23,accuracy,0.1963470319634703
ordered_minus_phase_shuffled,34x34,e2e_wc,task_plus_reg,23,balanced_accuracy,0.19643342768342753
ordered_minus_phase_shuffled,34x34,e2e_wc,task_plus_reg,23,macro_f1,0.21480993148202393
phase_shuffled_minus_wholecount,34x34,e2e_wc,task_plus_reg,23,accuracy,-0.16210045662100464
phase_shuffled_minus_wholecount,34x34,e2e_wc,task_plus_reg,23,balanced_accuracy,-0.16700313575313563
phase_shuffled_minus_wholecount,34x34,e2e_wc,task_plus_reg,23,macro_f1,-0.1830765594051625
ordered_minus_wholecount,34x34,e2e_wc,task_plus_reg,37,accuracy,0.06164383561643827
ordered_minus_wholecount,34x34,e2e_wc,task_plus_reg,37,balanced_accuracy,0.056011349761349805
ordered_minus_wholecount,34x34,e2e_wc,task_plus_reg,37,macro_f1,0.05454688394033297
ordered_minus_phase_shuffled,34x34,e2e_wc,task_plus_reg,37,accuracy,0.136986301369863
ordered_minus_phase_shuffled,34x34,e2e_wc,task_plus_reg,37,balanced_accuracy,0.14053677803677816
ordered_minus_phase_shuffled,34x34,e2e_wc,task_plus_reg,37,macro_f1,0.1544156470395482
phase_shuffled_minus_wholecount,34x34,e2e_wc,task_plus_reg,37,accuracy,-0.07534246575342474
phase_shuffled_minus_wholecount,34x34,e2e_wc,task_plus_reg,37,balanced_accuracy,-0.08452542827542836
phase_shuffled_minus_wholecount,34x34,e2e_wc,task_plus_reg,37,macro_f1,-0.09986876309921522
ordered_minus_wholecount,34x34,local_tsce,task_only,11,accuracy,0.0273972602739726
ordered_minus_wholecount,34x34,local_tsce,task_only,11,balanced_accuracy,0.029105616605616613
ordered_minus_wholecount,34x34,local_tsce,task_only,11,macro_f1,0.030562849219293198
ordered_minus_phase_shuffled,34x34,local_tsce,task_only,11,accuracy,0.18949771689497713
ordered_minus_phase_shuffled,34x34,local_tsce,task_only,11,balanced_accuracy,0.19173095423095426
ordered_minus_phase_shuffled,34x34,local_tsce,task_only,11,macro_f1,0.20144044745007922
phase_shuffled_minus_wholecount,34x34,local_tsce,task_only,11,accuracy,-0.16210045662100453
phase_shuffled_minus_wholecount,34x34,local_tsce,task_only,11,balanced_accuracy,-0.16262533762533765
phase_shuffled_minus_wholecount,34x34,local_tsce,task_only,11,macro_f1,-0.17087759823078602
ordered_minus_wholecount,34x34,local_tsce,task_only,23,accuracy,0.013698630136986245
ordered_minus_wholecount,34x34,local_tsce,task_only,23,balanced_accuracy,0.018118686868686895
ordered_minus_wholecount,34x34,local_tsce,task_only,23,macro_f1,0.02723067218681252
ordered_minus_phase_shuffled,34x34,local_tsce,task_only,23,accuracy,0.15525114155251135
ordered_minus_phase_shuffled,34x34,local_tsce,task_only,23,balanced_accuracy,0.1618457930957931
ordered_minus_phase_shuffled,34x34,local_tsce,task_only,23,macro_f1,0.17619170921644578
