channel_set,representation,decoder,decoder_family,split_seed,best_epoch,n_trainable_params,n_time_bins,channel_count,feature_dim,train_ba,val_ba,test_ba,test_accuracy,test_macro_f1,test_delta_vs_linear
angular30,fixed250,local_transition,frozen_linear_residual,11,16.0,7392,16,30,480,1.0,0.3745039682539683,0.6402777777777778,0.6513761467889908,0.6455510992275698,0.014583333333333393
angular30,fixed250,local_transition,frozen_linear_residual,23,37.0,7392,16,30,480,1.0,0.6532738095238095,0.5215939153439154,0.5212765957446809,0.519703836045201,0.04302248677248682
angular30,fixed250,local_transition,frozen_linear_residual,37,26.0,7392,16,30,480,1.0,0.5777777777777777,0.6055555555555555,0.6,0.5591297104454999,0.0
angular30,fixed250,local_transition,frozen_linear_residual,53,48.0,7392,16,30,480,1.0,0.6068121693121693,0.5228174603174603,0.5348837209302325,0.5210280517556058,-0.034226190476190355
angular30,fixed250,local_transition,frozen_linear_residual,71,16.0,7392,16,30,480,1.0,0.6099537037037038,0.5892857142857142,0.5876288659793815,0.5815140877640878,0.0
angular30,fixed250,transition,frozen_linear_residual,11,25.0,3840,16,30,480,1.0,0.38144841269841273,0.6525462962962963,0.6605504587155964,0.6557288628647492,0.026851851851851904
angular30,fixed250,transition,frozen_linear_residual,23,23.0,3840,16,30,480,1.0,0.6413690476190477,0.4452380952380952,0.44680851063829785,0.4585819273319274,-0.03333333333333338
angular30,fixed250,transition,frozen_linear_residual,37,22.0,3840,16,30,480,1.0,0.6136574074074074,0.6313492063492063,0.6266666666666667,0.6007635882635883,0.025793650793650813
angular30,fixed250,transition,frozen_linear_residual,53,81.0,3840,16,30,480,1.0,0.6115740740740739,0.572420634920635,0.5813953488372093,0.5626021664704529,0.015376984126984294
angular30,fixed250,transition,frozen_linear_residual,71,61.0,3840,16,30,480,1.0,0.65625,0.5059523809523808,0.5051546391752577,0.5144706600588953,-0.08333333333333337
combined60,fixed250,gru,standalone_recurrent,11,73.0,9420,16,60,960,0.9849500439174353,0.5575396825396824,0.6881944444444444,0.6972477064220184,0.6720252181922662,-0.037268518518518534
combined60,fixed250,gru,standalone_recurrent,23,57.0,9420,16,60,960,0.967099634112018,0.6235119047619048,0.49976851851851856,0.5,0.5130234918160615,-0.03293650793650793
combined60,fixed250,gru,standalone_recurrent,37,71.0,9420,16,60,960,0.9920370370370372,0.606712962962963,0.6236111111111111,0.6266666666666667,0.6256687756687757,-0.025595238095238004
combined60,fixed250,gru,standalone_recurrent,53,89.0,9420,16,60,960,1.0,0.7278769841269841,0.3898809523809524,0.4069767441860465,0.364185141135269,-0.06845238095238093
combined60,fixed250,gru,standalone_recurrent,71,121.0,9420,16,60,960,1.0,0.6747685185185185,0.587797619047619,0.5979381443298969,0.5764101962708774,0.08333333333333326
combined60,fixed250,linear,linear,11,,11532,16,60,960,1.0,0.3968253968253968,0.725462962962963,0.7247706422018348,0.7232057974705034,0.0
combined60,fixed250,linear,linear,23,,11532,16,60,960,1.0,0.6220238095238095,0.5327050264550265,0.5425531914893617,0.5430651501522412,0.0
combined60,fixed250,linear,linear,37,,11532,16,60,960,1.0,0.6599537037037037,0.6492063492063491,0.64,0.6277498101027513,0.0
combined60,fixed250,linear,linear,53,,11532,16,60,960,1.0,0.5975529100529101,0.4583333333333333,0.46511627906976744,0.43872000032990743,0.0
combined60,fixed250,linear,linear,71,,11532,16,60,960,1.0,0.6377314814814814,0.5044642857142857,0.5051546391752577,0.5113215557008463,0.0
combined60,fixed250,local,frozen_linear_residual,11,43.0,4032,16,60,960,1.0,0.4990079365079365,0.7115740740740741,0.7155963302752294,0.7107459397900574,-0.01388888888888884
combined60,fixed250,local,frozen_linear_residual,23,43.0,4032,16,60,960,1.0,0.6875,0.5011243386243387,0.5106382978723404,0.5322288822288822,-0.03158068783068779
combined60,fixed250,local,frozen_linear_residual,37,16.0,4032,16,60,960,1.0,0.6912037037037037,0.6420634920634921,0.6266666666666667,0.6190918014447427,-0.0071428571428570065
combined60,fixed250,local,frozen_linear_residual,53,25.0,4032,16,60,960,1.0,0.6187169312169313,0.4985119047619047,0.5,0.4873704998704998,0.0401785714285714
combined60,fixed250,local,frozen_linear_residual,71,0.0,4032,16,60,960,1.0,0.6377314814814814,0.5044642857142857,0.5051546391752577,0.5113215557008463,0.0
combined60,fixed250,local_transition,frozen_linear_residual,11,17.0,8832,16,60,960,1.0,0.4538690476190476,0.7078703703703703,0.7064220183486238,0.7056145923792982,-0.017592592592592715
combined60,fixed250,local_transition,frozen_linear_residual,23,19.0,8832,16,60,960,1.0,0.6547619047619048,0.5358465608465609,0.5531914893617021,0.535720072884395,0.0031415343915344174
combined60,fixed250,local_transition,frozen_linear_residual,37,27.0,8832,16,60,960,1.0,0.6930555555555555,0.6234126984126984,0.6133333333333333,0.5895019332519332,-0.025793650793650702
combined60,fixed250,local_transition,frozen_linear_residual,53,18.0,8832,16,60,960,1.0,0.630621693121693,0.5446428571428571,0.5465116279069767,0.5373357035121741,0.08630952380952378
combined60,fixed250,local_transition,frozen_linear_residual,71,37.0,8832,16,60,960,1.0,0.6817129629629631,0.5707671957671957,0.5670103092783505,0.5761368864629735,0.06630291005291
combined60,fixed250,transition,frozen_linear_residual,11,27.0,4800,16,60,960,1.0,0.49553571428571436,0.7465277777777778,0.7431192660550459,0.7415584850878968,0.021064814814814814
combined60,fixed250,transition,frozen_linear_residual,23,12.0,4800,16,60,960,1.0,0.6547619047619048,0.5374669312169312,0.5425531914893617,0.5401137478082557,0.004761904761904745
combined60,fixed250,transition,frozen_linear_residual,37,40.0,4800,16,60,960,1.0,0.7368055555555556,0.584920634920635,0.5733333333333334,0.5651472431077694,-0.06428571428571417
combined60,fixed250,transition,frozen_linear_residual,53,44.0,4800,16,60,960,1.0,0.6345568783068783,0.5401785714285715,0.5348837209302325,0.5301397805267773,0.08184523809523819
combined60,fixed250,transition,frozen_linear_residual,71,9.0,4800,16,60,960,1.0,0.642361111111111,0.5333994708994709,0.5360824742268041,0.5409232099668227,0.02893518518518523
accel30,relative10,gru,standalone_recurrent,11,108.0,6540,10,30,300,0.9875315656565657,0.3625992063492063,0.6349537037037037,0.6422018348623854,0.6303970152654362,-0.1659722222222223
accel30,relative10,gru,standalone_recurrent,23,68.0,6540,10,30,300,0.9005257685211245,0.5044642857142857,0.41220238095238093,0.43617021276595747,0.3814026251526251,-0.260813492063492
accel30,relative10,gru,standalone_recurrent,37,89.0,6540,10,30,300,0.9713252781603167,0.6979166666666666,0.5214285714285715,0.52,0.5124611907700142,-0.044642857142856984
accel30,relative10,gru,standalone_recurrent,53,96.0,6540,10,30,300,0.9507850241545893,0.6716269841269842,0.5133928571428572,0.5232558139534884,0.4765002970885323,-0.06845238095238082
accel30,relative10,gru,standalone_recurrent,71,72.0,6540,10,30,300,0.8761281703930445,0.5960648148148148,0.5886243386243386,0.6082474226804123,0.5768667993513195,-0.12748015873015872
accel30,relative10,linear,linear,11,,3612,10,30,300,1.0,0.5570436507936508,0.800925925925926,0.7981651376146789,0.7899610136452241,0.0
accel30,relative10,linear,linear,23,,3612,10,30,300,1.0,0.6666666666666666,0.673015873015873,0.6808510638297872,0.6893082565296188,0.0
accel30,relative10,linear,linear,37,,3612,10,30,300,1.0,0.7208333333333333,0.5660714285714284,0.56,0.5597014097014097,0.0
accel30,relative10,linear,linear,53,,3612,10,30,300,1.0,0.7544642857142857,0.581845238095238,0.6046511627906976,0.5686416595623757,0.0
accel30,relative10,linear,linear,71,,3612,10,30,300,1.0,0.8043981481481483,0.7161044973544973,0.7216494845360825,0.711046927358847,0.0
accel30,relative10,local,frozen_linear_residual,11,14.0,2400,10,30,300,1.0,0.5674603174603174,0.7916666666666666,0.7889908256880734,0.7854012058346425,-0.009259259259259411
accel30,relative10,local,frozen_linear_residual,23,34.0,2400,10,30,300,1.0,0.6785714285714285,0.6713955026455026,0.6808510638297872,0.686725594094015,-0.0016203703703703276
accel30,relative10,local,frozen_linear_residual,37,13.0,2400,10,30,300,1.0,0.7451388888888889,0.5660714285714284,0.56,0.5597014097014097,0.0
accel30,relative10,local,frozen_linear_residual,53,20.0,2400,10,30,300,1.0,0.7565476190476189,0.613095238095238,0.627906976744186,0.6077393674100836,0.03125
accel30,relative10,local,frozen_linear_residual,71,23.0,2400,10,30,300,1.0,0.8182870370370371,0.6883267195767196,0.6907216494845361,0.6842414164782586,-0.02777777777777768
accel30,relative10,local_transition,frozen_linear_residual,11,17.0,5088,10,30,300,1.0,0.5674603174603174,0.7999999999999999,0.7981651376146789,0.792155018470808,-0.0009259259259261077
accel30,relative10,local_transition,frozen_linear_residual,23,30.0,5088,10,30,300,1.0,0.6904761904761906,0.686904761904762,0.6914893617021277,0.7035777152843715,0.013888888888889062
accel30,relative10,local_transition,frozen_linear_residual,37,2.0,5088,10,30,300,1.0,0.7347222222222222,0.5660714285714284,0.56,0.5597014097014097,0.0
accel30,relative10,local_transition,frozen_linear_residual,53,62.0,5088,10,30,300,1.0,0.7762235449735448,0.6473214285714285,0.6744186046511628,0.6344502232037565,0.06547619047619047
accel30,relative10,local_transition,frozen_linear_residual,71,0.0,5088,10,30,300,1.0,0.8043981481481483,0.7161044973544973,0.7216494845360825,0.711046927358847,0.0
accel30,relative10,transition,frozen_linear_residual,11,23.0,2688,10,30,300,1.0,0.5625,0.800925925925926,0.7981651376146789,0.7917581930739827,0.0
accel30,relative10,transition,frozen_linear_residual,23,22.0,2688,10,30,300,1.0,0.6904761904761904,0.6879298941798941,0.7021276595744681,0.6996099173108191,0.014914021164021185
accel30,relative10,transition,frozen_linear_residual,37,16.0,2688,10,30,300,1.0,0.7729166666666667,0.5779761904761904,0.5733333333333334,0.5699494949494949,0.011904761904761973
accel30,relative10,transition,frozen_linear_residual,53,43.0,2688,10,30,300,1.0,0.7646494708994708,0.6547619047619048,0.6744186046511628,0.6486313544556578,0.07291666666666674
accel30,relative10,transition,frozen_linear_residual,71,0.0,2688,10,30,300,1.0,0.8043981481481483,0.7161044973544973,0.7216494845360825,0.711046927358847,0.0
angular30,relative10,gru,standalone_recurrent,11,138.0,6540,10,30,300,1.0,0.4816468253968254,0.6527777777777778,0.6513761467889908,0.6459043895971813,-0.17500000000000004
angular30,relative10,gru,standalone_recurrent,23,94.0,6540,10,30,300,0.9859343434343435,0.6726190476190476,0.604265873015873,0.6063829787234043,0.5960281548516843,-0.1727843915343915
angular30,relative10,gru,standalone_recurrent,37,81.0,6540,10,30,300,0.9636360398860399,0.6541666666666667,0.6273809523809524,0.6133333333333333,0.621078431372549,-0.07539682539682546
angular30,relative10,gru,standalone_recurrent,53,84.0,6540,10,30,300,0.9513977692526286,0.7076058201058202,0.5069444444444445,0.5,0.48318242430084535,-0.1517857142857142
angular30,relative10,gru,standalone_recurrent,71,97.0,6540,10,30,300,0.980733082706767,0.7152777777777778,0.6359126984126983,0.6494845360824743,0.6265996802761509,-0.1623677248677251
angular30,relative10,linear,linear,11,,3612,10,30,300,1.0,0.5664682539682538,0.8277777777777778,0.8256880733944955,0.8177740832152597,0.0
angular30,relative10,linear,linear,23,,3612,10,30,300,1.0,0.7559523809523809,0.7770502645502645,0.7872340425531915,0.7790804239333652,0.0
angular30,relative10,linear,linear,37,,3612,10,30,300,1.0,0.7969907407407408,0.7027777777777778,0.6933333333333334,0.6887909361593573,0.0
angular30,relative10,linear,linear,53,,3612,10,30,300,1.0,0.8257605820105819,0.6587301587301587,0.6627906976744186,0.6642632694103282,0.0
angular30,relative10,linear,linear,71,,3612,10,30,300,1.0,0.7037037037037037,0.7982804232804234,0.8144329896907216,0.8018953634085214,0.0
angular30,relative10,local,frozen_linear_residual,11,49.0,2400,10,30,300,1.0,0.5887896825396824,0.8287037037037037,0.8256880733944955,0.8197984037245716,0.0009259259259258856
angular30,relative10,local,frozen_linear_residual,23,42.0,2400,10,30,300,1.0,0.7767857142857143,0.7558862433862434,0.7659574468085106,0.7582306840046779,-0.021164021164021052
angular30,relative10,local,frozen_linear_residual,37,23.0,2400,10,30,300,1.0,0.8217592592592592,0.7027777777777778,0.6933333333333334,0.6894156769156771,0.0
angular30,relative10,local,frozen_linear_residual,53,7.0,2400,10,30,300,1.0,0.8257605820105819,0.6691468253968255,0.6744186046511628,0.6719727168256581,0.01041666666666674
angular30,relative10,local,frozen_linear_residual,71,52.0,2400,10,30,300,1.0,0.7650462962962963,0.7786044973544975,0.7938144329896907,0.7790470945463205,-0.01967592592592582
angular30,relative10,local_transition,frozen_linear_residual,11,21.0,5088,10,30,300,1.0,0.5783730158730158,0.8277777777777778,0.8256880733944955,0.8195012593484797,0.0
angular30,relative10,local_transition,frozen_linear_residual,23,17.0,5088,10,30,300,1.0,0.7678571428571428,0.7677910052910053,0.776595744680851,0.7671253665818883,-0.00925925925925919
angular30,relative10,local_transition,frozen_linear_residual,37,4.0,5088,10,30,300,1.0,0.7969907407407408,0.7027777777777778,0.6933333333333334,0.6887909361593573,0.0
angular30,relative10,local_transition,frozen_linear_residual,53,17.0,5088,10,30,300,1.0,0.8340939153439154,0.6552579365079365,0.6627906976744186,0.6620625246786237,-0.00347222222222221
angular30,relative10,local_transition,frozen_linear_residual,71,27.0,5088,10,30,300,1.0,0.71875,0.7890211640211642,0.8041237113402062,0.7896971707343224,-0.00925925925925919
angular30,relative10,transition,frozen_linear_residual,11,92.0,2688,10,30,300,1.0,0.6820436507936508,0.825925925925926,0.8256880733944955,0.8247474593702216,-0.0018518518518518823
angular30,relative10,transition,frozen_linear_residual,23,17.0,2688,10,30,300,1.0,0.7663690476190476,0.8005291005291005,0.8085106382978723,0.7998200873200872,0.023478835978836043
angular30,relative10,transition,frozen_linear_residual,37,17.0,2688,10,30,300,1.0,0.8201388888888891,0.7146825396825397,0.7066666666666667,0.7039710289710289,0.011904761904761862
angular30,relative10,transition,frozen_linear_residual,53,20.0,2688,10,30,300,1.0,0.8340939153439154,0.6691468253968255,0.6744186046511628,0.6785757629023883,0.01041666666666674
angular30,relative10,transition,frozen_linear_residual,71,15.0,2688,10,30,300,1.0,0.7430555555555555,0.7751322751322752,0.7938144329896907,0.7763299179320852,-0.02314814814814814
combined60,relative10,gru,standalone_recurrent,11,53.0,9420,10,60,600,0.882058205363832,0.3849206349206349,0.6129629629629628,0.6238532110091743,0.6072455948191242,-0.2407407407407408
combined60,relative10,gru,standalone_recurrent,23,62.0,9420,10,60,600,0.9655310066610375,0.7232142857142857,0.5460648148148148,0.5425531914893617,0.5445312542061769,-0.24057539682539686
combined60,relative10,gru,standalone_recurrent,37,99.0,9420,10,60,600,1.0,0.5125000000000001,0.6265873015873016,0.6133333333333333,0.6192550505050506,-0.045436507936507886
combined60,relative10,gru,standalone_recurrent,53,88.0,9420,10,60,600,0.9914748508098891,0.7465939153439153,0.5287698412698413,0.5465116279069767,0.479714214234338,-0.11855158730158721
combined60,relative10,gru,standalone_recurrent,71,58.0,9420,10,60,600,0.9302740753398648,0.6863425925925926,0.5477843915343915,0.5670103092783505,0.5223270133470026,-0.2786044973544973
combined60,relative10,linear,linear,11,,7212,10,60,600,1.0,0.5520833333333334,0.8537037037037036,0.8532110091743119,0.8456815114709851,0.0
combined60,relative10,linear,linear,23,,7212,10,60,600,1.0,0.775297619047619,0.7866402116402117,0.7978723404255319,0.7985762861149858,0.0
combined60,relative10,linear,linear,37,,7212,10,60,600,1.0,0.8416666666666667,0.6720238095238095,0.6666666666666666,0.6634837384837385,0.0
combined60,relative10,linear,linear,53,,7212,10,60,600,1.0,0.7979828042328042,0.6473214285714285,0.6627906976744186,0.6431709630239042,0.0
combined60,relative10,linear,linear,71,,7212,10,60,600,1.0,0.8055555555555557,0.8263888888888888,0.8350515463917526,0.8296549175225646,0.0
combined60,relative10,local,frozen_linear_residual,11,52.0,2880,10,60,600,1.0,0.625,0.8342592592592593,0.8348623853211009,0.8282643540383475,-0.019444444444444375
combined60,relative10,local,frozen_linear_residual,23,17.0,2880,10,60,600,1.0,0.8199404761904762,0.7863095238095239,0.7978723404255319,0.7911447484976897,-0.0003306878306877925
combined60,relative10,local,frozen_linear_residual,37,11.0,2880,10,60,600,1.0,0.857175925925926,0.6672619047619047,0.6666666666666666,0.6653596403596403,-0.004761904761904745
combined60,relative10,local,frozen_linear_residual,53,7.0,2880,10,60,600,1.0,0.8146494708994708,0.6592261904761905,0.6744186046511628,0.6606793805323218,0.011904761904761973
combined60,relative10,local,frozen_linear_residual,71,0.0,2880,10,60,600,1.0,0.8055555555555557,0.8263888888888888,0.8350515463917526,0.8296549175225646,0.0
combined60,relative10,local_transition,frozen_linear_residual,11,12.0,6528,10,60,600,1.0,0.6041666666666666,0.8759259259259259,0.8715596330275229,0.8664803033224086,0.022222222222222254
combined60,relative10,local_transition,frozen_linear_residual,23,17.0,6528,10,60,600,1.0,0.8303571428571429,0.8122354497354497,0.8191489361702128,0.8179545236898179,0.025595238095238004
combined60,relative10,local_transition,frozen_linear_residual,37,2.0,6528,10,60,600,1.0,0.8583333333333334,0.6720238095238095,0.6666666666666666,0.6634837384837385,0.0
combined60,relative10,local_transition,frozen_linear_residual,53,8.0,6528,10,60,600,1.0,0.8146494708994708,0.6577380952380952,0.6744186046511628,0.6595684343126799,0.01041666666666674
combined60,relative10,local_transition,frozen_linear_residual,71,16.0,6528,10,60,600,1.0,0.8379629629629629,0.8263888888888888,0.8350515463917526,0.8277466542172425,0.0
combined60,relative10,transition,frozen_linear_residual,11,53.0,3648,10,60,600,1.0,0.6557539682539683,0.8787037037037039,0.8807339449541285,0.8769238902365836,0.025000000000000244
combined60,relative10,transition,frozen_linear_residual,23,16.0,3648,10,60,600,1.0,0.8095238095238094,0.7654761904761905,0.776595744680851,0.7668020541549954,-0.021164021164021163
combined60,relative10,transition,frozen_linear_residual,37,20.0,3648,10,60,600,1.0,0.857175925925926,0.7097222222222221,0.7066666666666667,0.6999111999111999,0.037698412698412676
combined60,relative10,transition,frozen_linear_residual,53,7.0,3648,10,60,600,1.0,0.8146494708994708,0.6473214285714286,0.6627906976744186,0.6466482662454529,1.1102230246251565e-16
combined60,relative10,transition,frozen_linear_residual,71,17.0,3648,10,60,600,1.0,0.8194444444444445,0.8171296296296297,0.8247422680412371,0.815905265615018,-0.00925925925925919
