cv_mode,method,rotation,seed,split,accuracy,balanced_accuracy,macro_f1,objective_loss,n,best_epoch,parameter_count,test_same_user_seen_fraction,test_same_user_class_seen_fraction
within_user,a2_234x234,0,11,val,0.5919540229885057,0.5765739094783212,0.5770525410009705,1.348852013719493,174,98.0,21760,1.0,0.9585798816568047
within_user,a2_234x234,0,11,test,0.5976331360946746,0.5621027278535019,0.5615072470358982,1.2770266596382187,169,98.0,21760,1.0,0.9585798816568047
within_user,a2_234x234,1,23,train,0.8862745098039215,0.8857004813791818,0.8889046375738575,0.6120617593035979,510,93.0,21760,1.0,0.9712643678160919
within_user,a2_234x234,1,23,val,0.514792899408284,0.5210113211951447,0.5144675230229229,1.3869140867650862,169,93.0,21760,1.0,0.9712643678160919
within_user,a2_234x234,1,23,test,0.5689655172413793,0.5662735072661543,0.566618772202745,1.288430875745313,174,93.0,21760,1.0,0.9712643678160919
within_user,a2_234x234,2,37,train,0.4756335282651072,0.46785077111570206,0.4399322282060332,1.6679209036204317,513,82.0,21760,1.0,0.9704142011834319
within_user,a2_234x234,2,37,val,0.3684210526315789,0.3925971918231979,0.3521676044067326,1.9638154701879846,171,82.0,21760,1.0,0.9704142011834319
within_user,a2_234x234,2,37,test,0.33136094674556216,0.33310866013071894,0.2891850110823055,1.9345814956010445,169,82.0,21760,1.0,0.9704142011834319
within_user,a2_234x234,3,53,train,0.9375,0.9364911255744527,0.9376902474992267,0.5383957475423813,512,95.0,21760,1.0,0.9649122807017544
within_user,a2_234x234,3,53,val,0.5882352941176471,0.5823079494035376,0.5757741822631254,1.3244850397109986,170,95.0,21760,1.0,0.9649122807017544
within_user,a2_234x234,3,53,test,0.5497076023391813,0.5570790861328786,0.5296193526032237,1.3511886436339708,171,95.0,21760,1.0,0.9649122807017544
within_user,a2_234x234,4,71,train,0.6245136186770428,0.6158125278820967,0.6074564482003127,1.3996723839281133,514,95.0,21760,1.0,0.9705882352941176
within_user,a2_234x234,4,71,val,0.4970414201183432,0.4732044851433397,0.44773327727953355,1.6260038790618174,169,95.0,21760,1.0,0.9705882352941176
within_user,a2_234x234,4,71,test,0.47058823529411764,0.46125849232466876,0.44344753347563276,1.7203155461479636,170,95.0,21760,1.0,0.9705882352941176
cross_user,raw250_linear,0,11,train,1.0,1.0,1.0,,510,,5760,0.0,0.0
cross_user,raw250_linear,0,11,val,0.5798816568047337,0.5697736291486291,0.5706310415328683,,169,,5760,0.0,0.0
cross_user,raw250_linear,0,11,test,0.6379310344827587,0.6309327722930665,0.6311917553887368,,174,,5760,0.0,0.0
cross_user,raw250_linear,1,23,train,1.0,1.0,1.0,,512,,5760,0.0,0.0
cross_user,raw250_linear,1,23,val,0.5988372093023255,0.5977498196248197,0.5928070624944118,,172,,5760,0.0,0.0
cross_user,raw250_linear,1,23,test,0.5562130177514792,0.5514471639471639,0.5442013128982568,,169,,5760,0.0,0.0
cross_user,raw250_linear,2,37,train,1.0,1.0,1.0,,513,,5760,0.0,0.0
cross_user,raw250_linear,2,37,val,0.6964285714285714,0.6874605718355719,0.6736032546161489,,168,,5760,0.0,0.0
cross_user,raw250_linear,2,37,test,0.5581395348837209,0.554586038961039,0.5533587564365227,,172,,5760,0.0,0.0
cross_user,raw250_linear,3,53,train,1.0,1.0,1.0,,515,,5760,0.0,0.0
cross_user,raw250_linear,3,53,val,0.5823529411764706,0.5838102869352869,0.5865419905099661,,170,,5760,0.0,0.0
cross_user,raw250_linear,3,53,test,0.6547619047619048,0.6436825905575906,0.643545648149691,,168,,5760,0.0,0.0
cross_user,raw250_linear,4,71,train,0.9037328094302554,0.8890522765015523,0.897884211914537,,509,,5760,0.0,0.0
cross_user,raw250_linear,4,71,val,0.6609195402298851,0.6468065839389369,0.6446686499222731,,174,,5760,0.0,0.0
cross_user,raw250_linear,4,71,test,0.5529411764705883,0.5456043956043957,0.5387237852349979,,170,,5760,0.0,0.0
cross_user,a2_234x234,0,11,train,0.9137254901960784,0.915293187298538,0.9157324316982267,0.5922247980155196,510,94.0,21760,0.0,0.0
cross_user,a2_234x234,0,11,val,0.5266272189349113,0.5224813381063381,0.5016034821216381,1.466260547468648,169,94.0,21760,0.0,0.0
cross_user,a2_234x234,0,11,test,0.5172413793103449,0.5086639871566342,0.5010766161830954,1.5112545284731635,174,94.0,21760,0.0,0.0
cross_user,a2_234x234,1,23,train,0.9375,0.9379362242133268,0.9388053981503749,0.5307588875293732,512,99.0,21760,0.0,0.0
cross_user,a2_234x234,1,23,val,0.5232558139534884,0.5102272727272726,0.5140272065719635,1.4585128689921179,172,99.0,21760,0.0,0.0
cross_user,a2_234x234,1,23,test,0.5266272189349113,0.5099407536907536,0.49853329921273537,1.4194269328427738,169,99.0,21760,0.0,0.0
cross_user,a2_234x234,2,37,train,0.5458089668615984,0.5407154843734,0.5252866762954074,1.527302557497229,513,97.0,21760,0.0,0.0
cross_user,a2_234x234,2,37,val,0.5,0.4903019434269434,0.46371288938936805,1.7063579502559842,168,97.0,21760,0.0,0.0
cross_user,a2_234x234,2,37,test,0.3488372093023256,0.3455342111592112,0.3225361035690261,1.9976840213287708,172,97.0,21760,0.0,0.0
cross_user,a2_234x234,3,53,train,0.6388349514563106,0.6274612991376475,0.6283216551523095,1.2768240093027503,515,99.0,21760,0.0,0.0
cross_user,a2_234x234,3,53,val,0.38823529411764707,0.37735424297924297,0.36199806955143937,1.8376043459948372,170,99.0,21760,0.0,0.0
cross_user,a2_234x234,3,53,test,0.5714285714285714,0.5480146011396011,0.5361932129173509,1.485089727810451,168,99.0,21760,0.0,0.0
cross_user,a2_234x234,4,71,train,0.9017681728880157,0.8983652093285251,0.8991650803030339,0.6128070537139952,509,88.0,21760,0.0,0.0
cross_user,a2_234x234,4,71,val,0.5057471264367817,0.4926941930618401,0.467255538579068,1.5185074463657948,174,88.0,21760,0.0,0.0
cross_user,a2_234x234,4,71,test,0.4647058823529412,0.46016483516483514,0.4569023629878893,1.6090840634177712,170,88.0,21760,0.0,0.0
