pi,si,user,label,valid,pad,source_trial,sample_id,y,cv_fold
1,121,user_1,X,77,256,user_1/action_0/user_1_action_0,user_1/action_0/user_1_action_0/segment_121,11,2
1,127,user_1,C,67,256,user_1/action_0/user_1_action_0,user_1/action_0/user_1_action_0/segment_127,2,3
1,130,user_1,G,102,256,user_1/action_0/user_1_action_0,user_1/action_0/user_1_action_0/segment_130,5,0
1,131,user_1,B,98,256,user_1/action_0/user_1_action_0,user_1/action_0/user_1_action_0/segment_131,1,3
1,132,user_1,L,60,256,user_1/action_0/user_1_action_0,user_1/action_0/user_1_action_0/segment_132,10,4
1,133,user_1,K,92,256,user_1/action_0/user_1_action_0,user_1/action_0/user_1_action_0/segment_133,9,2
1,134,user_1,H,95,256,user_1/action_0/user_1_action_0,user_1/action_0/user_1_action_0/segment_134,6,4
21,0,user_1,B,100,256,user_1/action_1/user_1_action_1,user_1/action_1/user_1_action_1/segment_0,1,1
21,1,user_1,X,70,256,user_1/action_1/user_1_action_1,user_1/action_1/user_1_action_1/segment_1,11,3
21,2,user_1,E,105,256,user_1/action_1/user_1_action_1,user_1/action_1/user_1_action_1/segment_2,4,3
21,6,user_1,G,102,256,user_1/action_1/user_1_action_1,user_1/action_1/user_1_action_1/segment_6,5,3
21,10,user_1,C,69,256,user_1/action_1/user_1_action_1,user_1/action_1/user_1_action_1/segment_10,2,3
21,12,user_1,I,99,256,user_1/action_1/user_1_action_1,user_1/action_1/user_1_action_1/segment_12,7,0
21,13,user_1,D,87,256,user_1/action_1/user_1_action_1,user_1/action_1/user_1_action_1/segment_13,3,2
21,14,user_1,H,94,256,user_1/action_1/user_1_action_1,user_1/action_1/user_1_action_1/segment_14,6,4
21,17,user_1,A,93,256,user_1/action_1/user_1_action_1,user_1/action_1/user_1_action_1/segment_17,0,0
21,19,user_1,K,93,256,user_1/action_1/user_1_action_1,user_1/action_1/user_1_action_1/segment_19,9,0
21,42,user_1,H,84,256,user_1/action_1/user_1_action_1,user_1/action_1/user_1_action_1/segment_42,6,0
21,45,user_1,E,104,256,user_1/action_1/user_1_action_1,user_1/action_1/user_1_action_1/segment_45,4,4
21,47,user_1,D,75,256,user_1/action_1/user_1_action_1,user_1/action_1/user_1_action_1/segment_47,3,3
21,49,user_1,J,74,256,user_1/action_1/user_1_action_1,user_1/action_1/user_1_action_1/segment_49,8,2
21,50,user_1,I,46,256,user_1/action_1/user_1_action_1,user_1/action_1/user_1_action_1/segment_50,7,1
21,51,user_1,B,96,256,user_1/action_1/user_1_action_1,user_1/action_1/user_1_action_1/segment_51,1,4
21,54,user_1,X,72,256,user_1/action_1/user_1_action_1,user_1/action_1/user_1_action_1/segment_54,11,2
21,56,user_1,K,92,256,user_1/action_1/user_1_action_1,user_1/action_1/user_1_action_1/segment_56,9,3
21,59,user_1,C,64,256,user_1/action_1/user_1_action_1,user_1/action_1/user_1_action_1/segment_59,2,0
21,61,user_1,L,62,256,user_1/action_1/user_1_action_1,user_1/action_1/user_1_action_1/segment_61,10,2
21,85,user_1,X,71,256,user_1/action_1/user_1_action_1,user_1/action_1/user_1_action_1/segment_85,11,0
21,91,user_1,A,86,256,user_1/action_1/user_1_action_1,user_1/action_1/user_1_action_1/segment_91,0,2
21,92,user_1,C,62,256,user_1/action_1/user_1_action_1,user_1/action_1/user_1_action_1/segment_92,2,1
21,95,user_1,G,101,256,user_1/action_1/user_1_action_1,user_1/action_1/user_1_action_1/segment_95,5,2
21,96,user_1,B,98,256,user_1/action_1/user_1_action_1,user_1/action_1/user_1_action_1/segment_96,1,0
21,97,user_1,L,60,256,user_1/action_1/user_1_action_1,user_1/action_1/user_1_action_1/segment_97,10,3
21,98,user_1,K,90,256,user_1/action_1/user_1_action_1,user_1/action_1/user_1_action_1/segment_98,9,1
21,99,user_1,H,93,256,user_1/action_1/user_1_action_1,user_1/action_1/user_1_action_1/segment_99,6,3
10,28,user_10,J,54,256,user_10/action_0/user_10_action_0,user_10/action_0/user_10_action_0/segment_28,8,2
10,29,user_10,B,81,256,user_10/action_0/user_10_action_0,user_10/action_0/user_10_action_0/segment_29,1,3
10,30,user_10,X,68,256,user_10/action_0/user_10_action_0,user_10/action_0/user_10_action_0/segment_30,11,3
10,31,user_10,E,83,256,user_10/action_0/user_10_action_0,user_10/action_0/user_10_action_0/segment_31,4,4
10,35,user_10,G,74,256,user_10/action_0/user_10_action_0,user_10/action_0/user_10_action_0/segment_35,5,0
10,39,user_10,C,57,256,user_10/action_0/user_10_action_0,user_10/action_0/user_10_action_0/segment_39,2,2
10,41,user_10,I,48,256,user_10/action_0/user_10_action_0,user_10/action_0/user_10_action_0/segment_41,7,0
10,42,user_10,D,68,256,user_10/action_0/user_10_action_0,user_10/action_0/user_10_action_0/segment_42,3,1
10,43,user_10,H,76,256,user_10/action_0/user_10_action_0,user_10/action_0/user_10_action_0/segment_43,6,2
10,46,user_10,A,72,256,user_10/action_0/user_10_action_0,user_10/action_0/user_10_action_0/segment_46,0,0
10,48,user_10,K,65,256,user_10/action_0/user_10_action_0,user_10/action_0/user_10_action_0/segment_48,9,0
30,0,user_10,J,56,256,user_10/action_1/user_10_action_1,user_10/action_1/user_10_action_1/segment_0,8,1
30,1,user_10,B,83,256,user_10/action_1/user_10_action_1,user_10/action_1/user_10_action_1/segment_1,1,1
30,2,user_10,X,65,256,user_10/action_1/user_10_action_1,user_10/action_1/user_10_action_1/segment_2,11,2
30,3,user_10,E,82,256,user_10/action_1/user_10_action_1,user_10/action_1/user_10_action_1/segment_3,4,2
30,7,user_10,G,81,256,user_10/action_1/user_10_action_1,user_10/action_1/user_10_action_1/segment_7,5,2
30,11,user_10,C,55,256,user_10/action_1/user_10_action_1,user_10/action_1/user_10_action_1/segment_11,2,1
30,13,user_10,I,94,256,user_10/action_1/user_10_action_1,user_10/action_1/user_10_action_1/segment_13,7,1
30,14,user_10,D,79,256,user_10/action_1/user_10_action_1,user_10/action_1/user_10_action_1/segment_14,3,3
30,15,user_10,H,86,256,user_10/action_1/user_10_action_1,user_10/action_1/user_10_action_1/segment_15,6,3
30,18,user_10,A,88,256,user_10/action_1/user_10_action_1,user_10/action_1/user_10_action_1/segment_18,0,4
30,20,user_10,K,83,256,user_10/action_1/user_10_action_1,user_10/action_1/user_10_action_1/segment_20,9,3
30,26,user_10,C,59,256,user_10/action_1/user_10_action_1,user_10/action_1/user_10_action_1/segment_26,2,4
30,28,user_10,G,94,256,user_10/action_1/user_10_action_1,user_10/action_1/user_10_action_1/segment_28,5,4
30,30,user_10,J,61,256,user_10/action_1/user_10_action_1,user_10/action_1/user_10_action_1/segment_30,8,4
30,32,user_10,D,72,256,user_10/action_1/user_10_action_1,user_10/action_1/user_10_action_1/segment_32,3,0
30,35,user_10,E,91,256,user_10/action_1/user_10_action_1,user_10/action_1/user_10_action_1/segment_35,4,0
30,36,user_10,H,86,256,user_10/action_1/user_10_action_1,user_10/action_1/user_10_action_1/segment_36,6,1
30,37,user_10,B,89,256,user_10/action_1/user_10_action_1,user_10/action_1/user_10_action_1/segment_37,1,2
30,38,user_10,L,57,256,user_10/action_1/user_10_action_1,user_10/action_1/user_10_action_1/segment_38,10,4
30,39,user_10,A,88,256,user_10/action_1/user_10_action_1,user_10/action_1/user_10_action_1/segment_39,0,3
30,40,user_10,K,79,256,user_10/action_1/user_10_action_1,user_10/action_1/user_10_action_1/segment_40,9,4
30,44,user_10,I,86,256,user_10/action_1/user_10_action_1,user_10/action_1/user_10_action_1/segment_44,7,3
11,23,user_11,J,110,256,user_11/action_0/user_11_action_0,user_11/action_0/user_11_action_0/segment_23,8,2
11,24,user_11,B,237,256,user_11/action_0/user_11_action_0,user_11/action_0/user_11_action_0/segment_24,1,2
11,25,user_11,X,135,256,user_11/action_0/user_11_action_0,user_11/action_0/user_11_action_0/segment_25,11,2
11,26,user_11,E,247,256,user_11/action_0/user_11_action_0,user_11/action_0/user_11_action_0/segment_26,4,4
11,30,user_11,G,195,256,user_11/action_0/user_11_action_0,user_11/action_0/user_11_action_0/segment_30,5,2
11,34,user_11,C,71,256,user_11/action_0/user_11_action_0,user_11/action_0/user_11_action_0/segment_34,2,1
11,36,user_11,I,57,256,user_11/action_0/user_11_action_0,user_11/action_0/user_11_action_0/segment_36,7,4
11,37,user_11,D,132,256,user_11/action_0/user_11_action_0,user_11/action_0/user_11_action_0/segment_37,3,0
11,38,user_11,H,142,256,user_11/action_0/user_11_action_0,user_11/action_0/user_11_action_0/segment_38,6,0
11,41,user_11,A,148,256,user_11/action_0/user_11_action_0,user_11/action_0/user_11_action_0/segment_41,0,4
11,43,user_11,K,121,256,user_11/action_0/user_11_action_0,user_11/action_0/user_11_action_0/segment_43,9,1
11,71,user_11,L,70,256,user_11/action_0/user_11_action_0,user_11/action_0/user_11_action_0/segment_71,10,0
11,72,user_11,G,158,256,user_11/action_0/user_11_action_0,user_11/action_0/user_11_action_0/segment_72,5,3
11,73,user_11,K,115,256,user_11/action_0/user_11_action_0,user_11/action_0/user_11_action_0/segment_73,9,0
11,76,user_11,J,76,256,user_11/action_0/user_11_action_0,user_11/action_0/user_11_action_0/segment_76,8,3
11,77,user_11,A,125,256,user_11/action_0/user_11_action_0,user_11/action_0/user_11_action_0/segment_77,0,0
11,82,user_11,H,149,256,user_11/action_0/user_11_action_0,user_11/action_0/user_11_action_0/segment_82,6,2
11,85,user_11,D,108,256,user_11/action_0/user_11_action_0,user_11/action_0/user_11_action_0/segment_85,3,1
11,89,user_11,E,162,256,user_11/action_0/user_11_action_0,user_11/action_0/user_11_action_0/segment_89,4,1
11,91,user_11,X,100,256,user_11/action_0/user_11_action_0,user_11/action_0/user_11_action_0/segment_91,11,0
11,92,user_11,I,54,256,user_11/action_0/user_11_action_0,user_11/action_0/user_11_action_0/segment_92,7,0
11,94,user_11,B,136,256,user_11/action_0/user_11_action_0,user_11/action_0/user_11_action_0/segment_94,1,1
31,25,user_11,J,78,256,user_11/action_1/user_11_action_1,user_11/action_1/user_11_action_1/segment_25,8,1
31,26,user_11,B,155,256,user_11/action_1/user_11_action_1,user_11/action_1/user_11_action_1/segment_26,1,4
31,27,user_11,X,92,256,user_11/action_1/user_11_action_1,user_11/action_1/user_11_action_1/segment_27,11,3
31,28,user_11,E,192,256,user_11/action_1/user_11_action_1,user_11/action_1/user_11_action_1/segment_28,4,3
31,32,user_11,G,141,256,user_11/action_1/user_11_action_1,user_11/action_1/user_11_action_1/segment_32,5,4
31,36,user_11,C,80,256,user_11/action_1/user_11_action_1,user_11/action_1/user_11_action_1/segment_36,2,3
31,38,user_11,I,54,256,user_11/action_1/user_11_action_1,user_11/action_1/user_11_action_1/segment_38,7,3
31,39,user_11,D,126,256,user_11/action_1/user_11_action_1,user_11/action_1/user_11_action_1/segment_39,3,2
31,40,user_11,H,154,256,user_11/action_1/user_11_action_1,user_11/action_1/user_11_action_1/segment_40,6,4
31,43,user_11,A,150,256,user_11/action_1/user_11_action_1,user_11/action_1/user_11_action_1/segment_43,0,2
31,45,user_11,K,133,256,user_11/action_1/user_11_action_1,user_11/action_1/user_11_action_1/segment_45,9,4
31,72,user_11,L,82,256,user_11/action_1/user_11_action_1,user_11/action_1/user_11_action_1/segment_72,10,2
31,73,user_11,G,136,256,user_11/action_1/user_11_action_1,user_11/action_1/user_11_action_1/segment_73,5,1
31,74,user_11,K,136,256,user_11/action_1/user_11_action_1,user_11/action_1/user_11_action_1/segment_74,9,3
31,77,user_11,J,81,256,user_11/action_1/user_11_action_1,user_11/action_1/user_11_action_1/segment_77,8,4
31,78,user_11,A,143,256,user_11/action_1/user_11_action_1,user_11/action_1/user_11_action_1/segment_78,0,3
31,83,user_11,H,135,256,user_11/action_1/user_11_action_1,user_11/action_1/user_11_action_1/segment_83,6,1
31,86,user_11,D,115,256,user_11/action_1/user_11_action_1,user_11/action_1/user_11_action_1/segment_86,3,3
31,90,user_11,E,145,256,user_11/action_1/user_11_action_1,user_11/action_1/user_11_action_1/segment_90,4,0
31,92,user_11,X,107,256,user_11/action_1/user_11_action_1,user_11/action_1/user_11_action_1/segment_92,11,1
31,93,user_11,I,62,256,user_11/action_1/user_11_action_1,user_11/action_1/user_11_action_1/segment_93,7,2
31,95,user_11,B,158,256,user_11/action_1/user_11_action_1,user_11/action_1/user_11_action_1/segment_95,1,0
12,26,user_12,J,95,256,user_12/action_0/user_12_action_0,user_12/action_0/user_12_action_0/segment_26,8,2
12,27,user_12,B,144,256,user_12/action_0/user_12_action_0,user_12/action_0/user_12_action_0/segment_27,1,3
12,28,user_12,X,133,256,user_12/action_0/user_12_action_0,user_12/action_0/user_12_action_0/segment_28,11,3
12,29,user_12,E,191,256,user_12/action_0/user_12_action_0,user_12/action_0/user_12_action_0/segment_29,4,3
12,33,user_12,G,164,256,user_12/action_0/user_12_action_0,user_12/action_0/user_12_action_0/segment_33,5,0
12,37,user_12,C,109,256,user_12/action_0/user_12_action_0,user_12/action_0/user_12_action_0/segment_37,2,0
12,39,user_12,I,76,256,user_12/action_0/user_12_action_0,user_12/action_0/user_12_action_0/segment_39,7,3
12,40,user_12,D,137,256,user_12/action_0/user_12_action_0,user_12/action_0/user_12_action_0/segment_40,3,2
12,41,user_12,H,151,256,user_12/action_0/user_12_action_0,user_12/action_0/user_12_action_0/segment_41,6,2
12,44,user_12,A,163,256,user_12/action_0/user_12_action_0,user_12/action_0/user_12_action_0/segment_44,0,4
12,46,user_12,K,167,256,user_12/action_0/user_12_action_0,user_12/action_0/user_12_action_0/segment_46,9,0
12,75,user_12,A,125,256,user_12/action_0/user_12_action_0,user_12/action_0/user_12_action_0/segment_75,0,2
12,77,user_12,K,127,256,user_12/action_0/user_12_action_0,user_12/action_0/user_12_action_0/segment_77,9,3
12,83,user_12,L,94,256,user_12/action_0/user_12_action_0,user_12/action_0/user_12_action_0/segment_83,10,1
12,84,user_12,J,71,256,user_12/action_0/user_12_action_0,user_12/action_0/user_12_action_0/segment_84,8,0
12,85,user_12,C,82,256,user_12/action_0/user_12_action_0,user_12/action_0/user_12_action_0/segment_85,2,2
12,86,user_12,I,65,256,user_12/action_0/user_12_action_0,user_12/action_0/user_12_action_0/segment_86,7,1
12,87,user_12,E,150,256,user_12/action_0/user_12_action_0,user_12/action_0/user_12_action_0/segment_87,4,2
12,89,user_12,D,111,256,user_12/action_0/user_12_action_0,user_12/action_0/user_12_action_0/segment_89,3,4
12,93,user_12,G,133,256,user_12/action_0/user_12_action_0,user_12/action_0/user_12_action_0/segment_93,5,4
12,94,user_12,H,124,256,user_12/action_0/user_12_action_0,user_12/action_0/user_12_action_0/segment_94,6,0
32,22,user_12,J,66,256,user_12/action_1/user_12_action_1,user_12/action_1/user_12_action_1/segment_22,8,3
32,23,user_12,B,138,256,user_12/action_1/user_12_action_1,user_12/action_1/user_12_action_1/segment_23,1,0
32,24,user_12,X,89,256,user_12/action_1/user_12_action_1,user_12/action_1/user_12_action_1/segment_24,11,1
32,25,user_12,E,142,256,user_12/action_1/user_12_action_1,user_12/action_1/user_12_action_1/segment_25,4,1
32,29,user_12,G,145,256,user_12/action_1/user_12_action_1,user_12/action_1/user_12_action_1/segment_29,5,3
32,33,user_12,C,85,256,user_12/action_1/user_12_action_1,user_12/action_1/user_12_action_1/segment_33,2,4
32,35,user_12,I,57,256,user_12/action_1/user_12_action_1,user_12/action_1/user_12_action_1/segment_35,7,2
32,36,user_12,D,124,256,user_12/action_1/user_12_action_1,user_12/action_1/user_12_action_1/segment_36,3,3
32,37,user_12,H,153,256,user_12/action_1/user_12_action_1,user_12/action_1/user_12_action_1/segment_37,6,1
32,40,user_12,A,139,256,user_12/action_1/user_12_action_1,user_12/action_1/user_12_action_1/segment_40,0,3
32,42,user_12,K,142,256,user_12/action_1/user_12_action_1,user_12/action_1/user_12_action_1/segment_42,9,1
32,69,user_12,A,121,256,user_12/action_1/user_12_action_1,user_12/action_1/user_12_action_1/segment_69,0,0
32,71,user_12,K,111,256,user_12/action_1/user_12_action_1,user_12/action_1/user_12_action_1/segment_71,9,2
32,77,user_12,L,77,256,user_12/action_1/user_12_action_1,user_12/action_1/user_12_action_1/segment_77,10,4
32,78,user_12,J,67,256,user_12/action_1/user_12_action_1,user_12/action_1/user_12_action_1/segment_78,8,4
32,79,user_12,C,94,256,user_12/action_1/user_12_action_1,user_12/action_1/user_12_action_1/segment_79,2,1
32,80,user_12,I,190,256,user_12/action_1/user_12_action_1,user_12/action_1/user_12_action_1/segment_80,7,4
32,81,user_12,E,150,256,user_12/action_1/user_12_action_1,user_12/action_1/user_12_action_1/segment_81,4,0
32,83,user_12,D,110,256,user_12/action_1/user_12_action_1,user_12/action_1/user_12_action_1/segment_83,3,1
32,87,user_12,G,165,256,user_12/action_1/user_12_action_1,user_12/action_1/user_12_action_1/segment_87,5,1
32,88,user_12,H,110,256,user_12/action_1/user_12_action_1,user_12/action_1/user_12_action_1/segment_88,6,4
13,24,user_13,J,81,256,user_13/action_0/user_13_action_0,user_13/action_0/user_13_action_0/segment_24,8,2
13,25,user_13,B,156,256,user_13/action_0/user_13_action_0,user_13/action_0/user_13_action_0/segment_25,1,0
13,26,user_13,X,104,256,user_13/action_0/user_13_action_0,user_13/action_0/user_13_action_0/segment_26,11,4
13,27,user_13,E,168,256,user_13/action_0/user_13_action_0,user_13/action_0/user_13_action_0/segment_27,4,2
13,31,user_13,G,127,256,user_13/action_0/user_13_action_0,user_13/action_0/user_13_action_0/segment_31,5,1
13,35,user_13,C,93,256,user_13/action_0/user_13_action_0,user_13/action_0/user_13_action_0/segment_35,2,4
13,37,user_13,I,92,256,user_13/action_0/user_13_action_0,user_13/action_0/user_13_action_0/segment_37,7,2
13,38,user_13,D,116,256,user_13/action_0/user_13_action_0,user_13/action_0/user_13_action_0/segment_38,3,3
13,39,user_13,H,115,256,user_13/action_0/user_13_action_0,user_13/action_0/user_13_action_0/segment_39,6,0
13,42,user_13,A,115,256,user_13/action_0/user_13_action_0,user_13/action_0/user_13_action_0/segment_42,0,0
13,44,user_13,K,124,256,user_13/action_0/user_13_action_0,user_13/action_0/user_13_action_0/segment_44,9,2
13,71,user_13,A,106,256,user_13/action_0/user_13_action_0,user_13/action_0/user_13_action_0/segment_71,0,1
13,73,user_13,K,103,256,user_13/action_0/user_13_action_0,user_13/action_0/user_13_action_0/segment_73,9,4
13,79,user_13,L,74,256,user_13/action_0/user_13_action_0,user_13/action_0/user_13_action_0/segment_79,10,3
13,80,user_13,J,76,256,user_13/action_0/user_13_action_0,user_13/action_0/user_13_action_0/segment_80,8,3
13,81,user_13,C,66,256,user_13/action_0/user_13_action_0,user_13/action_0/user_13_action_0/segment_81,2,0
13,82,user_13,I,84,256,user_13/action_0/user_13_action_0,user_13/action_0/user_13_action_0/segment_82,7,4
13,83,user_13,E,108,256,user_13/action_0/user_13_action_0,user_13/action_0/user_13_action_0/segment_83,4,1
13,85,user_13,D,95,256,user_13/action_0/user_13_action_0,user_13/action_0/user_13_action_0/segment_85,3,4
13,89,user_13,G,111,256,user_13/action_0/user_13_action_0,user_13/action_0/user_13_action_0/segment_89,5,3
13,90,user_13,H,100,256,user_13/action_0/user_13_action_0,user_13/action_0/user_13_action_0/segment_90,6,4
33,0,user_13,J,77,256,user_13/action_1/user_13_action_1,user_13/action_1/user_13_action_1/segment_0,8,1
33,1,user_13,B,111,256,user_13/action_1/user_13_action_1,user_13/action_1/user_13_action_1/segment_1,1,1
33,2,user_13,X,78,256,user_13/action_1/user_13_action_1,user_13/action_1/user_13_action_1/segment_2,11,3
33,3,user_13,E,108,256,user_13/action_1/user_13_action_1,user_13/action_1/user_13_action_1/segment_3,4,0
33,7,user_13,G,97,256,user_13/action_1/user_13_action_1,user_13/action_1/user_13_action_1/segment_7,5,4
33,11,user_13,C,66,256,user_13/action_1/user_13_action_1,user_13/action_1/user_13_action_1/segment_11,2,2
33,13,user_13,I,89,256,user_13/action_1/user_13_action_1,user_13/action_1/user_13_action_1/segment_13,7,3
33,14,user_13,D,88,256,user_13/action_1/user_13_action_1,user_13/action_1/user_13_action_1/segment_14,3,2
33,15,user_13,H,87,256,user_13/action_1/user_13_action_1,user_13/action_1/user_13_action_1/segment_15,6,1
33,18,user_13,A,93,256,user_13/action_1/user_13_action_1,user_13/action_1/user_13_action_1/segment_18,0,3
33,20,user_13,K,83,256,user_13/action_1/user_13_action_1,user_13/action_1/user_13_action_1/segment_20,9,0
14,27,user_14,J,76,256,user_14/action_0/user_14_action_0,user_14/action_0/user_14_action_0/segment_27,8,2
14,28,user_14,B,121,256,user_14/action_0/user_14_action_0,user_14/action_0/user_14_action_0/segment_28,1,4
14,29,user_14,X,94,256,user_14/action_0/user_14_action_0,user_14/action_0/user_14_action_0/segment_29,11,1
14,30,user_14,E,140,256,user_14/action_0/user_14_action_0,user_14/action_0/user_14_action_0/segment_30,4,4
14,34,user_14,G,97,256,user_14/action_0/user_14_action_0,user_14/action_0/user_14_action_0/segment_34,5,4
14,38,user_14,C,65,256,user_14/action_0/user_14_action_0,user_14/action_0/user_14_action_0/segment_38,2,2
14,40,user_14,I,53,256,user_14/action_0/user_14_action_0,user_14/action_0/user_14_action_0/segment_40,7,4
14,41,user_14,D,92,256,user_14/action_0/user_14_action_0,user_14/action_0/user_14_action_0/segment_41,3,4
14,42,user_14,H,115,256,user_14/action_0/user_14_action_0,user_14/action_0/user_14_action_0/segment_42,6,1
14,45,user_14,A,119,256,user_14/action_0/user_14_action_0,user_14/action_0/user_14_action_0/segment_45,0,2
14,47,user_14,K,134,256,user_14/action_0/user_14_action_0,user_14/action_0/user_14_action_0/segment_47,9,2
14,75,user_14,A,108,256,user_14/action_0/user_14_action_0,user_14/action_0/user_14_action_0/segment_75,0,0
14,77,user_14,K,101,256,user_14/action_0/user_14_action_0,user_14/action_0/user_14_action_0/segment_77,9,0
14,83,user_14,L,67,256,user_14/action_0/user_14_action_0,user_14/action_0/user_14_action_0/segment_83,10,3
14,84,user_14,J,88,256,user_14/action_0/user_14_action_0,user_14/action_0/user_14_action_0/segment_84,8,1
14,85,user_14,C,56,256,user_14/action_0/user_14_action_0,user_14/action_0/user_14_action_0/segment_85,2,3
14,86,user_14,I,50,256,user_14/action_0/user_14_action_0,user_14/action_0/user_14_action_0/segment_86,7,0
14,87,user_14,E,134,256,user_14/action_0/user_14_action_0,user_14/action_0/user_14_action_0/segment_87,4,0
14,89,user_14,D,95,256,user_14/action_0/user_14_action_0,user_14/action_0/user_14_action_0/segment_89,3,0
14,92,user_14,G,78,256,user_14/action_0/user_14_action_0,user_14/action_0/user_14_action_0/segment_92,5,1
