effect,condition,variant,readout,mean,std,count
shift234_minus_beta0,,binary,hidden_whole_count_linear,0.14256798756798755,0.038592948241955694,5
shift234_minus_beta0,,binary,output_whole_count,0.15632839382839384,0.048819921931758874,5
shift234_minus_beta0,,binary,uend_linear,0.14696608946608944,0.04154333270273031,5
shift234_minus_beta0,,multi_h,hidden_whole_count_linear,0.17620199245199247,0.03206082058467965,5
shift234_minus_beta0,,multi_h,output_whole_count,0.1553769841269841,0.04303996424157647,5
shift234_minus_beta0,,multi_h,uend_linear,0.16377733377733378,0.03725458900345395,5
shift234_minus_beta0,,multi_ho,hidden_whole_count_linear,0.20051809301809304,0.06363138615673852,5
shift234_minus_beta0,,multi_ho,output_whole_count,0.20115592740592736,0.09413331171860419,5
shift234_minus_beta0,,multi_ho,uend_linear,0.17472374847374847,0.09056556041404795,5
shift234_minus_shift34,,binary,hidden_whole_count_linear,-0.032692585192585166,0.0384081680168846,5
shift234_minus_shift34,,binary,output_whole_count,-0.017989649239649252,0.06817050333951732,5
shift234_minus_shift34,,binary,uend_linear,-0.03511072261072261,0.05875004470605087,5
shift234_minus_shift34,,multi_h,hidden_whole_count_linear,-0.014664363414363401,0.01588837128189718,5
shift234_minus_shift34,,multi_h,output_whole_count,-0.04069388944388945,0.0390836845090447,5
shift234_minus_shift34,,multi_h,uend_linear,-0.04268814518814521,0.03684294976425269,5
shift234_minus_shift34,,multi_ho,hidden_whole_count_linear,-0.021314657564657537,0.03354172991930856,5
shift234_minus_shift34,,multi_ho,output_whole_count,-0.0072868797868797745,0.05669941032156673,5
shift234_minus_shift34,,multi_ho,uend_linear,-0.035526140526140546,0.08894956798549326,5
shift34_minus_beta0,,binary,hidden_whole_count_linear,0.17526057276057272,0.0295599778658906,5
shift34_minus_beta0,,binary,output_whole_count,0.17431804306804308,0.04645426257259473,5
shift34_minus_beta0,,binary,uend_linear,0.18207681207681206,0.06228845965348572,5
shift34_minus_beta0,,multi_h,hidden_whole_count_linear,0.19086635586635586,0.04715444247431422,5
shift34_minus_beta0,,multi_h,output_whole_count,0.19607087357087355,0.023857989308440696,5
shift34_minus_beta0,,multi_h,uend_linear,0.206465478965479,0.054809968891890146,5
shift34_minus_beta0,,multi_ho,hidden_whole_count_linear,0.22183275058275057,0.04131285947062041,5
shift34_minus_beta0,,multi_ho,output_whole_count,0.20844280719280714,0.08145478996486258,5
shift34_minus_beta0,,multi_ho,uend_linear,0.21024988899988903,0.03427997454066084,5
shift34_minus_shift4,,binary,hidden_whole_count_linear,0.02258671883671882,0.029522471437453502,5
shift34_minus_shift4,,binary,output_whole_count,0.012083194583194578,0.06285002355791319,5
shift34_minus_shift4,,binary,uend_linear,-0.01569083694083696,0.07933178880599669,5
shift34_minus_shift4,,multi_h,hidden_whole_count_linear,0.009190809190809201,0.028871028753374783,5
shift34_minus_shift4,,multi_h,output_whole_count,0.021415251415251423,0.06218756675173688,5
shift34_minus_shift4,,multi_h,uend_linear,0.000131118881118919,0.06077552426111378,5
shift34_minus_shift4,,multi_ho,hidden_whole_count_linear,0.02453657453657454,0.03917392948331883,5
shift34_minus_shift4,,multi_ho,output_whole_count,0.020911033411033352,0.058361943217928966,5
shift34_minus_shift4,,multi_ho,uend_linear,0.04192182817182823,0.039069088664485836,5
shift4_minus_beta0,,binary,hidden_whole_count_linear,0.1526738539238539,0.05057791605583215,5
shift4_minus_beta0,,binary,output_whole_count,0.1622348484848485,0.06525598785283263,5
shift4_minus_beta0,,binary,uend_linear,0.197767649017649,0.05565465585133827,5
shift4_minus_beta0,,multi_h,hidden_whole_count_linear,0.18167554667554667,0.05017085772734974,5
shift4_minus_beta0,,multi_h,output_whole_count,0.17465562215562214,0.05500072310358174,5
shift4_minus_beta0,,multi_h,uend_linear,0.20633436008436007,0.03558985120154259,5
shift4_minus_beta0,,multi_ho,hidden_whole_count_linear,0.19729617604617602,0.019096300490657126,5
shift4_minus_beta0,,multi_ho,output_whole_count,0.1875317737817738,0.07143031061599546,5
shift4_minus_beta0,,multi_ho,uend_linear,0.1683280608280608,0.05658306048762905,5
