condition,local_shifts,local_group_widths,local_tau_mem_ms,variant,hidden_cap,output_cap,seed,split,dt_ms,valid_count_balanced_accuracy,valid_count_macro_f1,full_count_balanced_accuracy,hidden_count_linear_balanced_accuracy,hidden_count_linear_macro_f1,uend_linear_balanced_accuracy,uend_linear_macro_f1,state_tail_event_fraction,output_tail_event_fraction,state_mean_events_per_neuron_second,output_mean_events_per_neuron_second,local_mean_events_per_neuron_second,local_fraction_at_cap,state_fraction_at_cap,output_fraction_at_cap
beta0,[],[128],[0.0],binary,1,1,53,val,15.625,0.20946368446368446,0.22171468881995202,0.20946368446368446,0.1665704665704666,0.17066020393321168,0.17907647907647906,0.17711524586524585,0.006829494144767523,0.007302231155335903,1.129839301109314,1.1456998586654663,0.6890527606010437,0.010766449384391308,0.01765373907983303,0.01790156029164791
beta0,[],[128],[0.0],binary,1,1,53,test,15.625,0.23210747585747582,0.21348413362000318,0.2256972194472194,0.20765276390276388,0.19565520822996452,0.1818140193140193,0.17072901435087573,0.006831459394873005,0.005945644558292546,1.52416262234727,1.5305058082489118,0.9597238481861271,0.014995685127908236,0.023815040974176093,0.023914153253889247
beta0,[],[128],[0.0],binary,1,1,71,train,15.625,0.80801979214278,0.8145738633792093,0.7987878166809655,0.9559948314626436,0.959049593176292,0.8663436834132328,0.8694958481124141,0.02648357630237655,0.02464017647730504,1.7189357112484012,1.889444567455482,0.962169938571687,0.015033905290182609,0.026858370488256268,0.029522571366491907
beta0,[],[128],[0.0],binary,1,1,71,val,15.625,0.2656746031746032,0.23895626876283727,0.2656746031746032,0.21071428571428572,0.20328757499810132,0.1640933140933141,0.16019388749651906,0.007739562075585127,0.008416963741183281,1.2549381256103516,1.434114694595337,0.7005091905593872,0.010945456102490425,0.019608408212661743,0.02240804210305214
beta0,[],[128],[0.0],binary,1,1,71,test,15.625,0.20096084471084472,0.18402852566049602,0.20096084471084472,0.23151431901431904,0.21880658714900889,0.21806041181041178,0.20958538328103546,0.010953811750020066,0.010338588936688148,1.687752956396913,1.78364769563283,0.9594400966004148,0.014991251509381484,0.026371139943701764,0.02786949524426297
beta0,[],[128],[0.0],multi_h,31,1,11,train,15.625,0.9061109786154614,0.909153473770879,0.9045677687389181,0.9644919126312933,0.9669353024153414,0.8825674331668568,0.8855389197151577,0.009740979360214558,0.010468714154788682,1.6534383520612208,1.892805941543973,1.1134225197790413,0.0,0.0,0.02957509283662458
beta0,[],[128],[0.0],multi_h,31,1,11,val,15.625,0.22807840307840307,0.22542008986301112,0.23502284752284752,0.1982202982202982,0.18891321960287477,0.21951659451659453,0.21437342613813204,0.0031525371596217155,0.004584151785820723,1.152005910873413,1.423345923423767,0.7726714015007019,0.0,0.0,0.02223978005349636
beta0,[],[128],[0.0],multi_h,31,1,11,test,15.625,0.22002442002442002,0.2020390476280264,0.22002442002442002,0.1687007437007437,0.15084452584452585,0.20915473415473415,0.2010462071244142,0.004866991957573042,0.00466223612223586,1.5826107777961314,1.9527212936584264,1.111712004223915,0.0,0.0,0.030511270213412912
beta0,[],[128],[0.0],multi_h,31,1,23,train,15.625,0.9062190671214845,0.9092922089738215,0.9062190671214845,0.9723813099507219,0.9746123339537848,0.888603912804152,0.8917773926885184,0.009810438845306635,0.010144537305154817,1.9039217026426543,1.7049829861383226,1.08078459125788,0.0,0.0,0.02664035915841129
beta0,[],[128],[0.0],multi_h,31,1,23,val,15.625,0.291005291005291,0.28137630499019023,0.30026455026455023,0.267526455026455,0.26190421184814344,0.17103775853775852,0.17038239538239539,0.002587104681879282,0.002017756225541234,1.3030462265014648,1.1578731536865234,0.7483539581298828,0.0,0.0,0.01809176802635193
beta0,[],[128],[0.0],multi_h,31,1,23,test,15.625,0.23208250083250082,0.21928084099136727,0.22374916749916748,0.24531093906093904,0.24062512747867437,0.20756743256743257,0.19129569504569507,0.004413999515037014,0.003878114158160066,1.83532996455284,1.6170351717570057,1.048917195568346,0.0,0.0,0.025266174558703215
beta0,[],[128],[0.0],multi_h,31,1,37,train,15.625,0.6623999940261144,0.6550097117603116,0.6576527758355,0.9115793196905358,0.9116464116214935,0.8540531261399726,0.8552604397838355,0.01815166024302041,0.01060346946626799,1.6537451204457505,0.7631179762173848,1.1738912554493048,0.0,0.0,0.011923718378396637
beta0,[],[128],[0.0],multi_h,31,1,37,val,15.625,0.24799182299182299,0.2523933664374841,0.24799182299182299,0.19682539682539682,0.1876823186561187,0.14329004329004327,0.13524296052008394,0.0062950667925179005,0.00711111119017005,1.1432709693908691,0.5229859948158264,0.8292072415351868,0.0,0.0,0.008171656168997288
beta0,[],[128],[0.0],multi_h,31,1,37,test,15.625,0.1553127428127428,0.1463461182272271,0.1553127428127428,0.232964257964258,0.21733954719461965,0.1741640304140304,0.17526300002160367,0.006223973346083132,0.00551006361229779,1.5399790406227112,0.6808246002621847,1.1439680187669519,0.0,0.0,0.010637884379096636
beta0,[],[128],[0.0],multi_h,31,1,53,train,15.625,0.9237780984703758,0.9261869220940236,0.9194559394992604,0.9645537095373374,0.967305132985279,0.6113649042649975,0.6139200274581045,0.7119422392877982,0.4544765642505915,8.701717051704657,2.294363863086536,1.120585543153208,0.0,0.0011219381668930311,0.03584943536072713
beta0,[],[128],[0.0],multi_h,31,1,53,val,15.625,0.2565476190476191,0.24979957991501314,0.2565476190476191,0.19868326118326118,0.19333633185071963,0.1917027417027417,0.1864855072463768,0.7700139284133911,0.5513678789138794,6.3042755126953125,1.7890146970748901,0.763936460018158,0.0,0.0008024427224881947,0.02795335464179516
beta0,[],[128],[0.0],multi_h,31,1,53,test,15.625,0.1541243478743479,0.14615555711302075,0.14771409146409145,0.15212634587634588,0.14636860767611182,0.2352591852591852,0.21477951512641016,0.6998242082661146,0.4789579412708544,8.816833698586242,2.3938839680527986,1.0744192102184034,0.0,0.0011513283490586057,0.03740443700082498
beta0,[],[128],[0.0],multi_h,31,1,71,train,15.625,0.40266599815758153,0.37558150362107856,0.4045658933357786,0.8182209660147107,0.8212326285263649,0.7564694089283853,0.7598141724005667,0.02565867314515908,0.010818361740706812,1.1372442791260868,0.2329672234398978,0.944827717265656,0.0,0.0,0.0036401128662484033
beta0,[],[128],[0.0],multi_h,31,1,71,val,15.625,0.24024771524771524,0.2084179273096579,0.24024771524771524,0.1674963924963925,0.13985375654235302,0.11157407407407405,0.10651444788441693,0.002855753991752863,0.0,0.7203493714332581,0.18353670835494995,0.6509525179862976,0.0,0.0,0.002867761068046093
beta0,[],[128],[0.0],multi_h,31,1,71,test,15.625,0.1907675657675658,0.16363603863603862,0.1907675657675658,0.16616161616161615,0.1503611686220382,0.18291222666222665,0.18367635851171657,0.004744494614535815,0.002401951649417616,1.0695452192058301,0.17141289019013103,0.9082545658496961,0.0,0.0,0.0026783264092207974
beta0,[],[128],[0.0],multi_ho,31,31,11,train,15.625,0.5882955646993067,0.578295621763666,0.5048004770429898,0.886488389105523,0.8890470584651972,0.8135654181534654,0.8139116497551502,0.13353872270982153,0.13718423258878687,19.01645680754197,88.1594783631947,1.3959042478141195,0.0,1.0813069858439203e-06,0.00010017003726069704
beta0,[],[128],[0.0],multi_ho,31,31,11,val,15.625,0.33216089466089466,0.3099169554580962,0.2987914862914863,0.3262265512265512,0.3097026377275062,0.2680916305916306,0.2691780040851249,0.09000016748905182,0.09312427788972855,14.402379035949707,65.1012191772461,1.0183478593826294,0.0,0.0,0.0
beta0,[],[128],[0.0],multi_ho,31,31,11,test,15.625,0.30087343212343215,0.28178685230843487,0.2657314907314907,0.31298354423354424,0.3054328765104627,0.29534077034077033,0.2912886349036066,0.10061948868918093,0.10300170987436216,18.970648870076218,87.3067056316219,1.4082075863668364,0.0,0.0,0.0
beta0,[],[128],[0.0],multi_ho,31,31,23,train,15.625,0.806869031384422,0.8080705642804905,0.6996203455415144,0.977059664106464,0.9771655163787809,0.818814334277425,0.8159564885191298,0.21171556779932033,0.21253643286207663,24.693062583673843,139.88215098816022,1.4855927075042987,0.0,1.0153377393329275e-05,0.0014182374064879502
beta0,[],[128],[0.0],multi_ho,31,31,23,val,15.625,0.3667688792688793,0.3468156910042875,0.29037999037999035,0.30903679653679655,0.3036277413676795,0.33500481000480997,0.33079942665182943,0.18815641105175018,0.19150307774543762,18.29488182067871,101.60208129882812,1.0801949501037598,0.0,0.0,8.778860501479357e-05
beta0,[],[128],[0.0],multi_ho,31,31,23,test,15.625,0.3121898934398934,0.3041502738299077,0.26234251859251856,0.27041083916083913,0.26723870868798405,0.39834817959817953,0.3828057121691842,0.1995932085260953,0.1998718579950398,24.873065412861028,140.74561874180623,1.475543442654283,0.0,3.2174535739962778e-06,0.0012698216389303337
beta0,[],[128],[0.0],multi_ho,31,31,37,train,15.625,0.687147178960002,0.682528151007994,0.5021397734200713,0.9380348737602698,0.938958836613712,0.7810265552562492,0.7805878139123923,0.3676006722675954,0.34676356811121284,31.030365856912585,134.92456217517952,1.5041127773242235,0.0,3.774410300838429e-06,0.0006865835192083524
beta0,[],[128],[0.0],multi_ho,31,31,37,val,15.625,0.2969095719095719,0.2775485975409911,0.23374218374218378,0.18896705146705148,0.1874604277701587,0.30702260702260703,0.2996943419140215,0.352281779050827,0.3290131390094757,24.24721336364746,105.95171356201172,1.0955579280853271,0.0,0.0,4.389430250739679e-05
beta0,[],[128],[0.0],multi_ho,31,31,37,test,15.625,0.3149184149184149,0.3012775072089165,0.2647505272505272,0.30190850815850817,0.29962948004156503,0.34258519258519254,0.33121727143398977,0.34643505901506505,0.32411712775491686,31.037293734615798,135.5710981186122,1.5126421818994495,0.0,1.1582832547440512e-05,0.0008311935084312197
beta0,[],[128],[0.0],multi_ho,31,31,53,train,15.625,0.7839523187958468,0.7864894158162187,0.7101614747964757,0.9640705530048389,0.9645143275834392,0.8402376947730676,0.8416371521935145,0.14802524516689183,0.14846460154462804,29.269566724714846,163.8947155110397,1.519682736692248,0.0,3.385229121169104e-06,0.0019518794213772691
beta0,[],[128],[0.0],multi_ho,31,31,53,val,15.625,0.3451479076479076,0.34731860202061443,0.3419071669071669,0.2746031746031746,0.24844211850790796,0.2520502645502645,0.2341323169584039,0.16771216690540314,0.1684654802083969,23.99416160583496,134.69627380371094,1.1031076908111572,0.0,0.0,0.00037310156039893627
beta0,[],[128],[0.0],multi_ho,31,31,53,test,15.625,0.29680180930180927,0.2830827631297133,0.26327630702630705,0.28665570540570534,0.2823379136343533,0.3222777222777222,0.32510451844784677,0.1543411716614684,0.15480706075282946,29.309653478126002,166.08878848977284,1.5011316905282948,0.0,2.573962899065283e-06,0.0015381753249516493
beta0,[],[128],[0.0],multi_ho,31,31,71,train,15.625,0.49268265554891527,0.46538322312577596,0.45695256760716435,0.8561735693691377,0.8524813391159709,0.7631291223891069,0.7618144993681178,0.1281906605254147,0.10425670497542609,13.839794644800604,49.840069014110995,1.274441980453859,0.0,0.0,1.3086745650114783e-05
beta0,[],[128],[0.0],multi_ho,31,31,71,val,15.625,0.3015933140933141,0.2672105087479521,0.2863155363155363,0.23985088985088987,0.24034775385929077,0.2586459836459836,0.25354865252210984,0.11223990470170975,0.0918792188167572,10.981696128845215,38.80771255493164,0.9234483242034912,0.0,0.0,0.0
beta0,[],[128],[0.0],multi_ho,31,31,71,test,15.625,0.22295066045066045,0.19060003091736835,0.19173881673881674,0.2293789543789544,0.2223749371232209,0.3126720501720502,0.3144025160569278,0.09844314853010112,0.07829992373614278,13.792974537366057,49.6346204574794,1.2649935492097515,0.0,0.0,1.3727801596771364e-05
shift4,[4],[128],[242.10347130039656],binary,1,1,11,train,15.625,0.8791775445488837,0.8796834308064964,0.8748868084033089,0.9918602312719961,0.991978458903064,0.9641868161418198,0.9641310750283907,0.0217527125668736,0.013631999344371015,2.71666948971773,2.123552027749933,1.6935368936361421,0.02646151396306472,0.04244796077683953,0.033180500433592705
shift4,[4],[128],[242.10347130039656],binary,1,1,11,val,15.625,0.4175925925925925,0.39672810091002303,0.4106481481481481,0.36370250120250125,0.3641177051146989,0.34842472342472336,0.35162805950955983,0.01358755212277174,0.0068460809998214245,2.370819091796875,1.9697421789169312,1.4343780279159546,0.02241215668618679,0.03704404830932617,0.03077722154557705
shift4,[4],[128],[242.10347130039656],binary,1,1,11,test,15.625,0.4081335331335331,0.3953305421839459,0.4081335331335331,0.3826895326895327,0.36483006862232364,0.3686383061383061,0.3647089885250241,0.015640674635755178,0.00788693145166266,2.9647550386925268,2.4546646810557746,1.8348405491815853,0.02866938358096227,0.04632429747957073,0.03835413564149648
shift4,[4],[128],[242.10347130039656],binary,1,1,23,train,15.625,0.9460832322838845,0.9468515474232032,0.9487066890740078,0.9948789173789173,0.9950166431853461,0.973411752057701,0.9728826264086953,0.014944896305528135,0.013709822044468993,2.703012672841241,2.830537890813437,1.844038492225739,0.02881310144102717,0.04223457301314439,0.04422715454395995
shift4,[4],[128],[242.10347130039656],binary,1,1,23,val,15.625,0.42219817219817224,0.42587804382808186,0.42219817219817224,0.3618506493506493,0.35357217909655986,0.3586399711399711,0.38596921290420827,0.007123792544007301,0.007840887643396854,2.3186287879943848,2.4290521144866943,1.5533316135406494,0.024270806461572647,0.03622857481241226,0.0379539392888546
shift4,[4],[128],[242.10347130039656],binary,1,1,23,test,15.625,0.34212523587523586,0.33598749654210885,0.34212523587523586,0.3351807914307914,0.3427828622989913,0.35413614163614165,0.35555004294516124,0.00891749786487334,0.007241892488035437,2.8488851638689434,2.848643965917091,1.9434034514100582,0.030365678928282163,0.04451383068545224,0.044510061967454544
shift4,[4],[128],[242.10347130039656],binary,1,1,37,train,15.625,0.9195219676172216,0.9237375672039819,0.9127205332607559,0.9967307692307692,0.9967464753872521,0.954429578878802,0.9547789911165911,0.02540844329432448,0.017972890173827208,2.5260323452251914,1.7255503117730409,2.0949768063944094,0.03273401259991265,0.039469255394143615,0.026961723621453763
shift4,[4],[128],[242.10347130039656],binary,1,1,37,val,15.625,0.4176166426166427,0.4087179681779962,0.40571188071188075,0.40999278499278496,0.4193551591835905,0.34577922077922074,0.35370931900343666,0.010345922783017159,0.010474250651896,2.1875603199005127,1.592368245124817,1.8130980730056763,0.02832965739071369,0.03418062999844551,0.024880753830075264
shift4,[4],[128],[242.10347130039656],binary,1,1,37,test,15.625,0.382763764013764,0.36623479287007715,0.382763764013764,0.3635579698079698,0.35915519665519663,0.3530969030969031,0.3557095549619025,0.01605831876226497,0.01506290860372047,2.667446657402875,1.665864926494964,2.256363375546181,0.03525567774290908,0.04167885402191992,0.026029139476483814
shift4,[4],[128],[242.10347130039656],binary,1,1,53,train,15.625,0.8420448740006533,0.8439491682176214,0.8356625489908773,0.9932763532763533,0.9934129015465377,0.9409389219322626,0.9404109010389479,0.2778042897505112,0.4153411308377212,2.0864786995052267,2.2171575009515077,1.768777725823775,0.027637151965996483,0.03260122967976917,0.03464308595236731
shift4,[4],[128],[242.10347130039656],binary,1,1,53,val,15.625,0.42278739778739777,0.40853729236418695,0.42278739778739777,0.404479316979317,0.40648625663118415,0.33300865800865803,0.34625382290343926,0.1692955493927002,0.30236348509788513,1.7060399055480957,1.6031370162963867,1.511500358581543,0.02361719310283661,0.026656873524188995,0.025049015879631042
shift4,[4],[128],[242.10347130039656],binary,1,1,53,test,15.625,0.30359709734709733,0.2950576263076263,0.30359709734709733,0.32226107226107226,0.3158616060198164,0.41669441669441665,0.41679259702286015,0.27319344834261894,0.3983034654201506,2.2439310583349776,2.4806308860648167,1.8853794695579842,0.029459054211843503,0.035061422786484026,0.03875985759476276
shift4,[4],[128],[242.10347130039656],binary,1,1,71,train,15.625,0.9081101881126271,0.9098604728856708,0.9049644141335197,0.9952818989768675,0.9952222566220842,0.9671740794232008,0.967412306069305,0.02334511962281652,0.01743030432521938,3.1524685118571822,1.8354065270514168,1.8626130460256554,0.029103328844150865,0.04925732049776847,0.028678226985178388
shift4,[4],[128],[242.10347130039656],binary,1,1,71,val,15.625,0.4210738335738336,0.4023685928794288,0.41968494468494466,0.4495490620490621,0.4474731909609671,0.35170153920153924,0.35934891881822834,0.013550768606364727,0.011624441482126713,2.7799577713012695,1.5525707006454468,1.5861644744873047,0.024783819913864136,0.043436840176582336,0.024258917197585106
shift4,[4],[128],[242.10347130039656],binary,1,1,71,test,15.625,0.3840916028416028,0.36563154860873254,0.38571497946497946,0.4279019591519591,0.4096147987814654,0.4880015817515817,0.4907067621925862,0.015275999520943589,0.01508625397739345,3.411998304602218,1.952985608414428,2.0109703540802,0.03142141178250313,0.05331247350940966,0.030515400131475436
shift4,[4],[128],[242.10347130039656],multi_h,31,1,11,train,15.625,0.929900637825345,0.9317445706715839,0.9266955096202171,0.9949732570015589,0.9950647432334462,0.9624654441145376,0.9625206583463353,0.013656158352883054,0.010459699651159077,2.502467400851225,2.413745277719941,1.7527454424643065,0.0,0.0,0.037714769964374076
shift4,[4],[128],[242.10347130039656],multi_h,31,1,11,val,15.625,0.44459475709475704,0.4184050192822122,0.43765031265031257,0.43357984607984607,0.42792829892372225,0.39505170755170754,0.3957198662734054,0.01034503523260355,0.0078725041821599,2.1667544841766357,2.419219970703125,1.4702835083007812,0.0,0.0,0.03780031204223633
shift4,[4],[128],[242.10347130039656],multi_h,31,1,11,test,15.625,0.3465506715506715,0.339958848466047,0.35845543345543346,0.35070831945831943,0.34183238259325216,0.404805611055611,0.4114790764790765,0.01429854690460871,0.009423691932469199,2.6423177964066804,2.7484329628617794,1.8847002150261238,0.0,0.0,0.0429442650447153
shift4,[4],[128],[242.10347130039656],multi_h,31,1,23,train,15.625,0.9167227601821856,0.919557203595863,0.9088891222384848,0.9933090330149154,0.9929021090319771,0.9553419178911686,0.9548942875154856,0.008588533224169286,0.009192245084273016,2.4031942481633513,2.7074315305831305,1.7636443907956043,0.0,0.0,0.042303617665361413
shift4,[4],[128],[242.10347130039656],multi_h,31,1,23,val,15.625,0.4083453583453584,0.376735861392612,0.4083453583453584,0.37914261664261667,0.36926200441646667,0.3383658008658008,0.3647997036689996,0.0038856747560203075,0.0037735849618911743,2.025458812713623,2.224914312362671,1.479413628578186,0.0,0.0,0.03476428613066673
shift4,[4],[128],[242.10347130039656],multi_h,31,1,23,test,15.625,0.36826368076368077,0.35775338815923013,0.3547355422355422,0.346760878010878,0.3464624450894474,0.39064407814407814,0.3940529912082835,0.006850968839039337,0.005583194020676286,2.507539496029893,2.7446066500389414,1.85518857714248,0.0,0.0,0.04288447890685846
shift4,[4],[128],[242.10347130039656],multi_h,31,1,37,train,15.625,0.9370542831893124,0.9383063672126489,0.9281921003233345,0.9983974358974358,0.9983818770226538,0.9497045595639749,0.9498079046229364,0.017451341781707517,0.016853903716817987,2.230140042592244,2.3652360377746686,2.0119225625942576,0.0,0.0,0.0369568130902292
shift4,[4],[128],[242.10347130039656],multi_h,31,1,37,val,15.625,0.3596620971620972,0.33260542566177576,0.3443843193843194,0.31863275613275616,0.3118713450292398,0.34518398268398265,0.3583046193720636,0.011430232785642147,0.0070724389515817165,1.939908742904663,2.1691977977752686,1.7223246097564697,0.0,0.0,0.03389371559023857
shift4,[4],[128],[242.10347130039656],multi_h,31,1,37,test,15.625,0.41664238539238535,0.3930125118459415,0.41618450993451,0.41671245421245423,0.40874073712015946,0.4358662171162171,0.43297860499404456,0.010941743176535715,0.008549954793224596,2.315882824871638,2.4881301024188733,2.1446894211311864,0.0,0.0,0.038877032850294896
shift4,[4],[128],[242.10347130039656],multi_h,31,1,53,train,15.625,0.8838923891540756,0.8898970241274374,0.8807174980074864,0.9816358037866547,0.9812394667621134,0.7729224623047645,0.7689225334355291,0.2862690879022398,0.07788982441113451,3.028200990772083,2.3876660099948745,1.8638620052403303,0.0,4.94517636022141e-05,0.037307281406169915
shift4,[4],[128],[242.10347130039656],multi_h,31,1,53,val,15.625,0.39826238576238576,0.3968482375664813,0.39826238576238576,0.38161976911976914,0.391002914423967,0.3254028379028379,0.3312806637806638,0.005159130319952965,0.004326800815761089,1.9044420719146729,1.8316214084625244,1.59529447555542,0.0,0.0,0.028619084507226944
shift4,[4],[128],[242.10347130039656],multi_h,31,1,53,test,15.625,0.3088550338550338,0.3092083343056647,0.31480741480741486,0.3553939116439116,0.34858459594341645,0.40725455100455094,0.41046175783726363,0.0071771597866071,0.006059707659105323,2.4122615562726373,2.2271236475199867,1.9740368993314978,0.0,0.0,0.03479880699249979
shift4,[4],[128],[242.10347130039656],multi_h,31,1,71,train,15.625,0.9276459545301959,0.9285701471623318,0.92126362952042,0.996545584045584,0.996651896640988,0.9676916845058724,0.9675068884045878,0.015000061616109181,0.010722069375909441,2.5705765844827675,2.3486330825162223,1.8741540350725236,0.0,0.0,0.03669739191431597
shift4,[4],[128],[242.10347130039656],multi_h,31,1,71,val,15.625,0.4591810966810966,0.45827367400955604,0.45223665223665216,0.45762987012987016,0.45887584105974905,0.32296176046176045,0.33669932818909803,0.008157999254763126,0.004646612796932459,2.193354368209839,1.9055980443954468,1.601088523864746,0.0,0.0,0.029774969443678856
shift4,[4],[128],[242.10347130039656],multi_h,31,1,71,test,15.625,0.38527791652791654,0.37590817160877205,0.38527791652791654,0.40406607281607276,0.3992497690773553,0.40215895215895214,0.40941558441558445,0.009439760709041092,0.006697842519577235,2.682036817890324,2.3939582044131136,2.028932357487613,0.0,0.0,0.0374055969439549
shift4,[4],[128],[242.10347130039656],multi_ho,31,31,11,train,15.625,0.6921934221942875,0.6923350875023465,0.571691103858297,0.9681934332486959,0.9680278034570939,0.8567344148055395,0.8534793920411238,0.12694136241832413,0.11174255113234413,22.247442258614885,92.82098933628627,3.3676716916122045,0.0,0.0,0.00021057032122739178
shift4,[4],[128],[242.10347130039656],multi_ho,31,31,11,val,15.625,0.5477573352573352,0.5447755040269735,0.45509860509860517,0.5082431457431457,0.5054980901109152,0.5151575276575276,0.5174061590442215,0.12916818261146545,0.11428868770599365,19.9837589263916,83.58224487304688,2.9453516006469727,0.0,0.0,7.315717084566131e-06
shift4,[4],[128],[242.10347130039656],multi_ho,31,31,11,test,15.625,0.4534416971916972,0.4653934936927815,0.4384809634809635,0.49567446442446444,0.49160652778468866,0.4798153235653235,0.4806268568033274,0.14143115751547355,0.12236599440444006,22.17461343007545,94.70803571727178,3.6330788396809197,0.0,0.0,6.177510479337549e-05
shift4,[4],[128],[242.10347130039656],multi_ho,31,31,23,train,15.625,0.7531980185331898,0.7517273564619252,0.4529522499406096,0.9557959105267652,0.9555468910783572,0.814864091997601,0.8115780010841439,0.3950941505202328,0.3994870948093894,38.628432111362585,200.22078732410108,3.6108952816094875,0.0,1.3252351293443016e-05,0.000857251672244113
shift4,[4],[128],[242.10347130039656],multi_ho,31,31,23,val,15.625,0.5591029341029341,0.5591528483878362,0.37527657527657526,0.5140632515632515,0.518624671552749,0.4206108706108706,0.4161780375305401,0.40090736746788025,0.40827101469039917,34.5975341796875,177.32455444335938,3.1744799613952637,0.0,9.601878446119372e-06,0.0004755216068588197
shift4,[4],[128],[242.10347130039656],multi_ho,31,31,23,test,15.625,0.4939276001776001,0.4769207233512833,0.3504134754134754,0.47271062271062264,0.4690077553784919,0.5010343822843822,0.4965722220442823,0.40777985159664937,0.4125339535817708,37.24602093108713,192.8711420346613,3.873216697614487,0.0,0.0,0.0007295580489133574
shift4,[4],[128],[242.10347130039656],multi_ho,31,31,37,train,15.625,0.6684268478066439,0.6566756433496078,0.6313724912400295,0.9671966689433393,0.9650520100159247,0.8378091781204958,0.8352235435302564,0.20958710427230895,0.20599236312400865,25.398235166749938,134.26386601091866,3.500073625791093,0.0,1.091036281152508e-06,0.00033659089629715883
shift4,[4],[128],[242.10347130039656],multi_ho,31,31,37,val,15.625,0.5425925925925926,0.5228816321993969,0.5038359788359789,0.5335377585377586,0.5380039515649057,0.5231962481962482,0.5304257396009314,0.21292616426944733,0.20753121376037598,21.69770050048828,114.9688949584961,3.0789220333099365,0.0,0.0,0.0001609457831364125
