effect,condition,variant,seed,readout,delta_balanced_accuracy
shift34_minus_beta0,,binary,53,output_whole_count,0.13728563103563107
shift34_minus_beta0,,binary,53,hidden_whole_count_linear,0.13990384615384616
shift34_minus_beta0,,binary,53,uend_linear,0.19476287601287595
shift34_minus_beta0,,binary,71,output_whole_count,0.2507312132312133
shift34_minus_beta0,,binary,71,hidden_whole_count_linear,0.21194153069153063
shift34_minus_beta0,,binary,71,uend_linear,0.16761016761016764
shift34_minus_beta0,,multi_h,11,output_whole_count,0.21725843600843592
shift34_minus_beta0,,multi_h,11,hidden_whole_count_linear,0.23015526140526135
shift34_minus_beta0,,multi_h,11,uend_linear,0.18531329781329783
shift34_minus_beta0,,multi_h,23,output_whole_count,0.1749840437340438
shift34_minus_beta0,,multi_h,23,hidden_whole_count_linear,0.1232545232545233
shift34_minus_beta0,,multi_h,23,uend_linear,0.1579052891552892
shift34_minus_beta0,,multi_h,37,output_whole_count,0.20383782883782883
shift34_minus_beta0,,multi_h,37,hidden_whole_count_linear,0.15959179709179713
shift34_minus_beta0,,multi_h,37,uend_linear,0.2557234432234432
shift34_minus_beta0,,multi_h,53,output_whole_count,0.21755328005328003
shift34_minus_beta0,,multi_h,53,hidden_whole_count_linear,0.21711829836829832
shift34_minus_beta0,,multi_h,53,uend_linear,0.2740315240315241
shift34_minus_beta0,,multi_h,71,output_whole_count,0.16672077922077919
shift34_minus_beta0,,multi_h,71,hidden_whole_count_linear,0.22421189921189918
shift34_minus_beta0,,multi_h,71,uend_linear,0.15935384060384064
shift34_minus_beta0,,multi_ho,11,output_whole_count,0.22353757353757348
shift34_minus_beta0,,multi_ho,11,hidden_whole_count_linear,0.21756229881229872
shift34_minus_beta0,,multi_ho,11,uend_linear,0.23854409479409477
shift34_minus_beta0,,multi_ho,23,output_whole_count,0.12589632589632582
shift34_minus_beta0,,multi_ho,23,hidden_whole_count_linear,0.2517995892995893
shift34_minus_beta0,,multi_ho,23,uend_linear,0.15124111999112005
shift34_minus_beta0,,multi_ho,37,output_whole_count,0.16882006882006884
shift34_minus_beta0,,multi_ho,37,hidden_whole_count_linear,0.17009865134865132
shift34_minus_beta0,,multi_ho,37,uend_linear,0.21980380730380739
shift34_minus_beta0,,multi_ho,53,output_whole_count,0.18389249639249639
shift34_minus_beta0,,multi_ho,53,hidden_whole_count_linear,0.19680319680319686
shift34_minus_beta0,,multi_ho,53,uend_linear,0.22799630924630931
shift34_minus_beta0,,multi_ho,71,output_whole_count,0.34006757131757115
shift34_minus_beta0,,multi_ho,71,hidden_whole_count_linear,0.2729000166500166
shift34_minus_beta0,,multi_ho,71,uend_linear,0.2136641136641136
shift234_minus_beta0,,binary,11,output_whole_count,0.1623341935841936
shift234_minus_beta0,,binary,11,hidden_whole_count_linear,0.20702006327006325
shift234_minus_beta0,,binary,11,uend_linear,0.12024295149295144
shift234_minus_beta0,,binary,23,output_whole_count,0.19377775002775002
shift234_minus_beta0,,binary,23,hidden_whole_count_linear,0.11890748140748139
shift234_minus_beta0,,binary,23,uend_linear,0.15907980907980904
shift234_minus_beta0,,binary,37,output_whole_count,0.20933302808302806
shift234_minus_beta0,,binary,37,hidden_whole_count_linear,0.1504044566544566
shift234_minus_beta0,,binary,37,uend_linear,0.10910062160062156
shift234_minus_beta0,,binary,53,output_whole_count,0.0903041403041403
shift234_minus_beta0,,binary,53,hidden_whole_count_linear,0.11815476190476193
shift234_minus_beta0,,binary,53,uend_linear,0.2134025696525697
shift234_minus_beta0,,binary,71,output_whole_count,0.1258928571428571
shift234_minus_beta0,,binary,71,hidden_whole_count_linear,0.1183531746031746
shift234_minus_beta0,,binary,71,uend_linear,0.13300449550449547
shift234_minus_beta0,,multi_h,11,output_whole_count,0.12050657675657678
shift234_minus_beta0,,multi_h,11,hidden_whole_count_linear,0.1984376734376734
shift234_minus_beta0,,multi_h,11,uend_linear,0.1800706238206238
shift234_minus_beta0,,multi_h,23,output_whole_count,0.11909271284271278
shift234_minus_beta0,,multi_h,23,hidden_whole_count_linear,0.1328081640581641
shift234_minus_beta0,,multi_h,23,uend_linear,0.11231962481962479
shift234_minus_beta0,,multi_h,37,output_whole_count,0.2132284382284382
shift234_minus_beta0,,multi_h,37,hidden_whole_count_linear,0.1507665945165945
shift234_minus_beta0,,multi_h,37,uend_linear,0.2096847596847597
shift234_minus_beta0,,multi_h,53,output_whole_count,0.18887987012987015
shift234_minus_beta0,,multi_h,53,hidden_whole_count_linear,0.19857781107781108
shift234_minus_beta0,,multi_h,53,uend_linear,0.17378524253524258
shift234_minus_beta0,,multi_h,71,output_whole_count,0.1351773226773226
shift234_minus_beta0,,multi_h,71,hidden_whole_count_linear,0.2004197191697192
shift234_minus_beta0,,multi_h,71,uend_linear,0.14302641802641805
shift234_minus_beta0,,multi_ho,11,output_whole_count,0.21854256854256843
shift234_minus_beta0,,multi_ho,11,hidden_whole_count_linear,0.1581668331668331
shift234_minus_beta0,,multi_ho,11,uend_linear,0.24185397935397934
shift234_minus_beta0,,multi_ho,23,output_whole_count,0.18503371628371623
shift234_minus_beta0,,multi_ho,23,hidden_whole_count_linear,0.2258789821289821
shift234_minus_beta0,,multi_ho,23,uend_linear,0.1268495393495394
shift234_minus_beta0,,multi_ho,37,output_whole_count,0.17102688977688973
shift234_minus_beta0,,multi_ho,37,hidden_whole_count_linear,0.16099178599178604
shift234_minus_beta0,,multi_ho,37,uend_linear,0.20739121989121984
shift234_minus_beta0,,multi_ho,53,output_whole_count,0.08605491730491738
shift234_minus_beta0,,multi_ho,53,hidden_whole_count_linear,0.1559766622266623
shift234_minus_beta0,,multi_ho,53,uend_linear,0.04014596514596519
shift234_minus_beta0,,multi_ho,71,output_whole_count,0.345121545121545
shift234_minus_beta0,,multi_ho,71,hidden_whole_count_linear,0.3015762015762016
shift234_minus_beta0,,multi_ho,71,uend_linear,0.2573780386280386
shift34_minus_shift4,,binary,11,output_whole_count,-0.06661741036741037
shift34_minus_shift4,,binary,11,hidden_whole_count_linear,-0.007580613830613925
shift34_minus_shift4,,binary,11,uend_linear,0.03073801198801196
shift34_minus_shift4,,binary,23,output_whole_count,0.0366522366522366
shift34_minus_shift4,,binary,23,hidden_whole_count_linear,0.07085345210345212
shift34_minus_shift4,,binary,23,uend_linear,0.09671023421023417
shift34_minus_shift4,,binary,37,output_whole_count,-0.04301531801531805
shift34_minus_shift4,,binary,37,hidden_whole_count_linear,0.008811327561327575
shift34_minus_shift4,,binary,37,uend_linear,-0.06345390720390726
shift34_minus_shift4,,binary,53,output_whole_count,0.06579600954600956
shift34_minus_shift4,,binary,53,hidden_whole_count_linear,0.02529553779553778
shift34_minus_shift4,,binary,53,uend_linear,-0.04011752136752139
shift34_minus_shift4,,binary,71,output_whole_count,0.06760045510045515
shift34_minus_shift4,,binary,71,hidden_whole_count_linear,0.01555389055389056
shift34_minus_shift4,,binary,71,uend_linear,-0.10233100233100229
shift34_minus_shift4,,multi_h,11,output_whole_count,0.09073218448218445
shift34_minus_shift4,,multi_h,11,hidden_whole_count_linear,0.04814768564768562
shift34_minus_shift4,,multi_h,11,uend_linear,-0.01033757908757904
shift34_minus_shift4,,multi_h,23,output_whole_count,0.03880286380286385
shift34_minus_shift4,,multi_h,23,hidden_whole_count_linear,0.021804584304584318
shift34_minus_shift4,,multi_h,23,uend_linear,-0.025171356421356372
shift34_minus_shift4,,multi_h,37,output_whole_count,-0.057491813741813724
shift34_minus_shift4,,multi_h,37,hidden_whole_count_linear,-0.02415639915639911
shift34_minus_shift4,,multi_h,37,uend_linear,-0.005978743478743498
shift34_minus_shift4,,multi_h,53,output_whole_count,0.0628225940725941
shift34_minus_shift4,,multi_h,53,hidden_whole_count_linear,0.013850732600732607
shift34_minus_shift4,,multi_h,53,uend_linear,0.10203615828615836
shift34_minus_shift4,,multi_h,71,output_whole_count,-0.027789571539571567
shift34_minus_shift4,,multi_h,71,hidden_whole_count_linear,-0.01369255744255743
shift34_minus_shift4,,multi_h,71,uend_linear,-0.05989288489288486
shift34_minus_shift4,,multi_ho,11,output_whole_count,0.07096930846930843
shift34_minus_shift4,,multi_ho,11,hidden_whole_count_linear,0.03487137862137851
shift34_minus_shift4,,multi_ho,11,uend_linear,0.05406954156954158
shift34_minus_shift4,,multi_ho,23,output_whole_count,-0.055841380841380905
shift34_minus_shift4,,multi_ho,23,hidden_whole_count_linear,0.04949980574980578
shift34_minus_shift4,,multi_ho,23,uend_linear,0.048554917304917344
shift34_minus_shift4,,multi_ho,37,output_whole_count,0.06847735597735594
shift34_minus_shift4,,multi_ho,37,hidden_whole_count_linear,-0.04196012321012316
shift34_minus_shift4,,multi_ho,37,uend_linear,0.052389971139971236
shift34_minus_shift4,,multi_ho,53,output_whole_count,-0.02658799533799533
shift34_minus_shift4,,multi_ho,53,hidden_whole_count_linear,0.02432567432567434
shift34_minus_shift4,,multi_ho,53,uend_linear,-0.024551837051836944
shift34_minus_shift4,,multi_ho,71,output_whole_count,0.04753787878787863
shift34_minus_shift4,,multi_ho,71,hidden_whole_count_linear,0.055946137196137224
shift34_minus_shift4,,multi_ho,71,uend_linear,0.07914654789654796
shift234_minus_shift34,,binary,11,output_whole_count,0.01931193806193804
shift234_minus_shift34,,binary,11,hidden_whole_count_linear,0.007810939060939104
shift234_minus_shift34,,binary,11,uend_linear,-0.10661768786768788
shift234_minus_shift34,,binary,23,output_whole_count,0.03781149406149409
shift234_minus_shift34,,binary,23,hidden_whole_count_linear,-0.0418879731379731
shift234_minus_shift34,,binary,23,uend_linear,-0.07965853590853594
shift234_minus_shift34,,binary,37,output_whole_count,0.02474816849816852
shift234_minus_shift34,,binary,37,hidden_whole_count_linear,-0.01404845154845158
shift234_minus_shift34,,binary,37,uend_linear,0.026688589188589185
shift234_minus_shift34,,binary,53,output_whole_count,-0.04698149073149077
shift234_minus_shift34,,binary,53,hidden_whole_count_linear,-0.021749084249084227
shift234_minus_shift34,,binary,53,uend_linear,0.018639693639693755
shift234_minus_shift34,,binary,71,output_whole_count,-0.12483835608835614
shift234_minus_shift34,,binary,71,hidden_whole_count_linear,-0.09358835608835603
shift234_minus_shift34,,binary,71,uend_linear,-0.03460567210567217
shift234_minus_shift34,,multi_h,11,output_whole_count,-0.09675185925185914
shift234_minus_shift34,,multi_h,11,hidden_whole_count_linear,-0.031717587967587946
shift234_minus_shift34,,multi_h,11,uend_linear,-0.0052426739926740296
shift234_minus_shift34,,multi_h,23,output_whole_count,-0.055891330891331026
shift234_minus_shift34,,multi_h,23,hidden_whole_count_linear,0.009553640803640795
shift234_minus_shift34,,multi_h,23,uend_linear,-0.04558566433566441
shift234_minus_shift34,,multi_h,37,output_whole_count,0.009390609390609372
shift234_minus_shift34,,multi_h,37,hidden_whole_count_linear,-0.00882520257520264
shift234_minus_shift34,,multi_h,37,uend_linear,-0.04603868353868351
shift234_minus_shift34,,multi_h,53,output_whole_count,-0.028673409923409887
shift234_minus_shift34,,multi_h,53,hidden_whole_count_linear,-0.01854048729048724
shift234_minus_shift34,,multi_h,53,uend_linear,-0.10024628149628151
shift234_minus_shift34,,multi_h,71,output_whole_count,-0.03154345654345658
shift234_minus_shift34,,multi_h,71,hidden_whole_count_linear,-0.023792180042179978
shift234_minus_shift34,,multi_h,71,uend_linear,-0.01632742257742259
shift234_minus_shift34,,multi_ho,11,output_whole_count,-0.004995004995005048
shift234_minus_shift34,,multi_ho,11,hidden_whole_count_linear,-0.059395465645465606
shift234_minus_shift34,,multi_ho,11,uend_linear,0.0033098845598845683
shift234_minus_shift34,,multi_ho,23,output_whole_count,0.05913739038739041
shift234_minus_shift34,,multi_ho,23,hidden_whole_count_linear,-0.02592060717060718
shift234_minus_shift34,,multi_ho,23,uend_linear,-0.024391580641580646
shift234_minus_shift34,,multi_ho,37,output_whole_count,0.0022068209568208985
shift234_minus_shift34,,multi_ho,37,hidden_whole_count_linear,-0.009106865356865279
shift234_minus_shift34,,multi_ho,37,uend_linear,-0.01241258741258755
shift234_minus_shift34,,multi_ho,53,output_whole_count,-0.09783757908757901
shift234_minus_shift34,,multi_ho,53,hidden_whole_count_linear,-0.04082653457653457
shift234_minus_shift34,,multi_ho,53,uend_linear,-0.18785034410034412
shift234_minus_shift34,,multi_ho,71,output_whole_count,0.005053973803973877
shift234_minus_shift34,,multi_ho,71,hidden_whole_count_linear,0.028676184926184956
shift234_minus_shift34,,multi_ho,71,uend_linear,0.04371392496392501
multi_h_minus_binary,beta0,,11,output_whole_count,0.021530552780552825
multi_ho_minus_binary,beta0,,11,output_whole_count,0.10237956487956495
multi_h_minus_binary,beta0,,11,hidden_whole_count_linear,-0.007199050949050934
multi_ho_minus_binary,beta0,,11,hidden_whole_count_linear,0.1370837495837496
multi_h_minus_binary,beta0,,11,uend_linear,0.0366390553890554
multi_ho_minus_binary,beta0,,11,uend_linear,0.12282509157509158
multi_h_minus_binary,beta0,,23,output_whole_count,0.009271284271284291
multi_ho_minus_binary,beta0,,23,output_whole_count,0.08937867687867687
multi_h_minus_binary,beta0,,23,hidden_whole_count_linear,7.2150072150029e-05
multi_ho_minus_binary,beta0,,23,hidden_whole_count_linear,0.025172050172050126
multi_h_minus_binary,beta0,,23,uend_linear,-0.0045405982905982745
multi_ho_minus_binary,beta0,,23,uend_linear,0.1862401487401487
multi_h_minus_binary,beta0,,37,output_whole_count,0.000149156399156386
multi_ho_minus_binary,beta0,,37,output_whole_count,0.15975482850482847
multi_h_minus_binary,beta0,,37,hidden_whole_count_linear,0.0250478687978688
multi_ho_minus_binary,beta0,,37,hidden_whole_count_linear,0.09399211899211898
multi_h_minus_binary,beta0,,37,uend_linear,-0.03306693306693309
multi_ho_minus_binary,beta0,,37,uend_linear,0.13535422910422906
multi_h_minus_binary,beta0,,53,output_whole_count,-0.07798312798312793
multi_ho_minus_binary,beta0,,53,output_whole_count,0.06469433344433345
multi_h_minus_binary,beta0,,53,hidden_whole_count_linear,-0.055526418026418
multi_ho_minus_binary,beta0,,53,hidden_whole_count_linear,0.07900294150294146
multi_h_minus_binary,beta0,,53,uend_linear,0.05344516594516591
multi_ho_minus_binary,beta0,,53,uend_linear,0.14046370296370292
multi_h_minus_binary,beta0,,71,output_whole_count,-0.010193278943278927
multi_ho_minus_binary,beta0,,71,output_whole_count,0.021989815739815732
multi_h_minus_binary,beta0,,71,hidden_whole_count_linear,-0.06535270285270289
multi_ho_minus_binary,beta0,,71,hidden_whole_count_linear,-0.0021353646353646505
multi_h_minus_binary,beta0,,71,uend_linear,-0.03514818514818513
multi_ho_minus_binary,beta0,,71,uend_linear,0.09461163836163841
multi_h_minus_binary,shift4,,11,output_whole_count,-0.06158286158286164
multi_ho_minus_binary,shift4,,11,output_whole_count,0.04530816405816407
multi_h_minus_binary,shift4,,11,hidden_whole_count_linear,-0.03198121323121328
multi_ho_minus_binary,shift4,,11,hidden_whole_count_linear,0.11298493173493174
multi_h_minus_binary,shift4,,11,uend_linear,0.03616730491730491
multi_ho_minus_binary,shift4,,11,uend_linear,0.11117701742701741
multi_h_minus_binary,shift4,,23,output_whole_count,0.02613844488844491
multi_ho_minus_binary,shift4,,23,output_whole_count,0.15180236430236427
multi_h_minus_binary,shift4,,23,hidden_whole_count_linear,0.011580086580086635
multi_ho_minus_binary,shift4,,23,hidden_whole_count_linear,0.13752983127983126
multi_h_minus_binary,shift4,,23,uend_linear,0.03650793650793649
multi_ho_minus_binary,shift4,,23,uend_linear,0.14689824064824059
multi_h_minus_binary,shift4,,37,output_whole_count,0.033878621378621354
multi_ho_minus_binary,shift4,,37,output_whole_count,0.03249736374736378
multi_h_minus_binary,shift4,,37,hidden_whole_count_linear,0.05315448440448445
multi_ho_minus_binary,shift4,,37,hidden_whole_count_linear,0.15040931290931286
multi_h_minus_binary,shift4,,37,uend_linear,0.08276931401931398
multi_ho_minus_binary,shift4,,37,uend_linear,0.15690212565212558
multi_h_minus_binary,shift4,,53,output_whole_count,0.005257936507936489
multi_ho_minus_binary,shift4,,53,output_whole_count,0.20368520368520365
multi_h_minus_binary,shift4,,53,hidden_whole_count_linear,0.03313283938283934
multi_ho_minus_binary,shift4,,53,hidden_whole_count_linear,0.1368721556221556
multi_h_minus_binary,shift4,,53,uend_linear,-0.009439865689865712
multi_ho_minus_binary,shift4,,53,uend_linear,0.15813145188145183
multi_h_minus_binary,shift4,,71,output_whole_count,0.0011863136863137225
multi_ho_minus_binary,shift4,,71,output_whole_count,0.13138875013875018
multi_h_minus_binary,shift4,,71,hidden_whole_count_linear,-0.023835886335886347
multi_ho_minus_binary,shift4,,71,hidden_whole_count_linear,0.018430874680874676
multi_h_minus_binary,shift4,,71,uend_linear,-0.08584262959262956
multi_ho_minus_binary,shift4,,71,uend_linear,-0.04081196581196589
multi_h_minus_binary,shift34,,11,output_whole_count,0.09576673326673318
multi_ho_minus_binary,shift34,,11,output_whole_count,0.18289488289488287
multi_h_minus_binary,shift34,,11,hidden_whole_count_linear,0.02374708624708627
multi_ho_minus_binary,shift34,,11,hidden_whole_count_linear,0.15543692418692417
multi_h_minus_binary,shift34,,11,uend_linear,-0.00490828615828609
multi_ho_minus_binary,shift34,,11,uend_linear,0.13450854700854703
multi_h_minus_binary,shift34,,23,output_whole_count,0.02828907203907216
multi_ho_minus_binary,shift34,,23,output_whole_count,0.05930874680874676
multi_h_minus_binary,shift34,,23,hidden_whole_count_linear,-0.037468781218781166
multi_ho_minus_binary,shift34,,23,hidden_whole_count_linear,0.11617618492618492
multi_h_minus_binary,shift34,,23,uend_linear,-0.08537365412365405
multi_ho_minus_binary,shift34,,23,uend_linear,0.09874292374292376
multi_h_minus_binary,shift34,,37,output_whole_count,0.01940212565212568
multi_ho_minus_binary,shift34,,37,output_whole_count,0.14399003774003777
multi_h_minus_binary,shift34,,37,hidden_whole_count_linear,0.02018675768675776
multi_ho_minus_binary,shift34,,37,hidden_whole_count_linear,0.09963786213786213
multi_h_minus_binary,shift34,,37,uend_linear,0.14024447774447774
multi_ho_minus_binary,shift34,,37,uend_linear,0.27274600399600407
multi_h_minus_binary,shift34,,53,output_whole_count,0.0022845210345210365
multi_ho_minus_binary,shift34,,53,output_whole_count,0.11130119880119876
multi_h_minus_binary,shift34,,53,hidden_whole_count_linear,0.021688034188034166
multi_ho_minus_binary,shift34,,53,hidden_whole_count_linear,0.13590229215229216
multi_h_minus_binary,shift34,,53,uend_linear,0.13271381396381404
multi_ho_minus_binary,shift34,,53,uend_linear,0.17369713619713628
multi_h_minus_binary,shift34,,71,output_whole_count,-0.09420371295371299
multi_ho_minus_binary,shift34,,71,output_whole_count,0.11132617382617366
multi_h_minus_binary,shift34,,71,hidden_whole_count_linear,-0.053082334332334336
multi_ho_minus_binary,shift34,,71,hidden_whole_count_linear,0.05882312132312134
multi_h_minus_binary,shift34,,71,uend_linear,-0.04340451215451213
multi_ho_minus_binary,shift34,,71,uend_linear,0.14066558441558435
multi_h_minus_binary,shift234,,11,output_whole_count,-0.020297064047063995
multi_ho_minus_binary,shift234,,11,output_whole_count,0.15858793983793978
multi_h_minus_binary,shift234,,11,hidden_whole_count_linear,-0.01578144078144078
multi_ho_minus_binary,shift234,,11,hidden_whole_count_linear,0.08823051948051946
multi_h_minus_binary,shift234,,11,uend_linear,0.09646672771672776
multi_ho_minus_binary,shift234,,11,uend_linear,0.24443611943611948
multi_h_minus_binary,shift234,,23,output_whole_count,-0.06541375291375295
multi_ho_minus_binary,shift234,,23,output_whole_count,0.08063464313464308
multi_h_minus_binary,shift234,,23,hidden_whole_count_linear,0.013972832722832729
multi_ho_minus_binary,shift234,,23,hidden_whole_count_linear,0.13214355089355084
multi_h_minus_binary,shift234,,23,uend_linear,-0.05130078255078252
multi_ho_minus_binary,shift234,,23,uend_linear,0.15400987900987906
multi_h_minus_binary,shift234,,37,output_whole_count,0.00404456654456653
multi_ho_minus_binary,shift234,,37,output_whole_count,0.12144869019869015
multi_h_minus_binary,shift234,,37,hidden_whole_count_linear,0.0254100066600067
multi_ho_minus_binary,shift234,,37,hidden_whole_count_linear,0.10457944832944843
multi_h_minus_binary,shift234,,37,uend_linear,0.06751720501720504
multi_ho_minus_binary,shift234,,37,uend_linear,0.23364482739482734
multi_h_minus_binary,shift234,,53,output_whole_count,0.02059260184260192
multi_ho_minus_binary,shift234,,53,output_whole_count,0.06044511044511053
multi_h_minus_binary,shift234,,53,hidden_whole_count_linear,0.024896631146631154
multi_ho_minus_binary,shift234,,53,hidden_whole_count_linear,0.11682484182484182
multi_h_minus_binary,shift234,,53,uend_linear,0.013827838827838779
multi_ho_minus_binary,shift234,,53,uend_linear,-0.0327929015429016
multi_h_minus_binary,shift234,,71,output_whole_count,-0.0009088134088134359
multi_ho_minus_binary,shift234,,71,output_whole_count,0.24121850371850367
multi_h_minus_binary,shift234,,71,hidden_whole_count_linear,0.016713841713841715
multi_ho_minus_binary,shift234,,71,hidden_whole_count_linear,0.18108766233766233
multi_h_minus_binary,shift234,,71,uend_linear,-0.025126262626262552
multi_ho_minus_binary,shift234,,71,uend_linear,0.21898518148518153
