objective,candidate_variant,baseline_variant,readout,mean,std,count
whole_count_ce,multi_h,binary,l2_whole_count_linear,0.0021757409257409654,0.02984317386235387,5
whole_count_ce,multi_h,binary,output_whole_count,-0.02471916971916973,0.022769277465294623,5
whole_count_ce,multi_ho,binary,l1_whole_count_linear,0.055546675546675486,0.049097980561648595,5
whole_count_ce,multi_ho,binary,l2_fixed250_ordered_linear,0.02120962370962374,0.04089097620765541,5
whole_count_ce,multi_ho,binary,l2_relative10_ordered_linear,0.030535853035853065,0.04997792478006197,5
whole_count_ce,multi_ho,binary,l2_uend_linear,-0.1410858585858586,0.03057998689265891,5
whole_count_ce,multi_ho,binary,l2_whole_count_linear,0.041722721722721734,0.02755130109593173,5
whole_count_ce,multi_ho,binary,output_whole_count,0.007142302142302104,0.06477134762437066,5
whole_count_ce,multi_ho,multi_h,l1_whole_count_linear,0.07069846819846813,0.04603024110649958,5
whole_count_ce,multi_ho,multi_h,l2_fixed250_ordered_linear,0.05486457986457988,0.03804549056897026,5
whole_count_ce,multi_ho,multi_h,l2_relative10_ordered_linear,0.06138333888333891,0.04315372372148962,5
whole_count_ce,multi_ho,multi_h,l2_uend_linear,-0.03054514929514931,0.05356259583632988,5
whole_count_ce,multi_ho,multi_h,l2_whole_count_linear,0.03954698079698077,0.04187115869386729,5
whole_count_ce,multi_ho,multi_h,output_whole_count,0.031861471861471834,0.0471714666239731,5
