objective,candidate_variant,baseline_variant,seed,readout,delta_ba
whole_count_ce,multi_ho,binary,11,l2_fixed250_ordered_linear,0.01583485958485964
whole_count_ce,multi_ho,binary,11,l2_relative10_ordered_linear,-0.01431068931068924
whole_count_ce,multi_ho,binary,11,l2_uend_linear,-0.16084332334332332
whole_count_ce,multi_ho,binary,23,output_whole_count,0.06838994338994331
whole_count_ce,multi_ho,binary,23,l1_whole_count_linear,0.03550685425685429
whole_count_ce,multi_ho,binary,23,l2_whole_count_linear,0.06260128760128758
whole_count_ce,multi_ho,binary,23,l2_fixed250_ordered_linear,0.04415861915861918
whole_count_ce,multi_ho,binary,23,l2_relative10_ordered_linear,-0.00847971472971476
whole_count_ce,multi_ho,binary,23,l2_uend_linear,-0.1517794705294705
whole_count_ce,multi_ho,binary,37,output_whole_count,-0.10098790098790106
whole_count_ce,multi_ho,binary,37,l1_whole_count_linear,0.0007194194694193357
whole_count_ce,multi_ho,binary,37,l2_whole_count_linear,0.01061716061716067
whole_count_ce,multi_ho,binary,37,l2_fixed250_ordered_linear,0.02030261405261402
whole_count_ce,multi_ho,binary,37,l2_relative10_ordered_linear,0.020779220779220786
whole_count_ce,multi_ho,binary,37,l2_uend_linear,-0.14191294816294822
whole_count_ce,multi_ho,binary,53,output_whole_count,0.03037795537795529
whole_count_ce,multi_ho,binary,53,l1_whole_count_linear,0.03080391830391821
whole_count_ce,multi_ho,binary,53,l2_whole_count_linear,0.04116439116439108
whole_count_ce,multi_ho,binary,53,l2_fixed250_ordered_linear,-0.041864385614385546
whole_count_ce,multi_ho,binary,53,l2_relative10_ordered_linear,0.04587842712842716
whole_count_ce,multi_ho,binary,53,l2_uend_linear,-0.08839285714285716
whole_count_ce,multi_ho,binary,71,output_whole_count,0.0350656288156288
whole_count_ce,multi_ho,binary,71,l1_whole_count_linear,0.08716422466422469
whole_count_ce,multi_ho,binary,71,l2_whole_count_linear,0.07517205017205031
whole_count_ce,multi_ho,binary,71,l2_fixed250_ordered_linear,0.06761641136641139
whole_count_ce,multi_ho,binary,71,l2_relative10_ordered_linear,0.10881202131202139
whole_count_ce,multi_ho,binary,71,l2_uend_linear,-0.16250069375069381
whole_count_ce,multi_ho,multi_h,11,output_whole_count,0.030916305916305897
whole_count_ce,multi_ho,multi_h,11,l1_whole_count_linear,0.12339674214674207
whole_count_ce,multi_ho,multi_h,11,l2_whole_count_linear,0.046588827838827784
whole_count_ce,multi_ho,multi_h,11,l2_fixed250_ordered_linear,0.061109029859029884
whole_count_ce,multi_ho,multi_h,11,l2_relative10_ordered_linear,0.0840125152625153
whole_count_ce,multi_ho,multi_h,11,l2_uend_linear,-0.10907079032079034
whole_count_ce,multi_ho,multi_h,23,output_whole_count,0.057894189144189034
whole_count_ce,multi_ho,multi_h,23,l1_whole_count_linear,0.04071484071484066
whole_count_ce,multi_ho,multi_h,23,l2_whole_count_linear,0.09470390720390715
whole_count_ce,multi_ho,multi_h,23,l2_fixed250_ordered_linear,0.11144133644133641
whole_count_ce,multi_ho,multi_h,23,l2_relative10_ordered_linear,0.0022574647574648
whole_count_ce,multi_ho,multi_h,23,l2_uend_linear,0.005441086691086672
whole_count_ce,multi_ho,multi_h,37,output_whole_count,-0.04941586191586189
whole_count_ce,multi_ho,multi_h,37,l1_whole_count_linear,0.020995670995670956
whole_count_ce,multi_ho,multi_h,37,l2_whole_count_linear,-0.011244311244311245
whole_count_ce,multi_ho,multi_h,37,l2_fixed250_ordered_linear,0.018316405816405812
whole_count_ce,multi_ho,multi_h,37,l2_relative10_ordered_linear,0.02886211011211015
whole_count_ce,multi_ho,multi_h,37,l2_uend_linear,-0.06393675768675769
whole_count_ce,multi_ho,multi_h,53,output_whole_count,0.06427738927738924
whole_count_ce,multi_ho,multi_h,53,l1_whole_count_linear,0.05285200910200899
whole_count_ce,multi_ho,multi_h,53,l2_whole_count_linear,0.008583777333777243
whole_count_ce,multi_ho,multi_h,53,l2_fixed250_ordered_linear,0.02088328338328338
whole_count_ce,multi_ho,multi_h,53,l2_relative10_ordered_linear,0.09498140748140749
whole_count_ce,multi_ho,multi_h,53,l2_uend_linear,0.004525335775335759
whole_count_ce,multi_ho,multi_h,71,output_whole_count,0.055635336885336895
whole_count_ce,multi_ho,multi_h,71,l1_whole_count_linear,0.115533078033078
whole_count_ce,multi_ho,multi_h,71,l2_whole_count_linear,0.059102702852702915
whole_count_ce,multi_ho,multi_h,71,l2_fixed250_ordered_linear,0.0625728438228439
whole_count_ce,multi_ho,multi_h,71,l2_relative10_ordered_linear,0.09680319680319682
whole_count_ce,multi_ho,multi_h,71,l2_uend_linear,0.010315379065379049
timestep_ce,multi_h,binary,11,output_whole_count,0.013419913419913443
timestep_ce,multi_h,binary,11,l1_whole_count_linear,0.0026424963924964184
timestep_ce,multi_h,binary,11,l2_whole_count_linear,-0.0074404761904762196
timestep_ce,multi_h,binary,11,l2_fixed250_ordered_linear,0.02557026307026311
timestep_ce,multi_h,binary,11,l2_relative10_ordered_linear,0.001988289488289552
timestep_ce,multi_h,binary,11,l2_uend_linear,-0.08423798423798418
timestep_ce,multi_h,binary,23,output_whole_count,-0.04640151515151514
timestep_ce,multi_h,binary,23,l1_whole_count_linear,-0.07148962148962146
timestep_ce,multi_h,binary,23,l2_whole_count_linear,0.0021055333555333178
timestep_ce,multi_h,binary,23,l2_fixed250_ordered_linear,0.00634226884226885
timestep_ce,multi_h,binary,23,l2_relative10_ordered_linear,-0.061014679764679725
timestep_ce,multi_h,binary,23,l2_uend_linear,-0.038230519480519476
timestep_ce,multi_h,binary,37,output_whole_count,0.012362637362637319
timestep_ce,multi_h,binary,37,l1_whole_count_linear,0.025888000888000917
timestep_ce,multi_h,binary,37,l2_whole_count_linear,0.06247086247086242
timestep_ce,multi_h,binary,37,l2_fixed250_ordered_linear,0.04577922077922081
timestep_ce,multi_h,binary,37,l2_relative10_ordered_linear,0.0693320568320569
timestep_ce,multi_h,binary,37,l2_uend_linear,-0.07397394272394278
timestep_ce,multi_h,binary,53,output_whole_count,0.00255439005439001
timestep_ce,multi_h,binary,53,l1_whole_count_linear,0.04361194361194354
timestep_ce,multi_h,binary,53,l2_whole_count_linear,0.008648296148296153
timestep_ce,multi_h,binary,53,l2_fixed250_ordered_linear,-0.019232156732156724
timestep_ce,multi_h,binary,53,l2_relative10_ordered_linear,0.07129814629814629
timestep_ce,multi_h,binary,53,l2_uend_linear,-0.0636252636252636
timestep_ce,multi_h,binary,71,output_whole_count,-0.04765651015651018
timestep_ce,multi_h,binary,71,l1_whole_count_linear,-0.025937257187257146
timestep_ce,multi_h,binary,71,l2_whole_count_linear,-0.010481879231879265
timestep_ce,multi_h,binary,71,l2_fixed250_ordered_linear,-0.011783355533355522
timestep_ce,multi_h,binary,71,l2_relative10_ordered_linear,-0.015541403041403057
timestep_ce,multi_h,binary,71,l2_uend_linear,-0.11169039294039299
timestep_ce,multi_ho,binary,11,output_whole_count,0.17289724164724163
timestep_ce,multi_ho,binary,11,l1_whole_count_linear,0.10118423243423236
timestep_ce,multi_ho,binary,11,l2_whole_count_linear,0.11282051282051281
timestep_ce,multi_ho,binary,11,l2_fixed250_ordered_linear,0.10441711066711062
timestep_ce,multi_ho,binary,11,l2_relative10_ordered_linear,0.13566502941502945
timestep_ce,multi_ho,binary,11,l2_uend_linear,-0.0916514041514041
timestep_ce,multi_ho,binary,23,output_whole_count,0.11813949938949925
timestep_ce,multi_ho,binary,23,l1_whole_count_linear,0.07607392607392605
timestep_ce,multi_ho,binary,23,l2_whole_count_linear,0.13226079476079466
timestep_ce,multi_ho,binary,23,l2_fixed250_ordered_linear,0.17320110445110443
timestep_ce,multi_ho,binary,23,l2_relative10_ordered_linear,0.16356490731490742
timestep_ce,multi_ho,binary,23,l2_uend_linear,-0.1246642246642247
timestep_ce,multi_ho,binary,37,output_whole_count,0.18225663225663213
timestep_ce,multi_ho,binary,37,l1_whole_count_linear,0.13634698634698633
timestep_ce,multi_ho,binary,37,l2_whole_count_linear,0.22442626817626826
timestep_ce,multi_ho,binary,37,l2_fixed250_ordered_linear,0.2522491397491397
timestep_ce,multi_ho,binary,37,l2_relative10_ordered_linear,0.2196657509157509
timestep_ce,multi_ho,binary,37,l2_uend_linear,-0.07688006438006442
timestep_ce,multi_ho,binary,53,output_whole_count,0.16136641136641128
timestep_ce,multi_ho,binary,53,l1_whole_count_linear,0.1914009601509601
timestep_ce,multi_ho,binary,53,l2_whole_count_linear,0.18801892551892557
timestep_ce,multi_ho,binary,53,l2_fixed250_ordered_linear,0.18174256299256297
timestep_ce,multi_ho,binary,53,l2_relative10_ordered_linear,0.2665792540792541
timestep_ce,multi_ho,binary,53,l2_uend_linear,-0.10296925296925294
timestep_ce,multi_ho,binary,71,output_whole_count,0.1326805139305139
timestep_ce,multi_ho,binary,71,l1_whole_count_linear,0.09484681984681981
timestep_ce,multi_ho,binary,71,l2_whole_count_linear,0.20189740814740814
timestep_ce,multi_ho,binary,71,l2_fixed250_ordered_linear,0.12983474858474858
timestep_ce,multi_ho,binary,71,l2_relative10_ordered_linear,0.17514985014985018
timestep_ce,multi_ho,binary,71,l2_uend_linear,-0.11767468642468651
timestep_ce,multi_ho,multi_h,11,output_whole_count,0.15947732822732819
timestep_ce,multi_ho,multi_h,11,l1_whole_count_linear,0.09854173604173594
timestep_ce,multi_ho,multi_h,11,l2_whole_count_linear,0.12026098901098903
timestep_ce,multi_ho,multi_h,11,l2_fixed250_ordered_linear,0.07884684759684751
timestep_ce,multi_ho,multi_h,11,l2_relative10_ordered_linear,0.1336767399267399
timestep_ce,multi_ho,multi_h,11,l2_uend_linear,-0.0074134199134199275
timestep_ce,multi_ho,multi_h,23,output_whole_count,0.16454101454101439
timestep_ce,multi_ho,multi_h,23,l1_whole_count_linear,0.1475635475635475
timestep_ce,multi_ho,multi_h,23,l2_whole_count_linear,0.13015526140526135
timestep_ce,multi_ho,multi_h,23,l2_fixed250_ordered_linear,0.16685883560883558
timestep_ce,multi_ho,multi_h,23,l2_relative10_ordered_linear,0.22457958707958714
timestep_ce,multi_ho,multi_h,23,l2_uend_linear,-0.08643370518370522
timestep_ce,multi_ho,multi_h,37,output_whole_count,0.16989399489399482
timestep_ce,multi_ho,multi_h,37,l1_whole_count_linear,0.11045898545898541
timestep_ce,multi_ho,multi_h,37,l2_whole_count_linear,0.16195540570540584
timestep_ce,multi_ho,multi_h,37,l2_fixed250_ordered_linear,0.2064699189699189
timestep_ce,multi_ho,multi_h,37,l2_relative10_ordered_linear,0.150333694083694
timestep_ce,multi_ho,multi_h,37,l2_uend_linear,-0.0029061216561216408
timestep_ce,multi_ho,multi_h,53,output_whole_count,0.15881202131202127
timestep_ce,multi_ho,multi_h,53,l1_whole_count_linear,0.14778901653901655
timestep_ce,multi_ho,multi_h,53,l2_whole_count_linear,0.17937062937062942
timestep_ce,multi_ho,multi_h,53,l2_fixed250_ordered_linear,0.2009747197247197
timestep_ce,multi_ho,multi_h,53,l2_relative10_ordered_linear,0.1952811077811078
timestep_ce,multi_ho,multi_h,53,l2_uend_linear,-0.03934398934398933
timestep_ce,multi_ho,multi_h,71,output_whole_count,0.18033702408702407
timestep_ce,multi_ho,multi_h,71,l1_whole_count_linear,0.12078407703407695
timestep_ce,multi_ho,multi_h,71,l2_whole_count_linear,0.2123792873792874
timestep_ce,multi_ho,multi_h,71,l2_fixed250_ordered_linear,0.1416181041181041
timestep_ce,multi_ho,multi_h,71,l2_relative10_ordered_linear,0.19069125319125324
timestep_ce,multi_ho,multi_h,71,l2_uend_linear,-0.005984293484293524
fixed250_bin_ce,multi_h,binary,11,output_whole_count,-0.05807595182595182
fixed250_bin_ce,multi_h,binary,11,l1_whole_count_linear,-0.005059523809523847
fixed250_bin_ce,multi_h,binary,11,l2_whole_count_linear,-0.05339382839382839
fixed250_bin_ce,multi_h,binary,11,l2_fixed250_ordered_linear,-0.013503857253857221
fixed250_bin_ce,multi_h,binary,11,l2_relative10_ordered_linear,0.05009435009435015
fixed250_bin_ce,multi_h,binary,11,l2_uend_linear,-0.08173007548007549
fixed250_bin_ce,multi_h,binary,23,output_whole_count,-0.03627553002553008
fixed250_bin_ce,multi_h,binary,23,l1_whole_count_linear,-0.049284743034743006
fixed250_bin_ce,multi_h,binary,23,l2_whole_count_linear,0.041928210678210676
fixed250_bin_ce,multi_h,binary,23,l2_fixed250_ordered_linear,-0.03420190920190924
fixed250_bin_ce,multi_h,binary,23,l2_relative10_ordered_linear,0.003158646908646978
fixed250_bin_ce,multi_h,binary,23,l2_uend_linear,-0.08392857142857141
fixed250_bin_ce,multi_h,binary,37,output_whole_count,-0.01056790431790433
fixed250_bin_ce,multi_h,binary,37,l1_whole_count_linear,-0.06486568986568991
fixed250_bin_ce,multi_h,binary,37,l2_whole_count_linear,-0.019515207015207092
fixed250_bin_ce,multi_h,binary,37,l2_fixed250_ordered_linear,0.03479159729159731
fixed250_bin_ce,multi_h,binary,37,l2_relative10_ordered_linear,-0.023882367632367618
fixed250_bin_ce,multi_h,binary,37,l2_uend_linear,-0.08104811854811855
fixed250_bin_ce,multi_h,binary,53,output_whole_count,-0.018743062493062457
fixed250_bin_ce,multi_h,binary,53,l1_whole_count_linear,-0.10876623376623379
fixed250_bin_ce,multi_h,binary,53,l2_whole_count_linear,0.03807928182928183
fixed250_bin_ce,multi_h,binary,53,l2_fixed250_ordered_linear,0.011050061050061066
fixed250_bin_ce,multi_h,binary,53,l2_relative10_ordered_linear,-0.02204670329670333
fixed250_bin_ce,multi_h,binary,53,l2_uend_linear,-0.1001269563769564
fixed250_bin_ce,multi_h,binary,71,output_whole_count,0.021989815739815732
fixed250_bin_ce,multi_h,binary,71,l1_whole_count_linear,-0.0704684204684205
fixed250_bin_ce,multi_h,binary,71,l2_whole_count_linear,-0.04433413808413811
fixed250_bin_ce,multi_h,binary,71,l2_fixed250_ordered_linear,-0.07049547674547668
fixed250_bin_ce,multi_h,binary,71,l2_relative10_ordered_linear,-0.019218975468975552
fixed250_bin_ce,multi_h,binary,71,l2_uend_linear,-0.13253482628482616
fixed250_bin_ce,multi_ho,binary,11,output_whole_count,0.02383449883449895
fixed250_bin_ce,multi_ho,binary,11,l1_whole_count_linear,0.0856761294261294
fixed250_bin_ce,multi_ho,binary,11,l2_whole_count_linear,0.06366550116550118
fixed250_bin_ce,multi_ho,binary,11,l2_fixed250_ordered_linear,0.08696789321789333
fixed250_bin_ce,multi_ho,binary,11,l2_relative10_ordered_linear,0.06885822510822515
fixed250_bin_ce,multi_ho,binary,11,l2_uend_linear,-0.23244325119325118
fixed250_bin_ce,multi_ho,binary,23,output_whole_count,0.0439484126984126
fixed250_bin_ce,multi_ho,binary,23,l1_whole_count_linear,-0.04091117216117224
fixed250_bin_ce,multi_ho,binary,23,l2_whole_count_linear,0.034169996669996705
fixed250_bin_ce,multi_ho,binary,23,l2_fixed250_ordered_linear,0.0024038461538461453
fixed250_bin_ce,multi_ho,binary,23,l2_relative10_ordered_linear,0.037698412698412787
fixed250_bin_ce,multi_ho,binary,23,l2_uend_linear,-0.16600413475413472
fixed250_bin_ce,multi_ho,binary,37,output_whole_count,0.03607989232989228
fixed250_bin_ce,multi_ho,binary,37,l1_whole_count_linear,0.0642794705294703
fixed250_bin_ce,multi_ho,binary,37,l2_whole_count_linear,0.06726190476190469
fixed250_bin_ce,multi_ho,binary,37,l2_fixed250_ordered_linear,0.15047591297591295
fixed250_bin_ce,multi_ho,binary,37,l2_relative10_ordered_linear,0.074003774003774
fixed250_bin_ce,multi_ho,binary,37,l2_uend_linear,-0.07012570762570758
fixed250_bin_ce,multi_ho,binary,53,output_whole_count,0.04633422133422138
fixed250_bin_ce,multi_ho,binary,53,l1_whole_count_linear,0.022208347208347246
fixed250_bin_ce,multi_ho,binary,53,l2_whole_count_linear,0.12689185814185805
fixed250_bin_ce,multi_ho,binary,53,l2_fixed250_ordered_linear,0.035119047619047605
fixed250_bin_ce,multi_ho,binary,53,l2_relative10_ordered_linear,0.02703338328338345
fixed250_bin_ce,multi_ho,binary,53,l2_uend_linear,-0.14443820068820065
fixed250_bin_ce,multi_ho,binary,71,output_whole_count,0.07886766011766011
fixed250_bin_ce,multi_ho,binary,71,l1_whole_count_linear,-0.014605533355533384
fixed250_bin_ce,multi_ho,binary,71,l2_whole_count_linear,-0.0038822288822288886
fixed250_bin_ce,multi_ho,binary,71,l2_fixed250_ordered_linear,0.020748001998002197
fixed250_bin_ce,multi_ho,binary,71,l2_relative10_ordered_linear,0.059632728382728484
fixed250_bin_ce,multi_ho,binary,71,l2_uend_linear,-0.23265970140970132
fixed250_bin_ce,multi_ho,multi_h,11,output_whole_count,0.08191045066045077
fixed250_bin_ce,multi_ho,multi_h,11,l1_whole_count_linear,0.09073565323565325
fixed250_bin_ce,multi_ho,multi_h,11,l2_whole_count_linear,0.11705932955932957
fixed250_bin_ce,multi_ho,multi_h,11,l2_fixed250_ordered_linear,0.10047175047175055
fixed250_bin_ce,multi_ho,multi_h,11,l2_relative10_ordered_linear,0.018763875013874998
fixed250_bin_ce,multi_ho,multi_h,11,l2_uend_linear,-0.1507131757131757
fixed250_bin_ce,multi_ho,multi_h,23,output_whole_count,0.08022394272394268
fixed250_bin_ce,multi_ho,multi_h,23,l1_whole_count_linear,0.008373570873570768
fixed250_bin_ce,multi_ho,multi_h,23,l2_whole_count_linear,-0.0077582140082139706
fixed250_bin_ce,multi_ho,multi_h,23,l2_fixed250_ordered_linear,0.03660575535575539
fixed250_bin_ce,multi_ho,multi_h,23,l2_relative10_ordered_linear,0.03453976578976581
fixed250_bin_ce,multi_ho,multi_h,23,l2_uend_linear,-0.08207556332556332
fixed250_bin_ce,multi_ho,multi_h,37,output_whole_count,0.04664779664779661
fixed250_bin_ce,multi_ho,multi_h,37,l1_whole_count_linear,0.12914516039516022
fixed250_bin_ce,multi_ho,multi_h,37,l2_whole_count_linear,0.08677711177711178
fixed250_bin_ce,multi_ho,multi_h,37,l2_fixed250_ordered_linear,0.11568431568431564
fixed250_bin_ce,multi_ho,multi_h,37,l2_relative10_ordered_linear,0.09788614163614162
fixed250_bin_ce,multi_ho,multi_h,37,l2_uend_linear,0.010922410922410974
fixed250_bin_ce,multi_ho,multi_h,53,output_whole_count,0.06507728382728384
fixed250_bin_ce,multi_ho,multi_h,53,l1_whole_count_linear,0.13097458097458103
fixed250_bin_ce,multi_ho,multi_h,53,l2_whole_count_linear,0.08881257631257622
fixed250_bin_ce,multi_ho,multi_h,53,l2_fixed250_ordered_linear,0.02406898656898654
fixed250_bin_ce,multi_ho,multi_h,53,l2_relative10_ordered_linear,0.04908008658008678
fixed250_bin_ce,multi_ho,multi_h,53,l2_uend_linear,-0.04431124431124425
fixed250_bin_ce,multi_ho,multi_h,71,output_whole_count,0.05687784437784438
fixed250_bin_ce,multi_ho,multi_h,71,l1_whole_count_linear,0.055862887112887116
fixed250_bin_ce,multi_ho,multi_h,71,l2_whole_count_linear,0.04045190920190922
fixed250_bin_ce,multi_ho,multi_h,71,l2_fixed250_ordered_linear,0.09124347874347888
fixed250_bin_ce,multi_ho,multi_h,71,l2_relative10_ordered_linear,0.07885170385170404
fixed250_bin_ce,multi_ho,multi_h,71,l2_uend_linear,-0.10012487512487517
fixed500_bin_ce,multi_h,binary,11,output_whole_count,0.049229242979243026
fixed500_bin_ce,multi_h,binary,11,l1_whole_count_linear,-0.006132756132756101
fixed500_bin_ce,multi_h,binary,11,l2_whole_count_linear,-0.0031746031746031633
fixed500_bin_ce,multi_h,binary,11,l2_fixed250_ordered_linear,-0.06746031746031739
fixed500_bin_ce,multi_h,binary,11,l2_relative10_ordered_linear,-0.022907647907647877
fixed500_bin_ce,multi_h,binary,11,l2_uend_linear,-0.08458000333000332
fixed500_bin_ce,multi_h,binary,23,output_whole_count,-0.11282745032745034
fixed500_bin_ce,multi_h,binary,23,l1_whole_count_linear,-0.05198135198135195
fixed500_bin_ce,multi_h,binary,23,l2_whole_count_linear,-0.1563179875679876
fixed500_bin_ce,multi_h,binary,23,l2_fixed250_ordered_linear,-0.029964479964479984
fixed500_bin_ce,multi_h,binary,23,l2_relative10_ordered_linear,-0.04268578643578658
fixed500_bin_ce,multi_h,binary,23,l2_uend_linear,-0.11588064713064711
fixed500_bin_ce,multi_h,binary,37,output_whole_count,0.02203352203352199
fixed500_bin_ce,multi_h,binary,37,l1_whole_count_linear,0.02802614052614044
fixed500_bin_ce,multi_h,binary,37,l2_whole_count_linear,0.058220945720945605
fixed500_bin_ce,multi_h,binary,37,l2_fixed250_ordered_linear,-0.0641684704184704
fixed500_bin_ce,multi_h,binary,37,l2_relative10_ordered_linear,-0.02113303363303365
fixed500_bin_ce,multi_h,binary,37,l2_uend_linear,-0.14706890331890332
fixed500_bin_ce,multi_h,binary,53,output_whole_count,0.01287393162393169
fixed500_bin_ce,multi_h,binary,53,l1_whole_count_linear,0.012249555999555906
fixed500_bin_ce,multi_h,binary,53,l2_whole_count_linear,0.03341519591519593
fixed500_bin_ce,multi_h,binary,53,l2_fixed250_ordered_linear,-0.05664058164058161
fixed500_bin_ce,multi_h,binary,53,l2_relative10_ordered_linear,-0.01651959151959148
fixed500_bin_ce,multi_h,binary,53,l2_uend_linear,-0.062339743589743535
fixed500_bin_ce,multi_h,binary,71,output_whole_count,-0.016581335331335323
fixed500_bin_ce,multi_h,binary,71,l1_whole_count_linear,0.06953948828948825
fixed500_bin_ce,multi_h,binary,71,l2_whole_count_linear,0.006836913086913088
fixed500_bin_ce,multi_h,binary,71,l2_fixed250_ordered_linear,-0.0552489177489176
fixed500_bin_ce,multi_h,binary,71,l2_relative10_ordered_linear,-0.0011585636585635939
fixed500_bin_ce,multi_h,binary,71,l2_uend_linear,-0.07150002775002773
fixed500_bin_ce,multi_ho,binary,11,output_whole_count,0.08113344988344984
fixed500_bin_ce,multi_ho,binary,11,l1_whole_count_linear,0.1331307581307581
fixed500_bin_ce,multi_ho,binary,11,l2_whole_count_linear,0.10976731601731599
fixed500_bin_ce,multi_ho,binary,11,l2_fixed250_ordered_linear,0.0019459706959708
fixed500_bin_ce,multi_ho,binary,11,l2_relative10_ordered_linear,0.0242424242424244
fixed500_bin_ce,multi_ho,binary,11,l2_uend_linear,-0.18295246420246414
fixed500_bin_ce,multi_ho,binary,23,output_whole_count,0.02540098790098788
fixed500_bin_ce,multi_ho,binary,23,l1_whole_count_linear,0.08654262404262403
fixed500_bin_ce,multi_ho,binary,23,l2_whole_count_linear,0.019832251082251062
fixed500_bin_ce,multi_ho,binary,23,l2_fixed250_ordered_linear,0.054843767343767336
fixed500_bin_ce,multi_ho,binary,23,l2_relative10_ordered_linear,0.06901848151848156
fixed500_bin_ce,multi_ho,binary,23,l2_uend_linear,-0.15330641580641574
fixed500_bin_ce,multi_ho,binary,37,output_whole_count,0.04197399822399822
fixed500_bin_ce,multi_ho,binary,37,l1_whole_count_linear,0.07041222666222663
fixed500_bin_ce,multi_ho,binary,37,l2_whole_count_linear,0.09245823620823612
fixed500_bin_ce,multi_ho,binary,37,l2_fixed250_ordered_linear,0.08984487734487734
fixed500_bin_ce,multi_ho,binary,37,l2_relative10_ordered_linear,0.06425657675657681
fixed500_bin_ce,multi_ho,binary,37,l2_uend_linear,-0.18846778221778224
fixed500_bin_ce,multi_ho,binary,53,output_whole_count,0.056177849927849854
fixed500_bin_ce,multi_ho,binary,53,l1_whole_count_linear,0.08806818181818171
fixed500_bin_ce,multi_ho,binary,53,l2_whole_count_linear,0.0895028582528582
fixed500_bin_ce,multi_ho,binary,53,l2_fixed250_ordered_linear,-0.000173437673437693
fixed500_bin_ce,multi_ho,binary,53,l2_relative10_ordered_linear,0.07960442335442341
fixed500_bin_ce,multi_ho,binary,53,l2_uend_linear,-0.1169961982461982
fixed500_bin_ce,multi_ho,binary,71,output_whole_count,0.10889735264735256
fixed500_bin_ce,multi_ho,binary,71,l1_whole_count_linear,0.08540140415140413
fixed500_bin_ce,multi_ho,binary,71,l2_whole_count_linear,0.08440725940725935
fixed500_bin_ce,multi_ho,binary,71,l2_fixed250_ordered_linear,-0.02487998112998102
fixed500_bin_ce,multi_ho,binary,71,l2_relative10_ordered_linear,0.05769369519369516
fixed500_bin_ce,multi_ho,binary,71,l2_uend_linear,-0.14155982905982903
fixed500_bin_ce,multi_ho,multi_h,11,output_whole_count,0.03190420690420681
fixed500_bin_ce,multi_ho,multi_h,11,l1_whole_count_linear,0.1392635142635142
fixed500_bin_ce,multi_ho,multi_h,11,l2_whole_count_linear,0.11294191919191915
fixed500_bin_ce,multi_ho,multi_h,11,l2_fixed250_ordered_linear,0.06940628815628819
fixed500_bin_ce,multi_ho,multi_h,11,l2_relative10_ordered_linear,0.047150072150072275
fixed500_bin_ce,multi_ho,multi_h,11,l2_uend_linear,-0.09837246087246082
fixed500_bin_ce,multi_ho,multi_h,23,output_whole_count,0.13822843822843822
fixed500_bin_ce,multi_ho,multi_h,23,l1_whole_count_linear,0.13852397602397598
fixed500_bin_ce,multi_ho,multi_h,23,l2_whole_count_linear,0.17615023865023866
fixed500_bin_ce,multi_ho,multi_h,23,l2_fixed250_ordered_linear,0.08480824730824732
