memory_mode,objective,seed,tau_profile_ms,best_epoch,native_train_accuracy,native_train_balanced_accuracy,native_train_macro_f1,native_train_loss,native_train_endpoint_loss,native_train_aux_loss,native_train_hidden_events_per_neuron_second,native_train_hidden_tail_event_fraction,native_train_hidden_tail_events_per_neuron_second,native_train_endpoint_membrane_l2_mean,native_val_accuracy,native_val_balanced_accuracy,native_val_macro_f1,native_val_loss,native_val_endpoint_loss,native_val_aux_loss,native_val_hidden_events_per_neuron_second,native_val_hidden_tail_event_fraction,native_val_hidden_tail_events_per_neuron_second,native_val_endpoint_membrane_l2_mean,native_test_accuracy,native_test_balanced_accuracy,native_test_macro_f1,native_test_loss,native_test_endpoint_loss,native_test_aux_loss,native_test_hidden_events_per_neuron_second,native_test_hidden_tail_event_fraction,native_test_hidden_tail_events_per_neuron_second,native_test_endpoint_membrane_l2_mean,hidden_whole_count_val_ba,hidden_whole_count_test_ba,hidden_whole_count_C,hidden_fixed250_ordered_val_ba,hidden_fixed250_ordered_test_ba,hidden_fixed250_ordered_C,hidden_relative10_ordered_val_ba,hidden_relative10_ordered_test_ba,hidden_relative10_ordered_C,hidden_uend_val_ba,hidden_uend_test_ba,hidden_uend_C
multitau_4567,endpoint_ce,11,"242.103,492.146,992.167,1992.177",70,0.9827882960413081,0.9837470685204684,0.9838157668839815,0.09804506148187614,0.09804506148187614,,12.184366992144975,0.05300989957238533,0.5475876721170396,89.62308217243977,0.5952380952380952,0.5854016354016355,0.595253049419716,1.6405483484268188,1.6405483484268188,,10.632780265121587,0.05480312625594562,0.43542286706349204,77.50569661458333,0.589041095890411,0.5812132312132312,0.5787658324199245,2.199310887349795,2.199310887349795,,12.78963717693837,0.06596471275041516,0.5834760273972602,86.28551242776113,0.5127705627705627,0.5202894327894328,0.001,0.5524831649831651,0.5829857642357642,0.01,0.6187710437710439,0.6004190254190254,0.01,0.5963083213083212,0.6084339271839271,0.01
multitau_4567,endpoint_ce,23,"242.103,492.146,992.167,1992.177",16,0.9156626506024096,0.9190777815722323,0.9180013170431113,0.30958115236381656,0.30958115236381656,,11.6945249300752,0.03221804876020458,0.31256723321858865,75.1814927119191,0.5952380952380952,0.5784211159211158,0.5819139194139195,1.237714171409607,1.237714171409607,,10.632209639188833,0.035037328000382444,0.2726624503968254,66.44332837301587,0.5684931506849316,0.5548285048285048,0.558960301824079,1.5244194448810735,1.5244194448810735,,12.40515241882041,0.04209523078497595,0.3521511130136986,72.39342007571703,0.48579244829244833,0.5779130591630591,0.01,0.5999518999518999,0.5657758907758907,1.0,0.6053090428090429,0.6675054112554112,0.01,0.5524591149591149,0.5851454101454101,0.01
multitau_4567,endpoint_ce,37,"242.103,492.146,992.167,1992.177",60,0.9845094664371773,0.9852286185129322,0.9855784444267589,0.12150233088577368,0.12150233088577368,,16.874637814661597,0.08586043941636767,1.2724895116179002,95.89441359186748,0.5634920634920635,0.556060606060606,0.5532416045688358,1.7844727039337158,1.7844727039337158,,16.00368712141164,0.09117739434758983,1.1339905753968254,85.09019252232143,0.5753424657534246,0.5560148185148185,0.5575308723944818,1.8779969982904932,1.8779969982904932,,17.528371438038437,0.10585896317205039,1.340539383561644,93.2455644999465,0.4991101491101491,0.49763222888222886,0.1,0.5474266474266475,0.5584325396825396,0.01,0.6008778258778259,0.5777028527028526,1.0,0.5448773448773448,0.5364739427239427,0.001
multitau_4567,endpoint_ce,53,"242.103,492.146,992.167,1992.177",24,0.9122203098106713,0.9123784653849367,0.9131085155932205,0.31519114347928157,0.31519114347928157,,11.137529937863231,0.02303976517289557,0.2108769901032702,89.51307518018503,0.5873015873015873,0.5873196248196249,0.5797238070255973,1.3531172275543213,1.3531172275543213,,9.670836625406022,0.021147942296328878,0.14756944444444445,76.6977306547619,0.589041095890411,0.5766747141747142,0.5851139593407798,1.796467327091792,1.796467327091792,,11.850231941683234,0.02950704010365963,0.2327429366438356,87.45990073844177,0.46486291486291487,0.4741987179487179,10.0,0.5477272727272727,0.6039162226662226,0.01,0.5523689273689274,0.6085692085692085,0.1,0.5410594035594035,0.5563734876234876,0.1
multitau_4567,endpoint_ce,71,"242.103,492.146,992.167,1992.177",42,0.9449225473321858,0.9443899076412458,0.9453402283088694,0.2301043649035764,0.2301043649035764,,10.912187850670776,0.0412660807634155,0.3770909530981067,80.03422422950732,0.5793650793650794,0.5707130832130832,0.5747990790418106,1.5562760829925537,1.5562760829925537,,9.532481783864455,0.04675182161355456,0.33020213293650796,69.51925223214286,0.5547945205479452,0.544779526029526,0.5444618008937823,1.6638106320002308,1.6638106320002308,,11.481278992710404,0.05066798173966349,0.3958422517123288,78.5465547744542,0.4861592111592112,0.484227577977578,1.0,0.5233164983164983,0.598310717060717,0.1,0.6028258778258778,0.6636294261294262,0.01,0.5733285233285234,0.5422702297702299,0.1
multitau_4567,endpoint_fixed250_aux_ce,11,"242.103,492.146,992.167,1992.177",30,0.9397590361445783,0.9394504865010757,0.9398390651141177,0.3018665621233479,0.24804058985178729,0.053825979547418024,13.20076372954595,0.03545552502262435,0.38958288511187605,70.5278891794858,0.5873015873015873,0.5812289562289562,0.5875353843546063,3.1371684074401855,1.3089851140975952,1.8281831741333008,11.49806865068914,0.03614426798934401,0.30453249007936506,61.416585286458336,0.5821917808219178,0.5691731879231878,0.5722338729678326,3.4360101712893134,1.6946319749910537,1.741378315507549,13.891153081510934,0.04411370722726055,0.4141160102739726,67.92706884096746,0.49888167388167387,0.5397699522699523,0.001,0.5434283309283309,0.5503239815739815,0.1,0.6224687349687349,0.6143481518481518,0.01,0.5804353054353054,0.601316045066045,0.01
multitau_4567,endpoint_fixed250_aux_ce,23,"242.103,492.146,992.167,1992.177",14,0.9018932874354562,0.9047236602940912,0.9041692236477576,0.4825921226645501,0.3721363484449108,0.11045577459793904,12.131157150752843,0.02707099091499506,0.27099693416523235,69.267136907003,0.5952380952380952,0.5748436748436748,0.5748716192556772,2.6254522800445557,1.2323845624923706,1.393067717552185,11.023702923360547,0.029346628790074786,0.23539806547619047,61.51444304935516,0.5821917808219178,0.5709720834720835,0.577610365164125,3.072231266596546,1.5199371559979165,1.5522941105986294,12.784252816434725,0.036054689451856296,0.3088880565068493,66.58207138270548,0.5340428090428091,0.5685328560328561,0.1,0.5991943241943243,0.5748667998667999,10.0,0.6402356902356903,0.6715118215118214,0.1,0.5281325156325155,0.568663281163281,1.0
multitau_4567,endpoint_fixed250_aux_ce,37,"242.103,492.146,992.167,1992.177",67,0.9759036144578314,0.9770258644768449,0.9774352271779311,0.1485983172941331,0.12765196512698512,0.020946354183277015,19.521731120304153,0.08456717402572923,1.447880808950086,94.2240328501506,0.5714285714285714,0.5650252525252525,0.5636831455161765,4.114387512207031,1.8216501474380493,2.2927374839782715,18.474058467210956,0.08811886980090869,1.2608816964285714,82.39075675843254,0.5958904109589042,0.5731143856143855,0.5756309769845976,4.172621583285397,1.9687243928648022,2.2038969666990513,20.250497017892645,0.10414845841372448,1.520788741438356,91.52836880618578,0.4916366041366042,0.5144209956709956,0.01,0.55496632996633,0.5172619047619047,0.001,0.6007515632515633,0.5934405871905871,0.1,0.5512265512265512,0.5289585414585415,0.01
multitau_4567,endpoint_fixed250_aux_ce,53,"242.103,492.146,992.167,1992.177",77,0.9759036144578314,0.9770258644768449,0.9767622862063096,0.15483422705618322,0.1286577265421105,0.026176494918923935,15.291222134758069,0.04269477719415148,0.5475271622203098,97.6641532648451,0.5793650793650794,0.5698292448292447,0.5721660547690295,3.920198440551758,1.6163915395736694,2.303807020187378,13.455974014572908,0.041422634700954655,0.4106832837301587,83.68054780505952,0.5616438356164384,0.5506576756576755,0.5601621928667965,5.116671575258856,2.3923249473310495,2.7243466573218775,16.13953777335984,0.05308164668774316,0.5844392123287672,95.50973719766695,0.5038840788840789,0.47308247308247303,10.0,0.5191919191919192,0.6045475357975357,0.01,0.5996272246272246,0.5958215395715396,0.1,0.5390752765752765,0.5452512765012764,0.1
multitau_4567,endpoint_fixed250_aux_ce,71,"242.103,492.146,992.167,1992.177",69,0.9672977624784854,0.9688657782900291,0.9686566839521175,0.19209703091346048,0.15398112569716013,0.038115902249212415,14.241387107039376,0.053765445115902005,0.649674591222031,82.5821094086166,0.5793650793650794,0.5671416546416547,0.5705030126547995,4.398800849914551,1.7867718935012817,2.6120290756225586,12.544464928452287,0.059787275341244436,0.5633990575396826,73.27162388392857,0.547945205479452,0.538827145077145,0.5358770047719323,4.2728377041751395,1.98504765066382,2.287789948999065,15.017395626242545,0.06448832997053466,0.6687178938356164,80.72991023651541,0.49247234247234245,0.43914072039072044,1.0,0.5080387205387206,0.5860951548451548,0.01,0.6000841750841751,0.6263209013209012,0.1,0.5574194324194325,0.5306651681651682,0.1
