seed,epoch,train_loss,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
101,3,2.4595355093960616,2.480963945388794,0.096,0.08333333333333333,0.014598540145985403
101,4,2.4532278412185695,2.4798717498779297,0.096,0.08333333333333333,0.014598540145985403
101,5,2.448930486531173,2.479830026626587,0.096,0.08333333333333333,0.014598540145985403
101,6,2.4470611053830393,2.479728937149048,0.096,0.08333333333333333,0.014598540145985403
101,7,2.445660617702034,2.479734420776367,0.096,0.08333333333333333,0.014598540145985403
101,8,2.4447877799944653,2.480222702026367,0.096,0.08333333333333333,0.014598540145985403
101,9,2.44424273047193,2.4793951511383057,0.096,0.08333333333333333,0.014598540145985403
101,10,2.443466978427474,2.479654550552368,0.096,0.08333333333333333,0.014598540145985403
101,11,2.442984002087151,2.479985237121582,0.096,0.08333333333333333,0.014598540145985403
101,12,2.4427720891832343,2.4800775051116943,0.096,0.08333333333333333,0.014598540145985403
101,13,2.442430849029097,2.4801743030548096,0.096,0.08333333333333333,0.014598540145985403
101,14,2.442119368443774,2.479918956756592,0.096,0.08333333333333333,0.014598540145985403
101,15,2.4418543217062756,2.479902982711792,0.096,0.08333333333333333,0.014598540145985403
101,16,2.4414197516556895,2.479843854904175,0.096,0.08333333333333333,0.014598540145985403
101,17,2.4414075811383027,2.4797439575195312,0.096,0.08333333333333333,0.014598540145985403
101,18,2.441168500456556,2.4792675971984863,0.096,0.08333333333333333,0.014598540145985403
101,19,2.441177390888935,2.479606866836548,0.096,0.08333333333333333,0.014598540145985403
101,20,2.440942718447314,2.48001766204834,0.096,0.08333333333333333,0.014598540145985403
101,21,2.440968175311851,2.4801580905914307,0.096,0.08333333333333333,0.014598540145985403
40,1,3.4619325220295996,2.402208089828491,0.312,0.3102513227513228,0.2916523501544834
40,2,1.7589273628009925,2.111135721206665,0.448,0.4354497354497355,0.42941206397088744
40,3,1.392253586471755,1.9769343137741089,0.464,0.4439153439153439,0.4354780984241831
40,4,1.2121759418139357,2.026909828186035,0.432,0.41474867724867726,0.41225295172663595
40,5,1.0403559925290418,1.9695523977279663,0.44,0.42215608465608473,0.41751870110565764
40,6,0.9782431090975809,2.00443172454834,0.416,0.39371693121693124,0.3964839781372962
40,7,0.9281908631902519,1.9924513101577759,0.448,0.4250661375661376,0.4173495607706134
40,8,0.8993663240904184,2.083772897720337,0.424,0.4082671957671958,0.41390020444300973
40,9,0.8842310844792688,2.043898105621338,0.4,0.38743386243386246,0.3859138711305894
40,10,0.863458244018678,2.150038957595825,0.44,0.4158068783068784,0.4236641391813805
40,11,0.8464921823610975,2.1622323989868164,0.416,0.39775132275132274,0.39696144116938753
40,12,0.8204360229710963,2.136795997619629,0.44,0.42215608465608473,0.42386166880361925
40,13,0.7783963804483799,2.219119071960449,0.432,0.4152116402116402,0.4184662542023336
40,14,0.7693176698992826,2.1958932876586914,0.424,0.4091931216931217,0.402468074481468
40,15,0.7630401924854334,2.259685754776001,0.4,0.38743386243386246,0.3917367032692111
40,16,0.7450156124227459,2.3481454849243164,0.4,0.3761243386243387,0.36899741173476985
40,17,0.7562984472715412,2.282336950302124,0.416,0.4022486772486773,0.4073552808846927
40,18,0.7244998961927818,2.3879120349884033,0.408,0.392989417989418,0.39031355097144577
40,19,0.7230170211229648,2.3869996070861816,0.4,0.3860449735449736,0.3876017409252031
40,20,0.7243127293270893,2.3642969131469727,0.384,0.36580687830687836,0.37432349700622686
40,21,0.7030515486858966,2.3912105560302734,0.408,0.3953042328042328,0.3902175609521821
40,22,0.6933524870525847,2.460158586502075,0.392,0.3777116402116403,0.38377830146103137
40,23,0.6914897186498072,2.4020931720733643,0.4,0.37969576719576725,0.38180454775611145
231,1,3.547842311550997,2.258025646209717,0.384,0.37308201058201057,0.3565614552059438
231,2,1.7628420483507516,1.9601833820343018,0.416,0.41091269841269845,0.3981254804158434
231,3,1.5039940845215263,1.7717828750610352,0.472,0.4488095238095238,0.42906781655716014
231,4,1.3676823970766945,1.8714038133621216,0.448,0.4428571428571429,0.4008399117222647
231,5,1.1947785793097994,1.8530832529067993,0.432,0.4168650793650794,0.38107433914928196
231,6,1.1392247114505059,1.773440957069397,0.432,0.4353174603174604,0.4425495557074504
231,7,1.0762001011213693,1.7952271699905396,0.448,0.4420634920634921,0.45654746521407885
231,8,1.0354905919997872,1.830684781074524,0.44,0.4422619047619048,0.4494654069117909
231,9,1.0243207940377403,1.739640474319458,0.432,0.4267857142857143,0.43634139481662704
231,10,1.0054481515784255,1.8619565963745117,0.424,0.4224867724867725,0.43698338094454664
231,11,1.0235269340251683,1.8184128999710083,0.48,0.4792989417989418,0.48016537928302644
231,12,0.9904240612452173,1.8640961647033691,0.408,0.40099206349206357,0.41556840692245695
231,13,0.9584522482266526,1.897039771080017,0.432,0.4326719576719577,0.4389075963994173
231,14,0.9408956118084503,1.9731210470199585,0.448,0.44298941798941804,0.45508204457507856
231,15,0.9177818934828862,1.891176700592041,0.448,0.4451719576719577,0.44553715094865765
231,16,0.909322195272646,1.9686095714569092,0.44,0.43604497354497357,0.4510131072631072
231,17,0.9019049607301567,1.868835687637329,0.456,0.45211640211640214,0.4545845358345358
231,18,0.8726011178605199,2.017923355102539,0.424,0.41984126984126996,0.4307669777339316
231,19,0.878483460484876,1.9536833763122559,0.464,0.46044973544973544,0.4662047912241411
231,20,0.8544869682900548,2.0183956623077393,0.448,0.44563492063492066,0.4623869690403731
231,21,0.8588593459668568,1.9817674160003662,0.456,0.44715608465608464,0.4505760948513049
231,22,0.8702347713834057,1.9858494997024536,0.456,0.44761904761904775,0.4615969290658732
231,23,0.8487686234645196,2.1227200031280518,0.4,0.3962301587301588,0.4039856404068463
231,24,0.849823147010341,2.021247625350952,0.416,0.4073412698412699,0.41127657636801346
231,25,0.8422299716892458,2.0667943954467773,0.432,0.4267857142857144,0.43511416737634595
231,26,0.8262820608781497,2.037909984588623,0.432,0.4353174603174603,0.43459911190174355
231,27,0.8227735131930842,2.0992496013641357,0.416,0.40873015873015883,0.4251037450927259
231,28,0.8255266674308284,2.0725669860839844,0.432,0.42539682539682544,0.4311112761602958
231,29,0.8142129820267487,2.07796573638916,0.424,0.41706349206349214,0.4289590769853928
231,30,0.8039879563937087,2.16372013092041,0.432,0.4240079365079366,0.4241889412912618
231,31,0.785690991578079,2.167201280593872,0.424,0.4170634920634921,0.4262582563211854
