architecture,objective,profile,seed,epoch,warmup_scale,kappa,train_task_loss,train_base_regularizer,train_p2,train_a1,train_tail,train_total_loss,val_balanced_accuracy,val_whole_count_loss,val_objective_loss
short_mid_long,whole_count_ce,a1,11,14,1.0,3.812868419089698,2.4117646496390317,0.00041856054746,0.0,0.0041856054351272,0.0,2.413360552205071,0.0833333333333333,2.485832691192627,2.485832691192627
short_mid_long,whole_count_ce,a1,11,15,1.0,3.812868419089698,2.4055708993527647,0.0003910021513392,0.0,0.0039100214620978,0.0,2.407061749604401,0.0833333333333333,2.486093759536743,2.486093759536743
short_mid_long,whole_count_ce,a1,11,16,1.0,3.812868419089698,2.405386857034417,0.0003622806887853,0.0,0.003622806762071,0.0,2.406768217759781,0.0833333333333333,2.486403703689575,2.486403703689575
short_mid_long,whole_count_ce,a1,11,17,1.0,3.812868419089698,2.4011917602585022,0.0003557949339806,0.0,0.0035579492914668,0.0,2.4025483627943083,0.0833333333333333,2.486279249191284,2.486279249191284
short_mid_long,whole_count_ce,a1,11,18,1.0,3.812868419089698,2.3936358405062337,0.0003620459528426,0.0,0.0036204595466604,0.0,2.3950162155492785,0.0833333333333333,2.4860775470733643,2.4860775470733643
short_mid_long,whole_count_ce,a1,11,19,1.0,3.812868419089698,2.387760913310486,0.0003686425465551,0.0,0.0036864253955215,0.0,2.3891664946551168,0.0833333333333333,2.4851677417755127,2.4851677417755127
short_mid_long,whole_count_ce,a1,11,20,1.0,3.812868419089698,2.385529086429773,0.0003574427038714,0.0,0.00357442699283,0.0,2.386891946940332,0.0833333333333333,2.4850449562072754,2.4850449562072754
short_mid_long,whole_count_ce,a1,11,21,1.0,3.812868419089698,2.383831393082663,0.0003411107121128,0.0,0.0034111070634216,0.0,2.385131966021303,0.0833333333333333,2.4846460819244385,2.4846460819244385
short_mid_long,whole_count_ce,a1,11,22,1.0,3.812868419089698,2.382910400988108,0.000323233701136,0.0,0.0032323368944439,0.0,2.3841428104243056,0.0833333333333333,2.4845616817474365,2.4845616817474365
short_mid_long,whole_count_ce,a1,11,23,1.0,3.812868419089698,2.380012091589056,0.0003235357062748,0.0,0.0032353570104517,0.0,2.38124568080738,0.0833333333333333,2.4839773178100586,2.4839773178100586
short_mid_long,whole_count_ce,a1,11,24,1.0,3.812868419089698,2.3778274071606424,0.0003181422253903,0.0,0.0031814221897853,0.0,2.3790404575006483,0.0833333333333333,2.4845964908599854,2.4845964908599854
short_mid_long,whole_count_ce,a1,11,25,1.0,3.812868419089698,2.377394045897072,0.0003046757097174,0.0,0.003046757090763,0.0,2.3785557311906667,0.0833333333333333,2.4841716289520264,2.4841716289520264
short_mid_long,whole_count_ce,a1,11,26,1.0,3.812868419089698,2.3790673803339315,0.0002911731757751,0.0,0.0029117316867204,0.0,2.3801776115332127,0.0833333333333333,2.4820668697357178,2.4820668697357178
short_mid_long,whole_count_ce,a1,11,27,1.0,3.812868419089698,2.3787682491407542,0.0002824900088861,0.0,0.0028248999793589,0.0,2.379845315536,0.0833333333333333,2.4821619987487797,2.4821619987487797
short_mid_long,whole_count_ce,a1,11,28,1.0,3.812868419089698,2.374494791851602,0.000297421288487,0.0,0.0029742128256605,0.0,2.375628781605916,0.0833333333333333,2.472064018249512,2.472064018249512
short_mid_long,whole_count_ce,a1,11,29,1.0,3.812868419089698,2.3750101834689485,0.0003036418801458,0.0,0.003036418750164,0.0,2.3761679309575774,0.0833333333333333,2.481480836868286,2.481480836868286
short_mid_long,whole_count_ce,a1,11,30,1.0,3.812868419089698,2.3745920539107463,0.0002845334601043,0.0,0.0028453345743942,0.0,2.3756769585732544,0.0833333333333333,2.481691360473633,2.481691360473633
