seed,axis,position,model,balanced_accuracy
37,elapsed_seconds,2.25,selected,0.5880702630702631
37,elapsed_seconds,2.5,what_only,0.48224345099345095
37,elapsed_seconds,2.5,selected,0.5880702630702631
37,elapsed_seconds,2.75,what_only,0.48224345099345095
37,elapsed_seconds,2.75,selected,0.5880702630702631
37,elapsed_seconds,3.0,what_only,0.48224345099345095
37,elapsed_seconds,3.0,selected,0.5880702630702631
37,elapsed_seconds,3.25,what_only,0.48224345099345095
37,elapsed_seconds,3.25,selected,0.5880702630702631
37,elapsed_seconds,3.5,what_only,0.48224345099345095
37,elapsed_seconds,3.5,selected,0.5880702630702631
37,elapsed_seconds,3.75,what_only,0.48224345099345095
37,elapsed_seconds,3.75,selected,0.5880702630702631
37,elapsed_seconds,4.0,what_only,0.48224345099345095
37,elapsed_seconds,4.0,selected,0.5880702630702631
53,relative_fraction,0.1,what_only,0.08928571428571429
53,relative_fraction,0.1,selected,0.08928571428571429
53,relative_fraction,0.2,what_only,0.14162642912642912
53,relative_fraction,0.2,selected,0.1307858807858808
53,relative_fraction,0.3,what_only,0.15945859695859696
53,relative_fraction,0.3,selected,0.15729409479409479
53,relative_fraction,0.4,what_only,0.19152306027306024
53,relative_fraction,0.4,selected,0.1877983127983128
53,relative_fraction,0.5,what_only,0.2064650627150627
53,relative_fraction,0.5,selected,0.21236541236541237
53,relative_fraction,0.6,what_only,0.24190462315462313
53,relative_fraction,0.6,selected,0.26328116328116324
53,relative_fraction,0.7,what_only,0.35556596181596184
53,relative_fraction,0.7,selected,0.28027250527250525
53,relative_fraction,0.8,what_only,0.3851384726384726
53,relative_fraction,0.8,selected,0.34092157842157844
53,relative_fraction,0.9,what_only,0.4542221667221667
53,relative_fraction,0.9,selected,0.44234446109446107
53,relative_fraction,1.0,what_only,0.49863955488955486
53,relative_fraction,1.0,selected,0.5028943278943279
53,elapsed_seconds,0.25,what_only,0.12543290043290042
53,elapsed_seconds,0.25,selected,0.11634199134199134
53,elapsed_seconds,0.5,what_only,0.1716415528915529
53,elapsed_seconds,0.5,selected,0.18035575535575535
53,elapsed_seconds,0.75,what_only,0.25305180930180926
53,elapsed_seconds,0.75,selected,0.2414196914196914
53,elapsed_seconds,1.0,what_only,0.361356005106005
53,elapsed_seconds,1.0,selected,0.34547188922188926
53,elapsed_seconds,1.25,what_only,0.44539280164280165
53,elapsed_seconds,1.25,selected,0.42008408258408253
53,elapsed_seconds,1.5,what_only,0.480782412032412
53,elapsed_seconds,1.5,selected,0.45127095127095124
53,elapsed_seconds,1.75,what_only,0.486734792984793
53,elapsed_seconds,1.75,selected,0.49098956598956595
53,elapsed_seconds,2.0,what_only,0.49863955488955486
53,elapsed_seconds,2.0,selected,0.5028943278943279
53,elapsed_seconds,2.25,what_only,0.49863955488955486
53,elapsed_seconds,2.25,selected,0.5028943278943279
53,elapsed_seconds,2.5,what_only,0.49863955488955486
53,elapsed_seconds,2.5,selected,0.5028943278943279
53,elapsed_seconds,2.75,what_only,0.49863955488955486
53,elapsed_seconds,2.75,selected,0.5028943278943279
53,elapsed_seconds,3.0,what_only,0.49863955488955486
53,elapsed_seconds,3.0,selected,0.5028943278943279
53,elapsed_seconds,3.25,what_only,0.49863955488955486
53,elapsed_seconds,3.25,selected,0.5028943278943279
53,elapsed_seconds,3.5,what_only,0.49863955488955486
53,elapsed_seconds,3.5,selected,0.5028943278943279
53,elapsed_seconds,3.75,what_only,0.49863955488955486
53,elapsed_seconds,3.75,selected,0.5028943278943279
53,elapsed_seconds,4.0,what_only,0.49863955488955486
53,elapsed_seconds,4.0,selected,0.5028943278943279
71,relative_fraction,0.1,what_only,0.09404761904761905
71,relative_fraction,0.1,selected,0.09404761904761905
71,relative_fraction,0.2,what_only,0.16708430458430457
71,relative_fraction,0.2,selected,0.13184315684315684
71,relative_fraction,0.3,what_only,0.15987623487623484
71,relative_fraction,0.3,selected,0.17906121656121654
71,relative_fraction,0.4,what_only,0.18313769563769564
71,relative_fraction,0.4,selected,0.15056193806193807
71,relative_fraction,0.5,what_only,0.24625582750582745
71,relative_fraction,0.5,selected,0.17983682983682983
71,relative_fraction,0.6,what_only,0.27571803196803196
71,relative_fraction,0.6,selected,0.19488011988011986
71,relative_fraction,0.7,what_only,0.33165723165723165
71,relative_fraction,0.7,selected,0.22185314685314683
71,relative_fraction,0.8,what_only,0.3395326895326895
71,relative_fraction,0.8,selected,0.26695596070596067
71,relative_fraction,0.9,what_only,0.39714452214452206
71,relative_fraction,0.9,selected,0.36421217671217665
71,relative_fraction,1.0,what_only,0.43863775113775105
71,relative_fraction,1.0,selected,0.44192682317682314
71,elapsed_seconds,0.25,what_only,0.1389957264957265
71,elapsed_seconds,0.25,selected,0.10686813186813186
71,elapsed_seconds,0.5,what_only,0.17462884337884335
71,elapsed_seconds,0.5,selected,0.16706626706626707
71,elapsed_seconds,0.75,what_only,0.23570179820179823
71,elapsed_seconds,0.75,selected,0.19339202464202465
71,elapsed_seconds,1.0,what_only,0.3383019758019758
71,elapsed_seconds,1.0,selected,0.31656399156399156
71,elapsed_seconds,1.25,what_only,0.34121711621711626
71,elapsed_seconds,1.25,selected,0.3069701132201132
71,elapsed_seconds,1.5,what_only,0.40054251304251304
71,elapsed_seconds,1.5,selected,0.3510177322677322
71,elapsed_seconds,1.75,what_only,0.4326853701853701
71,elapsed_seconds,1.75,selected,0.44192682317682314
71,elapsed_seconds,2.0,what_only,0.43863775113775105
71,elapsed_seconds,2.0,selected,0.44192682317682314
71,elapsed_seconds,2.25,what_only,0.43863775113775105
71,elapsed_seconds,2.25,selected,0.44192682317682314
71,elapsed_seconds,2.5,what_only,0.43863775113775105
71,elapsed_seconds,2.5,selected,0.44192682317682314
71,elapsed_seconds,2.75,what_only,0.43863775113775105
71,elapsed_seconds,2.75,selected,0.44192682317682314
71,elapsed_seconds,3.0,what_only,0.43863775113775105
71,elapsed_seconds,3.0,selected,0.44192682317682314
71,elapsed_seconds,3.25,what_only,0.43863775113775105
71,elapsed_seconds,3.25,selected,0.44192682317682314
71,elapsed_seconds,3.5,what_only,0.43863775113775105
71,elapsed_seconds,3.5,selected,0.44192682317682314
71,elapsed_seconds,3.75,what_only,0.43863775113775105
71,elapsed_seconds,3.75,selected,0.44192682317682314
71,elapsed_seconds,4.0,what_only,0.43863775113775105
71,elapsed_seconds,4.0,selected,0.44192682317682314
