family,architecture,objective,variant,hidden_cap,output_cap,seed,primary_readout,best_epoch,train_ba,val_ba,test_ba,test_accuracy,test_macro_f1,native_test_ba,test_last_hidden_events_per_neuron_second
direct_snn,short_mid,whole_count_ce,binary,1,1.0,53,output_whole_count,70,0.7325486693815716,0.40426887926887933,0.4186383061383061,0.4246575342465753,0.385479505345066,0.4186383061383061,8.822813121272366
direct_snn,short_mid,whole_count_ce,binary,1,1.0,71,output_whole_count,88,0.798852958979976,0.4368506493506494,0.4699640637140637,0.4863013698630137,0.44168206952481043,0.4699640637140637,9.455434062292909
direct_snn,short_mid,whole_count_ce,multi_h,31,1.0,11,output_whole_count,84,0.8361543807690114,0.49786556036556034,0.4759282384282384,0.5,0.45071078277600013,0.4759282384282384,31.672092445328033
direct_snn,short_mid,whole_count_ce,multi_h,31,1.0,23,output_whole_count,100,0.7996422496755757,0.42392977392977405,0.41713633588633586,0.4315068493150685,0.3992481859674591,0.41713633588633586,38.71479456593771
direct_snn,short_mid,whole_count_ce,multi_h,31,1.0,37,output_whole_count,92,0.7399922549439514,0.4027236652236652,0.4283924408924409,0.4520547945205479,0.4067306145973509,0.4283924408924409,34.74784625579854
direct_snn,short_mid,whole_count_ce,multi_h,31,1.0,53,output_whole_count,93,0.8051605532132619,0.4554713804713804,0.4330190642690643,0.4383561643835616,0.4094329975579976,0.4330190642690643,46.51553180914513
direct_snn,short_mid,whole_count_ce,multi_h,31,1.0,71,output_whole_count,98,0.8111009882734698,0.4631373256373257,0.4183899433899434,0.4315068493150685,0.402511923001519,0.4183899433899434,34.74399436713055
direct_snn,short_mid,timestep_ce,binary,1,1.0,11,output_whole_count,100,0.4401489349704297,0.29444444444444445,0.2570845820845821,0.2808219178082192,0.1918127919209731,0.2570845820845821,2.867586149768058
direct_snn,short_mid,timestep_ce,binary,1,1.0,23,output_whole_count,94,0.4707064173973627,0.2563552188552189,0.31314518814518816,0.3287671232876712,0.26493430482560915,0.31314518814518816,3.326209410205434
direct_snn,short_mid,timestep_ce,binary,1,1.0,37,output_whole_count,93,0.45446299049910777,0.27037037037037037,0.25435397935397935,0.2671232876712329,0.19067331229466103,0.25435397935397935,3.399271040424122
direct_snn,short_mid,timestep_ce,binary,1,1.0,53,output_whole_count,84,0.4637919537965336,0.24146825396825397,0.28996003996004,0.3082191780821918,0.23186855556786845,0.28996003996004,3.367544731610338
direct_snn,short_mid,timestep_ce,binary,1,1.0,71,output_whole_count,97,0.5246459531149258,0.3136904761904762,0.29277389277389276,0.3150684931506849,0.22929531900512212,0.29277389277389276,5.23678760768721
direct_snn,short_mid,timestep_ce,multi_h,31,1.0,11,output_whole_count,100,0.4540814062367025,0.29844877344877346,0.28595571095571093,0.3082191780821918,0.2365962496109555,0.28595571095571093,11.193961232604373
direct_snn,short_mid,timestep_ce,multi_h,31,1.0,23,output_whole_count,77,0.37942556901005847,0.27037037037037037,0.2813020313020313,0.2945205479452055,0.23657595575403798,0.2813020313020313,6.374378727634195
direct_snn,short_mid,timestep_ce,multi_h,31,1.0,37,output_whole_count,96,0.4614045424583298,0.3010582010582011,0.2677607115107115,0.2808219178082192,0.21120232614633508,0.2677607115107115,9.612657388999338
direct_snn,short_mid,timestep_ce,multi_h,31,1.0,53,output_whole_count,99,0.4976131638012926,0.2999699374699375,0.28708097458097454,0.3013698630136986,0.23571334257608764,0.28708097458097454,10.368621603711066
direct_snn,short_mid,timestep_ce,multi_h,31,1.0,71,output_whole_count,100,0.4664110153011373,0.28591269841269845,0.33874458874458874,0.363013698630137,0.2597124636598321,0.33874458874458874,12.854332339297548
direct_snn,mid_long,whole_count_ce,binary,1,1.0,11,output_whole_count,97,0.9453762187092237,0.4307359307359307,0.432004107004107,0.4520547945205479,0.4072415799544733,0.432004107004107,12.877982107355864
direct_snn,mid_long,whole_count_ce,binary,1,1.0,23,output_whole_count,53,0.8407322192623097,0.43730759980759987,0.41713009213009206,0.4383561643835616,0.39849408508828793,0.41713009213009206,11.984095427435388
direct_snn,mid_long,whole_count_ce,binary,1,1.0,37,output_whole_count,71,0.9011104192436911,0.32662938912938916,0.40120990120990113,0.4041095890410959,0.38490189567775773,0.40120990120990113,10.528330019880716
direct_snn,mid_long,whole_count_ce,binary,1,1.0,53,output_whole_count,69,0.8686041827255218,0.39054834054834053,0.3507048507048507,0.363013698630137,0.32877487522224363,0.3507048507048507,11.504307488402915
direct_snn,mid_long,whole_count_ce,binary,1,1.0,71,output_whole_count,94,0.9366724900576623,0.3833453583453584,0.40290057165057164,0.410958904109589,0.3861505790961129,0.40290057165057164,11.332049370444002
