anchor,residual_mode,seed,alpha,split,anchor_argmax_changed_fraction,anchor_vs_residual_weight_cosine_mean,delta_z_l2_mean,delta_z_l2_median,delta_z_saturation_fraction,n_valid_timesteps,q_kl_to_anchor_mean,q_l1_mean,relative_evidence_correction_mean,relative_evidence_correction_median,relative_weight_correction_mean,relative_weight_correction_median
oracle_progress,reset,37,0.25,test,0.0,0.9999999999982156,0.0,0.0,0.0,12072,0.0,0.0,0.0,0.0,0.0,0.0
oracle_progress,reset,37,0.25,train,0.0,0.9999999999982143,0.0,0.0,0.0,59707,0.0,0.0,0.0,0.0,0.0,0.0
oracle_progress,reset,37,0.25,val,0.0,0.999999999998215,0.0,0.0,0.0,11391,0.0,0.0,0.0,0.0,0.0,0.0
oracle_progress,lag1,37,0.25,test,0.0,0.9999999999982156,0.0,0.0,0.0,12072,0.0,0.0,0.0,0.0,0.0,0.0
oracle_progress,lag1,37,0.25,train,0.0,0.9999999999982143,0.0,0.0,0.0,59707,0.0,0.0,0.0,0.0,0.0,0.0
oracle_progress,lag1,37,0.25,val,0.0,0.999999999998215,0.0,0.0,0.0,11391,0.0,0.0,0.0,0.0,0.0,0.0
oracle_progress,ordered,37,0.25,test,0.0,0.9999999999982156,0.0,0.0,0.0,12072,0.0,0.0,0.0,0.0,0.0,0.0
oracle_progress,ordered,37,0.25,train,0.0,0.9999999999982143,0.0,0.0,0.0,59707,0.0,0.0,0.0,0.0,0.0,0.0
oracle_progress,ordered,37,0.25,val,0.0,0.999999999998215,0.0,0.0,0.0,11391,0.0,0.0,0.0,0.0,0.0,0.0
clock,coordinate,53,0.25,test,0.0,0.9999999999990428,0.0,0.0,0.0,12072,0.0,0.0,0.0,0.0,0.0,0.0
clock,coordinate,53,0.25,train,0.0,0.9999999999990518,0.0,0.0,0.0,59707,0.0,0.0,0.0,0.0,0.0,0.0
clock,coordinate,53,0.25,val,0.0,0.9999999999990445,0.0,0.0,0.0,11391,0.0,0.0,0.0,0.0,0.0,0.0
clock,reset,53,0.25,test,0.0,0.9999999999990428,0.0,0.0,0.0,12072,0.0,0.0,0.0,0.0,0.0,0.0
clock,reset,53,0.25,train,0.0,0.9999999999990518,0.0,0.0,0.0,59707,0.0,0.0,0.0,0.0,0.0,0.0
clock,reset,53,0.25,val,0.0,0.9999999999990445,0.0,0.0,0.0,11391,0.0,0.0,0.0,0.0,0.0,0.0
clock,lag1,53,0.25,test,0.0,0.9999999999990428,0.0,0.0,0.0,12072,0.0,0.0,0.0,0.0,0.0,0.0
clock,lag1,53,0.25,train,0.0,0.9999999999990518,0.0,0.0,0.0,59707,0.0,0.0,0.0,0.0,0.0,0.0
clock,lag1,53,0.25,val,0.0,0.9999999999990445,0.0,0.0,0.0,11391,0.0,0.0,0.0,0.0,0.0,0.0
clock,ordered,53,0.25,test,0.0,0.9999999999990428,0.0,0.0,0.0,12072,0.0,0.0,0.0,0.0,0.0,0.0
clock,ordered,53,0.25,train,0.0,0.9999999999990518,0.0,0.0,0.0,59707,0.0,0.0,0.0,0.0,0.0,0.0
clock,ordered,53,0.25,val,0.0,0.9999999999990445,0.0,0.0,0.0,11391,0.0,0.0,0.0,0.0,0.0,0.0
oracle_progress,coordinate,53,0.25,test,0.17594433399602386,0.9994920029251124,0.2109179426539889,0.20635016556259023,0.0,12072,0.002183168973605043,0.05659325310303846,0.0250489998241817,0.022774654331021084,0.030770073178425242,0.026694007162309047
oracle_progress,coordinate,53,0.25,train,0.1755908017485387,0.9994926889538146,0.21082412673386108,0.20635016556259023,0.0,59707,0.0021805631069301613,0.05656655531428411,0.025051174689908362,0.02264323297830333,0.030756125233031277,0.026694007162309047
oracle_progress,coordinate,53,0.25,val,0.1746993240277412,0.9994923028192516,0.21087684880649907,0.20635016556259023,0.0,11391,0.0021820281578000572,0.05658157519742653,0.024792026964374252,0.021959878385966317,0.03076398148955068,0.026694007162309047
oracle_progress,reset,53,0.25,test,0.11812458581842279,0.9997575286295278,0.1385780413031216,0.14382130289901568,0.0,12072,0.0010465058409905082,0.03488497224772684,0.017570302715415126,0.014953176021128053,0.019378526623945642,0.018652982241373503
oracle_progress,reset,53,0.25,train,0.11591605674376539,0.9997360895601127,0.13617162593715346,0.14035740855322715,0.0,59707,0.0011149016988323387,0.03620513549480701,0.018487644897442795,0.015775832508313378,0.02022903894116837,0.01926211342977187
oracle_progress,reset,53,0.25,val,0.10148362742516022,0.9997993512886117,0.12245007753438446,0.12331264760264407,0.0,11391,0.0008631601521139343,0.03113852262467656,0.01611855350720243,0.01348593009015712,0.017499571409913508,0.016556855708944215
oracle_progress,lag1,53,0.25,test,0.13436050364479787,0.9996062857572224,0.17106817200183214,0.1708106612523131,1.035453943008615e-05,12072,0.0016553825882079558,0.04243723973308009,0.02391668769742661,0.02008985278639846,0.024717216435057452,0.023465587940776612
oracle_progress,lag1,53,0.25,train,0.13164285594653893,0.9995997425916808,0.1677174394337236,0.16512387574892273,6.280670608136399e-06,59707,0.0016609883745044016,0.04309861038204851,0.02409122380447321,0.02053941350648038,0.02507763777365542,0.023646699858420304
oracle_progress,lag1,53,0.25,val,0.11588095865156703,0.9996797963144561,0.15288505319859483,0.145395518968265,1.0973575629883242e-05,11391,0.0013537953328778174,0.03829137925630875,0.021053962553129666,0.01721161926871629,0.02222240594504568,0.02050869947209082
oracle_progress,ordered,53,0.25,test,0.07861166335321405,0.9998612185560976,0.11474276772814326,0.1141927462217623,0.0,12072,0.0005757671452167012,0.02588707893670347,0.014371867107311205,0.0123936583148812,0.015083242095790905,0.013308219123105612
oracle_progress,ordered,53,0.25,train,0.08061031369856131,0.9998307805964646,0.11743513740072671,0.11543936403618307,0.0,59707,0.0006917933736152204,0.0285672202659504,0.0159895233266185,0.013682059913702065,0.01667793573661511,0.014992475766330603
oracle_progress,ordered,53,0.25,val,0.07268896497234659,0.9998619800029094,0.11103737578294923,0.10669283358112208,0.0,11391,0.0005721103911841388,0.025700125368293945,0.014147544507495955,0.012261476444672126,0.01517230943405763,0.013564539374150827
clock,coordinate,71,0.25,test,0.0,0.9999999999971817,0.0,0.0,0.0,12072,0.0,0.0,0.0,0.0,0.0,0.0
clock,coordinate,71,0.25,train,0.0,0.9999999999971126,0.0,0.0,0.0,59707,0.0,0.0,0.0,0.0,0.0,0.0
clock,coordinate,71,0.25,val,0.0,0.9999999999971512,0.0,0.0,0.0,11391,0.0,0.0,0.0,0.0,0.0,0.0
clock,reset,71,0.25,test,0.14338966202783301,0.9987185704759599,0.19002717919919052,0.20432352935497644,0.0,12072,0.0018734940317563214,0.04551853455460227,0.04281640118655729,0.03924888232853187,0.041883385935611,0.04066226170136128
clock,reset,71,0.25,train,0.12164402833838578,0.9989007673773254,0.17976989367678217,0.1799960552929772,0.0,59707,0.001688551774035797,0.041945212584751077,0.037546689433294825,0.032802824111033906,0.03866768097428709,0.0355068839143275
clock,reset,71,0.25,val,0.13765253270125538,0.9986645433003859,0.18294856344631252,0.18888496680159553,0.0,11391,0.0019705197795140874,0.046027431845092615,0.040771941959725486,0.03650536071845683,0.04212740279511666,0.04051642667917598
clock,lag1,71,0.25,test,0.07604373757455268,0.9998126874416485,0.054953514509713176,0.05993637984682745,0.0,12072,0.0002265833309291455,0.015866451417896735,0.01600576897515176,0.015492315657030447,0.016571541831244683,0.018471650662883983
clock,lag1,71,0.25,train,0.06597216406786474,0.9998431898312454,0.050970301697297424,0.052570603711725866,0.0,59707,0.00019811461656310628,0.01473662370198024,0.013427046225843897,0.012881609391330321,0.015020223452904513,0.015701639945033766
clock,lag1,71,0.25,val,0.06549029935914319,0.9998481773230129,0.04738746772321662,0.04754682788070315,0.0,11391,0.00018619686307057472,0.013768722760746688,0.01291242401545109,0.012186355443328387,0.014276829076783598,0.01456531492916611
clock,ordered,71,0.25,test,0.0,0.9999999999971817,0.0,0.0,0.0,12072,0.0,0.0,0.0,0.0,0.0,0.0
clock,ordered,71,0.25,train,0.0,0.9999999999971126,0.0,0.0,0.0,59707,0.0,0.0,0.0,0.0,0.0,0.0
clock,ordered,71,0.25,val,0.0,0.9999999999971512,0.0,0.0,0.0,11391,0.0,0.0,0.0,0.0,0.0,0.0
oracle_progress,coordinate,71,0.25,test,0.0,0.9999999999976549,0.0,0.0,0.0,12072,0.0,0.0,0.0,0.0,0.0,0.0
oracle_progress,coordinate,71,0.25,train,0.0,0.9999999999976532,0.0,0.0,0.0,59707,0.0,0.0,0.0,0.0,0.0,0.0
oracle_progress,coordinate,71,0.25,val,0.0,0.9999999999976541,0.0,0.0,0.0,11391,0.0,0.0,0.0,0.0,0.0,0.0
oracle_progress,reset,71,0.25,test,0.0,0.9999999999976549,0.0,0.0,0.0,12072,0.0,0.0,0.0,0.0,0.0,0.0
oracle_progress,reset,71,0.25,train,0.0,0.9999999999976532,0.0,0.0,0.0,59707,0.0,0.0,0.0,0.0,0.0,0.0
oracle_progress,reset,71,0.25,val,0.0,0.9999999999976541,0.0,0.0,0.0,11391,0.0,0.0,0.0,0.0,0.0,0.0
oracle_progress,lag1,71,0.25,test,0.0,0.9999999999976549,0.0,0.0,0.0,12072,0.0,0.0,0.0,0.0,0.0,0.0
oracle_progress,lag1,71,0.25,train,0.0,0.9999999999976532,0.0,0.0,0.0,59707,0.0,0.0,0.0,0.0,0.0,0.0
oracle_progress,lag1,71,0.25,val,0.0,0.9999999999976541,0.0,0.0,0.0,11391,0.0,0.0,0.0,0.0,0.0,0.0
oracle_progress,ordered,71,0.25,test,0.0,0.9999999999976549,0.0,0.0,0.0,12072,0.0,0.0,0.0,0.0,0.0,0.0
oracle_progress,ordered,71,0.25,train,0.0,0.9999999999976532,0.0,0.0,0.0,59707,0.0,0.0,0.0,0.0,0.0,0.0
oracle_progress,ordered,71,0.25,val,0.0,0.9999999999976541,0.0,0.0,0.0,11391,0.0,0.0,0.0,0.0,0.0,0.0
