anchor,seed,sample_a,timestep_a,label_a,sample_b,timestep_b,label_b,what_cosine_similarity,what_norm_ratio,coordinate_a,coordinate_b,coordinate_abs_delta,anchor_q_l1_distance,delta_z_l1_distance,q_l1_distance,delta_w_pair_fro,top_support_a,top_support_b,different_top_support,anchor_margin_a,residual_margin_a,margin_delta_a,anchor_margin_b,residual_margin_b,margin_delta_b
clock,53,80,24,2,57,21,8,1.0,1.0,0.375,0.328125,0.046875,0.0342545740713831,0.0,0.0342545740713831,0.0,2,2,False,0.0352840311825275,0.0352840311825275,0.0,-0.0612568664364516,-0.0612568664364516,0.0
clock,53,100,18,6,134,17,9,1.0,1.0,0.28125,0.265625,0.015625,0.0109005464910296,0.0,0.0109005464910296,0.0,8,8,False,-0.0681801494210958,-0.0681801494210958,0.0,-0.0386188374832272,-0.0386188374832272,0.0
clock,53,109,14,7,123,12,10,1.0,1.0,0.21875,0.1875,0.03125,0.0208114916113117,0.0,0.0208114916113117,0.0,3,3,False,-0.0099294353276491,-0.0099294353276491,0.0,-0.019396461546421,-0.019396461546421,0.0
clock,53,132,13,6,51,11,0,1.0,1.0,0.203125,0.171875,0.03125,0.0205859660509304,0.0,0.0205859660509304,0.0,4,4,False,-0.0019178353250026,-0.0019178353250026,0.0,-0.0175315272063016,-0.0175315272063016,0.0
clock,53,136,15,5,75,17,8,1.0,1.0,0.234375,0.265625,0.03125,0.021476035224623,0.0,0.021476035224623,0.0,7,7,False,-0.047101006610319,-0.047101006610319,0.0,-0.0071441307663917,-0.0071441307663917,0.0
oracle_progress,53,80,29,2,130,34,7,1.0,1.0,0.3918918918918919,0.3655913978494624,0.0263004940424295,0.0950715257786214,0.0107158962637186,0.0964130638167262,0.0012463441769998,2,2,False,0.0389073938131332,0.0393575299531221,0.0004501361399888,-0.0650611226446926,-0.0656297997338697,-0.000568677089177
oracle_progress,53,142,10,10,132,13,6,1.0,1.0,0.1785714285714285,0.1529411764705882,0.0256302521008403,0.0810146634612465,0.0074608055874705,0.0809609081188682,0.0006949894031241,4,4,False,-0.0348806343972682,-0.0346914557740092,0.000189178623259,-0.0244643278419971,-0.0242383852601051,0.000225942581892
oracle_progress,53,127,15,4,132,13,6,1.0,1.0,0.1851851851851851,0.1529411764705882,0.0322440087145969,0.1022232883988181,0.0025146238040179,0.1012290811049752,0.0011797447875752,4,4,False,0.0258337836712598,0.0255711022764444,-0.0002626813948154,-0.0244643278419971,-0.0242383852601051,0.000225942581892
oracle_progress,53,80,24,2,130,34,7,1.0,1.0,0.3243243243243243,0.3655913978494624,0.041267073525138,0.1487516412744298,0.0002777040936052,0.1489062074106186,0.0017781578598174,2,2,False,0.0457769520580768,0.0462644062936306,0.0004874542355537,-0.0650611226446926,-0.0656297997338697,-0.000568677089177
clock,71,8,5,6,55,6,4,1.0,1.0,0.078125,0.09375,0.015625,0.0097324139132979,0.0,0.0097324139132979,0.0,8,8,False,-0.0267343008890748,-0.0267343008890748,0.0,-0.0343048453796654,-0.0343048453796654,0.0
clock,71,21,2,2,43,6,9,1.0,1.0,0.03125,0.09375,0.0625,0.0388733679428696,0.0,0.0388733679428696,0.0,7,11,True,-0.0223635081201791,-0.0223635081201791,0.0,-0.0289419572800397,-0.0289419572800397,0.0
clock,71,55,5,4,56,9,3,1.0,1.0,0.078125,0.140625,0.0625,0.038961592889791,0.0,0.038961592889791,0.0,11,11,False,-0.0354038532823324,-0.0354038532823324,0.0,-0.0311821768991649,-0.0311821768991649,0.0
clock,71,55,6,4,56,7,3,1.0,1.0,0.09375,0.109375,0.015625,0.0097389094453319,0.0,0.0097389094453319,0.0,8,8,False,-0.0343048453796654,-0.0343048453796654,0.0,-0.0460090488195419,-0.0460090488195419,0.0
clock,71,55,8,4,56,9,3,1.0,1.0,0.125,0.140625,0.015625,0.0098923604236915,0.0,0.0098923604236915,0.0,11,11,False,-0.0344428140670061,-0.0344428140670061,0.0,-0.0311821768991649,-0.0311821768991649,0.0
clock,71,56,7,3,8,5,6,1.0,1.0,0.109375,0.078125,0.03125,0.0194713233586298,0.0,0.0194713233586298,0.0,8,8,False,-0.0460090488195419,-0.0460090488195419,0.0,-0.0267343008890748,-0.0267343008890748,0.0
