contrast,backbone_objective,head_objective,seed,left_case,right_case,analog_delta_pp,lif_delta_pp
C2_minus_C0_lbfgs_vs_adam100,wcce,wcce,37,C2_lbfgs_noreg,C0_adam100,-4.856324231324239,-18.30433455433455
C3_minus_C2_regularization,wcce,wcce,11,C3_lbfgs_reg,C2_lbfgs_noreg,0.07804695304695075,5.692432567432576
C3_minus_C2_regularization,wcce,wcce,23,C3_lbfgs_reg,C2_lbfgs_noreg,4.025072150072151,9.538655788655786
C3_minus_C2_regularization,wcce,wcce,37,C3_lbfgs_reg,C2_lbfgs_noreg,2.511030636030631,12.710414585414576
C4_minus_C3_feature_scaling,wcce,wcce,11,C4_scale_lbfgs_reg,C3_lbfgs_reg,2.6237651237651205,-5.366647241647243
C4_minus_C3_feature_scaling,wcce,wcce,23,C4_scale_lbfgs_reg,C3_lbfgs_reg,-5.833333333333335,-0.9264346764346676
C4_minus_C3_feature_scaling,wcce,wcce,37,C4_scale_lbfgs_reg,C3_lbfgs_reg,3.4325396825396925,0.26674714174715897
Ref_minus_C4_convergence_budget,wcce,wcce,11,Ref_scale_lbfgs_converged,C4_scale_lbfgs_reg,-1.35281385281385,0.694444444444442
Ref_minus_C4_convergence_budget,wcce,wcce,23,Ref_scale_lbfgs_converged,C4_scale_lbfgs_reg,-0.5952380952380931,1.2362637362637319
Ref_minus_C4_convergence_budget,wcce,wcce,37,Ref_scale_lbfgs_converged,C4_scale_lbfgs_reg,0.0,0.0
wcce_minus_tsce_objective,tsce,wcce_minus_tsce,11,C0_adam100,C0_adam100,4.748931623931629,5.078740703740708
wcce_minus_tsce_objective,tsce,wcce_minus_tsce,23,C0_adam100,C0_adam100,2.90161227661227,1.3489982239982268
wcce_minus_tsce_objective,tsce,wcce_minus_tsce,37,C0_adam100,C0_adam100,5.7695776445776445,11.684149184149167
wcce_minus_tsce_objective,tsce,wcce_minus_tsce,11,C1_adam500,C1_adam500,0.5689449439449379,1.3413669663669747
wcce_minus_tsce_objective,tsce,wcce_minus_tsce,23,C1_adam500,C1_adam500,3.1255550005550026,-1.1845793095792923
wcce_minus_tsce_objective,tsce,wcce_minus_tsce,37,C1_adam500,C1_adam500,5.589688089688099,8.83331945831945
wcce_minus_tsce_objective,tsce,wcce_minus_tsce,11,C2_lbfgs_noreg,C2_lbfgs_noreg,-0.3570734820734778,-2.5184537684537656
wcce_minus_tsce_objective,tsce,wcce_minus_tsce,23,C2_lbfgs_noreg,C2_lbfgs_noreg,3.5943223443223484,-7.43124930624931
wcce_minus_tsce_objective,tsce,wcce_minus_tsce,37,C2_lbfgs_noreg,C2_lbfgs_noreg,-8.130341880341879,-3.6262348762348795
wcce_minus_tsce_objective,tsce,wcce_minus_tsce,11,C3_lbfgs_reg,C3_lbfgs_reg,-2.0758408258408356,1.1693167943167881
wcce_minus_tsce_objective,tsce,wcce_minus_tsce,23,C3_lbfgs_reg,C3_lbfgs_reg,8.295523920523918,3.3430458430458443
wcce_minus_tsce_objective,tsce,wcce_minus_tsce,37,C3_lbfgs_reg,C3_lbfgs_reg,2.41147741147742,5.437201687201681
wcce_minus_tsce_objective,tsce,wcce_minus_tsce,11,C4_scale_lbfgs_reg,C4_scale_lbfgs_reg,2.316294816294806,2.7453796203796177
wcce_minus_tsce_objective,tsce,wcce_minus_tsce,23,C4_scale_lbfgs_reg,C4_scale_lbfgs_reg,7.871225996226,0.37046287046286763
wcce_minus_tsce_objective,tsce,wcce_minus_tsce,37,C4_scale_lbfgs_reg,C4_scale_lbfgs_reg,5.641580641580651,6.451812076812081
wcce_minus_tsce_objective,tsce,wcce_minus_tsce,11,Ref_scale_lbfgs_converged,Ref_scale_lbfgs_converged,2.316294816294806,2.7453796203796177
wcce_minus_tsce_objective,tsce,wcce_minus_tsce,23,Ref_scale_lbfgs_converged,Ref_scale_lbfgs_converged,7.871225996226,0.37046287046286763
wcce_minus_tsce_objective,tsce,wcce_minus_tsce,37,Ref_scale_lbfgs_converged,Ref_scale_lbfgs_converged,4.884004884004894,6.451812076812081
wcce_minus_tsce_objective,wcce,wcce_minus_tsce,11,C0_adam100,C0_adam100,4.377081252081255,3.2075563325563436
wcce_minus_tsce_objective,wcce,wcce_minus_tsce,23,C0_adam100,C0_adam100,8.197705072705075,-0.14991952491951732
wcce_minus_tsce_objective,wcce,wcce_minus_tsce,37,C0_adam100,C0_adam100,9.646950271950272,8.300033300033288
wcce_minus_tsce_objective,wcce,wcce_minus_tsce,11,C1_adam500,C1_adam500,0.574078699078695,0.045787545787545625
wcce_minus_tsce_objective,wcce,wcce_minus_tsce,23,C1_adam500,C1_adam500,8.066031191031197,0.3930097680097666
wcce_minus_tsce_objective,wcce,wcce_minus_tsce,37,C1_adam500,C1_adam500,8.269161394161396,3.4404484404484403
wcce_minus_tsce_objective,wcce,wcce_minus_tsce,11,C2_lbfgs_noreg,C2_lbfgs_noreg,5.395299145299154,1.4283633033632948
wcce_minus_tsce_objective,wcce,wcce_minus_tsce,23,C2_lbfgs_noreg,C2_lbfgs_noreg,2.209665334665334,-5.714701964701973
wcce_minus_tsce_objective,wcce,wcce_minus_tsce,37,C2_lbfgs_noreg,C2_lbfgs_noreg,3.724192474192467,-1.0980685980686022
wcce_minus_tsce_objective,wcce,wcce_minus_tsce,11,C3_lbfgs_reg,C3_lbfgs_reg,4.782717282717291,-1.7949411699411666
wcce_minus_tsce_objective,wcce,wcce_minus_tsce,23,C3_lbfgs_reg,C3_lbfgs_reg,6.234737484737485,3.823953823953813
wcce_minus_tsce_objective,wcce,wcce_minus_tsce,37,C3_lbfgs_reg,C3_lbfgs_reg,5.594197469197459,10.584207459207452
wcce_minus_tsce_objective,wcce,wcce_minus_tsce,11,C4_scale_lbfgs_reg,C4_scale_lbfgs_reg,7.261488511488517,-3.5232128982129076
wcce_minus_tsce_objective,wcce,wcce_minus_tsce,23,C4_scale_lbfgs_reg,C4_scale_lbfgs_reg,1.0424297924297998,2.1399433899433884
wcce_minus_tsce_objective,wcce,wcce_minus_tsce,37,C4_scale_lbfgs_reg,C4_scale_lbfgs_reg,10.217213342213338,10.41805416805417
wcce_minus_tsce_objective,wcce,wcce_minus_tsce,11,Ref_scale_lbfgs_converged,Ref_scale_lbfgs_converged,5.908674658674667,-2.8287684537684656
wcce_minus_tsce_objective,wcce,wcce_minus_tsce,23,Ref_scale_lbfgs_converged,Ref_scale_lbfgs_converged,-0.19383394383394315,2.8975191475191453
wcce_minus_tsce_objective,wcce,wcce_minus_tsce,37,Ref_scale_lbfgs_converged,Ref_scale_lbfgs_converged,10.217213342213338,10.41805416805417
