temporal_mode,method,seed,best_epoch,test_ba,test_accuracy,test_macro_f1,l2_wholecount_probe_test_ba,l2_fixed250_probe_test_ba,activity_mean,spread_mean,confidence_mean,entropy_mean,primitive_effective_k
raw,r0b_analog,23,62,0.4809926184926184,0.4863013698630137,0.470233130628515,0.5878697691197691,0.6055305805305805,5.644927978515625,2.3788700103759766,0.4547092914581299,2.386272430419922,8.124371528625488
raw,r0b_analog,37,21,0.4659916472416472,0.4726027397260274,0.45806939777709016,0.5951208513708514,0.5611131923631923,5.763797283172607,2.3127357959747314,0.39520108699798584,2.4112584590911865,10.745782852172852
raw,r1_what,11,68,0.4208756521256521,0.4383561643835616,0.3906928537468675,0.5758297258297258,0.5716290653790653,5.849430084228516,3.02561354637146,0.4530683755874634,2.371865749359131,9.118794441223145
raw,r1_what,23,96,0.5352314352314352,0.541095890410959,0.5304403300853605,0.5878697691197691,0.6055305805305805,5.644927978515625,2.5977935791015625,0.5261461138725281,2.3271350860595703,9.192026138305664
raw,r1_what,37,93,0.46105214230214225,0.4657534246575342,0.45596367685183464,0.5951208513708514,0.5845980408480408,5.763797283172607,2.4804649353027344,0.43126094341278076,2.3860015869140625,12.650389671325684
raw,r2_main_frozen,11,82,0.4028832278832279,0.4246575342465753,0.3651546881620989,0.5758297258297258,0.5716290653790653,5.849430084228516,9.856411933898926,0.1711476594209671,2.5510947704315186,5.798757076263428
raw,r2_main_frozen,23,91,0.5209949772449772,0.5205479452054794,0.49603083371782425,0.5878697691197691,0.6055305805305805,5.644927978515625,8.93167781829834,0.22122922539710999,2.5371079444885254,3.1882574558258057
raw,r2_main_frozen,37,87,0.46908577533577533,0.4726027397260274,0.45945668819988233,0.5951208513708514,0.5845980408480408,5.763797283172607,7.852811336517334,0.16765400767326355,2.542102098464966,6.4728169441223145
raw,r2_main_e2e,11,100,0.39359598734598733,0.410958904109589,0.37162296224796226,0.5854347041847041,0.5970619658119658,5.459319591522217,7.524921894073486,0.22065339982509613,2.5301215648651123,5.766927719116211
raw,r2_main_e2e,23,74,0.5187271062271062,0.5342465753424658,0.5093622123042861,0.5683913308913308,0.6086420523920524,5.351442337036133,7.547597408294678,0.2182561308145523,2.5244200229644775,3.3918955326080322
raw,r2_main_e2e,37,72,0.4933531746031745,0.5,0.4879971794421642,0.5554174991674993,0.5679313741813742,5.569718837738037,6.960194110870361,0.18235169351100922,2.5245678424835205,6.208225250244141
ema,r0b_analog,11,60,0.4275946275946276,0.4452054794520548,0.40497535649229754,0.5758297258297258,0.5716290653790653,0.3655893802642822,0.20902445912361145,0.3330394923686981,2.405851364135742,7.465287208557129
ema,r0b_analog,23,40,0.5071671384171385,0.5068493150684932,0.4932914326662092,0.5878697691197691,0.6055305805305805,0.35280799865722656,0.17231446504592896,0.3724404573440552,2.4327785968780518,9.284997940063477
ema,r0b_analog,37,61,0.4861797924297924,0.4931506849315068,0.47708310302939455,0.5951208513708514,0.5611131923631923,0.36023733019828796,0.20193244516849518,0.34785985946655273,2.4106509685516357,7.986709117889404
ema,r1_what,11,81,0.43797730047730044,0.4452054794520548,0.4149994823240437,0.5758297258297258,0.5716290653790653,0.3655893802642822,0.2005247324705124,0.4551885426044464,2.3681206703186035,10.248819351196289
ema,r1_what,23,89,0.4914543789543789,0.5,0.4815423782234311,0.5878697691197691,0.6055305805305805,0.35280799865722656,0.15438397228717804,0.42750367522239685,2.378035545349121,12.732924461364746
ema,r1_what,37,94,0.4810668498168498,0.4863013698630137,0.4626565783144731,0.5951208513708514,0.5845980408480408,0.36023733019828796,0.16469219326972961,0.5335219502449036,2.3460350036621094,10.058171272277832
ema,r2_main_frozen,11,71,0.4676760739260739,0.4863013698630137,0.4582604459416053,0.5758297258297258,0.5716290653790653,0.3655893802642822,0.18006350100040436,0.6086134314537048,2.280142068862915,10.084928512573242
ema,r2_main_frozen,23,16,0.45051753801753797,0.4726027397260274,0.42544354950226076,0.5878697691197691,0.6055305805305805,0.35280799865722656,0.19451479613780975,0.4326677918434143,2.356438159942627,10.379602432250977
ema,r2_main_frozen,37,87,0.483696164946165,0.4931506849315068,0.46277233611514323,0.5951208513708514,0.5845980408480408,0.36023733019828796,0.15488171577453613,0.6469818949699402,2.2888734340667725,8.91846752166748
ema,r2_main_e2e,11,65,0.5139312076812077,0.5342465753424658,0.4925000437634846,0.538793845043845,0.5749139749139749,0.40135815739631653,0.15518012642860413,0.6512778401374817,2.2702348232269287,9.521150588989258
ema,r2_main_e2e,23,31,0.5321560384060383,0.541095890410959,0.5199438317342651,0.583840465090465,0.5783480408480407,0.381534606218338,0.16863875091075897,0.48375794291496277,2.337211847305298,10.733451843261719
ema,r2_main_e2e,37,92,0.510788517038517,0.5136986301369864,0.49543657608201963,0.5644931457431457,0.5577152014652015,0.4112683832645416,0.1262245774269104,0.6671730875968933,2.2721712589263916,9.206613540649414
