condition,hidden_width,seed,parameter_count,recurrent_parameter_count,ordered_phase_ba,reset_phase_ba,shuffle_phase_ba,H_reset_phase_ba,H_shuffle_phase_ba,ordered_progress_mae,reset_progress_mae,shuffle_progress_mae,H_reset_progress_mae,H_shuffle_progress_mae,ordered_spearman,reset_spearman,shuffle_spearman,H_reset_spearman,H_shuffle_spearman,ordered_monotonic_violation,reset_monotonic_violation,shuffle_monotonic_violation
rsnn_h64,64,23,13003,4096,0.3541922843222187,0.3122101328863486,0.23087310104698106,0.04198215143587014,0.12331918327523766,0.1227193406642708,0.15055578620466467,0.19138410534352474,0.02783644554039387,0.06866476467925393,0.9260924425322121,0.8522796015003571,0.62061178703718,0.07381284103185504,0.3054806554950321,0.2976791107004038,0.406339104809498,0.437084277250886
rsnn_h64,64,37,13003,4096,0.3602899586154812,0.30628936308909643,0.24277483769643146,0.054000595526384754,0.11751512091904973,0.1225855046347396,0.15199152599662952,0.18471710014424914,0.02940602136188991,0.06213159550950953,0.9445399780545775,0.8380653240313659,0.6378506602412214,0.10647465402321155,0.30668931781335607,0.29602030697471116,0.4024445111449447,0.4410187085116587
rsnn_h64,64,53,13003,4096,0.3631138477252782,0.3106626240878413,0.2585661679143313,0.05245122363743693,0.10454767981094693,0.12453360896404475,0.15265965431112133,0.17247707346734936,0.028126045347076578,0.04794346450330461,0.9461542709958423,0.8362718410037796,0.6740317643533602,0.10988242999206266,0.27212250664248205,0.28578205924497246,0.39744493057743596,0.4258013379282815
rsnn_h64,64,71,13003,4096,0.36116299454922396,0.3055335806638685,0.25911148513402094,0.05562941388535547,0.10205150941520302,0.12678890001692183,0.15130291618917086,0.17571032594328057,0.02451401617224902,0.04892142592635873,0.9129149720426749,0.8501982907244722,0.7046362141953982,0.06271668131820274,0.20827875784727667,0.29542355874772724,0.3954204909967381,0.43587408135913047
rsnn_h128,128,11,34187,16384,0.3481714864119483,0.3246198722954782,0.2493964009624096,0.02355161411647011,0.0987750854495387,0.13266582024117854,0.14779110257960346,0.17587709564664591,0.015125282338424917,0.043211275405467375,0.9264254260383958,0.8629495258429777,0.6877201750499395,0.06347590019541816,0.2387052509884563,0.30862193642621094,0.4038899418913728,0.443868381611638
rsnn_h128,128,23,34187,16384,0.3576434880825815,0.3183405229661155,0.24461044693735987,0.039302965116466027,0.11303304114522164,0.12589459807599243,0.14065277142679855,0.18918556705729603,0.01475817335080612,0.0632909689813036,0.9395810176283493,0.8847567301519155,0.6141305032144636,0.054824287476433864,0.3254505144138857,0.3030409900176451,0.3969207488160891,0.44690702760337564
rsnn_h128,128,37,34187,16384,0.3659087080060165,0.3166738576727945,0.25828873344776604,0.049234850333222,0.10761997455825045,0.12127327816943599,0.14553304154374827,0.17168096368239352,0.02425976337431228,0.05040768551295753,0.9395756636015129,0.8554857152779421,0.7333821800824207,0.08408994832357075,0.20619348351909217,0.29825381565807124,0.4009165989687589,0.43267201055556265
rsnn_h128,128,53,34187,16384,0.3405754742306007,0.3184065341392488,0.2532142739733213,0.022168940091351896,0.08736120025727939,0.1269393626039159,0.14661484574006028,0.18475135933250597,0.019675483136144395,0.05781199672859008,0.9367363957381724,0.8611042261078335,0.6954427045761865,0.07563216963033881,0.24129369116198585,0.29598225320782473,0.3919282125055742,0.4463857135796826
rsnn_h128,128,71,34187,16384,0.3717326521581389,0.3087480807598704,0.26283428246581464,0.06298457139826846,0.10889836969232425,0.12240290356008973,0.14714415203014466,0.17497389249197423,0.024741248470054933,0.0525709889318845,0.9284715684175325,0.8614432451891231,0.6861429436913686,0.06702832322840946,0.2423286247261639,0.2959925621448634,0.3993664445105454,0.44583304123759593
rsnn_h256,256,11,101131,65536,0.3551646712242136,0.3214266817796704,0.23283939296665337,0.033737989444543204,0.1223252782575602,0.1333348804140744,0.1457442186568698,0.19777199347337632,0.012409338242795387,0.06443711305930191,0.9122128494241847,0.8707040171306134,0.5566038866956712,0.041508832293571274,0.3556089627285135,0.30445971645915604,0.3978131203268188,0.4586659824679641
rsnn_h256,256,23,101131,65536,0.3544649388872691,0.3234566670416641,0.2668692396802836,0.031008271845605007,0.08759569920698551,0.1265848846723364,0.13903434671563644,0.17182620609663937,0.012449462043300052,0.04524132142430298,0.9340307664774349,0.8869937762571618,0.7084832643477096,0.04703699022027308,0.2255475021297253,0.3014307202188329,0.3985319123228294,0.44775218087150426
rsnn_h256,256,37,101131,65536,0.36118814784378195,0.327876405823785,0.24904535058354557,0.033311742019996926,0.11214279726023638,0.12232953215604775,0.14216121240225557,0.18353168998066693,0.019831680246207822,0.061202157824619186,0.943552247228909,0.871756879028919,0.6366097333483747,0.07179536819999,0.3069425138805343,0.31000004628840055,0.3954985882329816,0.45544190103774634
rsnn_h256,256,53,101131,65536,0.35384864302847285,0.3233917949397641,0.26437439643616134,0.030456848088708743,0.08947424659231151,0.1276057969064337,0.1423595145038546,0.17970880086291327,0.01475371759742089,0.05210300395647957,0.923981145567678,0.8702541779294698,0.6775697883066248,0.05372696763820817,0.24641135726105312,0.31091893483098587,0.394769963769181,0.44936403397302405
rsnn_h256,256,71,101131,65536,0.36807777287718046,0.31789614408898653,0.2667694553299148,0.05018162878819393,0.10130831754726566,0.12455198495355371,0.1429635456775966,0.1732566201013245,0.018411560724042875,0.04870463514777079,0.9264521774054044,0.8739638477402316,0.6937974016835253,0.052488329665172806,0.2326547757218791,0.3160841420593225,0.39685046718771894,0.45138443699240316
