seed,training_objective,evaluation_readout,split,best_epoch,accuracy,balanced_accuracy,macro_f1
23,raw_wcce,lif_beta05,val,28,0.4523809523809524,0.4371452621452621,0.403602576685965
23,raw_wcce,softmax_vote,val,28,0.42857142857142855,0.39852092352092355,0.34670838682862276
23,softmax_vote_wcce,analog,test,21,0.5068493150684932,0.48867382617382615,0.4599819624819625
23,softmax_vote_wcce,lif_beta05,test,21,0.4589041095890411,0.43795232545232543,0.4055166694627034
23,softmax_vote_wcce,softmax_vote,test,21,0.5273972602739726,0.4980623543123542,0.4687385375221604
23,softmax_vote_wcce,analog,train,21,0.6506024096385542,0.6295622632099799,0.6283246335251411
23,softmax_vote_wcce,lif_beta05,train,21,0.5731497418244407,0.5573349435496706,0.5536477114098867
23,softmax_vote_wcce,softmax_vote,train,21,0.5955249569707401,0.5707084742143532,0.5554428704779678
23,softmax_vote_wcce,analog,val,21,0.4126984126984127,0.3946849446849447,0.3600595040494421
23,softmax_vote_wcce,lif_beta05,val,21,0.3888888888888889,0.3769600769600769,0.33465277122142595
23,softmax_vote_wcce,softmax_vote,val,21,0.42857142857142855,0.4008357383357383,0.3570197714031564
23,tsce,analog,test,55,0.5273972602739726,0.5100031912531912,0.48210264348941106
23,tsce,lif_beta05,test,55,0.5342465753424658,0.5251318126318126,0.5066693453841791
23,tsce,softmax_vote,test,55,0.5068493150684932,0.4761245698745699,0.44938827271704956
23,tsce,analog,train,55,0.7383820998278829,0.7254215447591087,0.7281997666062826
23,tsce,lif_beta05,train,55,0.6953528399311532,0.6869351428673286,0.6862725492906061
23,tsce,softmax_vote,train,55,0.6901893287435457,0.6736955171088242,0.6745826860880442
23,tsce,analog,val,55,0.5079365079365079,0.49332611832611833,0.48061416352825015
23,tsce,lif_beta05,val,55,0.4444444444444444,0.42818061568061566,0.3979226871589301
23,tsce,softmax_vote,val,55,0.46825396825396826,0.44220177970177965,0.418485016599881
37,raw_wcce,analog,test,47,0.5821917808219178,0.570564158064158,0.555417569226738
37,raw_wcce,lif_beta05,test,47,0.5205479452054794,0.5118360805860805,0.49766347687400314
37,raw_wcce,softmax_vote,test,47,0.4931506849315068,0.4672362359862359,0.4479216209126022
37,raw_wcce,analog,train,47,0.9242685025817556,0.9221313738546385,0.9252678607175463
37,raw_wcce,lif_beta05,train,47,0.8175559380378657,0.8180498985756958,0.8214692231284842
37,raw_wcce,softmax_vote,train,47,0.810671256454389,0.8001838749763994,0.8024061638154869
37,raw_wcce,analog,val,47,0.5714285714285714,0.5623797498797499,0.5687045768140137
37,raw_wcce,lif_beta05,val,47,0.5158730158730159,0.5043470418470418,0.5011267832201116
37,raw_wcce,softmax_vote,val,47,0.5396825396825397,0.5197570947570949,0.528722769438617
37,softmax_vote_wcce,analog,test,27,0.5616438356164384,0.5535409035409035,0.5318568033511452
37,softmax_vote_wcce,lif_beta05,test,27,0.5,0.49562867687867684,0.47298741938701366
37,softmax_vote_wcce,softmax_vote,test,27,0.5068493150684932,0.4861215173715174,0.4687331993500641
37,softmax_vote_wcce,analog,train,27,0.9036144578313253,0.899562978728989,0.9052394959779053
37,softmax_vote_wcce,lif_beta05,train,27,0.7882960413080895,0.7839974586080616,0.7937885879709187
37,softmax_vote_wcce,softmax_vote,train,27,0.8519793459552496,0.837667691105605,0.8431573364295187
37,softmax_vote_wcce,analog,val,27,0.49206349206349204,0.49294131794131796,0.4772434805523041
37,softmax_vote_wcce,lif_beta05,val,27,0.4365079365079365,0.44062049062049063,0.43265054222871563
37,softmax_vote_wcce,softmax_vote,val,27,0.5079365079365079,0.4961459836459838,0.5003063206430078
37,tsce,analog,test,78,0.5205479452054794,0.5143162393162393,0.49950746082038977
37,tsce,lif_beta05,test,78,0.5342465753424658,0.5300019425019424,0.518494789319671
37,tsce,softmax_vote,test,78,0.5068493150684932,0.4942293817293817,0.48361337685588984
37,tsce,analog,train,78,0.9294320137693631,0.9273172402395904,0.930518008156281
37,tsce,lif_beta05,train,78,0.8898450946643718,0.8848605733509007,0.8894401940441351
37,tsce,softmax_vote,train,78,0.8950086058519794,0.890409066261442,0.8954696936650546
37,tsce,analog,val,78,0.5317460317460317,0.5247113997113998,0.5225114148359763
37,tsce,lif_beta05,val,78,0.49206349206349204,0.4769901394901394,0.4600468975468976
37,tsce,softmax_vote,val,78,0.5555555555555556,0.545544733044733,0.5487244340257308
