contrast,architecture,family,regularization,metric,n,delta_mean,delta_std
lif_loss_beta05,234x234,s3_spike_wc_beta10,task_only,macro_f1,3,0.029336512601883174,0.014053989374387446
lif_loss_beta05,234x234,s3_spike_wc_beta10,task_plus_reg,accuracy,3,0.011415525114155242,0.010462501586657156
lif_loss_beta05,234x234,s3_spike_wc_beta10,task_plus_reg,balanced_accuracy,3,0.013248556998556973,0.010466299564695943
lif_loss_beta05,234x234,s3_spike_wc_beta10,task_plus_reg,macro_f1,3,0.007711736002319919,0.012745963934096771
lif_loss_beta05,234x234,s4_spike_tsce_beta10,task_only,accuracy,3,0.01598173515981734,0.014257986297713233
lif_loss_beta05,234x234,s4_spike_tsce_beta10,task_only,balanced_accuracy,3,0.015223665223665242,0.015821803041779766
lif_loss_beta05,234x234,s4_spike_tsce_beta10,task_only,macro_f1,3,0.018878517122876994,0.011026868807862066
lif_loss_beta05,234x234,s4_spike_tsce_beta10,task_plus_reg,accuracy,3,9.25185853854297e-18,0.02054794520547946
lif_loss_beta05,234x234,s4_spike_tsce_beta10,task_plus_reg,balanced_accuracy,3,-0.00229978354978354,0.021594750559150614
lif_loss_beta05,234x234,s4_spike_tsce_beta10,task_plus_reg,macro_f1,3,0.018204147991920838,0.014912449944000967
lif_loss_beta05,34x345,s1_spike_wc_beta05,task_only,accuracy,3,0.002283105022831059,0.02092500317331433
lif_loss_beta05,34x345,s1_spike_wc_beta05,task_only,balanced_accuracy,3,0.004674029674029689,0.017388757848629605
lif_loss_beta05,34x345,s1_spike_wc_beta05,task_only,macro_f1,3,0.00702963227140722,0.024637076253996047
lif_loss_beta05,34x345,s1_spike_wc_beta05,task_plus_reg,accuracy,3,0.0319634703196347,0.020925003173314336
lif_loss_beta05,34x345,s1_spike_wc_beta05,task_plus_reg,balanced_accuracy,3,0.028727753727753658,0.01932639323481091
lif_loss_beta05,34x345,s1_spike_wc_beta05,task_plus_reg,macro_f1,3,0.031483822169159494,0.02217747930620229
lif_loss_beta05,34x345,s2_spike_tsce_beta05,task_only,accuracy,3,0.02511415525114154,0.014257986297713241
lif_loss_beta05,34x345,s2_spike_tsce_beta05,task_only,balanced_accuracy,3,0.026796351796351776,0.014797691277264121
lif_loss_beta05,34x345,s2_spike_tsce_beta05,task_only,macro_f1,3,0.02089428494098659,0.01616102467750374
lif_loss_beta05,34x345,s2_spike_tsce_beta05,task_plus_reg,accuracy,3,0.004566210045662091,0.01977226949279541
lif_loss_beta05,34x345,s2_spike_tsce_beta05,task_plus_reg,balanced_accuracy,3,0.003316590816590831,0.02217905436415335
lif_loss_beta05,34x345,s2_spike_tsce_beta05,task_plus_reg,macro_f1,3,-0.007868746281442657,0.01598343657905816
lif_loss_beta05,34x345,s3_spike_wc_beta10,task_only,accuracy,3,0.002283105022831041,0.03447412984141895
lif_loss_beta05,34x345,s3_spike_wc_beta10,task_only,balanced_accuracy,3,0.004900192400192405,0.034259467022947965
lif_loss_beta05,34x345,s3_spike_wc_beta10,task_only,macro_f1,3,0.007680726576947998,0.035322156136989864
lif_loss_beta05,34x345,s3_spike_wc_beta10,task_plus_reg,accuracy,3,0.01369863013698632,0.024695556681260184
lif_loss_beta05,34x345,s3_spike_wc_beta10,task_plus_reg,balanced_accuracy,3,0.014475108225108224,0.026976329393522708
lif_loss_beta05,34x345,s3_spike_wc_beta10,task_plus_reg,macro_f1,3,0.015926007604315395,0.03362443881337727
lif_loss_beta05,34x345,s4_spike_tsce_beta10,task_only,accuracy,3,0.0136986301369863,0.01186336169567724
lif_loss_beta05,34x345,s4_spike_tsce_beta10,task_only,balanced_accuracy,3,0.013402569652569649,0.010530921942417
lif_loss_beta05,34x345,s4_spike_tsce_beta10,task_only,macro_f1,3,0.01816435115191554,0.013092056673822624
lif_loss_beta05,34x345,s4_spike_tsce_beta10,task_plus_reg,accuracy,3,0.00456621004566211,0.01581781559423633
lif_loss_beta05,34x345,s4_spike_tsce_beta10,task_plus_reg,balanced_accuracy,3,0.0037420912420912202,0.018234477512341873
lif_loss_beta05,34x345,s4_spike_tsce_beta10,task_plus_reg,macro_f1,3,0.008069896659485737,0.009725268150119608
lif_loss_beta10,234x234,s1_spike_wc_beta05,task_only,accuracy,3,0.041095890410958937,0.01812158432236025
lif_loss_beta10,234x234,s1_spike_wc_beta05,task_only,balanced_accuracy,3,0.0369491619491619,0.01743580204049949
lif_loss_beta10,234x234,s1_spike_wc_beta05,task_only,macro_f1,3,0.03756990487814593,0.019195389050160074
lif_loss_beta10,234x234,s1_spike_wc_beta05,task_plus_reg,accuracy,3,0.06392694063926942,0.014257986297713271
lif_loss_beta10,234x234,s1_spike_wc_beta05,task_plus_reg,balanced_accuracy,3,0.061374967624967615,0.01209465513165863
lif_loss_beta10,234x234,s1_spike_wc_beta05,task_plus_reg,macro_f1,3,0.06423633125677052,0.010047820419944408
lif_loss_beta10,234x234,s2_spike_tsce_beta05,task_only,accuracy,3,0.018264840182648383,0.014257986297713233
lif_loss_beta10,234x234,s2_spike_tsce_beta05,task_only,balanced_accuracy,3,0.019575794575794597,0.012390292636990815
lif_loss_beta10,234x234,s2_spike_tsce_beta05,task_only,macro_f1,3,0.011747479853367243,0.017412848212768065
lif_loss_beta10,234x234,s2_spike_tsce_beta05,task_plus_reg,accuracy,3,0.009132420091324192,0.014257986297713254
lif_loss_beta10,234x234,s2_spike_tsce_beta05,task_plus_reg,balanced_accuracy,3,0.009541847041847027,0.017576198512015997
lif_loss_beta10,234x234,s2_spike_tsce_beta05,task_plus_reg,macro_f1,3,0.006324124654864642,0.013691009864714202
lif_loss_beta10,234x234,s3_spike_wc_beta10,task_only,accuracy,3,0.01369863013698632,0.051711194762128404
lif_loss_beta10,234x234,s3_spike_wc_beta10,task_only,balanced_accuracy,3,0.009443796943796953,0.04333297149005903
lif_loss_beta10,234x234,s3_spike_wc_beta10,task_only,macro_f1,3,0.004384696388912109,0.035638004060614716
lif_loss_beta10,234x234,s3_spike_wc_beta10,task_plus_reg,accuracy,3,0.006849315068493141,0.00684931506849315
lif_loss_beta10,234x234,s3_spike_wc_beta10,task_plus_reg,balanced_accuracy,3,0.005233886483886452,0.0087856801594796
lif_loss_beta10,234x234,s3_spike_wc_beta10,task_plus_reg,macro_f1,3,0.00018499128870213175,0.012157187306729053
lif_loss_beta10,234x234,s4_spike_tsce_beta10,task_only,accuracy,3,0.0,0.0068493150684931225
lif_loss_beta10,234x234,s4_spike_tsce_beta10,task_only,balanced_accuracy,3,-0.0023592148592148643,0.005229946313684707
lif_loss_beta10,234x234,s4_spike_tsce_beta10,task_only,macro_f1,3,-0.001156725778031507,0.007592917257792308
lif_loss_beta10,234x234,s4_spike_tsce_beta10,task_plus_reg,accuracy,3,-0.011415525114155231,0.007908907797118177
lif_loss_beta10,234x234,s4_spike_tsce_beta10,task_plus_reg,balanced_accuracy,3,-0.012608918858918848,0.010571451173809008
lif_loss_beta10,234x234,s4_spike_tsce_beta10,task_plus_reg,macro_f1,3,0.006643454595765423,0.022322754141678065
lif_loss_beta10,34x345,s1_spike_wc_beta05,task_only,accuracy,3,0.045662100456621,0.02201746749085147
lif_loss_beta10,34x345,s1_spike_wc_beta05,task_only,balanced_accuracy,3,0.04698102823102821,0.020061367776013708
lif_loss_beta10,34x345,s1_spike_wc_beta05,task_only,macro_f1,3,0.04862993945205465,0.024921553352239865
lif_loss_beta10,34x345,s1_spike_wc_beta05,task_plus_reg,accuracy,3,0.0365296803652968,0.031635631188472645
lif_loss_beta10,34x345,s1_spike_wc_beta05,task_plus_reg,balanced_accuracy,3,0.035304741554741524,0.03316955239565427
lif_loss_beta10,34x345,s1_spike_wc_beta05,task_plus_reg,macro_f1,3,0.03494667135358872,0.034288214054963496
lif_loss_beta10,34x345,s2_spike_tsce_beta05,task_only,accuracy,3,0.0136986301369863,0.0136986301369863
lif_loss_beta10,34x345,s2_spike_tsce_beta05,task_only,balanced_accuracy,3,0.014107651607651575,0.015184904460158284
lif_loss_beta10,34x345,s2_spike_tsce_beta05,task_only,macro_f1,3,0.007917346226196146,0.013223855099979082
lif_loss_beta10,34x345,s2_spike_tsce_beta05,task_plus_reg,accuracy,3,0.00228310502283105,0.010462501586657168
lif_loss_beta10,34x345,s2_spike_tsce_beta05,task_plus_reg,balanced_accuracy,3,0.0013324638324638538,0.011638414267795738
lif_loss_beta10,34x345,s2_spike_tsce_beta05,task_plus_reg,macro_f1,3,-0.0015921117267899548,0.009408086875627022
lif_loss_beta10,34x345,s3_spike_wc_beta10,task_only,accuracy,3,0.01598173515981734,0.02092500317331436
lif_loss_beta10,34x345,s3_spike_wc_beta10,task_only,balanced_accuracy,3,0.014057932807932808,0.018494436432094634
lif_loss_beta10,34x345,s3_spike_wc_beta10,task_only,macro_f1,3,0.010936070420401215,0.020110745135583478
lif_loss_beta10,34x345,s3_spike_wc_beta10,task_plus_reg,accuracy,3,-0.011415525114155242,0.017237064920709488
lif_loss_beta10,34x345,s3_spike_wc_beta10,task_plus_reg,balanced_accuracy,3,-0.009068477818477824,0.019516875870932572
lif_loss_beta10,34x345,s3_spike_wc_beta10,task_plus_reg,macro_f1,3,-0.012912962339960365,0.02648894187106983
lif_loss_beta10,34x345,s4_spike_tsce_beta10,task_only,accuracy,3,0.006849315068493141,0.0136986301369863
lif_loss_beta10,34x345,s4_spike_tsce_beta10,task_only,balanced_accuracy,3,0.004413873163873159,0.01391905760577875
lif_loss_beta10,34x345,s4_spike_tsce_beta10,task_only,macro_f1,3,0.004281768757251027,0.015970859383269007
lif_loss_beta10,34x345,s4_spike_tsce_beta10,task_plus_reg,accuracy,3,-0.00228310502283105,0.003954453898559081
lif_loss_beta10,34x345,s4_spike_tsce_beta10,task_plus_reg,balanced_accuracy,3,-0.002330539830539833,0.0066816183991304035
lif_loss_beta10,34x345,s4_spike_tsce_beta10,task_plus_reg,macro_f1,3,0.0015098206709045214,0.004716714410053041
probe_phase_gain,234x234,a1_shared_tsce,task_only,accuracy,3,-0.004566210045662118,0.04349899288414987
probe_phase_gain,234x234,a1_shared_tsce,task_only,balanced_accuracy,3,-0.004221704221704203,0.03788612540713205
probe_phase_gain,234x234,a1_shared_tsce,task_only,macro_f1,3,0.005912786256940805,0.023514517246369857
probe_phase_gain,234x234,a1_shared_tsce,task_plus_reg,accuracy,3,0.02283105022831052,0.014257986297713233
probe_phase_gain,234x234,a1_shared_tsce,task_plus_reg,balanced_accuracy,3,0.024093036593036632,0.016601027776080343
probe_phase_gain,234x234,a1_shared_tsce,task_plus_reg,macro_f1,3,0.025898489409106218,0.009625274104248373
probe_phase_gain,234x234,a2_shared_wholecount,task_only,accuracy,3,0.01369863013698632,0.05852057359806529
probe_phase_gain,234x234,a2_shared_wholecount,task_only,balanced_accuracy,3,0.015153133903133923,0.05530039723790954
probe_phase_gain,234x234,a2_shared_wholecount,task_only,macro_f1,3,0.028601372701446543,0.051593821158820934
probe_phase_gain,234x234,a2_shared_wholecount,task_plus_reg,accuracy,3,0.02283105022831052,0.03894685413066661
probe_phase_gain,234x234,a2_shared_wholecount,task_plus_reg,balanced_accuracy,3,0.020617576867576853,0.031161482278515663
probe_phase_gain,234x234,a2_shared_wholecount,task_plus_reg,macro_f1,3,0.021381252173612236,0.036077001424344335
probe_phase_gain,234x234,f1_fixed250_tsce,task_only,accuracy,3,0.08219178082191785,0.06277500951994304
probe_phase_gain,234x234,f1_fixed250_tsce,task_only,balanced_accuracy,3,0.08116281866281867,0.05704029171518173
probe_phase_gain,234x234,f1_fixed250_tsce,task_only,macro_f1,3,0.09256056637911166,0.05014628106752283
probe_phase_gain,234x234,f1_fixed250_tsce,task_plus_reg,accuracy,3,0.06621004566210043,0.03772308594031575
probe_phase_gain,234x234,f1_fixed250_tsce,task_plus_reg,balanced_accuracy,3,0.06547619047619042,0.03583244960974824
probe_phase_gain,234x234,f1_fixed250_tsce,task_plus_reg,macro_f1,3,0.07331339413376813,0.029844637567699814
probe_phase_gain,234x234,f2_fixed250_wholecount,task_only,accuracy,3,0.1004566210045662,0.014257986297713276
probe_phase_gain,234x234,f2_fixed250_wholecount,task_only,balanced_accuracy,3,0.09188982313982315,0.01808093266415182
probe_phase_gain,234x234,f2_fixed250_wholecount,task_only,macro_f1,3,0.10485568934339497,0.016986647443254597
probe_phase_gain,234x234,f2_fixed250_wholecount,task_plus_reg,accuracy,3,0.02283105022831052,0.027681177289913504
probe_phase_gain,234x234,f2_fixed250_wholecount,task_plus_reg,balanced_accuracy,3,0.022884291634291693,0.024837370573237805
probe_phase_gain,234x234,f2_fixed250_wholecount,task_plus_reg,macro_f1,3,0.03250371935583085,0.018895259966571057
probe_phase_gain,234x234,s1_spike_wc_beta05,task_only,accuracy,3,0.04109589041095892,0.018121584322360156
probe_phase_gain,234x234,s1_spike_wc_beta05,task_only,balanced_accuracy,3,0.035547554297554296,0.023402966009452505
probe_phase_gain,234x234,s1_spike_wc_beta05,task_only,macro_f1,3,0.036201408293082306,0.02111305520218426
probe_phase_gain,234x234,s1_spike_wc_beta05,task_plus_reg,accuracy,3,0.08904109589041097,0.08416579265372952
probe_phase_gain,234x234,s1_spike_wc_beta05,task_plus_reg,balanced_accuracy,3,0.08471620971620969,0.07837900597387869
probe_phase_gain,234x234,s1_spike_wc_beta05,task_plus_reg,macro_f1,3,0.09821567895400803,0.08084598418663448
probe_phase_gain,234x234,s2_spike_tsce_beta05,task_only,accuracy,3,0.020547945205479423,0.05971094443206402
probe_phase_gain,234x234,s2_spike_tsce_beta05,task_only,balanced_accuracy,3,0.02800070300070299,0.06529121884158626
probe_phase_gain,234x234,s2_spike_tsce_beta05,task_only,macro_f1,3,0.028750604074216368,0.08579100617717582
probe_phase_gain,234x234,s2_spike_tsce_beta05,task_plus_reg,accuracy,3,0.002283105022831059,0.03772308594031575
probe_phase_gain,234x234,s2_spike_tsce_beta05,task_plus_reg,balanced_accuracy,3,0.0017667517667517563,0.03587050757145672
probe_phase_gain,234x234,s2_spike_tsce_beta05,task_plus_reg,macro_f1,3,-0.004371989007563401,0.03938098298011957
probe_phase_gain,234x234,s3_spike_wc_beta10,task_only,accuracy,3,0.08675799086757995,0.02593108833698754
probe_phase_gain,234x234,s3_spike_wc_beta10,task_only,balanced_accuracy,3,0.08386497761497765,0.031750273683937916
probe_phase_gain,234x234,s3_spike_wc_beta10,task_only,macro_f1,3,0.10131707732479937,0.030238280348376192
probe_phase_gain,234x234,s3_spike_wc_beta10,task_plus_reg,accuracy,3,0.12328767123287672,0.0136986301369863
probe_phase_gain,234x234,s3_spike_wc_beta10,task_plus_reg,balanced_accuracy,3,0.116465478965479,0.019093561024277807
probe_phase_gain,234x234,s3_spike_wc_beta10,task_plus_reg,macro_f1,3,0.12336362948605784,0.013010995698519053
probe_phase_gain,234x234,s4_spike_tsce_beta10,task_only,accuracy,3,0.03881278538812786,0.03514795506470469
probe_phase_gain,234x234,s4_spike_tsce_beta10,task_only,balanced_accuracy,3,0.04290917415917419,0.03316162591299263
probe_phase_gain,234x234,s4_spike_tsce_beta10,task_only,macro_f1,3,0.057664928748514734,0.03452681727099822
probe_phase_gain,234x234,s4_spike_tsce_beta10,task_plus_reg,accuracy,3,0.020547945205479468,0.03624316864472043
probe_phase_gain,234x234,s4_spike_tsce_beta10,task_plus_reg,balanced_accuracy,3,0.022214359714359682,0.03255027398358794
probe_phase_gain,234x234,s4_spike_tsce_beta10,task_plus_reg,macro_f1,3,0.02391141304490942,0.0267808602959298
probe_phase_gain,34x345,a1_shared_tsce,task_only,accuracy,3,0.0091324200913242,0.015817815594236322
probe_phase_gain,34x345,a1_shared_tsce,task_only,balanced_accuracy,3,0.010489741739741784,0.019401668363812418
probe_phase_gain,34x345,a1_shared_tsce,task_only,macro_f1,3,0.009382372703146236,0.015299527621081808
probe_phase_gain,34x345,a1_shared_tsce,task_plus_reg,accuracy,3,0.02511415525114158,0.01046250158665715
probe_phase_gain,34x345,a1_shared_tsce,task_plus_reg,balanced_accuracy,3,0.02875041625041619,0.017041146492543107
probe_phase_gain,34x345,a1_shared_tsce,task_plus_reg,macro_f1,3,0.03869554426914138,0.015598785959063615
probe_phase_gain,34x345,a2_shared_wholecount,task_only,accuracy,3,0.002283105022831059,0.025931088336987554
probe_phase_gain,34x345,a2_shared_wholecount,task_only,balanced_accuracy,3,-0.002705858955858953,0.028128798666886095
probe_phase_gain,34x345,a2_shared_wholecount,task_only,macro_f1,3,0.005347811998735796,0.018920764002753162
probe_phase_gain,34x345,a2_shared_wholecount,task_plus_reg,accuracy,3,0.02054794520547948,0.031387504759971506
probe_phase_gain,34x345,a2_shared_wholecount,task_plus_reg,balanced_accuracy,3,0.0175754800754801,0.02993342115855684
probe_phase_gain,34x345,a2_shared_wholecount,task_plus_reg,macro_f1,3,0.018049247922856466,0.01706002399532668
probe_phase_gain,34x345,f1_fixed250_tsce,task_only,accuracy,3,0.07990867579908671,0.027681177289913546
probe_phase_gain,34x345,f1_fixed250_tsce,task_only,balanced_accuracy,3,0.07493247493247501,0.025739558408948395
probe_phase_gain,34x345,f1_fixed250_tsce,task_only,macro_f1,3,0.08460812238639016,0.031086227403782085
probe_phase_gain,34x345,f1_fixed250_tsce,task_plus_reg,accuracy,3,0.05936073059360728,0.03163563118847261
probe_phase_gain,34x345,f1_fixed250_tsce,task_plus_reg,balanced_accuracy,3,0.05392986642986647,0.029763912531052563
probe_phase_gain,34x345,f1_fixed250_tsce,task_plus_reg,macro_f1,3,0.06801428549574103,0.04019401742707084
probe_phase_gain,34x345,f2_fixed250_wholecount,task_only,accuracy,3,0.06392694063926944,0.030885272279608876
probe_phase_gain,34x345,f2_fixed250_wholecount,task_only,balanced_accuracy,3,0.05560064935064931,0.03041038550419199
probe_phase_gain,34x345,f2_fixed250_wholecount,task_only,macro_f1,3,0.05501101590631959,0.02616609837166745
probe_phase_gain,34x345,f2_fixed250_wholecount,task_plus_reg,accuracy,3,0.06164383561643838,0.04939111336252038
probe_phase_gain,34x345,f2_fixed250_wholecount,task_plus_reg,balanced_accuracy,3,0.0624061124061124,0.046455434634093164
probe_phase_gain,34x345,f2_fixed250_wholecount,task_plus_reg,macro_f1,3,0.06869081110079929,0.05607898709735214
probe_phase_gain,34x345,s1_spike_wc_beta05,task_only,accuracy,3,0.05479452054794524,0.011863361695677225
probe_phase_gain,34x345,s1_spike_wc_beta05,task_only,balanced_accuracy,3,0.0499160561660561,0.00937369929085612
probe_phase_gain,34x345,s1_spike_wc_beta05,task_only,macro_f1,3,0.06157873625895708,0.01918907520579815
probe_phase_gain,34x345,s1_spike_wc_beta05,task_plus_reg,accuracy,3,0.05707762557077626,0.007908907797118192
probe_phase_gain,34x345,s1_spike_wc_beta05,task_plus_reg,balanced_accuracy,3,0.05265336515336516,0.002510164719914837
probe_phase_gain,34x345,s1_spike_wc_beta05,task_plus_reg,macro_f1,3,0.05529471946875756,0.012826183220913234
probe_phase_gain,34x345,s2_spike_tsce_beta05,task_only,accuracy,3,0.00684931506849316,0.02054794520547945
probe_phase_gain,34x345,s2_spike_tsce_beta05,task_only,balanced_accuracy,3,0.010630804380804345,0.022671443332396537
probe_phase_gain,34x345,s2_spike_tsce_beta05,task_only,macro_f1,3,0.017637077446620335,0.02047717694067767
probe_phase_gain,34x345,s2_spike_tsce_beta05,task_plus_reg,accuracy,3,0.03424657534246576,0.006849315068493151
probe_phase_gain,34x345,s2_spike_tsce_beta05,task_plus_reg,balanced_accuracy,3,0.04364293114293114,0.003716435244087309
probe_phase_gain,34x345,s2_spike_tsce_beta05,task_plus_reg,macro_f1,3,0.05335571103689581,0.01750472144396107
probe_phase_gain,34x345,s3_spike_wc_beta10,task_only,accuracy,3,0.057077625570776246,0.01046250158665718
probe_phase_gain,34x345,s3_spike_wc_beta10,task_only,balanced_accuracy,3,0.056106393606393544,0.005218493017067132
probe_phase_gain,34x345,s3_spike_wc_beta10,task_only,macro_f1,3,0.07664020828663709,0.008177108973661761
probe_phase_gain,34x345,s3_spike_wc_beta10,task_plus_reg,accuracy,3,0.05022831050228312,0.058252743480242355
probe_phase_gain,34x345,s3_spike_wc_beta10,task_plus_reg,balanced_accuracy,3,0.05339822214822212,0.0515728868996301
probe_phase_gain,34x345,s3_spike_wc_beta10,task_plus_reg,macro_f1,3,0.06993622102198895,0.07826586030672432
