architecture,family,regularization,seed,source,split,accuracy,balanced_accuracy,macro_f1
234x234,s1_spike_wc_beta05,task_only,11,l2_wholecount_linear,val,0.47619047619047616,0.4691558441558441,0.47664700701027934
234x234,s1_spike_wc_beta05,task_only,23,l2_fixed250_linear,test,0.6301369863013698,0.6071178821178821,0.5956474572373696
234x234,s1_spike_wc_beta05,task_only,23,l2_fixed250_linear,train,0.9449225473321858,0.9453933175118864,0.949369580047218
234x234,s1_spike_wc_beta05,task_only,23,l2_fixed250_linear,val,0.5079365079365079,0.5012626262626262,0.5189288626533624
234x234,s1_spike_wc_beta05,task_only,23,l2_wholecount_linear,test,0.5821917808219178,0.5646346708846709,0.5576599053799598
234x234,s1_spike_wc_beta05,task_only,23,l2_wholecount_linear,train,0.9018932874354562,0.9008730708505898,0.906759304028849
234x234,s1_spike_wc_beta05,task_only,23,l2_wholecount_linear,val,0.5238095238095238,0.5063251563251564,0.5147002668776862
234x234,s1_spike_wc_beta05,task_only,37,l2_fixed250_linear,test,0.6301369863013698,0.6161678599178599,0.6153117452882363
234x234,s1_spike_wc_beta05,task_only,37,l2_fixed250_linear,train,0.9432013769363167,0.9436988228699722,0.9476289044051828
234x234,s1_spike_wc_beta05,task_only,37,l2_fixed250_linear,val,0.5158730158730159,0.506024531024531,0.5069097674209007
234x234,s1_spike_wc_beta05,task_only,37,l2_wholecount_linear,test,0.5753424657534246,0.5614690864690864,0.5589470945617151
234x234,s1_spike_wc_beta05,task_only,37,l2_wholecount_linear,train,0.8537005163511188,0.8463062497265086,0.8576488980420601
234x234,s1_spike_wc_beta05,task_only,37,l2_wholecount_linear,val,0.46825396825396826,0.45275372775372774,0.43838493185656496
234x234,s1_spike_wc_beta05,task_plus_reg,11,l2_fixed250_linear,test,0.636986301369863,0.6189706127206127,0.614310710373329
234x234,s1_spike_wc_beta05,task_plus_reg,11,l2_fixed250_linear,train,0.9759036144578314,0.976057117168196,0.9779169940360785
234x234,s1_spike_wc_beta05,task_plus_reg,11,l2_fixed250_linear,val,0.5158730158730159,0.5023268398268398,0.5017507683886995
234x234,s1_spike_wc_beta05,task_plus_reg,11,l2_wholecount_linear,test,0.4520547945205479,0.446716477966478,0.4295744948106268
234x234,s1_spike_wc_beta05,task_plus_reg,11,l2_wholecount_linear,train,0.9759036144578314,0.9758392522444487,0.9778179700887399
234x234,s1_spike_wc_beta05,task_plus_reg,11,l2_wholecount_linear,val,0.5158730158730159,0.5136363636363636,0.5157762588201941
234x234,s1_spike_wc_beta05,task_plus_reg,23,l2_fixed250_linear,test,0.6095890410958904,0.5910575535575535,0.5838872865755805
234x234,s1_spike_wc_beta05,task_plus_reg,23,l2_fixed250_linear,train,0.955249569707401,0.9553685231238846,0.9586316578328712
