architecture,family,regularization,source,split,n,accuracy_mean,balanced_accuracy_mean,macro_f1_mean,accuracy_std,balanced_accuracy_std,macro_f1_std
234x234,s1_spike_wc_beta05,task_only,l2_fixed250_linear,train,3,0.9563970166379804,0.9566972275444319,0.9597920539317996,0.02138226638391764,0.021063468449227598,0.019579077521094918
234x234,s1_spike_wc_beta05,task_only,l2_fixed250_linear,val,3,0.5370370370370371,0.5280743947410614,0.5389316650600596,0.04371087735941356,0.04238234608663654,0.0454537316806633
234x234,s1_spike_wc_beta05,task_only,l2_wholecount_linear,test,3,0.5867579908675798,0.5737429237429237,0.5694933261092704,0.014257986297713287,0.01858495533988893,0.01939203034812184
234x234,s1_spike_wc_beta05,task_only,l2_wholecount_linear,train,3,0.8967297762478484,0.8932942332898003,0.9007247274837984,0.04069394291751078,0.043694336971531765,0.040398004977524375
234x234,s1_spike_wc_beta05,task_only,l2_wholecount_linear,val,3,0.4894179894179895,0.47607824274490945,0.4765774019148435,0.030047134104763375,0.027448391418539272,0.03815771512418528
234x234,s1_spike_wc_beta05,task_only,native,test,3,0.5228310502283106,0.5028182465682465,0.48651566792191586,0.03378686891997431,0.036685185671545356,0.037664830344106774
234x234,s1_spike_wc_beta05,task_only,native,train,3,0.8909925415949512,0.8878708125821274,0.8901329737011038,0.025779279332944324,0.030781307776787982,0.030224573155806456
234x234,s1_spike_wc_beta05,task_only,native,val,3,0.4708994708994709,0.4554593554593554,0.43745153502678447,0.016521158725921685,0.012332582013341241,0.00813995930065201
234x234,s1_spike_wc_beta05,task_only,native_lif_beta05_full,test,3,0.502283105022831,0.4799441299441299,0.4582118678120372,0.003954453898559088,0.006444337326378286,0.014108264805272096
234x234,s1_spike_wc_beta05,task_only,native_lif_beta05_full,train,3,0.8491107286288009,0.8443255689720913,0.8478723331096752,0.024361300912865355,0.027795907980824115,0.028222855593787826
234x234,s1_spike_wc_beta05,task_only,native_lif_beta05_full,val,3,0.4417989417989418,0.4285634118967452,0.40205049909887575,0.018328579974273833,0.01462594497776543,0.009523418177540283
234x234,s1_spike_wc_beta05,task_only,native_lif_beta05_valid,test,3,0.5228310502283106,0.5028182465682465,0.48651566792191586,0.03378686891997431,0.036685185671545356,0.037664830344106774
234x234,s1_spike_wc_beta05,task_only,native_lif_beta05_valid,train,3,0.8909925415949512,0.8878708125821274,0.8901329737011038,0.025779279332944324,0.030781307776787982,0.030224573155806456
234x234,s1_spike_wc_beta05,task_only,native_lif_beta05_valid,val,3,0.4708994708994709,0.4554593554593554,0.43745153502678447,0.016521158725921685,0.012332582013341241,0.00813995930065201
234x234,s1_spike_wc_beta05,task_only,native_lif_beta10_full,test,3,0.5,0.47834040959040963,0.462263606997042,0.01369863013698632,0.015362542040945195,0.01802017128312102
234x234,s1_spike_wc_beta05,task_only,native_lif_beta10_full,train,3,0.8410786001147447,0.8363115136961502,0.8394399475121684,0.03417870569961328,0.03923540351137271,0.038618997823915466
234x234,s1_spike_wc_beta05,task_only,native_lif_beta10_full,val,3,0.4338624338624339,0.42201378868045536,0.39230282511980946,0.027872099875271766,0.01827764875568436,0.007451358720892779
234x234,s1_spike_wc_beta05,task_only,native_lif_beta10_valid,test,3,0.49771689497716903,0.4834880397380397,0.47182293277449044,0.04185000634662872,0.04059305291688728,0.043547931314848756
234x234,s1_spike_wc_beta05,task_only,native_lif_beta10_valid,train,3,0.8525530694205393,0.8503130723167475,0.8527835336064952,0.036767573080922794,0.039859673071901955,0.038446624859545156
234x234,s1_spike_wc_beta05,task_only,native_lif_beta10_valid,val,3,0.41798941798941797,0.4056437389770724,0.3874707390379153,0.009164289987136916,0.014449662365876506,0.013085018538683258
234x234,s1_spike_wc_beta05,task_only,native_w_analog_full,test,3,0.4931506849315068,0.47126369001369,0.4529273104729952,0.006849315068493143,0.006936289587295704,0.010347321247263423
234x234,s1_spike_wc_beta05,task_only,native_w_analog_full,train,3,0.8330464716006883,0.8257108046927678,0.829499763274296,0.03727436803392035,0.042357700815622956,0.04277218414992859
234x234,s1_spike_wc_beta05,task_only,native_w_analog_full,val,3,0.4365079365079365,0.425352733686067,0.39784069382510756,0.013746434980705338,0.012429149127487852,0.007216942429031898
234x234,s1_spike_wc_beta05,task_only,native_w_analog_valid,test,3,0.5388127853881279,0.5204372016872015,0.5093928376526363,0.027681177289913567,0.028324554970608047,0.03299853855781903
234x234,s1_spike_wc_beta05,task_only,native_w_analog_valid,train,3,0.882960413080895,0.8790016389892498,0.8810732370078269,0.03297288134366266,0.038621639769774396,0.0370182017891552
234x234,s1_spike_wc_beta05,task_only,native_w_analog_valid,val,3,0.44973544973544977,0.4384820426487093,0.423186473711547,0.012123216124221807,0.01643221779819217,0.02058316202606608
234x234,s1_spike_wc_beta05,task_plus_reg,l2_fixed250_linear,test,3,0.6141552511415526,0.5989119676619676,0.5970162997778236,0.020925003173314353,0.017506917428498584,0.015633588215032378
234x234,s1_spike_wc_beta05,task_plus_reg,l2_fixed250_linear,train,3,0.9546758462421113,0.9545435226583612,0.9582552809385495,0.02152036641825712,0.02193773233466491,0.019852577565868185
234x234,s1_spike_wc_beta05,task_plus_reg,l2_fixed250_linear,val,3,0.5026455026455027,0.49446448613115274,0.5018366823097299,0.022910724967842338,0.015094065938346947,0.012260268661669406
234x234,s1_spike_wc_beta05,task_plus_reg,l2_wholecount_linear,test,3,0.5251141552511416,0.514195757945758,0.4988006208238156,0.06652421134398846,0.06246994421723222,0.06529828211562134
234x234,s1_spike_wc_beta05,task_plus_reg,l2_wholecount_linear,train,3,0.9064830751577739,0.9013811123611389,0.9066727945299714,0.07869219158799923,0.08729793925709843,0.08301438005106516
234x234,s1_spike_wc_beta05,task_plus_reg,l2_wholecount_linear,val,3,0.4841269841269842,0.47243265993265987,0.4727633089086655,0.03174603174603175,0.04043342702443188,0.04479596538634161
234x234,s1_spike_wc_beta05,task_plus_reg,native,test,3,0.5296803652968037,0.5166888666888666,0.5008234716164606,0.02092500317331426,0.01741805782750446,0.00364420061679912
234x234,s1_spike_wc_beta05,task_plus_reg,native,train,3,0.8732071141709695,0.8709160383362411,0.8720551170653469,0.01463838304322787,0.011851814917210875,0.013670775113082229
