epoch,train_objective_loss,train_loss,train_balanced_accuracy,train_accuracy,train_macro_f1,val_loss,val_balanced_accuracy,val_accuracy,val_macro_f1,train_output_firing_rate,val_output_firing_rate,train_hidden1_firing_rate,train_hidden2_firing_rate,val_hidden1_firing_rate,val_hidden2_firing_rate
12,2.2081778403994763,2.175348287178238,0.18637616608805127,0.18587360594795538,0.14386194069273942,2.445944926677606,0.18512321012321012,0.1794871794871795,0.1255376832666909,0.0051212050805452295,0.009581997863247864,0.003967965845724907,0.006823231296468402,0.006563626802884615,0.012279021434294872
13,2.161676104627134,2.1016879507156996,0.2132827460682274,0.2137546468401487,0.18183205282922868,2.441234435790624,0.20218670218670218,0.1987179487179487,0.13678086619263088,0.007270368649318464,0.011685363247863248,0.00480022217704461,0.008875283166821561,0.007693559695512821,0.015061598557692308
14,2.0882198562409355,2.036453867490407,0.23695991986319956,0.23977695167286245,0.20992833400454647,2.461062743113591,0.21329781329781328,0.21153846153846154,0.14611598440545812,0.009806768897149938,0.01469017094017094,0.005627032992565056,0.010775768180762082,0.009023813100961538,0.018204126602564104
15,2.026435857368668,1.9763363599777222,0.28027299244952797,0.2843866171003718,0.25119619265069737,2.5267760020035963,0.2402458652458653,0.24358974358974358,0.18000000000000002,0.014618184634448575,0.02156784188034188,0.006968445051115242,0.01408754937267658,0.01111152844551282,0.023165189302884616
16,1.9490965299003629,1.8975865464228237,0.29929566327553725,0.3048327137546468,0.2627721770867028,2.40729392797519,0.2692141192141192,0.27564102564102566,0.2162789189749974,0.015189358736059479,0.019798344017094016,0.007995832365241635,0.016414599790892194,0.012620192307692308,0.026432917668269232
17,1.8917847960411838,1.8345851743088335,0.3294919326884929,0.33643122676579923,0.2958161334518512,2.332990456850101,0.27224442224442225,0.28846153846153844,0.21927932606214792,0.01676734820322181,0.021801549145299144,0.009124869307620818,0.019393296933085502,0.014404296875,0.030254657451923076
18,1.8307878869173695,1.7277629295689465,0.3823763036329381,0.3940520446096654,0.34614280639388145,2.374513036165482,0.29922854922854925,0.32051282051282054,0.2487138830885495,0.02188855328376704,0.027210202991452992,0.010189467646375464,0.022224057562732342,0.015765850360576924,0.03362880608974359
19,1.7119012446208515,1.6380046548453406,0.4090326305472971,0.4200743494423792,0.36638625430640487,2.3899083657142444,0.30355755355755354,0.3269230769230769,0.2555759375727929,0.02074620508054523,0.02470619658119658,0.011412893529275093,0.025783609723513012,0.017321464342948716,0.03834259815705128
20,1.6119779711762325,1.5590581198164077,0.4402768291196599,0.45353159851301117,0.39747082387523314,2.2489083057794814,0.30121267621267617,0.32051282051282054,0.2570584274500381,0.018054910161090457,0.020198985042735044,0.013320639230947956,0.03145329925650558,0.020038311298076924,0.04625838842147436
21,1.5908853688647755,1.499862212673882,0.462621076591075,0.47769516728624534,0.41949633180406165,2.1403830907283683,0.3393328893328893,0.36538461538461536,0.3059250391185467,0.017532140644361833,0.018162393162393164,0.014807265044144981,0.03557283195864312,0.022257486979166668,0.05175155248397436
22,1.4676055894908409,1.407288826974351,0.48673767836031834,0.5018587360594795,0.42664620509157664,2.2760644600941586,0.3516927516927517,0.3717948717948718,0.3117595584507349,0.023621437422552665,0.026275373931623932,0.016092406772769515,0.038740306981877325,0.02392578125,0.054484049479166664
