model_kind,stimulus_type,layer,state,peak_latency_ms_mean,peak_latency_ms_std,peak_latency_ms_count,peak_amplitude_mean,peak_amplitude_std,peak_amplitude_count,fwhm_ms_mean,fwhm_ms_std,fwhm_ms_count,duration_ms_mean,duration_ms_std,duration_ms_count,peak_to_tail_ratio_mean,peak_to_tail_ratio_std,peak_to_tail_ratio_count
a2,real_motif,L2,pre_reset,144.10400390625,74.86855821576322,4608,2.6291599664125695,1.8425365731527203,4608,203.94219292534723,97.76836767689194,4608,524.322509765625,194.9849335278627,4608,489709.15813696105,6559113.306970024,4608
a2,real_motif,L2,spike,60.11284722222222,81.2673357815442,4608,0.7395833333333334,0.43890959467602797,4608,193.31868489583334,206.7887741558597,4608,193.31868489583334,206.7887741558597,4608,733506944.4772859,442172971.5154757,4608
random_a2,unit_impulse,L1,syn_current,0.0,0.0,11520,0.09115990747784125,0.05279351196659404,11520,103.6376953125,51.41325628545096,11520,326.2939453125,174.84905578876038,11520,6709856.486839394,10007666.435332721,11520
random_a2,unit_impulse,L1,pre_reset,31.1279296875,12.732784686583953,11520,0.13144003040262547,0.07792969930580265,11520,160.7666015625,65.25452417307451,11520,378.2958984375,181.7918176975106,11520,3448183.722841172,4984634.775477028,11520
random_a2,unit_impulse,L1,spike,0.0,0.0,11520,0.0,0.0,11520,0.0,0.0,11520,0.0,0.0,11520,0.0,0.0,11520
random_a2,unit_impulse,L2,syn_current,0.0,0.0,11520,0.0,0.0,11520,0.0,0.0,11520,0.0,0.0,11520,0.0,0.0,11520
random_a2,unit_impulse,L2,pre_reset,0.0,0.0,11520,0.0,0.0,11520,0.0,0.0,11520,0.0,0.0,11520,0.0,0.0,11520
random_a2,unit_impulse,L2,spike,0.0,0.0,11520,0.0,0.0,11520,0.0,0.0,11520,0.0,0.0,11520,0.0,0.0,11520
random_a2,real_motif,L1,syn_current,47.55316840277778,27.908081764641597,4608,0.29476801738443703,0.15152040952191626,4608,94.54006618923611,59.55240836633106,4608,311.15044487847223,181.69032702862597,4608,20117197.37537056,42834083.40913742,4608
random_a2,real_motif,L1,pre_reset,64.55824110243056,31.49580571963594,4608,0.42056496535345406,0.2289329633407028,4608,134.918212890625,76.9230412186016,4608,370.3884548611111,197.14846346836583,4608,12547451.482893413,33748403.23085492,4608
random_a2,real_motif,L1,spike,9.195963541666666,23.139549646687218,4608,0.1675347222222222,0.3734931216004975,4608,7.646348741319445,24.289935750631823,4608,7.646348741319445,24.289935750631823,4608,167534722.2222222,373493121.6004974,4608
random_a2,real_motif,L2,syn_current,127.44140625,56.62595306284142,4608,0.4240824781324288,0.31018080064559445,4608,172.96685112847223,86.38333781301185,4608,431.9254557291667,194.304870228425,4608,3529359.440049272,13729729.300306626,4608
random_a2,real_motif,L2,pre_reset,147.08794487847223,58.85350571480433,4608,0.6779540478520276,0.5371106670404798,4608,204.94588216145834,88.94430836027257,4608,478.3121744791667,205.5198444437225,4608,2194097.581026812,12408596.607306048,4608
random_a2,real_motif,L2,spike,26.580810546875,48.240301541499086,4608,0.2786458333333333,0.4483814923315966,4608,39.530436197916664,93.74261375296233,4608,39.530436197916664,93.74261375296233,4608,278645833.3333333,448381492.3315961,4608
c2,unit_impulse,L1,syn_current,0.0,0.0,11520,0.13094768297983891,0.09156154898373084,11520,103.6376953125,51.41325628545096,11520,326.2939453125,174.84905578876038,11520,7232808.608353269,10686244.726903897,11520
c2,unit_impulse,L1,pre_reset,30.92990451388889,12.722683737928584,11520,0.18771605956882742,0.13169523477066783,11520,160.73811848958334,65.34428597294841,11520,378.4640842013889,182.02998652239935,11520,3577294.024670651,5136032.67249236,11520
c2,unit_impulse,L1,spike,0.3228081597222222,2.958906833138624,11520,0.013802083333333333,0.1166737652295406,11520,0.2875434027777778,2.7240045634885246,11520,0.2875434027777778,2.7240045634885246,11520,13802083.333333334,116673765.22954065,11520
c2,unit_impulse,L2,syn_current,25.065104166666668,26.7212454822046,11520,0.11509759408030502,0.15138621208707975,11520,70.73567708333333,70.70864437425921,11520,216.10378689236111,214.2567449368318,11520,3462449.867772328,9737964.797188696,11520
c2,unit_impulse,L2,pre_reset,41.035970052083336,36.72814382448375,11520,0.16640874373177134,0.22267762677783898,11520,103.34608289930556,94.2772962925984,11520,252.97987196180554,239.674749065992,11520,1697542.161510891,5535456.902048594,11520
c2,unit_impulse,L2,spike,2.3749457465277777,11.36751503580875,11520,0.050868055555555555,0.21973777066928385,11520,3.3949110243055554,21.49870081501561,11520,3.3949110243055554,21.49870081501561,11520,50868055.55555555,219737770.66928372,11520
c2,unit_impulse,L3,syn_current,51.021321614583336,66.63085696751935,11520,0.199070606752169,0.4568540757076241,11520,73.87424045138889,99.67765735760626,11520,191.63818359375,243.9390964868195,11520,907632.6725065515,5261666.279516198,11520
c2,unit_impulse,L3,pre_reset,61.264377170138886,75.3086926350553,11520,0.3285442947819812,0.8150774978977287,11520,90.63991970486111,112.77431271310472,11520,214.0380859375,265.17209154012573,11520,487879.30574322783,4058606.423052353,11520
c2,unit_impulse,L3,spike,7.549370659722222,27.505964125590594,11520,0.09453125,0.2925790893896063,11520,20.22026909722222,87.86786246149389,11520,20.22026909722222,87.86786246149389,11520,92361111.1208507,289547602.0478166,11520
c2,real_motif,L1,syn_current,51.34752061631944,27.002962965384512,4608,0.4832662587036288,0.27795620263110427,4608,103.52579752604167,62.13316211818333,4608,328.59971788194446,186.4845457798397,4608,20835441.783472296,45507502.57959433,4608
c2,real_motif,L1,pre_reset,65.79250759548611,29.86823896138112,4608,0.6630086387724279,0.40370195470609777,4608,142.40858289930554,80.21903213773192,4608,392.71375868055554,206.85957973075278,4608,11830115.903709691,33403733.723593462,4608
c2,real_motif,L1,spike,20.233154296875,28.87207906111595,4608,0.4353298611111111,0.49585394077924394,4608,33.253987630208336,63.139097808276006,4608,33.253987630208336,63.139097808276006,4608,435329861.1111111,495853940.77924377,4608
c2,real_motif,L2,syn_current,123.17233615451389,71.33096426005784,4608,1.6428666079009417,1.0144985469973764,4608,188.72409396701389,101.28792459216446,4608,482.9203287760417,188.02285441051163,4608,910396.3441517274,10595829.999957087,4608
c2,real_motif,L2,pre_reset,144.22946506076389,75.3948218847278,4608,2.6663113891748558,1.9159885215116441,4608,204.10834418402777,97.22137997564415,4608,521.0164388020834,195.48981494126383,4608,479974.6079808634,6710683.768355489,4608
c2,real_motif,L2,spike,58.69886610243056,80.40126352628184,4608,0.732421875,0.44274440894352207,4608,191.71481662326389,209.41306104441773,4608,191.71481662326389,209.41306104441773,4608,725911458.3707175,446102230.73403,4608
c2,real_motif,L3,syn_current,327.6095920138889,160.91681269692643,4608,3.0774871150756047,2.188784066342443,4608,414.24560546875,163.40184984652697,4608,826.72119140625,172.05062556830688,4608,1517.87700435147,38979.26992631244,4608
c2,real_motif,L3,pre_reset,347.4460177951389,162.36249254404592,4608,5.7096694037188875,4.377494709321772,4608,408.5116916232639,160.78164621229075,4608,822.5131564670139,167.41479731833235,4608,903.9363900210005,24002.64753584397,4608
c2,real_motif,L3,spike,98.81930881076389,148.61950162063235,4608,0.7434895833333334,0.4367541861540352,4608,388.2954915364583,358.07127018985,4608,388.2954915364583,358.07127018985,4608,539062500.455849,498525881.6169167,4608
