profile,readout,seed,intervention,effective_mask_id,probe_type,feature_dim,probe_C,val_ba,test_ba,test_accuracy,test_macro_f1
s2,hidden_count_linear,23,reset2345,s2,l3_fixed250_ordered,2048,10.0,0.5630772005772007,0.5155809468309468,0.5273972602739726,0.5269780535131907
s2,hidden_count_linear,23,reset2345,s2,l3_relative10_ordered,1280,0.01,0.6545815295815296,0.70009435009435,0.7191780821917808,0.7027809586910919
s2,hidden_count_linear,23,reset23456,s2,l3_whole_count,128,1.0,0.5071548821548821,0.47849164724164717,0.4931506849315068,0.46910596508613295
s2,hidden_count_linear,23,reset23456,s2,l3_fixed250_ordered,2048,10.0,0.5630772005772007,0.5155809468309468,0.5273972602739726,0.5269780535131907
s2,hidden_count_linear,23,reset23456,s2,l3_relative10_ordered,1280,0.01,0.6545815295815296,0.70009435009435,0.7191780821917808,0.7027809586910919
s2,hidden_count_linear,23,reset67,none,l3_whole_count,128,0.1,0.5035834535834536,0.5260205072705072,0.541095890410959,0.5262369045907375
s2,hidden_count_linear,23,reset67,none,l3_fixed250_ordered,2048,1.0,0.5522546897546897,0.5667311854811854,0.5821917808219178,0.5816317941317941
s2,hidden_count_linear,23,reset67,none,l3_relative10_ordered,1280,0.1,0.624488936988937,0.6570159007659007,0.678082191780822,0.6633910175689015
s2,hidden_count_linear,23,reset567,none,l3_whole_count,128,0.1,0.5035834535834536,0.5260205072705072,0.541095890410959,0.5262369045907375
s2,hidden_count_linear,23,reset567,none,l3_fixed250_ordered,2048,1.0,0.5522546897546897,0.5667311854811854,0.5821917808219178,0.5816317941317941
s2,hidden_count_linear,23,reset567,none,l3_relative10_ordered,1280,0.1,0.624488936988937,0.6570159007659007,0.678082191780822,0.6633910175689015
s2,hidden_count_linear,101,normal,none,l3_whole_count,128,0.1,0.5077922077922078,0.5222083472083471,0.5342465753424658,0.5176599460750215
s2,hidden_count_linear,101,normal,none,l3_fixed250_ordered,2048,0.001,0.5269901394901395,0.529466366966367,0.547945205479452,0.5396245915946322
s2,hidden_count_linear,101,normal,none,l3_relative10_ordered,1280,0.01,0.6334235209235209,0.6540605228105227,0.6712328767123288,0.6591113805240613
s2,hidden_count_linear,101,resetall250,s2,l3_whole_count,128,0.01,0.510064935064935,0.5342081529581529,0.547945205479452,0.5303456256425729
s2,hidden_count_linear,101,resetall250,s2,l3_fixed250_ordered,2048,0.01,0.545508658008658,0.5609869297369298,0.5753424657534246,0.5761540228583073
s2,hidden_count_linear,101,resetall250,s2,l3_relative10_ordered,1280,0.01,0.6119588744588745,0.658389527139527,0.678082191780822,0.6607305336661053
s2,hidden_count_linear,101,reset234,s2,l3_whole_count,128,0.01,0.510064935064935,0.5342081529581529,0.547945205479452,0.5303456256425729
s2,hidden_count_linear,101,reset234,s2,l3_fixed250_ordered,2048,0.01,0.545508658008658,0.5609869297369298,0.5753424657534246,0.5761540228583073
s2,hidden_count_linear,101,reset234,s2,l3_relative10_ordered,1280,0.01,0.6119588744588745,0.658389527139527,0.678082191780822,0.6607305336661053
s2,hidden_count_linear,101,reset2345,s2,l3_whole_count,128,0.01,0.510064935064935,0.5342081529581529,0.547945205479452,0.5303456256425729
s2,hidden_count_linear,101,reset2345,s2,l3_fixed250_ordered,2048,0.01,0.545508658008658,0.5609869297369298,0.5753424657534246,0.5761540228583073
s2,hidden_count_linear,101,reset2345,s2,l3_relative10_ordered,1280,0.01,0.6119588744588745,0.658389527139527,0.678082191780822,0.6607305336661053
s2,hidden_count_linear,101,reset23456,s2,l3_whole_count,128,0.01,0.510064935064935,0.5342081529581529,0.547945205479452,0.5303456256425729
s2,hidden_count_linear,101,reset23456,s2,l3_fixed250_ordered,2048,0.01,0.545508658008658,0.5609869297369298,0.5753424657534246,0.5761540228583073
s2,hidden_count_linear,101,reset23456,s2,l3_relative10_ordered,1280,0.01,0.6119588744588745,0.658389527139527,0.678082191780822,0.6607305336661053
s2,hidden_count_linear,101,reset67,none,l3_whole_count,128,0.1,0.5077922077922078,0.5222083472083471,0.5342465753424658,0.5176599460750215
s2,hidden_count_linear,101,reset67,none,l3_fixed250_ordered,2048,0.001,0.5269901394901395,0.529466366966367,0.547945205479452,0.5396245915946322
s2,hidden_count_linear,101,reset67,none,l3_relative10_ordered,1280,0.01,0.6334235209235209,0.6540605228105227,0.6712328767123288,0.6591113805240613
s2,hidden_count_linear,101,reset567,none,l3_whole_count,128,0.1,0.5077922077922078,0.5222083472083471,0.5342465753424658,0.5176599460750215
s2,hidden_count_linear,101,reset567,none,l3_fixed250_ordered,2048,0.001,0.5269901394901395,0.529466366966367,0.547945205479452,0.5396245915946322
s2,hidden_count_linear,101,reset567,none,l3_relative10_ordered,1280,0.01,0.6334235209235209,0.6540605228105227,0.6712328767123288,0.6591113805240613
s2,output_lif,11,normal,none,l3_whole_count,128,0.1,0.45632515632515647,0.4941280941280941,0.5068493150684932,0.4847234541964934
s2,output_lif,11,normal,none,l3_fixed250_ordered,2048,0.01,0.5401875901875902,0.554763986013986,0.5684931506849316,0.5504149061859728
s2,output_lif,11,normal,none,l3_relative10_ordered,1280,0.1,0.5894360269360269,0.6197594072594071,0.636986301369863,0.6056017652949546
s2,output_lif,11,resetall250,s2,l3_whole_count,128,10.0,0.49763107263107265,0.4501047563547563,0.4520547945205479,0.4485878855444072
s2,output_lif,11,resetall250,s2,l3_fixed250_ordered,2048,0.01,0.5488155363155364,0.5557560495060495,0.5684931506849316,0.5423664978967851
s2,output_lif,11,resetall250,s2,l3_relative10_ordered,1280,0.1,0.5973063973063973,0.6406378343878344,0.6575342465753424,0.6315331784099416
s2,output_lif,11,reset234,s2,l3_whole_count,128,10.0,0.49763107263107265,0.4501047563547563,0.4520547945205479,0.4485878855444072
s2,output_lif,11,reset234,s2,l3_fixed250_ordered,2048,0.01,0.5488155363155364,0.5557560495060495,0.5684931506849316,0.5423664978967851
s2,output_lif,11,reset234,s2,l3_relative10_ordered,1280,0.1,0.5973063973063973,0.6406378343878344,0.6575342465753424,0.6315331784099416
s2,output_lif,11,reset2345,s2,l3_whole_count,128,10.0,0.49763107263107265,0.4501047563547563,0.4520547945205479,0.4485878855444072
s2,output_lif,11,reset2345,s2,l3_fixed250_ordered,2048,0.01,0.5488155363155364,0.5557560495060495,0.5684931506849316,0.5423664978967851
s2,output_lif,11,reset2345,s2,l3_relative10_ordered,1280,0.1,0.5973063973063973,0.6406378343878344,0.6575342465753424,0.6315331784099416
s2,output_lif,11,reset23456,s2,l3_whole_count,128,10.0,0.49763107263107265,0.4501047563547563,0.4520547945205479,0.4485878855444072
s2,output_lif,11,reset23456,s2,l3_fixed250_ordered,2048,0.01,0.5488155363155364,0.5557560495060495,0.5684931506849316,0.5423664978967851
s2,output_lif,11,reset23456,s2,l3_relative10_ordered,1280,0.1,0.5973063973063973,0.6406378343878344,0.6575342465753424,0.6315331784099416
s2,output_lif,11,reset67,none,l3_whole_count,128,0.1,0.45632515632515647,0.4941280941280941,0.5068493150684932,0.4847234541964934
s2,output_lif,11,reset67,none,l3_fixed250_ordered,2048,0.01,0.5401875901875902,0.554763986013986,0.5684931506849316,0.5504149061859728
s2,output_lif,11,reset67,none,l3_relative10_ordered,1280,0.1,0.5894360269360269,0.6197594072594071,0.636986301369863,0.6056017652949546
s2,output_lif,11,reset567,none,l3_whole_count,128,0.1,0.45632515632515647,0.4941280941280941,0.5068493150684932,0.4847234541964934
s2,output_lif,11,reset567,none,l3_fixed250_ordered,2048,0.01,0.5401875901875902,0.554763986013986,0.5684931506849316,0.5504149061859728
s2,output_lif,11,reset567,none,l3_relative10_ordered,1280,0.1,0.5894360269360269,0.6197594072594071,0.636986301369863,0.6056017652949546
s2,output_lif,23,normal,none,l3_whole_count,128,1.0,0.432022607022607,0.49293761793761787,0.5136986301369864,0.4908366619402931
s2,output_lif,23,normal,none,l3_fixed250_ordered,2048,1.0,0.5326178451178452,0.49833083583083576,0.5136986301369864,0.5009119420884126
s2,output_lif,23,normal,none,l3_relative10_ordered,1280,1.0,0.5548460798460798,0.605520868020868,0.6232876712328768,0.6182020684471664
s2,output_lif,23,resetall250,s2,l3_whole_count,128,10.0,0.41443602693602694,0.5120081307581307,0.5273972602739726,0.5104656876586701
s2,output_lif,23,resetall250,s2,l3_fixed250_ordered,2048,1.0,0.5534571909571909,0.4649995837495837,0.4726027397260274,0.4811815840478851
s2,output_lif,23,resetall250,s2,l3_relative10_ordered,1280,0.1,0.5832551707551707,0.6088938838938839,0.6232876712328768,0.6204304644455588
s2,output_lif,23,reset234,s2,l3_whole_count,128,10.0,0.41443602693602694,0.5120081307581307,0.5273972602739726,0.5104656876586701
s2,output_lif,23,reset234,s2,l3_fixed250_ordered,2048,1.0,0.5534571909571909,0.4649995837495837,0.4726027397260274,0.4811815840478851
s2,output_lif,23,reset234,s2,l3_relative10_ordered,1280,0.1,0.5832551707551707,0.6088938838938839,0.6232876712328768,0.6204304644455588
s2,output_lif,23,reset2345,s2,l3_whole_count,128,10.0,0.41443602693602694,0.5120081307581307,0.5273972602739726,0.5104656876586701
s2,output_lif,23,reset2345,s2,l3_fixed250_ordered,2048,1.0,0.5534571909571909,0.4649995837495837,0.4726027397260274,0.4811815840478851
s2,output_lif,23,reset2345,s2,l3_relative10_ordered,1280,0.1,0.5832551707551707,0.6088938838938839,0.6232876712328768,0.6204304644455588
s2,output_lif,23,reset23456,s2,l3_whole_count,128,10.0,0.41443602693602694,0.5120081307581307,0.5273972602739726,0.5104656876586701
s2,output_lif,23,reset23456,s2,l3_fixed250_ordered,2048,1.0,0.5534571909571909,0.4649995837495837,0.4726027397260274,0.4811815840478851
s2,output_lif,23,reset23456,s2,l3_relative10_ordered,1280,0.1,0.5832551707551707,0.6088938838938839,0.6232876712328768,0.6204304644455588
s2,output_lif,23,reset67,none,l3_whole_count,128,1.0,0.432022607022607,0.49293761793761787,0.5136986301369864,0.4908366619402931
s2,output_lif,23,reset67,none,l3_fixed250_ordered,2048,1.0,0.5326178451178452,0.49833083583083576,0.5136986301369864,0.5009119420884126
s2,output_lif,23,reset67,none,l3_relative10_ordered,1280,1.0,0.5548460798460798,0.605520868020868,0.6232876712328768,0.6182020684471664
s2,output_lif,23,reset567,none,l3_whole_count,128,1.0,0.432022607022607,0.49293761793761787,0.5136986301369864,0.4908366619402931
s2,output_lif,23,reset567,none,l3_fixed250_ordered,2048,1.0,0.5326178451178452,0.49833083583083576,0.5136986301369864,0.5009119420884126
s2,output_lif,23,reset567,none,l3_relative10_ordered,1280,1.0,0.5548460798460798,0.605520868020868,0.6232876712328768,0.6182020684471664
s2,output_lif,101,normal,none,l3_whole_count,128,0.1,0.487512025012025,0.5435758685758685,0.5616438356164384,0.5524400339632428
s2,output_lif,101,normal,none,l3_fixed250_ordered,2048,0.01,0.5390632515632515,0.5676989676989678,0.5821917808219178,0.581757852838448
s2,output_lif,101,normal,none,l3_relative10_ordered,1280,0.01,0.5532948532948533,0.6553162115662114,0.678082191780822,0.6629924741658474
s2,output_lif,101,resetall250,s2,l3_whole_count,128,10.0,0.49559283309283303,0.5078407703407702,0.5205479452054794,0.5157505255684107
s2,output_lif,101,resetall250,s2,l3_fixed250_ordered,2048,0.1,0.5436988936988937,0.5689636752136752,0.589041095890411,0.5896399173249268
s2,output_lif,101,resetall250,s2,l3_relative10_ordered,1280,10.0,0.5729016354016353,0.639790071040071,0.6575342465753424,0.651244793302523
s2,output_lif,101,reset234,s2,l3_whole_count,128,10.0,0.49559283309283303,0.5078407703407702,0.5205479452054794,0.5157505255684107
s2,output_lif,101,reset234,s2,l3_fixed250_ordered,2048,0.1,0.5436988936988937,0.5689636752136752,0.589041095890411,0.5896399173249268
s2,output_lif,101,reset234,s2,l3_relative10_ordered,1280,10.0,0.5729016354016353,0.639790071040071,0.6575342465753424,0.651244793302523
s2,output_lif,101,reset2345,s2,l3_whole_count,128,10.0,0.49559283309283303,0.5078407703407702,0.5205479452054794,0.5157505255684107
s2,output_lif,101,reset2345,s2,l3_fixed250_ordered,2048,0.1,0.5436988936988937,0.5689636752136752,0.589041095890411,0.5896399173249268
s2,output_lif,101,reset2345,s2,l3_relative10_ordered,1280,10.0,0.5729016354016353,0.639790071040071,0.6575342465753424,0.651244793302523
s2,output_lif,101,reset23456,s2,l3_whole_count,128,10.0,0.49559283309283303,0.5078407703407702,0.5205479452054794,0.5157505255684107
s2,output_lif,101,reset23456,s2,l3_fixed250_ordered,2048,0.1,0.5436988936988937,0.5689636752136752,0.589041095890411,0.5896399173249268
s2,output_lif,101,reset23456,s2,l3_relative10_ordered,1280,10.0,0.5729016354016353,0.639790071040071,0.6575342465753424,0.651244793302523
s2,output_lif,101,reset67,none,l3_whole_count,128,0.1,0.487512025012025,0.5435758685758685,0.5616438356164384,0.5524400339632428
s2,output_lif,101,reset67,none,l3_fixed250_ordered,2048,0.01,0.5390632515632515,0.5676989676989678,0.5821917808219178,0.581757852838448
s2,output_lif,101,reset67,none,l3_relative10_ordered,1280,0.01,0.5532948532948533,0.6553162115662114,0.678082191780822,0.6629924741658474
s2,output_lif,101,reset567,none,l3_whole_count,128,0.1,0.487512025012025,0.5435758685758685,0.5616438356164384,0.5524400339632428
s2,output_lif,101,reset567,none,l3_fixed250_ordered,2048,0.01,0.5390632515632515,0.5676989676989678,0.5821917808219178,0.581757852838448
s2,output_lif,101,reset567,none,l3_relative10_ordered,1280,0.01,0.5532948532948533,0.6553162115662114,0.678082191780822,0.6629924741658474
s3,hidden_count_linear,11,normal,none,l3_whole_count,128,0.01,0.462974987974988,0.49445762570762564,0.5068493150684932,0.49057490128568565
s3,hidden_count_linear,11,normal,none,l3_fixed250_ordered,2048,1.0,0.5363876863876864,0.4797521922521922,0.4863013698630137,0.4862841615415328
s3,hidden_count_linear,11,normal,none,l3_relative10_ordered,1280,10.0,0.5937349687349688,0.5748619436119436,0.5958904109589042,0.577678025372928
s3,hidden_count_linear,11,resetall250,s3,l3_whole_count,128,0.1,0.5045815295815296,0.5053585303585303,0.5136986301369864,0.5007786465451501
s3,hidden_count_linear,11,resetall250,s3,l3_fixed250_ordered,2048,0.001,0.5586700336700336,0.5241834554334555,0.541095890410959,0.5199322196963779
s3,hidden_count_linear,11,resetall250,s3,l3_relative10_ordered,1280,0.01,0.6178511303511304,0.679299173049173,0.6986301369863014,0.6710215419657071
s3,hidden_count_linear,11,reset234,s3,l3_whole_count,128,0.1,0.5045815295815296,0.5053585303585303,0.5136986301369864,0.5007786465451501
s3,hidden_count_linear,11,reset234,s3,l3_fixed250_ordered,2048,0.001,0.5586700336700336,0.5241834554334555,0.541095890410959,0.5199322196963779
s3,hidden_count_linear,11,reset234,s3,l3_relative10_ordered,1280,0.01,0.6178511303511304,0.679299173049173,0.6986301369863014,0.6710215419657071
s3,hidden_count_linear,11,reset2345,s3,l3_whole_count,128,0.1,0.5045815295815296,0.5053585303585303,0.5136986301369864,0.5007786465451501
s3,hidden_count_linear,11,reset2345,s3,l3_fixed250_ordered,2048,0.001,0.5586700336700336,0.5241834554334555,0.541095890410959,0.5199322196963779
s3,hidden_count_linear,11,reset2345,s3,l3_relative10_ordered,1280,0.01,0.6178511303511304,0.679299173049173,0.6986301369863014,0.6710215419657071
s3,hidden_count_linear,11,reset23456,s3,l3_whole_count,128,0.1,0.5045815295815296,0.5053585303585303,0.5136986301369864,0.5007786465451501
s3,hidden_count_linear,11,reset23456,s3,l3_fixed250_ordered,2048,0.001,0.5586700336700336,0.5241834554334555,0.541095890410959,0.5199322196963779
s3,hidden_count_linear,11,reset23456,s3,l3_relative10_ordered,1280,0.01,0.6178511303511304,0.679299173049173,0.6986301369863014,0.6710215419657071
s3,hidden_count_linear,11,reset67,none,l3_whole_count,128,0.01,0.462974987974988,0.49445762570762564,0.5068493150684932,0.49057490128568565
s3,hidden_count_linear,11,reset67,none,l3_fixed250_ordered,2048,1.0,0.5363876863876864,0.4797521922521922,0.4863013698630137,0.4862841615415328
s3,hidden_count_linear,11,reset67,none,l3_relative10_ordered,1280,10.0,0.5937349687349688,0.5748619436119436,0.5958904109589042,0.577678025372928
s3,hidden_count_linear,11,reset567,none,l3_whole_count,128,0.01,0.462974987974988,0.49445762570762564,0.5068493150684932,0.49057490128568565
s3,hidden_count_linear,11,reset567,none,l3_fixed250_ordered,2048,1.0,0.5363876863876864,0.4797521922521922,0.4863013698630137,0.4862841615415328
s3,hidden_count_linear,11,reset567,none,l3_relative10_ordered,1280,10.0,0.5937349687349688,0.5748619436119436,0.5958904109589042,0.577678025372928
s3,hidden_count_linear,23,normal,none,l3_whole_count,128,10.0,0.4826178451178451,0.4294989732489732,0.4383561643835616,0.4187731919733198
s3,hidden_count_linear,23,normal,none,l3_fixed250_ordered,2048,0.1,0.5322811447811447,0.5456272893772893,0.5616438356164384,0.5526893426445295
s3,hidden_count_linear,23,normal,none,l3_relative10_ordered,1280,0.01,0.5804353054353055,0.63004773004773,0.6438356164383562,0.6367139033805701
s3,hidden_count_linear,23,resetall250,s3,l3_whole_count,128,1.0,0.52243265993266,0.49663461538461534,0.5068493150684932,0.4836031990637255
s3,hidden_count_linear,23,resetall250,s3,l3_fixed250_ordered,2048,10.0,0.5418771043771046,0.5619942557442558,0.5753424657534246,0.5664613455404902
s3,hidden_count_linear,23,resetall250,s3,l3_relative10_ordered,1280,0.1,0.5906565656565655,0.6227446164946164,0.6438356164383562,0.6263469202768465
s3,hidden_count_linear,23,reset234,s3,l3_whole_count,128,1.0,0.52243265993266,0.49663461538461534,0.5068493150684932,0.4836031990637255
s3,hidden_count_linear,23,reset234,s3,l3_fixed250_ordered,2048,10.0,0.5418771043771046,0.5619942557442558,0.5753424657534246,0.5664613455404902
s3,hidden_count_linear,23,reset234,s3,l3_relative10_ordered,1280,0.1,0.5906565656565655,0.6227446164946164,0.6438356164383562,0.6263469202768465
s3,hidden_count_linear,23,reset2345,s3,l3_whole_count,128,1.0,0.52243265993266,0.49663461538461534,0.5068493150684932,0.4836031990637255
s3,hidden_count_linear,23,reset2345,s3,l3_fixed250_ordered,2048,10.0,0.5418771043771046,0.5619942557442558,0.5753424657534246,0.5664613455404902
s3,hidden_count_linear,23,reset2345,s3,l3_relative10_ordered,1280,0.1,0.5906565656565655,0.6227446164946164,0.6438356164383562,0.6263469202768465
s3,hidden_count_linear,23,reset23456,s3,l3_whole_count,128,1.0,0.52243265993266,0.49663461538461534,0.5068493150684932,0.4836031990637255
s3,hidden_count_linear,23,reset23456,s3,l3_fixed250_ordered,2048,10.0,0.5418771043771046,0.5619942557442558,0.5753424657534246,0.5664613455404902
s3,hidden_count_linear,23,reset23456,s3,l3_relative10_ordered,1280,0.1,0.5906565656565655,0.6227446164946164,0.6438356164383562,0.6263469202768465
s3,hidden_count_linear,23,reset67,none,l3_whole_count,128,10.0,0.4826178451178451,0.4294989732489732,0.4383561643835616,0.4187731919733198
s3,hidden_count_linear,23,reset67,none,l3_fixed250_ordered,2048,0.1,0.5322811447811447,0.5456272893772893,0.5616438356164384,0.5526893426445295
s3,hidden_count_linear,23,reset67,none,l3_relative10_ordered,1280,0.01,0.5804353054353055,0.63004773004773,0.6438356164383562,0.6367139033805701
s3,hidden_count_linear,23,reset567,none,l3_whole_count,128,10.0,0.4826178451178451,0.4294989732489732,0.4383561643835616,0.4187731919733198
s3,hidden_count_linear,23,reset567,none,l3_fixed250_ordered,2048,0.1,0.5322811447811447,0.5456272893772893,0.5616438356164384,0.5526893426445295
s3,hidden_count_linear,23,reset567,none,l3_relative10_ordered,1280,0.01,0.5804353054353055,0.63004773004773,0.6438356164383562,0.6367139033805701
s3,hidden_count_linear,101,normal,none,l3_whole_count,128,1.0,0.44975348725348724,0.4799485236985237,0.4863013698630137,0.48519183130251237
s3,hidden_count_linear,101,normal,none,l3_fixed250_ordered,2048,10.0,0.5248797498797498,0.5002788877788877,0.5205479452054794,0.5214726067560679
s3,hidden_count_linear,101,normal,none,l3_relative10_ordered,1280,0.1,0.5761483886483886,0.6185127372627371,0.636986301369863,0.6331526966035751
s3,hidden_count_linear,101,resetall250,s3,l3_whole_count,128,0.01,0.46667869167869164,0.5325847763347763,0.547945205479452,0.5293595245865628
s3,hidden_count_linear,101,resetall250,s3,l3_fixed250_ordered,2048,0.01,0.5203403078403077,0.5597624597624596,0.5821917808219178,0.5749983816871863
s3,hidden_count_linear,101,resetall250,s3,l3_relative10_ordered,1280,0.1,0.5874218374218375,0.6324987512487511,0.6506849315068494,0.6456214957405974
s3,hidden_count_linear,101,reset234,s3,l3_whole_count,128,0.01,0.46667869167869164,0.5325847763347763,0.547945205479452,0.5293595245865628
s3,hidden_count_linear,101,reset234,s3,l3_fixed250_ordered,2048,0.01,0.5203403078403077,0.5597624597624596,0.5821917808219178,0.5749983816871863
s3,hidden_count_linear,101,reset234,s3,l3_relative10_ordered,1280,0.1,0.5874218374218375,0.6324987512487511,0.6506849315068494,0.6456214957405974
s3,hidden_count_linear,101,reset2345,s3,l3_whole_count,128,0.01,0.46667869167869164,0.5325847763347763,0.547945205479452,0.5293595245865628
s3,hidden_count_linear,101,reset2345,s3,l3_fixed250_ordered,2048,0.01,0.5203403078403077,0.5597624597624596,0.5821917808219178,0.5749983816871863
s3,hidden_count_linear,101,reset2345,s3,l3_relative10_ordered,1280,0.1,0.5874218374218375,0.6324987512487511,0.6506849315068494,0.6456214957405974
s3,hidden_count_linear,101,reset23456,s3,l3_whole_count,128,0.01,0.46667869167869164,0.5325847763347763,0.547945205479452,0.5293595245865628
s3,hidden_count_linear,101,reset23456,s3,l3_fixed250_ordered,2048,0.01,0.5203403078403077,0.5597624597624596,0.5821917808219178,0.5749983816871863
s3,hidden_count_linear,101,reset23456,s3,l3_relative10_ordered,1280,0.1,0.5874218374218375,0.6324987512487511,0.6506849315068494,0.6456214957405974
s3,hidden_count_linear,101,reset67,none,l3_whole_count,128,1.0,0.44975348725348724,0.4799485236985237,0.4863013698630137,0.48519183130251237
s3,hidden_count_linear,101,reset67,none,l3_fixed250_ordered,2048,10.0,0.5248797498797498,0.5002788877788877,0.5205479452054794,0.5214726067560679
s3,hidden_count_linear,101,reset67,none,l3_relative10_ordered,1280,0.1,0.5761483886483886,0.6185127372627371,0.636986301369863,0.6331526966035751
s3,hidden_count_linear,101,reset567,none,l3_whole_count,128,1.0,0.44975348725348724,0.4799485236985237,0.4863013698630137,0.48519183130251237
s3,hidden_count_linear,101,reset567,none,l3_fixed250_ordered,2048,10.0,0.5248797498797498,0.5002788877788877,0.5205479452054794,0.5214726067560679
s3,hidden_count_linear,101,reset567,none,l3_relative10_ordered,1280,0.1,0.5761483886483886,0.6185127372627371,0.636986301369863,0.6331526966035751
s3,output_lif,11,normal,none,l3_whole_count,128,0.01,0.4394540644540645,0.49878663003663,0.5136986301369864,0.49368837993218234
s3,output_lif,11,normal,none,l3_fixed250_ordered,2048,0.01,0.598418710918711,0.5523580586080586,0.5616438356164384,0.5508415469453309
s3,output_lif,11,normal,none,l3_relative10_ordered,1280,0.1,0.6478114478114478,0.5572094572094572,0.5684931506849316,0.554493254087412
s3,output_lif,11,resetall250,s3,l3_whole_count,128,0.01,0.4925625300625301,0.5349969474969475,0.547945205479452,0.533099936102387
